time,enrolled,available,waitlisted,total
2022-11-05T20:14:23,0,30,0,30
2022-11-05T20:23:41,0,30,0,30
2022-11-05T20:32:57,0,30,0,30
2022-11-05T20:42:25,0,30,0,30
2022-11-05T20:51:41,0,30,0,30
2022-11-05T21:00:57,0,30,0,30
2022-11-05T21:10:12,0,30,0,30
2022-11-05T21:19:27,0,30,0,30
2022-11-05T21:28:43,0,30,0,30
2022-11-05T21:37:59,0,30,0,30
2022-11-05T21:47:15,0,30,0,30
2022-11-05T21:56:30,0,30,0,30
2022-11-05T22:05:45,0,30,0,30
2022-11-05T22:15:01,0,30,0,30
2022-11-05T22:24:16,0,30,0,30
2022-11-05T22:33:32,0,30,0,30
2022-11-05T22:42:49,0,30,0,30
2022-11-05T22:52:05,0,30,0,30
2022-11-05T23:01:21,0,30,0,30
2022-11-05T23:10:37,0,30,0,30
2022-11-05T23:19:54,0,30,0,30
2022-11-05T23:29:13,0,30,0,30
2022-11-05T23:38:27,0,30,0,30
2022-11-05T23:47:43,0,30,0,30
2022-11-05T23:56:59,0,30,0,30
2022-11-06T00:06:25,0,30,0,30
2022-11-06T00:15:41,0,30,0,30
2022-11-06T00:24:57,0,30,0,30
2022-11-06T00:34:12,0,30,0,30
2022-11-06T00:43:28,0,30,0,30
2022-11-06T00:52:43,0,30,0,30
2022-11-06T01:01:59,0,30,0,30
2022-11-06T01:11:14,0,30,0,30
2022-11-06T01:20:29,0,30,0,30
2022-11-06T01:29:46,0,30,0,30
2022-11-06T01:39:02,0,30,0,30
2022-11-06T01:48:17,0,30,0,30
2022-11-06T01:57:33,0,30,0,30
2022-11-06T01:06:50,0,30,0,30
2022-11-06T01:16:06,0,30,0,30
2022-11-06T01:25:22,0,30,0,30
2022-11-06T01:34:38,0,30,0,30
2022-11-06T01:43:53,0,30,0,30
2022-11-06T01:53:12,0,30,0,30
2022-11-06T02:02:30,0,30,0,30
2022-11-06T02:11:49,0,30,0,30
2022-11-06T02:21:08,0,30,0,30
2022-11-06T02:30:29,0,30,0,30
2022-11-06T02:39:48,0,30,0,30
2022-11-06T02:49:07,0,30,0,30
2022-11-06T02:58:26,0,30,0,30
2022-11-06T03:07:44,0,30,0,30
2022-11-06T03:17:01,0,30,0,30
2022-11-06T03:26:18,0,30,0,30
2022-11-06T03:35:36,0,30,0,30
2022-11-06T03:44:55,0,30,0,30
2022-11-06T03:54:16,0,30,0,30
2022-11-06T04:03:35,0,30,0,30
2022-11-06T04:18:54,0,30,0,30
2022-11-06T04:28:13,0,30,0,30
2022-11-06T04:37:32,0,30,0,30
2022-11-06T04:48:00,0,30,0,30
2022-11-06T04:57:35,0,30,0,30
2022-11-06T05:06:52,0,30,0,30
2022-11-06T05:16:10,0,30,0,30
2022-11-06T05:25:26,0,30,0,30
2022-11-06T05:34:43,0,30,0,30
2022-11-06T05:43:58,0,30,0,30
2022-11-06T05:53:15,0,30,0,30
2022-11-06T06:02:33,0,30,0,30
2022-11-06T06:11:52,0,30,0,30
2022-11-06T06:21:11,0,30,0,30
2022-11-06T06:30:28,0,30,0,30
2022-11-06T06:39:44,0,30,0,30
2022-11-06T06:48:59,0,30,0,30
2022-11-06T06:58:16,0,30,0,30
2022-11-06T07:07:33,0,30,0,30
2022-11-06T07:16:50,0,30,0,30
2022-11-06T07:26:07,0,30,0,30
2022-11-06T07:35:25,0,30,0,30
2022-11-06T07:44:44,0,30,0,30
2022-11-06T07:54:02,0,30,0,30
2022-11-06T08:03:18,0,30,0,30
2022-11-06T08:12:35,0,30,0,30
2022-11-06T08:21:52,0,30,0,30
2022-11-06T08:31:10,0,30,0,30
2022-11-06T08:40:26,0,30,0,30
2022-11-06T08:49:42,0,30,0,30
2022-11-06T08:59:00,0,30,0,30
2022-11-06T09:08:15,0,30,0,30
2022-11-06T09:17:30,0,30,0,30
2022-11-06T09:26:44,0,30,0,30
2022-11-06T09:35:57,0,30,0,30
2022-11-06T09:45:11,0,30,0,30
2022-11-06T09:54:26,0,30,0,30
2022-11-06T10:03:39,0,30,0,30
2022-11-06T10:12:52,0,30,0,30
2022-11-06T10:22:06,0,30,0,30
2022-11-06T10:31:23,0,30,0,30
2022-11-06T10:40:36,0,30,0,30
2022-11-06T10:49:51,0,30,0,30
2022-11-06T10:59:07,0,30,0,30
2022-11-06T11:08:21,0,30,0,30
2022-11-06T11:17:37,0,30,0,30
2022-11-06T11:26:56,0,30,0,30
2022-11-06T11:36:17,0,30,0,30
2022-11-06T11:45:32,0,30,0,30
2022-11-06T11:54:46,0,30,0,30
2022-11-06T12:04:00,0,30,0,30
2022-11-06T12:13:16,0,30,0,30
2022-11-06T12:22:41,0,30,0,30
2022-11-06T12:31:55,0,30,0,30
2022-11-06T12:41:09,0,30,0,30
2022-11-06T12:50:24,0,30,0,30
2022-11-06T12:59:38,0,30,0,30
2022-11-06T13:08:53,0,30,0,30
2022-11-06T13:18:09,0,30,0,30
2022-11-06T13:27:24,0,30,0,30
2022-11-06T13:36:38,0,30,0,30
2022-11-06T13:45:51,0,30,0,30
2022-11-06T13:55:05,0,30,0,30
2022-11-06T14:04:21,0,30,0,30
2022-11-06T14:13:35,0,30,0,30
2022-11-06T14:22:58,0,30,0,30
2022-11-06T14:32:12,0,30,0,30
2022-11-06T14:41:28,0,30,0,30
2022-11-06T14:50:43,0,30,0,30
2022-11-06T14:59:57,0,30,0,30
2022-11-06T15:09:10,0,30,0,30
2022-11-06T15:18:24,0,30,0,30
2022-11-06T15:27:38,0,30,0,30
2022-11-06T15:36:51,0,30,0,30
2022-11-06T15:46:06,0,30,0,30
2022-11-06T15:55:18,0,30,0,30
2022-11-06T16:04:31,0,30,0,30
2022-11-06T16:13:54,0,30,0,30
2022-11-06T16:23:10,0,30,0,30
2022-11-06T16:32:26,0,30,0,30
2022-11-06T16:41:41,0,30,0,30
2022-11-06T16:50:57,0,30,0,30
2022-11-06T17:00:12,0,30,0,30
2022-11-06T17:09:26,0,30,0,30
2022-11-06T17:18:41,0,30,0,30
2022-11-06T17:27:56,0,30,0,30
2022-11-06T17:37:12,0,30,0,30
2022-11-06T17:46:36,0,30,0,30
2022-11-06T17:55:51,0,30,0,30
2022-11-06T18:05:06,0,30,0,30
2022-11-06T18:14:22,0,30,0,30
2022-11-06T18:23:37,0,30,0,30
2022-11-06T18:32:50,0,30,0,30
2022-11-06T18:42:04,0,30,0,30
2022-11-06T18:51:17,0,30,0,30
2022-11-06T19:00:32,0,30,0,30
2022-11-06T19:09:57,0,30,0,30
2022-11-06T19:19:12,0,30,0,30
2022-11-06T19:28:27,0,30,0,30
2022-11-06T19:37:41,0,30,0,30
2022-11-06T19:46:53,0,30,0,30
2022-11-06T19:56:08,0,30,0,30
2022-11-06T20:05:21,0,30,0,30
2022-11-06T20:14:35,0,30,0,30
2022-11-06T20:23:49,0,30,0,30
2022-11-06T20:33:05,0,30,0,30
2022-11-06T20:42:27,0,30,0,30
2022-11-06T20:51:42,0,30,0,30
2022-11-06T21:00:56,0,30,0,30
2022-11-06T21:10:11,0,30,0,30
2022-11-06T21:19:23,0,30,0,30
2022-11-06T21:28:36,0,30,0,30
2022-11-06T21:37:49,0,30,0,30
2022-11-06T21:47:05,0,30,0,30
2022-11-06T21:56:29,0,30,0,30
2022-11-06T22:05:44,0,30,0,30
2022-11-06T22:14:59,0,30,0,30
2022-11-06T22:24:14,0,30,0,30
2022-11-06T22:33:30,0,30,0,30
2022-11-06T22:42:44,0,30,0,30
2022-11-06T22:51:58,0,30,0,30
2022-11-06T23:01:14,0,30,0,30
2022-11-06T23:10:39,0,30,0,30
2022-11-06T23:19:55,0,30,0,30
2022-11-06T23:29:11,0,30,0,30
2022-11-06T23:38:26,0,30,0,30
2022-11-06T23:47:41,0,30,0,30
2022-11-06T23:56:57,0,30,0,30
2022-11-07T00:07:57,0,30,0,30
2022-11-07T00:17:20,0,30,0,30
2022-11-07T00:26:48,0,30,0,30
2022-11-07T00:36:05,0,30,0,30
2022-11-07T00:45:19,0,30,0,30
2022-11-07T00:54:34,0,30,0,30
2022-11-07T01:03:48,0,30,0,30
2022-11-07T01:13:09,0,30,0,30
2022-11-07T01:22:26,0,30,0,30
2022-11-07T01:31:40,0,30,0,30
2022-11-07T01:41:06,0,30,0,30
2022-11-07T01:50:20,0,30,0,30
2022-11-07T01:59:35,0,30,0,30
2022-11-07T02:08:49,0,30,0,30
2022-11-07T02:18:04,0,30,0,30
2022-11-07T02:27:19,0,30,0,30
2022-11-07T02:36:33,0,30,0,30
2022-11-07T02:45:47,0,30,0,30
2022-11-07T02:55:01,0,30,0,30
2022-11-07T03:04:16,0,30,0,30
2022-11-07T03:13:30,0,30,0,30
2022-11-07T03:22:46,0,30,0,30
2022-11-07T03:32:01,0,30,0,30
2022-11-07T03:41:17,0,30,0,30
