time,enrolled,available,waitlisted,total
2022-11-05T20:14:22,0,100,0,100
2022-11-05T20:23:40,0,100,0,100
2022-11-05T20:32:56,0,100,0,100
2022-11-05T20:42:24,0,100,0,100
2022-11-05T20:51:40,0,100,0,100
2022-11-05T21:00:55,0,100,0,100
2022-11-05T21:10:10,0,100,0,100
2022-11-05T21:19:26,0,100,0,100
2022-11-05T21:28:41,0,100,0,100
2022-11-05T21:37:57,0,100,0,100
2022-11-05T21:47:13,0,100,0,100
2022-11-05T21:56:29,0,100,0,100
2022-11-05T22:05:43,0,100,0,100
2022-11-05T22:14:59,0,100,0,100
2022-11-05T22:24:14,0,100,0,100
2022-11-05T22:33:30,0,100,0,100
2022-11-05T22:42:48,0,100,0,100
2022-11-05T22:52:03,0,100,0,100
2022-11-05T23:01:19,0,100,0,100
2022-11-05T23:10:36,0,100,0,100
2022-11-05T23:19:52,0,100,0,100
2022-11-05T23:29:11,0,100,0,100
2022-11-05T23:38:25,0,100,0,100
2022-11-05T23:47:42,0,100,0,100
2022-11-05T23:56:58,0,100,0,100
2022-11-06T00:06:23,0,100,0,100
2022-11-06T00:15:40,0,100,0,100
2022-11-06T00:24:55,0,100,0,100
2022-11-06T00:34:11,0,100,0,100
2022-11-06T00:43:27,0,100,0,100
2022-11-06T00:52:41,0,100,0,100
2022-11-06T01:01:57,0,100,0,100
2022-11-06T01:11:12,0,100,0,100
2022-11-06T01:20:28,0,100,0,100
2022-11-06T01:29:44,0,100,0,100
2022-11-06T01:39:00,0,100,0,100
2022-11-06T01:48:15,0,100,0,100
2022-11-06T01:57:32,0,100,0,100
2022-11-06T01:06:48,0,100,0,100
2022-11-06T01:16:04,0,100,0,100
2022-11-06T01:25:20,0,100,0,100
2022-11-06T01:34:36,0,100,0,100
2022-11-06T01:43:51,0,100,0,100
2022-11-06T01:53:10,0,100,0,100
2022-11-06T02:02:29,0,100,0,100
2022-11-06T02:11:47,0,100,0,100
2022-11-06T02:21:06,0,100,0,100
2022-11-06T02:30:27,0,100,0,100
2022-11-06T02:39:46,0,100,0,100
2022-11-06T02:49:05,0,100,0,100
2022-11-06T02:58:24,0,100,0,100
2022-11-06T03:07:42,0,100,0,100
2022-11-06T03:16:59,0,100,0,100
2022-11-06T03:26:16,0,100,0,100
2022-11-06T03:35:34,0,100,0,100
2022-11-06T03:44:54,0,100,0,100
2022-11-06T03:54:14,0,100,0,100
2022-11-06T04:03:33,0,100,0,100
2022-11-06T04:18:52,0,100,0,100
2022-11-06T04:28:12,0,100,0,100
2022-11-06T04:37:31,0,100,0,100
2022-11-06T04:47:59,0,100,0,100
2022-11-06T04:57:33,0,100,0,100
2022-11-06T05:06:51,0,100,0,100
2022-11-06T05:16:08,0,100,0,100
2022-11-06T05:25:24,0,100,0,100
2022-11-06T05:34:42,0,100,0,100
2022-11-06T05:43:56,0,100,0,100
2022-11-06T05:53:13,0,100,0,100
2022-11-06T06:02:32,0,100,0,100
2022-11-06T06:11:50,0,100,0,100
2022-11-06T06:21:09,0,100,0,100
2022-11-06T06:30:26,0,100,0,100
2022-11-06T06:39:42,0,100,0,100
2022-11-06T06:48:58,0,100,0,100
2022-11-06T06:58:14,0,100,0,100
2022-11-06T07:07:31,0,100,0,100
2022-11-06T07:16:48,0,100,0,100
2022-11-06T07:26:05,0,100,0,100
2022-11-06T07:35:24,0,100,0,100
2022-11-06T07:44:42,0,100,0,100
2022-11-06T07:54:00,0,100,0,100
2022-11-06T08:03:16,0,100,0,100
2022-11-06T08:12:33,0,100,0,100
2022-11-06T08:21:50,0,100,0,100
2022-11-06T08:31:08,0,100,0,100
2022-11-06T08:40:24,0,100,0,100
2022-11-06T08:49:40,0,100,0,100
2022-11-06T08:58:58,0,100,0,100
2022-11-06T09:08:13,0,100,0,100
2022-11-06T09:17:28,0,100,0,100
2022-11-06T09:26:42,0,100,0,100
2022-11-06T09:35:55,0,100,0,100
2022-11-06T09:45:09,0,100,0,100
2022-11-06T09:54:24,0,100,0,100
2022-11-06T10:03:37,0,100,0,100
2022-11-06T10:12:50,0,100,0,100
2022-11-06T10:22:04,0,100,0,100
2022-11-06T10:31:21,0,100,0,100
2022-11-06T10:40:35,0,100,0,100
2022-11-06T10:49:50,0,100,0,100
2022-11-06T10:59:05,0,100,0,100
2022-11-06T11:08:19,0,100,0,100
2022-11-06T11:17:35,0,100,0,100
2022-11-06T11:26:54,0,100,0,100
2022-11-06T11:36:15,0,100,0,100
2022-11-06T11:45:30,0,100,0,100
2022-11-06T11:54:44,0,100,0,100
2022-11-06T12:03:58,0,100,0,100
2022-11-06T12:13:14,0,100,0,100
2022-11-06T12:22:40,0,100,0,100
2022-11-06T12:31:53,0,100,0,100
2022-11-06T12:41:07,0,100,0,100
2022-11-06T12:50:22,0,100,0,100
2022-11-06T12:59:36,0,100,0,100
2022-11-06T13:08:51,0,100,0,100
2022-11-06T13:18:07,0,100,0,100
2022-11-06T13:27:22,0,100,0,100
2022-11-06T13:36:36,0,100,0,100
2022-11-06T13:45:49,0,100,0,100
2022-11-06T13:55:03,0,100,0,100
2022-11-06T14:04:19,0,100,0,100
2022-11-06T14:13:34,0,100,0,100
2022-11-06T14:22:57,0,100,0,100
2022-11-06T14:32:10,0,100,0,100
2022-11-06T14:41:26,0,100,0,100
2022-11-06T14:50:42,0,100,0,100
2022-11-06T14:59:55,0,100,0,100
2022-11-06T15:09:09,0,100,0,100
2022-11-06T15:18:22,0,100,0,100
2022-11-06T15:27:36,0,100,0,100
2022-11-06T15:36:50,0,100,0,100
2022-11-06T15:46:04,0,100,0,100
2022-11-06T15:55:17,0,100,0,100
2022-11-06T16:04:29,0,100,0,100
2022-11-06T16:13:53,0,100,0,100
2022-11-06T16:23:08,0,100,0,100
2022-11-06T16:32:24,0,100,0,100
2022-11-06T16:41:39,0,100,0,100
2022-11-06T16:50:55,0,100,0,100
2022-11-06T17:00:10,0,100,0,100
2022-11-06T17:09:24,0,100,0,100
2022-11-06T17:18:39,0,100,0,100
2022-11-06T17:27:54,0,100,0,100
2022-11-06T17:37:10,0,100,0,100
2022-11-06T17:46:35,0,100,0,100
2022-11-06T17:55:49,0,100,0,100
2022-11-06T18:05:04,0,100,0,100
2022-11-06T18:14:20,0,100,0,100
2022-11-06T18:23:35,0,100,0,100
2022-11-06T18:32:49,0,100,0,100
2022-11-06T18:42:02,0,100,0,100
2022-11-06T18:51:16,0,100,0,100
2022-11-06T19:00:30,0,100,0,100
2022-11-06T19:09:55,0,100,0,100
2022-11-06T19:19:10,0,100,0,100
2022-11-06T19:28:25,0,100,0,100
2022-11-06T19:37:39,0,100,0,100
2022-11-06T19:46:52,0,100,0,100
2022-11-06T19:56:06,0,100,0,100
2022-11-06T20:05:19,0,100,0,100
2022-11-06T20:14:34,0,100,0,100
2022-11-06T20:23:48,0,100,0,100
2022-11-06T20:33:03,0,100,0,100
2022-11-06T20:42:25,0,100,0,100
2022-11-06T20:51:40,0,100,0,100
2022-11-06T21:00:54,0,100,0,100
2022-11-06T21:10:09,0,100,0,100
2022-11-06T21:19:21,0,100,0,100
2022-11-06T21:28:34,0,100,0,100
2022-11-06T21:37:48,0,100,0,100
2022-11-06T21:47:03,0,100,0,100
2022-11-06T21:56:27,0,100,0,100
2022-11-06T22:05:43,0,100,0,100
2022-11-06T22:14:58,0,100,0,100
2022-11-06T22:24:13,0,100,0,100
2022-11-06T22:33:28,0,100,0,100
2022-11-06T22:42:42,0,100,0,100
2022-11-06T22:51:56,0,100,0,100
2022-11-06T23:01:12,0,100,0,100
2022-11-06T23:10:38,0,100,0,100
2022-11-06T23:19:53,0,100,0,100
2022-11-06T23:29:09,0,100,0,100
2022-11-06T23:38:25,0,100,0,100
2022-11-06T23:47:40,0,100,0,100
2022-11-06T23:56:55,0,100,0,100
2022-11-07T00:07:56,0,100,0,100
2022-11-07T00:17:18,0,100,0,100
2022-11-07T00:26:46,0,100,0,100
2022-11-07T00:36:04,0,100,0,100
2022-11-07T00:45:17,0,100,0,100
2022-11-07T00:54:33,0,100,0,100
2022-11-07T01:03:47,0,100,0,100
2022-11-07T01:13:08,0,100,0,100
2022-11-07T01:22:24,0,100,0,100
2022-11-07T01:31:39,0,100,0,100
2022-11-07T01:41:04,0,100,0,100
2022-11-07T01:50:19,0,100,0,100
2022-11-07T01:59:33,0,100,0,100
2022-11-07T02:08:47,0,100,0,100
2022-11-07T02:18:02,0,100,0,100
2022-11-07T02:27:17,0,100,0,100
2022-11-07T02:36:31,0,100,0,100
2022-11-07T02:45:45,0,100,0,100
2022-11-07T02:54:59,0,100,0,100
2022-11-07T03:04:14,0,100,0,100
2022-11-07T03:13:29,0,100,0,100
2022-11-07T03:22:44,0,100,0,100
2022-11-07T03:31:59,0,100,0,100
2022-11-07T03:41:15,0,100,0,100
2022-11-07T03:50:31,0,100,0,100
2022-11-07T03:59:48,0,100,0,100
2022-11-07T04:09:07,0,100,0,100
2022-11-07T04:26:16,0,100,0,100
2022-11-07T04:35:55,0,100,0,100
2022-11-07T04:45:13,0,100,0,100
2022-11-07T04:54:29,0,100,0,100
2022-11-07T05:03:43,0,100,0,100
2022-11-07T05:12:58,0,100,0,100
2022-11-07T05:22:12,0,100,0,100
2022-11-07T05:31:26,0,100,0,100
2022-11-07T05:40:40,0,100,0,100
2022-11-07T05:49:55,0,100,0,100
2022-11-07T05:59:11,0,100,0,100
2022-11-07T06:08:29,0,100,0,100
2022-11-07T06:17:45,0,100,0,100
2022-11-07T06:27:03,0,100,0,100
2022-11-07T06:36:21,0,100,0,100
2022-11-07T06:45:37,0,100,0,100
2022-11-07T06:54:53,0,100,0,100
2022-11-07T07:04:10,0,100,0,100
2022-11-07T07:13:27,0,100,0,100
2022-11-07T07:22:44,0,100,0,100
2022-11-07T07:32:01,0,100,0,100
2022-11-07T07:41:19,0,100,0,100
2022-11-07T07:50:36,0,100,0,100
2022-11-07T07:59:57,0,100,0,100
2022-11-07T08:09:16,0,100,0,100
2022-11-07T08:18:35,0,100,0,100
2022-11-07T08:27:54,0,100,0,100
2022-11-07T08:37:21,0,100,0,100
2022-11-07T08:46:39,0,100,0,100
2022-11-07T08:55:56,0,100,0,100
2022-11-07T09:05:14,0,100,0,100
2022-11-07T09:14:37,0,100,0,100
2022-11-07T09:23:56,0,100,0,100
2022-11-07T09:33:16,0,100,0,100
2022-11-07T09:42:52,0,100,0,100
2022-11-07T09:52:12,0,100,0,100
2022-11-07T10:01:30,0,100,0,100
2022-11-07T10:10:49,0,100,0,100
2022-11-07T10:20:08,0,100,0,100
2022-11-07T10:29:28,0,100,0,100
2022-11-07T10:39:01,0,100,0,100
2022-11-07T10:48:19,0,100,0,100
2022-11-07T10:57:38,0,100,0,100
2022-11-07T11:06:58,0,100,0,100
2022-11-07T11:16:20,0,100,0,100
2022-11-07T11:25:51,0,100,0,100
2022-11-07T11:35:11,0,100,0,100
2022-11-07T11:44:32,0,100,0,100
2022-11-07T11:53:49,0,100,0,100
2022-11-07T12:03:07,0,100,0,100
2022-11-07T12:12:36,0,100,0,100
2022-11-07T12:21:56,0,100,0,100
2022-11-07T12:31:16,0,100,0,100
2022-11-07T12:40:36,0,100,0,100
2022-11-07T12:50:05,0,100,0,100
2022-11-07T12:59:25,0,100,0,100
2022-11-07T13:08:46,0,100,0,100
2022-11-07T13:18:07,0,100,0,100
2022-11-07T13:27:38,0,100,0,100
2022-11-07T13:37:00,0,100,0,100
2022-11-07T13:46:21,0,100,0,100
2022-11-07T13:55:52,0,100,0,100
2022-11-07T14:05:12,0,100,0,100
2022-11-07T14:14:32,0,100,0,100
2022-11-07T14:23:52,0,100,0,100
2022-11-07T14:33:21,0,100,0,100
2022-11-07T14:42:41,0,100,0,100
2022-11-07T14:52:00,0,100,0,100
2022-11-07T15:01:18,0,100,0,100
2022-11-07T15:10:38,0,100,0,100
2022-11-07T15:20:09,0,100,0,100
2022-11-07T15:29:28,0,100,0,100
2022-11-07T15:38:46,0,100,0,100
2022-11-07T15:48:04,0,100,0,100
2022-11-07T15:57:32,0,100,0,100
2022-11-07T16:06:52,0,100,0,100
2022-11-07T16:16:09,0,100,0,100
2022-11-07T16:25:27,0,100,0,100
2022-11-07T16:34:55,0,100,0,100
2022-11-07T16:44:13,0,100,0,100
2022-11-07T16:53:32,0,100,0,100
2022-11-07T17:02:50,0,100,0,100
2022-11-07T17:12:13,0,100,0,100
2022-11-07T17:21:43,0,100,0,100
2022-11-07T17:31:01,1,99,0,100
2022-11-07T17:40:18,1,99,0,100
2022-11-07T17:49:36,1,99,0,100
2022-11-07T17:58:52,1,99,0,100
2022-11-07T18:08:25,1,99,0,100
2022-11-07T18:17:42,2,98,0,100
2022-11-07T18:26:59,2,98,0,100
2022-11-07T18:36:16,2,98,0,100
2022-11-07T18:45:43,2,98,0,100
2022-11-07T18:55:01,2,98,0,100
2022-11-07T19:04:18,2,98,0,100
2022-11-07T19:13:45,2,98,0,100
2022-11-07T19:23:03,2,98,0,100
2022-11-07T19:32:21,2,98,0,100
2022-11-07T19:41:40,2,98,0,100
2022-11-07T19:50:58,2,98,0,100
2022-11-07T20:00:16,2,98,0,100
2022-11-07T20:09:45,2,98,0,100
2022-11-07T20:19:03,2,98,0,100
2022-11-07T20:28:19,2,98,0,100
2022-11-07T20:37:37,2,98,0,100
2022-11-07T20:46:55,2,98,0,100
2022-11-07T20:56:13,2,98,0,100
2022-11-07T21:05:41,2,98,0,100
2022-11-07T21:14:57,2,98,0,100
2022-11-07T21:24:13,2,98,0,100
2022-11-07T21:33:32,2,98,0,100
2022-11-07T21:42:47,2,98,0,100
2022-11-07T21:52:03,2,98,0,100
2022-11-07T22:01:30,2,98,0,100
2022-11-07T22:10:47,2,98,0,100
2022-11-07T22:20:04,2,98,0,100
2022-11-07T22:29:20,2,98,0,100
2022-11-07T22:38:36,2,98,0,100
2022-11-07T22:47:52,2,98,0,100
2022-11-07T22:57:19,2,98,0,100
2022-11-07T23:06:36,2,98,0,100
2022-11-07T23:15:51,2,98,0,100
2022-11-07T23:25:07,2,98,0,100
2022-11-07T23:34:22,2,98,0,100
2022-11-07T23:43:38,2,98,0,100
2022-11-07T23:52:54,2,98,0,100
2022-11-08T00:02:10,2,98,0,100
2022-11-08T00:11:40,2,98,0,100
2022-11-08T00:21:00,2,98,0,100
2022-11-08T00:30:16,2,98,0,100
2022-11-08T00:39:33,2,98,0,100
2022-11-08T00:48:51,2,98,0,100
2022-11-08T00:58:08,2,98,0,100
2022-11-08T01:07:26,2,98,0,100
2022-11-08T01:16:44,2,98,0,100
2022-11-08T01:26:01,2,98,0,100
2022-11-08T01:35:20,2,98,0,100
2022-11-08T01:44:37,2,98,0,100
2022-11-08T01:54:06,2,98,0,100
2022-11-08T02:03:23,2,98,0,100
2022-11-08T02:12:39,2,98,0,100
2022-11-08T02:21:55,2,98,0,100
2022-11-08T02:31:11,2,98,0,100
2022-11-08T02:40:30,2,98,0,100
2022-11-08T02:49:48,2,98,0,100
2022-11-08T02:59:05,2,98,0,100
2022-11-08T03:08:22,2,98,0,100
2022-11-08T03:17:38,2,98,0,100
2022-11-08T03:26:53,2,98,0,100
2022-11-08T03:36:09,2,98,0,100
2022-11-08T03:45:36,2,98,0,100
2022-11-08T03:54:53,2,98,0,100
2022-11-08T04:06:14,2,98,0,100
2022-11-08T04:21:24,2,98,0,100
2022-11-08T04:31:07,2,98,0,100
2022-11-08T04:40:25,2,98,0,100
2022-11-08T04:49:44,2,98,0,100
2022-11-08T04:59:02,2,98,0,100
2022-11-08T05:08:19,2,98,0,100
2022-11-08T05:17:35,2,98,0,100
2022-11-08T05:26:52,2,98,0,100
2022-11-08T05:36:10,2,98,0,100
2022-11-08T05:45:27,2,98,0,100
2022-11-08T05:54:48,2,98,0,100
2022-11-08T06:04:06,2,98,0,100
2022-11-08T06:13:22,2,98,0,100
2022-11-08T06:22:39,2,98,0,100
2022-11-08T06:31:55,2,98,0,100
2022-11-08T06:41:13,2,98,0,100
2022-11-08T06:50:30,2,98,0,100
2022-11-08T06:59:56,2,98,0,100
2022-11-08T07:09:16,2,98,0,100
2022-11-08T07:18:34,2,98,0,100
2022-11-08T07:27:52,2,98,0,100
2022-11-08T07:37:11,2,98,0,100
2022-11-08T07:46:30,2,98,0,100
2022-11-08T07:55:50,2,98,0,100
2022-11-08T08:05:09,2,98,0,100
2022-11-08T08:14:28,2,98,0,100
2022-11-08T08:23:46,2,98,0,100
2022-11-08T08:33:05,2,98,0,100
2022-11-08T08:42:24,2,98,0,100
2022-11-08T08:51:43,2,98,0,100
2022-11-08T09:01:02,2,98,0,100
2022-11-08T09:22:17,2,98,0,100
2022-11-08T09:55:36,2,98,0,100
2022-11-08T10:07:03,2,98,0,100
2022-11-08T10:14:35,2,98,0,100
2022-11-08T10:23:55,2,98,0,100
2022-11-08T10:33:05,2,98,0,100
2022-11-08T10:42:14,2,98,0,100
2022-11-08T10:51:24,2,98,0,100
2022-11-08T11:00:45,2,98,0,100
2022-11-08T11:09:55,2,98,0,100
2022-11-08T11:19:06,2,98,0,100
2022-11-08T11:28:17,2,98,0,100
2022-11-08T11:37:27,2,98,0,100
2022-11-08T11:46:49,2,98,0,100
2022-11-08T11:55:58,2,98,0,100
2022-11-08T12:05:09,2,98,0,100
2022-11-08T12:14:17,2,98,0,100
2022-11-08T12:23:37,2,98,0,100
2022-11-08T12:32:48,2,98,0,100
2022-11-08T12:41:59,2,98,0,100
2022-11-08T12:51:08,2,98,0,100
2022-11-08T13:00:29,2,98,0,100
2022-11-08T13:09:41,2,98,0,100
2022-11-08T13:18:54,2,98,0,100
2022-11-08T13:28:05,2,98,0,100
2022-11-08T13:37:28,2,98,0,100
2022-11-08T13:46:40,2,98,0,100
2022-11-08T13:55:52,2,98,0,100
2022-11-08T14:05:05,2,98,0,100
2022-11-08T14:14:32,2,98,0,100
2022-11-08T14:23:44,2,98,0,100
2022-11-08T14:32:55,3,97,0,100
2022-11-08T14:42:05,3,97,0,100
2022-11-08T14:51:15,3,97,0,100
2022-11-08T15:00:38,3,97,0,100
2022-11-08T15:09:48,3,97,0,100
2022-11-08T15:18:59,3,97,0,100
2022-11-08T15:28:10,3,97,0,100
2022-11-08T15:42:33,3,97,0,100
2022-11-08T15:51:45,3,97,0,100
2022-11-08T16:01:01,3,97,0,100
2022-11-08T16:10:29,3,97,0,100
2022-11-08T16:19:39,3,97,0,100
2022-11-08T16:28:49,3,97,0,100
2022-11-08T16:37:58,3,97,0,100
2022-11-08T16:47:06,3,97,0,100
2022-11-08T16:56:25,3,97,0,100
2022-11-08T17:05:35,3,97,0,100
2022-11-08T17:14:44,3,97,0,100
2022-11-08T17:23:53,3,97,0,100
2022-11-08T17:33:13,3,97,0,100
2022-11-08T17:42:22,3,97,0,100
2022-11-08T17:51:30,3,97,0,100
2022-11-08T18:00:42,3,97,0,100
2022-11-08T18:10:03,3,97,0,100
2022-11-08T18:19:13,3,97,0,100
2022-11-08T18:28:22,3,97,0,100
2022-11-08T18:37:32,3,97,0,100
2022-11-08T18:46:40,3,97,0,100
2022-11-08T18:55:59,3,97,0,100
2022-11-08T19:05:07,3,97,0,100
2022-11-08T19:14:15,3,97,0,100
2022-11-08T19:23:22,3,97,0,100
2022-11-08T19:32:31,3,97,0,100
2022-11-08T19:41:49,4,96,0,100
2022-11-08T19:50:57,4,96,0,100
2022-11-08T20:00:05,4,96,0,100
2022-11-08T20:09:15,4,96,0,100
2022-11-08T20:18:24,4,96,0,100
2022-11-08T20:27:32,4,96,0,100
2022-11-08T20:36:40,4,96,0,100
2022-11-08T20:45:57,4,96,0,100
2022-11-08T20:55:05,4,96,0,100
2022-11-08T21:04:13,4,96,0,100
2022-11-08T21:13:20,4,96,0,100
2022-11-08T21:22:27,4,96,0,100
2022-11-08T21:31:33,4,96,0,100
2022-11-08T21:40:50,4,96,0,100
2022-11-08T21:49:56,4,96,0,100
2022-11-08T21:59:02,4,96,0,100
2022-11-08T22:08:08,4,96,0,100
2022-11-08T22:17:15,4,96,0,100
2022-11-08T22:26:20,4,96,0,100
2022-11-08T22:35:37,4,96,0,100
2022-11-08T22:44:43,4,96,0,100
2022-11-08T22:53:48,4,96,0,100
2022-11-08T23:02:55,4,96,0,100
2022-11-08T23:12:01,4,96,0,100
2022-11-08T23:21:07,4,96,0,100
