time,enrolled,available,waitlisted,total
2022-11-05T20:14:28,0,75,0,75
2022-11-05T20:23:46,0,75,0,75
2022-11-05T20:33:02,0,75,0,75
2022-11-05T20:42:30,0,75,0,75
2022-11-05T20:51:46,0,75,0,75
2022-11-05T21:01:01,0,75,0,75
2022-11-05T21:10:16,0,75,0,75
2022-11-05T21:19:32,0,75,0,75
2022-11-05T21:28:47,0,75,0,75
2022-11-05T21:38:03,0,75,0,75
2022-11-05T21:47:19,0,75,0,75
2022-11-05T21:56:35,0,75,0,75
2022-11-05T22:05:50,0,75,0,75
2022-11-05T22:15:05,0,75,0,75
2022-11-05T22:24:20,0,75,0,75
2022-11-05T22:33:36,0,75,0,75
2022-11-05T22:42:54,0,75,0,75
2022-11-05T22:52:09,0,75,0,75
2022-11-05T23:01:25,0,75,0,75
2022-11-05T23:10:42,0,75,0,75
2022-11-05T23:19:58,0,75,0,75
2022-11-05T23:29:17,0,75,0,75
2022-11-05T23:38:31,0,75,0,75
2022-11-05T23:47:48,0,75,0,75
2022-11-05T23:57:04,0,75,0,75
2022-11-06T00:06:29,0,75,0,75
2022-11-06T00:15:46,0,75,0,75
2022-11-06T00:25:01,0,75,0,75
2022-11-06T00:34:17,0,75,0,75
2022-11-06T00:43:33,0,75,0,75
2022-11-06T00:52:48,0,75,0,75
2022-11-06T01:02:03,0,75,0,75
2022-11-06T01:11:18,0,75,0,75
2022-11-06T01:20:34,0,75,0,75
2022-11-06T01:29:50,0,75,0,75
2022-11-06T01:39:06,0,75,0,75
2022-11-06T01:48:21,0,75,0,75
2022-11-06T01:57:38,0,75,0,75
2022-11-06T01:06:54,0,75,0,75
2022-11-06T01:16:11,0,75,0,75
2022-11-06T01:25:26,0,75,0,75
2022-11-06T01:34:42,0,75,0,75
2022-11-06T01:43:57,0,75,0,75
2022-11-06T01:53:16,0,75,0,75
2022-11-06T02:02:35,0,75,0,75
2022-11-06T02:11:53,0,75,0,75
2022-11-06T02:21:12,0,75,0,75
2022-11-06T02:30:33,0,75,0,75
2022-11-06T02:39:52,0,75,0,75
2022-11-06T02:49:11,0,75,0,75
2022-11-06T02:58:30,0,75,0,75
2022-11-06T03:07:48,0,75,0,75
2022-11-06T03:17:05,0,75,0,75
2022-11-06T03:26:22,0,75,0,75
2022-11-06T03:35:40,0,75,0,75
2022-11-06T03:45:00,0,75,0,75
2022-11-06T03:54:20,0,75,0,75
2022-11-06T04:03:39,0,75,0,75
2022-11-06T04:18:58,0,75,0,75
2022-11-06T04:28:18,0,75,0,75
2022-11-06T04:37:37,0,75,0,75
2022-11-06T04:48:05,0,75,0,75
2022-11-06T04:57:40,0,75,0,75
2022-11-06T05:06:57,0,75,0,75
2022-11-06T05:16:14,0,75,0,75
2022-11-06T05:25:30,0,75,0,75
2022-11-06T05:34:48,0,75,0,75
2022-11-06T05:44:02,0,75,0,75
2022-11-06T05:53:19,0,75,0,75
2022-11-06T06:02:38,0,75,0,75
2022-11-06T06:11:56,0,75,0,75
2022-11-06T06:21:15,0,75,0,75
2022-11-06T06:30:32,0,75,0,75
2022-11-06T06:39:48,0,75,0,75
2022-11-06T06:49:04,0,75,0,75
2022-11-06T06:58:20,0,75,0,75
2022-11-06T07:07:37,0,75,0,75
2022-11-06T07:16:54,0,75,0,75
2022-11-06T07:26:11,0,75,0,75
2022-11-06T07:35:30,0,75,0,75
2022-11-06T07:44:48,0,75,0,75
2022-11-06T07:54:06,0,75,0,75
2022-11-06T08:03:23,0,75,0,75
2022-11-06T08:12:39,0,75,0,75
2022-11-06T08:21:56,0,75,0,75
2022-11-06T08:31:14,0,75,0,75
2022-11-06T08:40:30,0,75,0,75
2022-11-06T08:49:46,0,75,0,75
2022-11-06T08:59:04,0,75,0,75
2022-11-06T09:08:19,0,75,0,75
2022-11-06T09:17:35,0,75,0,75
2022-11-06T09:26:48,0,75,0,75
2022-11-06T09:36:01,0,75,0,75
2022-11-06T09:45:16,0,75,0,75
2022-11-06T09:54:30,0,75,0,75
2022-11-06T10:03:43,0,75,0,75
2022-11-06T10:12:56,0,75,0,75
2022-11-06T10:22:10,0,75,0,75
2022-11-06T10:31:27,0,75,0,75
2022-11-06T10:40:41,0,75,0,75
2022-11-06T10:49:56,0,75,0,75
2022-11-06T10:59:11,0,75,0,75
2022-11-06T11:08:25,0,75,0,75
2022-11-06T11:17:41,0,75,0,75
2022-11-06T11:27:00,0,75,0,75
2022-11-06T11:36:21,0,75,0,75
2022-11-06T11:45:36,0,75,0,75
2022-11-06T11:54:50,0,75,0,75
2022-11-06T12:04:04,0,75,0,75
2022-11-06T12:13:20,0,75,0,75
2022-11-06T12:22:46,0,75,0,75
2022-11-06T12:31:59,0,75,0,75
2022-11-06T12:41:13,0,75,0,75
2022-11-06T12:50:28,0,75,0,75
2022-11-06T12:59:42,0,75,0,75
2022-11-06T13:08:57,0,75,0,75
2022-11-06T13:18:13,0,75,0,75
2022-11-06T13:27:28,0,75,0,75
2022-11-06T13:36:42,0,75,0,75
2022-11-06T13:45:56,0,75,0,75
2022-11-06T13:55:09,0,75,0,75
2022-11-06T14:04:25,0,75,0,75
2022-11-06T14:13:40,0,75,0,75
2022-11-06T14:23:03,0,75,0,75
2022-11-06T14:32:16,0,75,0,75
2022-11-06T14:41:32,0,75,0,75
2022-11-06T14:50:48,0,75,0,75
2022-11-06T15:00:01,0,75,0,75
2022-11-06T15:09:15,0,75,0,75
2022-11-06T15:18:29,0,75,0,75
2022-11-06T15:27:42,0,75,0,75
