time,enrolled,available,waitlisted,total
2022-11-05T20:14:56,0,35,0,35
2022-11-05T20:24:14,0,35,0,35
2022-11-05T20:33:31,0,35,0,35
2022-11-05T20:42:58,0,35,0,35
2022-11-05T20:52:14,0,35,0,35
2022-11-05T21:01:30,0,35,0,35
2022-11-05T21:10:45,0,35,0,35
2022-11-05T21:20:00,0,35,0,35
2022-11-05T21:29:16,0,35,0,35
2022-11-05T21:38:32,0,35,0,35
2022-11-05T21:47:48,0,35,0,35
2022-11-05T21:57:03,0,35,0,35
2022-11-05T22:06:18,0,35,0,35
2022-11-05T22:15:34,0,35,0,35
2022-11-05T22:24:49,0,35,0,35
2022-11-05T22:34:05,0,35,0,35
2022-11-05T22:43:22,0,35,0,35
2022-11-05T22:52:38,0,35,0,35
2022-11-05T23:01:54,0,35,0,35
2022-11-05T23:11:10,0,35,0,35
2022-11-05T23:20:27,0,35,0,35
2022-11-05T23:29:46,0,35,0,35
2022-11-05T23:39:00,0,35,0,35
2022-11-05T23:48:17,0,35,0,35
2022-11-05T23:57:32,0,35,0,35
2022-11-06T00:06:58,0,35,0,35
2022-11-06T00:16:15,0,35,0,35
2022-11-06T00:25:30,0,35,0,35
2022-11-06T00:34:45,0,35,0,35
2022-11-06T00:44:01,0,35,0,35
2022-11-06T00:53:17,0,35,0,35
2022-11-06T01:02:32,0,35,0,35
2022-11-06T01:11:47,0,35,0,35
2022-11-06T01:21:03,0,35,0,35
2022-11-06T01:30:19,0,35,0,35
2022-11-06T01:39:35,0,35,0,35
2022-11-06T01:48:50,0,35,0,35
2022-11-06T01:58:06,0,35,0,35
2022-11-06T01:07:23,0,35,0,35
2022-11-06T01:16:39,0,35,0,35
2022-11-06T01:25:55,0,35,0,35
2022-11-06T01:35:11,0,35,0,35
2022-11-06T01:44:26,0,35,0,35
2022-11-06T01:53:45,0,35,0,35
2022-11-06T02:03:04,0,35,0,35
2022-11-06T02:12:22,0,35,0,35
2022-11-06T02:21:41,0,35,0,35
2022-11-06T02:31:02,0,35,0,35
2022-11-06T02:40:21,0,35,0,35
2022-11-06T02:49:40,0,35,0,35
2022-11-06T02:58:59,0,35,0,35
2022-11-06T03:08:18,0,35,0,35
2022-11-06T03:17:34,0,35,0,35
2022-11-06T03:26:51,0,35,0,35
2022-11-06T03:36:10,0,35,0,35
2022-11-06T03:45:29,0,35,0,35
2022-11-06T03:54:49,0,35,0,35
2022-11-06T04:04:08,0,35,0,35
2022-11-06T04:19:27,0,35,0,35
2022-11-06T04:28:47,0,35,0,35
2022-11-06T04:38:06,0,35,0,35
2022-11-06T04:48:34,0,35,0,35
2022-11-06T04:58:08,0,35,0,35
2022-11-06T05:07:26,0,35,0,35
2022-11-06T05:16:43,0,35,0,35
2022-11-06T05:25:59,0,35,0,35
2022-11-06T05:35:17,0,35,0,35
2022-11-06T05:44:31,0,35,0,35
2022-11-06T05:53:48,0,35,0,35
2022-11-06T06:03:07,0,35,0,35
2022-11-06T06:12:25,0,35,0,35
2022-11-06T06:21:44,0,35,0,35
2022-11-06T06:31:01,0,35,0,35
2022-11-06T06:40:17,0,35,0,35
2022-11-06T06:49:32,0,35,0,35
2022-11-06T06:58:49,0,35,0,35
2022-11-06T07:08:06,0,35,0,35
2022-11-06T07:17:23,0,35,0,35
2022-11-06T07:26:40,0,35,0,35
2022-11-06T07:35:59,0,35,0,35
2022-11-06T07:45:17,0,35,0,35
2022-11-06T07:54:35,0,35,0,35
2022-11-06T08:03:51,0,35,0,35
2022-11-06T08:13:08,0,35,0,35
2022-11-06T08:22:25,0,35,0,35
2022-11-06T08:31:43,0,35,0,35
2022-11-06T08:40:59,0,35,0,35
2022-11-06T08:50:15,0,35,0,35
2022-11-06T08:59:33,0,35,0,35
2022-11-06T09:08:48,0,35,0,35
2022-11-06T09:18:03,0,35,0,35
2022-11-06T09:27:17,0,35,0,35
2022-11-06T09:36:30,0,35,0,35
2022-11-06T09:45:44,0,35,0,35
2022-11-06T09:54:59,0,35,0,35
