time,enrolled,available,waitlisted,total
2022-11-05T20:14:41,0,419,0,419
2022-11-05T20:23:59,0,419,0,419
2022-11-05T20:33:16,0,419,0,419
2022-11-05T20:42:44,0,419,0,419
2022-11-05T20:52:00,0,419,0,419
2022-11-05T21:01:15,0,419,0,419
2022-11-05T21:10:30,0,419,0,419
2022-11-05T21:19:46,0,419,0,419
2022-11-05T21:29:01,0,419,0,419
2022-11-05T21:38:17,0,419,0,419
2022-11-05T21:47:33,0,419,0,419
2022-11-05T21:56:48,0,419,0,419
2022-11-05T22:06:04,0,419,0,419
2022-11-05T22:15:19,0,419,0,419
2022-11-05T22:24:34,0,419,0,419
2022-11-05T22:33:50,0,419,0,419
2022-11-05T22:43:08,0,419,0,419
2022-11-05T22:52:23,0,419,0,419
2022-11-05T23:01:39,0,419,0,419
2022-11-05T23:10:56,0,419,0,419
2022-11-05T23:20:12,0,419,0,419
2022-11-05T23:29:31,0,419,0,419
2022-11-05T23:38:45,0,419,0,419
2022-11-05T23:48:02,0,419,0,419
2022-11-05T23:57:18,0,419,0,419
2022-11-06T00:06:43,0,419,0,419
2022-11-06T00:16:00,0,419,0,419
2022-11-06T00:25:15,0,419,0,419
2022-11-06T00:34:31,0,419,0,419
2022-11-06T00:43:46,0,419,0,419
2022-11-06T00:53:02,0,419,0,419
2022-11-06T01:02:17,0,419,0,419
2022-11-06T01:11:32,0,419,0,419
2022-11-06T01:20:48,0,419,0,419
2022-11-06T01:30:04,0,419,0,419
2022-11-06T01:39:20,0,419,0,419
2022-11-06T01:48:35,0,419,0,419
2022-11-06T01:57:52,0,419,0,419
2022-11-06T01:07:08,0,419,0,419
2022-11-06T01:16:25,0,419,0,419
2022-11-06T01:25:40,0,419,0,419
2022-11-06T01:34:56,0,419,0,419
2022-11-06T01:44:11,0,419,0,419
2022-11-06T01:53:30,0,419,0,419
2022-11-06T02:02:49,0,419,0,419
2022-11-06T02:12:07,0,419,0,419
2022-11-06T02:21:26,0,419,0,419
2022-11-06T02:30:47,0,419,0,419
2022-11-06T02:40:06,0,419,0,419
2022-11-06T02:49:25,0,419,0,419
2022-11-06T02:58:44,0,419,0,419
2022-11-06T03:08:03,0,419,0,419
2022-11-06T03:17:19,0,419,0,419
2022-11-06T03:26:36,0,419,0,419
2022-11-06T03:35:54,0,419,0,419
2022-11-06T03:45:14,0,419,0,419
2022-11-06T03:54:34,0,419,0,419
2022-11-06T04:03:53,0,419,0,419
2022-11-06T04:19:12,0,419,0,419
2022-11-06T04:28:32,0,419,0,419
2022-11-06T04:37:51,0,419,0,419
2022-11-06T04:48:19,0,419,0,419
2022-11-06T04:57:54,0,419,0,419
2022-11-06T05:07:11,0,419,0,419
2022-11-06T05:16:28,0,419,0,419
2022-11-06T05:25:44,0,419,0,419
2022-11-06T05:35:02,0,419,0,419
2022-11-06T05:44:16,0,419,0,419
