time,enrolled,available,waitlisted,total
2022-11-05T20:14:42,0,884,0,884
2022-11-05T20:24:00,0,884,0,884
2022-11-05T20:33:16,0,884,0,884
2022-11-05T20:42:44,0,884,0,884
2022-11-05T20:52:00,0,884,0,884
2022-11-05T21:01:15,0,884,0,884
2022-11-05T21:10:31,0,884,0,884
2022-11-05T21:19:46,0,884,0,884
2022-11-05T21:29:02,0,884,0,884
2022-11-05T21:38:18,0,884,0,884
2022-11-05T21:47:34,0,884,0,884
2022-11-05T21:56:49,0,884,0,884
2022-11-05T22:06:04,0,884,0,884
2022-11-05T22:15:19,0,884,0,884
2022-11-05T22:24:34,0,884,0,884
2022-11-05T22:33:51,0,884,0,884
2022-11-05T22:43:08,0,884,0,884
2022-11-05T22:52:23,0,884,0,884
2022-11-05T23:01:39,0,884,0,884
2022-11-05T23:10:56,0,884,0,884
2022-11-05T23:20:12,0,884,0,884
2022-11-05T23:29:31,0,884,0,884
2022-11-05T23:38:46,0,884,0,884
2022-11-05T23:48:02,0,884,0,884
2022-11-05T23:57:18,0,884,0,884
2022-11-06T00:06:43,0,884,0,884
2022-11-06T00:16:00,0,884,0,884
2022-11-06T00:25:16,0,884,0,884
2022-11-06T00:34:31,0,884,0,884
2022-11-06T00:43:47,0,884,0,884
2022-11-06T00:53:02,0,884,0,884
2022-11-06T01:02:17,0,884,0,884
2022-11-06T01:11:33,0,884,0,884
2022-11-06T01:20:48,0,884,0,884
2022-11-06T01:30:04,0,884,0,884
2022-11-06T01:39:21,0,884,0,884
2022-11-06T01:48:36,0,884,0,884
2022-11-06T01:57:52,0,884,0,884
2022-11-06T01:07:09,0,884,0,884
2022-11-06T01:16:25,0,884,0,884
2022-11-06T01:25:40,0,884,0,884
2022-11-06T01:34:56,0,884,0,884
2022-11-06T01:44:12,0,884,0,884
2022-11-06T01:53:30,0,884,0,884
2022-11-06T02:02:49,0,884,0,884
2022-11-06T02:12:08,0,884,0,884
2022-11-06T02:21:27,0,884,0,884
2022-11-06T02:30:47,0,884,0,884
2022-11-06T02:40:07,0,884,0,884
2022-11-06T02:49:26,0,884,0,884
2022-11-06T02:58:44,0,884,0,884
2022-11-06T03:08:03,0,884,0,884
2022-11-06T03:17:19,0,884,0,884
2022-11-06T03:26:36,0,884,0,884
2022-11-06T03:35:55,0,884,0,884
2022-11-06T03:45:14,0,884,0,884
2022-11-06T03:54:35,0,884,0,884
2022-11-06T04:03:53,0,884,0,884
2022-11-06T04:19:13,0,884,0,884
2022-11-06T04:28:32,0,884,0,884
2022-11-06T04:37:51,0,884,0,884
2022-11-06T04:48:19,0,884,0,884
2022-11-06T04:57:54,0,884,0,884
2022-11-06T05:07:11,0,884,0,884
2022-11-06T05:16:29,0,884,0,884
2022-11-06T05:25:45,0,884,0,884
2022-11-06T05:35:02,0,884,0,884
2022-11-06T05:44:17,0,884,0,884
2022-11-06T05:53:34,0,884,0,884
2022-11-06T06:02:52,0,884,0,884
2022-11-06T06:12:11,0,884,0,884
2022-11-06T06:21:30,0,884,0,884
2022-11-06T06:30:46,0,884,0,884
2022-11-06T06:40:02,0,884,0,884
2022-11-06T06:49:18,0,884,0,884
2022-11-06T06:58:34,0,884,0,884
2022-11-06T07:07:51,0,884,0,884
2022-11-06T07:17:09,0,884,0,884
2022-11-06T07:26:26,0,884,0,884
2022-11-06T07:35:44,0,884,0,884
2022-11-06T07:45:03,0,884,0,884
2022-11-06T07:54:21,0,884,0,884
2022-11-06T08:03:37,0,884,0,884
2022-11-06T08:12:54,0,884,0,884
2022-11-06T08:22:11,0,884,0,884
2022-11-06T08:31:28,0,884,0,884
2022-11-06T08:40:45,0,884,0,884
2022-11-06T08:50:01,0,884,0,884
2022-11-06T08:59:19,0,884,0,884
2022-11-06T09:08:34,0,884,0,884
2022-11-06T09:17:49,0,884,0,884
2022-11-06T09:27:03,0,884,0,884
2022-11-06T09:36:16,0,884,0,884
2022-11-06T09:45:30,0,884,0,884
2022-11-06T09:54:44,0,884,0,884
2022-11-06T10:03:57,0,884,0,884
2022-11-06T10:13:11,0,884,0,884
2022-11-06T10:22:25,0,884,0,884
2022-11-06T10:31:41,0,884,0,884
2022-11-06T10:40:56,0,884,0,884
2022-11-06T10:50:10,0,884,0,884
2022-11-06T10:59:26,0,884,0,884
2022-11-06T11:08:39,0,884,0,884
2022-11-06T11:17:55,0,884,0,884
2022-11-06T11:27:15,0,884,0,884
2022-11-06T11:36:36,0,884,0,884
2022-11-06T11:45:50,0,884,0,884
2022-11-06T11:55:04,0,884,0,884
2022-11-06T12:04:19,0,884,0,884
2022-11-06T12:13:35,0,884,0,884
2022-11-06T12:23:00,0,884,0,884
2022-11-06T12:32:13,0,884,0,884
2022-11-06T12:41:27,0,884,0,884
2022-11-06T12:50:43,0,884,0,884
2022-11-06T12:59:57,0,884,0,884
2022-11-06T13:09:11,0,884,0,884
2022-11-06T13:18:27,0,884,0,884
2022-11-06T13:27:43,0,884,0,884
2022-11-06T13:36:56,0,884,0,884
2022-11-06T13:46:10,0,884,0,884
2022-11-06T13:55:23,0,884,0,884
2022-11-06T14:04:39,0,884,0,884
2022-11-06T14:13:54,0,884,0,884
2022-11-06T14:23:17,0,884,0,884
2022-11-06T14:32:31,0,884,0,884
2022-11-06T14:41:46,0,884,0,884
2022-11-06T14:51:02,0,884,0,884
2022-11-06T15:00:16,0,884,0,884
2022-11-06T15:09:29,0,884,0,884
2022-11-06T15:18:43,0,884,0,884
2022-11-06T15:27:57,0,884,0,884
2022-11-06T15:37:10,0,884,0,884
2022-11-06T15:46:25,0,884,0,884
2022-11-06T15:55:37,0,884,0,884
2022-11-06T16:04:50,0,884,0,884
2022-11-06T16:14:13,0,884,0,884
2022-11-06T16:23:28,0,884,0,884
2022-11-06T16:32:45,0,884,0,884
2022-11-06T16:42:00,0,884,0,884
2022-11-06T16:51:16,0,884,0,884
2022-11-06T17:00:30,0,884,0,884
2022-11-06T17:09:45,0,884,0,884
