time,enrolled,available,waitlisted,total
2022-11-05T20:15:02,0,120,0,120
2022-11-05T20:24:19,0,120,0,120
2022-11-05T20:33:36,0,120,0,120
2022-11-05T20:43:04,0,120,0,120
2022-11-05T20:52:20,0,120,0,120
2022-11-05T21:01:35,0,120,0,120
2022-11-05T21:10:50,0,120,0,120
2022-11-05T21:20:05,0,120,0,120
2022-11-05T21:29:21,0,120,0,120
2022-11-05T21:38:37,0,120,0,120
2022-11-05T21:47:53,0,120,0,120
2022-11-05T21:57:09,0,120,0,120
2022-11-05T22:06:24,0,120,0,120
2022-11-05T22:15:39,0,120,0,120
2022-11-05T22:24:54,0,120,0,120
2022-11-05T22:34:10,0,120,0,120
2022-11-05T22:43:28,0,120,0,120
2022-11-05T22:52:43,0,120,0,120
2022-11-05T23:01:59,0,120,0,120
2022-11-05T23:11:16,0,120,0,120
2022-11-05T23:20:32,0,120,0,120
2022-11-05T23:29:51,0,120,0,120
2022-11-05T23:39:05,0,120,0,120
2022-11-05T23:48:22,0,120,0,120
2022-11-05T23:57:38,0,120,0,120
2022-11-06T00:07:03,0,120,0,120
2022-11-06T00:16:20,0,120,0,120
2022-11-06T00:25:35,0,120,0,120
2022-11-06T00:34:51,0,120,0,120
2022-11-06T00:44:07,0,120,0,120
2022-11-06T00:53:22,0,120,0,120
2022-11-06T01:02:37,0,120,0,120
2022-11-06T01:11:52,0,120,0,120
2022-11-06T01:21:08,0,120,0,120
2022-11-06T01:30:24,0,120,0,120
2022-11-06T01:39:40,0,120,0,120
2022-11-06T01:48:55,0,120,0,120
2022-11-06T01:58:12,0,120,0,120
2022-11-06T01:07:28,0,120,0,120
2022-11-06T01:16:45,0,120,0,120
2022-11-06T01:26:00,0,120,0,120
2022-11-06T01:35:16,0,120,0,120
2022-11-06T01:44:31,0,120,0,120
2022-11-06T01:53:50,0,120,0,120
2022-11-06T02:03:09,0,120,0,120
2022-11-06T02:12:27,0,120,0,120
2022-11-06T02:21:47,0,120,0,120
2022-11-06T02:31:07,0,120,0,120
2022-11-06T02:40:26,0,120,0,120
2022-11-06T02:49:45,0,120,0,120
2022-11-06T02:59:04,0,120,0,120
2022-11-06T03:08:23,0,120,0,120
2022-11-06T03:17:39,0,120,0,120
2022-11-06T03:26:56,0,120,0,120
2022-11-06T03:36:15,0,120,0,120
2022-11-06T03:45:34,0,120,0,120
2022-11-06T03:54:54,0,120,0,120
2022-11-06T04:04:13,0,120,0,120
2022-11-06T04:19:33,0,120,0,120
2022-11-06T04:28:52,0,120,0,120
2022-11-06T04:38:11,0,120,0,120
2022-11-06T04:48:39,0,120,0,120
2022-11-06T04:58:14,0,120,0,120
2022-11-06T05:07:31,0,120,0,120
2022-11-06T05:16:48,0,120,0,120
2022-11-06T05:26:04,0,120,0,120
2022-11-06T05:35:22,0,120,0,120
2022-11-06T05:44:36,0,120,0,120
2022-11-06T05:53:54,0,120,0,120
2022-11-06T06:03:12,0,120,0,120
2022-11-06T06:12:30,0,120,0,120
2022-11-06T06:21:50,0,120,0,120
2022-11-06T06:31:06,0,120,0,120
2022-11-06T06:40:22,0,120,0,120
2022-11-06T06:49:38,0,120,0,120
2022-11-06T06:58:54,0,120,0,120
2022-11-06T07:08:11,0,120,0,120
2022-11-06T07:17:29,0,120,0,120
2022-11-06T07:26:45,0,120,0,120
2022-11-06T07:36:04,0,120,0,120
2022-11-06T07:45:22,0,120,0,120
2022-11-06T07:54:40,0,120,0,120
2022-11-06T08:03:57,0,120,0,120
2022-11-06T08:13:13,0,120,0,120
2022-11-06T08:22:30,0,120,0,120
2022-11-06T08:31:48,0,120,0,120
2022-11-06T08:41:04,0,120,0,120
2022-11-06T08:50:21,0,120,0,120
2022-11-06T08:59:38,0,120,0,120
2022-11-06T09:08:53,0,120,0,120
2022-11-06T09:18:08,0,120,0,120
2022-11-06T09:27:22,0,120,0,120
2022-11-06T09:36:35,0,120,0,120
2022-11-06T09:45:49,0,120,0,120
2022-11-06T09:55:04,0,120,0,120
2022-11-06T10:04:17,0,120,0,120
2022-11-06T10:13:30,0,120,0,120
2022-11-06T10:22:44,0,120,0,120
2022-11-06T10:32:01,0,120,0,120
2022-11-06T10:41:15,0,120,0,120
2022-11-06T10:50:30,0,120,0,120
2022-11-06T10:59:45,0,120,0,120
2022-11-06T11:08:59,0,120,0,120
2022-11-06T11:18:15,0,120,0,120
2022-11-06T11:27:35,0,120,0,120
2022-11-06T11:36:56,0,120,0,120
2022-11-06T11:46:10,0,120,0,120
2022-11-06T11:55:24,0,120,0,120
2022-11-06T12:04:38,0,120,0,120
2022-11-06T12:13:54,0,120,0,120
2022-11-06T12:23:19,0,120,0,120
2022-11-06T12:32:33,0,120,0,120
2022-11-06T12:41:47,0,120,0,120
2022-11-06T12:51:02,0,120,0,120
2022-11-06T13:00:16,0,120,0,120
2022-11-06T13:09:31,0,120,0,120
2022-11-06T13:18:47,0,120,0,120
2022-11-06T13:28:02,0,120,0,120
2022-11-06T13:37:16,0,120,0,120
2022-11-06T13:46:29,0,120,0,120
2022-11-06T13:55:43,0,120,0,120
2022-11-06T14:04:59,0,120,0,120
2022-11-06T14:14:14,0,120,0,120
2022-11-06T14:23:37,0,120,0,120
2022-11-06T14:32:50,0,120,0,120
2022-11-06T14:42:06,0,120,0,120
2022-11-06T14:51:22,0,120,0,120
2022-11-06T15:00:35,0,120,0,120
2022-11-06T15:09:49,0,120,0,120
2022-11-06T15:19:02,0,120,0,120
2022-11-06T15:28:16,0,120,0,120
2022-11-06T15:37:30,0,120,0,120
2022-11-06T15:46:44,0,120,0,120
2022-11-06T15:55:56,0,120,0,120
2022-11-06T16:05:09,0,120,0,120
2022-11-06T16:14:33,0,120,0,120
2022-11-06T16:23:48,0,120,0,120
2022-11-06T16:33:04,0,120,0,120
2022-11-06T16:42:19,0,120,0,120
2022-11-06T16:51:35,0,120,0,120
2022-11-06T17:00:50,0,120,0,120
2022-11-06T17:10:05,0,120,0,120
2022-11-06T17:19:19,0,120,0,120
2022-11-06T17:28:34,0,120,0,120
2022-11-06T17:37:50,0,120,0,120
2022-11-06T17:47:15,0,120,0,120
2022-11-06T17:56:29,0,120,0,120
2022-11-06T18:05:44,0,120,0,120
2022-11-06T18:15:00,0,120,0,120
2022-11-06T18:24:15,0,120,0,120
2022-11-06T18:33:28,0,120,0,120
2022-11-06T18:42:42,0,120,0,120
2022-11-06T18:51:56,0,120,0,120
2022-11-06T19:01:11,0,120,0,120
2022-11-06T19:10:35,0,120,0,120
2022-11-06T19:19:50,0,120,0,120
2022-11-06T19:29:05,0,120,0,120
2022-11-06T19:38:19,0,120,0,120
2022-11-06T19:47:32,0,120,0,120
2022-11-06T19:56:46,0,120,0,120
2022-11-06T20:05:59,0,120,0,120
2022-11-06T20:15:14,0,120,0,120
2022-11-06T20:24:29,0,120,0,120
2022-11-06T20:33:43,0,120,0,120
2022-11-06T20:43:05,0,120,0,120
2022-11-06T20:52:20,0,120,0,120
2022-11-06T21:01:34,0,120,0,120
2022-11-06T21:10:49,0,120,0,120
2022-11-06T21:20:01,0,120,0,120
2022-11-06T21:29:14,0,120,0,120
2022-11-06T21:38:28,0,120,0,120
2022-11-06T21:47:43,0,120,0,120
2022-11-06T21:57:07,0,120,0,120
2022-11-06T22:06:23,0,120,0,120
2022-11-06T22:15:38,0,120,0,120
2022-11-06T22:24:53,0,120,0,120
2022-11-06T22:34:08,0,120,0,120
2022-11-06T22:43:22,0,120,0,120
2022-11-06T22:52:36,0,120,0,120
2022-11-06T23:01:52,0,120,0,120
2022-11-06T23:11:18,0,120,0,120
2022-11-06T23:20:33,0,120,0,120
2022-11-06T23:29:49,0,120,0,120
2022-11-06T23:39:05,0,120,0,120
2022-11-06T23:48:20,0,120,0,120
2022-11-06T23:57:35,0,120,0,120
2022-11-07T00:08:36,0,120,0,120
2022-11-07T00:17:58,0,120,0,120
2022-11-07T00:27:26,0,120,0,120
2022-11-07T00:36:44,0,120,0,120
2022-11-07T00:45:57,0,120,0,120
2022-11-07T00:55:13,0,120,0,120
2022-11-07T01:04:27,0,120,0,120
2022-11-07T01:13:48,0,120,0,120
2022-11-07T01:23:04,0,120,0,120
2022-11-07T01:32:19,0,120,0,120
2022-11-07T01:41:44,0,120,0,120
2022-11-07T01:50:58,0,120,0,120
2022-11-07T02:00:13,0,120,0,120
2022-11-07T02:09:27,0,120,0,120
2022-11-07T02:18:42,0,120,0,120
2022-11-07T02:27:57,0,120,0,120
2022-11-07T02:37:12,0,120,0,120
2022-11-07T02:46:25,0,120,0,120
2022-11-07T02:55:39,0,120,0,120
2022-11-07T03:04:54,0,120,0,120
2022-11-07T03:14:09,0,120,0,120
2022-11-07T03:23:24,0,120,0,120
2022-11-07T03:32:40,0,120,0,120
2022-11-07T03:41:56,0,120,0,120
2022-11-07T03:51:11,0,120,0,120
2022-11-07T04:00:29,0,120,0,120
2022-11-07T04:09:47,0,120,0,120
2022-11-07T04:26:57,0,120,0,120
2022-11-07T04:36:35,0,120,0,120
2022-11-07T04:45:53,0,120,0,120
2022-11-07T04:55:09,0,120,0,120
2022-11-07T05:04:23,0,120,0,120
2022-11-07T05:13:38,0,120,0,120
