time,enrolled,available,waitlisted,total
2022-11-05T20:15:11,0,35,0,35
2022-11-05T20:24:29,0,35,0,35
2022-11-05T20:33:45,0,35,0,35
2022-11-05T20:43:13,0,35,0,35
2022-11-05T20:52:29,0,35,0,35
2022-11-05T21:01:44,0,35,0,35
2022-11-05T21:10:59,0,35,0,35
2022-11-05T21:20:15,0,35,0,35
2022-11-05T21:29:31,0,35,0,35
2022-11-05T21:38:47,0,35,0,35
2022-11-05T21:48:02,0,35,0,35
2022-11-05T21:57:18,0,35,0,35
2022-11-05T22:06:33,0,35,0,35
2022-11-05T22:15:48,0,35,0,35
2022-11-05T22:25:03,0,35,0,35
2022-11-05T22:34:20,0,35,0,35
2022-11-05T22:43:37,0,35,0,35
2022-11-05T22:52:52,0,35,0,35
2022-11-05T23:02:08,0,35,0,35
2022-11-05T23:11:25,0,35,0,35
2022-11-05T23:20:41,0,35,0,35
2022-11-05T23:30:00,0,35,0,35
2022-11-05T23:39:15,0,35,0,35
2022-11-05T23:48:31,0,35,0,35
2022-11-05T23:57:47,0,35,0,35
2022-11-06T00:07:12,0,35,0,35
2022-11-06T00:16:29,0,35,0,35
2022-11-06T00:25:45,0,35,0,35
2022-11-06T00:35:00,0,35,0,35
2022-11-06T00:44:16,0,35,0,35
2022-11-06T00:53:31,0,35,0,35
2022-11-06T01:02:46,0,35,0,35
2022-11-06T01:12:01,0,35,0,35
2022-11-06T01:21:17,0,35,0,35
2022-11-06T01:30:33,0,35,0,35
2022-11-06T01:39:49,0,35,0,35
2022-11-06T01:49:05,0,35,0,35
2022-11-06T01:58:21,0,35,0,35
2022-11-06T01:07:37,0,35,0,35
2022-11-06T01:16:54,0,35,0,35
2022-11-06T01:26:09,0,35,0,35
2022-11-06T01:35:25,0,35,0,35
2022-11-06T01:44:40,0,35,0,35
2022-11-06T01:53:59,0,35,0,35
2022-11-06T02:03:18,0,35,0,35
2022-11-06T02:12:37,0,35,0,35
2022-11-06T02:21:56,0,35,0,35
2022-11-06T02:31:16,0,35,0,35
2022-11-06T02:40:36,0,35,0,35
2022-11-06T02:49:55,0,35,0,35
2022-11-06T02:59:14,0,35,0,35
2022-11-06T03:08:32,0,35,0,35
2022-11-06T03:17:48,0,35,0,35
2022-11-06T03:27:05,0,35,0,35
2022-11-06T03:36:24,0,35,0,35
2022-11-06T03:45:43,0,35,0,35
2022-11-06T03:55:04,0,35,0,35
2022-11-06T04:04:22,0,35,0,35
2022-11-06T04:19:42,0,35,0,35
2022-11-06T04:29:01,0,35,0,35
2022-11-06T04:38:20,0,35,0,35
2022-11-06T04:48:48,0,35,0,35
2022-11-06T04:58:23,0,35,0,35
2022-11-06T05:07:40,0,35,0,35
2022-11-06T05:16:58,0,35,0,35
2022-11-06T05:26:15,0,35,0,35
2022-11-06T05:35:31,0,35,0,35
2022-11-06T05:44:45,0,35,0,35
2022-11-06T05:54:03,0,35,0,35
2022-11-06T06:03:21,0,35,0,35
2022-11-06T06:12:40,0,35,0,35
2022-11-06T06:21:59,0,35,0,35
2022-11-06T06:31:15,0,35,0,35
2022-11-06T06:40:31,0,35,0,35
2022-11-06T06:49:47,0,35,0,35
2022-11-06T06:59:03,0,35,0,35
2022-11-06T07:08:20,0,35,0,35
2022-11-06T07:17:38,0,35,0,35
2022-11-06T07:26:55,0,35,0,35
2022-11-06T07:36:13,0,35,0,35
2022-11-06T07:45:32,0,35,0,35
2022-11-06T07:54:49,0,35,0,35
2022-11-06T08:04:06,0,35,0,35
2022-11-06T08:13:22,0,35,0,35
2022-11-06T08:22:39,0,35,0,35
2022-11-06T08:31:57,0,35,0,35
2022-11-06T08:41:13,0,35,0,35
2022-11-06T08:50:30,0,35,0,35
2022-11-06T08:59:47,0,35,0,35
2022-11-06T09:09:02,0,35,0,35
2022-11-06T09:18:17,0,35,0,35
2022-11-06T09:27:31,0,35,0,35
2022-11-06T09:36:44,0,35,0,35
2022-11-06T09:45:59,0,35,0,35
2022-11-06T09:55:13,0,35,0,35
2022-11-06T10:04:26,0,35,0,35
2022-11-06T10:13:39,0,35,0,35
2022-11-06T10:22:53,0,35,0,35
2022-11-06T10:32:10,0,35,0,35
2022-11-06T10:41:24,0,35,0,35
2022-11-06T10:50:39,0,35,0,35
2022-11-06T10:59:54,0,35,0,35
2022-11-06T11:09:08,0,35,0,35
2022-11-06T11:18:24,0,35,0,35
2022-11-06T11:27:44,0,35,0,35
2022-11-06T11:37:05,0,35,0,35
2022-11-06T11:46:19,0,35,0,35
2022-11-06T11:55:33,0,35,0,35
2022-11-06T12:04:47,0,35,0,35
2022-11-06T12:14:03,0,35,0,35
2022-11-06T12:23:29,0,35,0,35
2022-11-06T12:32:42,0,35,0,35
2022-11-06T12:41:56,0,35,0,35
2022-11-06T12:51:12,0,35,0,35
2022-11-06T13:00:25,0,35,0,35
2022-11-06T13:09:40,0,35,0,35
2022-11-06T13:18:56,0,35,0,35
2022-11-06T13:28:11,0,35,0,35
2022-11-06T13:37:25,0,35,0,35
2022-11-06T13:46:39,0,35,0,35
2022-11-06T13:55:52,0,35,0,35
2022-11-06T14:05:08,0,35,0,35
2022-11-06T14:14:23,0,35,0,35
2022-11-06T14:23:46,0,35,0,35
2022-11-06T14:32:59,0,35,0,35
2022-11-06T14:42:15,0,35,0,35
2022-11-06T14:51:31,0,35,0,35
2022-11-06T15:00:44,0,35,0,35
2022-11-06T15:09:58,0,35,0,35
2022-11-06T15:19:11,0,35,0,35
2022-11-06T15:28:25,0,35,0,35
2022-11-06T15:37:39,0,35,0,35
2022-11-06T15:46:53,0,35,0,35
2022-11-06T15:56:06,0,35,0,35
2022-11-06T16:05:18,0,35,0,35
2022-11-06T16:14:42,0,35,0,35
2022-11-06T16:23:57,0,35,0,35
2022-11-06T16:33:13,0,35,0,35
2022-11-06T16:42:29,0,35,0,35
2022-11-06T16:51:44,0,35,0,35
2022-11-06T17:00:59,0,35,0,35
2022-11-06T17:10:14,0,35,0,35
2022-11-06T17:19:28,0,35,0,35
2022-11-06T17:28:43,0,35,0,35
2022-11-06T17:37:59,0,35,0,35
2022-11-06T17:47:24,0,35,0,35
2022-11-06T17:56:38,0,35,0,35
2022-11-06T18:05:53,0,35,0,35
2022-11-06T18:15:09,0,35,0,35
2022-11-06T18:24:24,0,35,0,35
2022-11-06T18:33:38,0,35,0,35
2022-11-06T18:42:51,0,35,0,35
2022-11-06T18:52:05,0,35,0,35
2022-11-06T19:01:20,0,35,0,35
2022-11-06T19:10:44,0,35,0,35
2022-11-06T19:19:59,0,35,0,35
2022-11-06T19:29:14,0,35,0,35
2022-11-06T19:38:28,0,35,0,35
2022-11-06T19:47:41,0,35,0,35
2022-11-06T19:56:55,0,35,0,35
2022-11-06T20:06:09,0,35,0,35
2022-11-06T20:15:23,0,35,0,35
2022-11-06T20:24:39,0,35,0,35
2022-11-06T20:33:52,0,35,0,35
2022-11-06T20:43:14,0,35,0,35
2022-11-06T20:52:29,0,35,0,35
2022-11-06T21:01:43,0,35,0,35
2022-11-06T21:10:58,0,35,0,35
2022-11-06T21:20:10,0,35,0,35
2022-11-06T21:29:23,0,35,0,35
2022-11-06T21:38:37,0,35,0,35
2022-11-06T21:47:52,0,35,0,35
2022-11-06T21:57:16,0,35,0,35
2022-11-06T22:06:32,0,35,0,35
2022-11-06T22:15:47,0,35,0,35
2022-11-06T22:25:02,0,35,0,35
2022-11-06T22:34:17,0,35,0,35
2022-11-06T22:43:32,0,35,0,35
2022-11-06T22:52:45,0,35,0,35
2022-11-06T23:02:01,0,35,0,35
2022-11-06T23:11:27,0,35,0,35
2022-11-06T23:20:42,0,35,0,35
2022-11-06T23:29:58,0,35,0,35
2022-11-06T23:39:14,0,35,0,35
2022-11-06T23:48:29,0,35,0,35
2022-11-06T23:57:45,0,35,0,35
2022-11-07T00:08:45,0,35,0,35
2022-11-07T00:18:07,0,35,0,35
2022-11-07T00:27:35,0,35,0,35
2022-11-07T00:36:53,0,35,0,35
2022-11-07T00:46:06,0,35,0,35
2022-11-07T00:55:22,0,35,0,35
2022-11-07T01:04:36,0,35,0,35
2022-11-07T01:13:57,0,35,0,35
2022-11-07T01:23:13,0,35,0,35
2022-11-07T01:32:28,0,35,0,35
2022-11-07T01:41:53,0,35,0,35
2022-11-07T01:51:07,0,35,0,35
2022-11-07T02:00:22,0,35,0,35
2022-11-07T02:09:37,0,35,0,35
2022-11-07T02:18:51,0,35,0,35
2022-11-07T02:28:06,0,35,0,35
2022-11-07T02:37:21,0,35,0,35
2022-11-07T02:46:34,0,35,0,35
2022-11-07T02:55:48,0,35,0,35
2022-11-07T03:05:03,0,35,0,35
2022-11-07T03:14:18,0,35,0,35
2022-11-07T03:23:33,0,35,0,35
2022-11-07T03:32:49,0,35,0,35
2022-11-07T03:42:05,0,35,0,35
2022-11-07T03:51:20,0,35,0,35
2022-11-07T04:00:38,0,35,0,35
2022-11-07T04:09:56,0,35,0,35
2022-11-07T04:27:06,0,35,0,35
2022-11-07T04:36:44,0,35,0,35
2022-11-07T04:46:02,0,35,0,35
2022-11-07T04:55:18,0,35,0,35
2022-11-07T05:04:32,0,35,0,35
2022-11-07T05:13:48,0,35,0,35
2022-11-07T05:23:01,0,35,0,35
2022-11-07T05:32:15,0,35,0,35
2022-11-07T05:41:29,0,35,0,35
2022-11-07T05:50:44,0,35,0,35
2022-11-07T06:00:01,0,35,0,35
2022-11-07T06:09:18,0,35,0,35
2022-11-07T06:18:35,0,35,0,35
2022-11-07T06:27:53,0,35,0,35
2022-11-07T06:37:10,0,35,0,35
2022-11-07T06:46:26,0,35,0,35
2022-11-07T06:55:42,0,35,0,35
2022-11-07T07:04:59,0,35,0,35
2022-11-07T07:14:16,0,35,0,35
2022-11-07T07:23:33,0,35,0,35
2022-11-07T07:32:51,0,35,0,35
2022-11-07T07:42:08,0,35,0,35
2022-11-07T07:51:26,0,35,0,35
2022-11-07T08:00:47,0,35,0,35
2022-11-07T08:10:06,0,35,0,35
2022-11-07T08:19:24,0,35,0,35
2022-11-07T08:28:43,0,35,0,35
2022-11-07T08:38:10,0,35,0,35
2022-11-07T08:47:28,0,35,0,35
2022-11-07T08:56:46,0,35,0,35
2022-11-07T09:06:04,0,35,0,35
2022-11-07T09:15:26,1,34,0,35
2022-11-07T09:24:46,1,34,0,35
2022-11-07T09:34:06,1,34,0,35
2022-11-07T09:43:41,2,33,0,35
2022-11-07T09:53:01,2,33,0,35
2022-11-07T10:02:20,2,33,0,35
2022-11-07T10:11:39,2,33,0,35
2022-11-07T10:20:57,2,33,0,35
2022-11-07T10:30:17,2,33,0,35
2022-11-07T10:39:50,2,33,0,35
2022-11-07T10:49:08,2,33,0,35
2022-11-07T10:58:28,2,33,0,35
2022-11-07T11:07:48,2,33,0,35
2022-11-07T11:17:10,2,33,0,35
2022-11-07T11:26:40,2,33,0,35
2022-11-07T11:36:01,2,33,0,35
2022-11-07T11:45:21,2,33,0,35
2022-11-07T11:54:38,2,33,0,35
2022-11-07T12:03:56,2,33,0,35
2022-11-07T12:13:26,2,33,0,35
2022-11-07T12:22:46,2,33,0,35
2022-11-07T12:32:06,2,33,0,35
2022-11-07T12:41:26,2,33,0,35
2022-11-07T12:50:55,2,33,0,35
2022-11-07T13:00:17,2,33,0,35
2022-11-07T13:09:35,2,33,0,35
2022-11-07T13:18:57,2,33,0,35
2022-11-07T13:28:28,2,33,0,35
2022-11-07T13:37:49,2,33,0,35
2022-11-07T13:47:11,2,33,0,35
2022-11-07T13:56:42,2,33,0,35
2022-11-07T14:06:02,2,33,0,35
2022-11-07T14:15:21,2,33,0,35
2022-11-07T14:24:42,2,33,0,35
2022-11-07T14:34:11,2,33,0,35
2022-11-07T14:43:31,2,33,0,35
2022-11-07T14:52:49,2,33,0,35
2022-11-07T15:02:08,2,33,0,35
2022-11-07T15:11:27,2,33,0,35
2022-11-07T15:20:58,2,33,0,35
2022-11-07T15:30:17,2,33,0,35
2022-11-07T15:39:36,2,33,0,35
2022-11-07T15:48:53,2,33,0,35
2022-11-07T15:58:22,2,33,0,35
2022-11-07T16:07:41,2,33,0,35
2022-11-07T16:16:59,2,33,0,35
2022-11-07T16:26:17,2,33,0,35
2022-11-07T16:35:45,2,33,0,35
2022-11-07T16:45:03,2,33,0,35
2022-11-07T16:54:21,2,33,0,35
2022-11-07T17:03:40,2,33,0,35
2022-11-07T17:13:03,2,33,0,35
2022-11-07T17:22:32,2,33,0,35
2022-11-07T17:31:50,2,33,0,35
2022-11-07T17:41:08,2,33,0,35
2022-11-07T17:50:25,2,33,0,35
2022-11-07T17:59:42,2,33,0,35
2022-11-07T18:09:14,2,33,0,35
2022-11-07T18:18:31,2,33,0,35
2022-11-07T18:27:48,2,33,0,35
2022-11-07T18:37:06,2,33,0,35
2022-11-07T18:46:32,2,33,0,35
2022-11-07T18:55:50,2,33,0,35
2022-11-07T19:05:08,2,33,0,35
2022-11-07T19:14:34,2,33,0,35
2022-11-07T19:23:53,2,33,0,35
2022-11-07T19:33:11,2,33,0,35
2022-11-07T19:42:30,2,33,0,35
2022-11-07T19:51:47,2,33,0,35
2022-11-07T20:01:05,3,32,0,35
2022-11-07T20:10:34,3,32,0,35
2022-11-07T20:19:52,3,32,0,35
2022-11-07T20:29:09,3,32,0,35
2022-11-07T20:38:26,4,31,0,35
2022-11-07T20:47:45,4,31,0,35
2022-11-07T20:57:12,4,31,0,35
2022-11-07T21:06:31,4,31,0,35
2022-11-07T21:15:46,4,31,0,35
2022-11-07T21:25:03,4,31,0,35
2022-11-07T21:34:21,4,31,0,35
2022-11-07T21:43:36,4,31,0,35
