time,enrolled,available,waitlisted,total
2022-11-05T20:15:19,0,392,0,392
2022-11-05T20:24:37,0,392,0,392
2022-11-05T20:33:54,0,392,0,392
2022-11-05T20:43:22,0,392,0,392
2022-11-05T20:52:37,0,392,0,392
2022-11-05T21:01:53,0,392,0,392
2022-11-05T21:11:08,0,392,0,392
2022-11-05T21:20:23,0,392,0,392
2022-11-05T21:29:39,0,392,0,392
2022-11-05T21:38:55,0,392,0,392
2022-11-05T21:48:11,0,392,0,392
2022-11-05T21:57:27,0,392,0,392
2022-11-05T22:06:41,0,392,0,392
2022-11-05T22:15:57,0,392,0,392
2022-11-05T22:25:12,0,392,0,392
2022-11-05T22:34:28,0,392,0,392
2022-11-05T22:43:45,0,392,0,392
2022-11-05T22:53:01,0,392,0,392
2022-11-05T23:02:17,0,392,0,392
2022-11-05T23:11:34,0,392,0,392
2022-11-05T23:20:50,0,392,0,392
2022-11-05T23:30:09,0,392,0,392
2022-11-05T23:39:23,0,392,0,392
2022-11-05T23:48:40,0,392,0,392
2022-11-05T23:57:56,0,392,0,392
2022-11-06T00:07:21,0,392,0,392
2022-11-06T00:16:38,0,392,0,392
2022-11-06T00:25:53,0,392,0,392
2022-11-06T00:35:09,0,392,0,392
2022-11-06T00:44:24,0,392,0,392
2022-11-06T00:53:40,0,392,0,392
2022-11-06T01:02:55,0,392,0,392
2022-11-06T01:12:10,0,392,0,392
2022-11-06T01:21:26,0,392,0,392
2022-11-06T01:30:42,0,392,0,392
2022-11-06T01:39:58,0,392,0,392
2022-11-06T01:49:13,0,392,0,392
2022-11-06T01:58:29,0,392,0,392
2022-11-06T01:07:46,0,392,0,392
2022-11-06T01:17:02,0,392,0,392
2022-11-06T01:26:18,0,392,0,392
2022-11-06T01:35:34,0,392,0,392
2022-11-06T01:44:49,0,392,0,392
2022-11-06T01:54:08,0,392,0,392
2022-11-06T02:03:27,0,392,0,392
2022-11-06T02:12:45,0,392,0,392
2022-11-06T02:22:05,0,392,0,392
2022-11-06T02:31:25,0,392,0,392
2022-11-06T02:40:44,0,392,0,392
2022-11-06T02:50:03,0,392,0,392
2022-11-06T02:59:22,0,392,0,392
2022-11-06T03:08:41,0,392,0,392
2022-11-06T03:17:57,0,392,0,392
2022-11-06T03:27:14,0,392,0,392
2022-11-06T03:36:33,0,392,0,392
2022-11-06T03:45:52,0,392,0,392
2022-11-06T03:55:12,0,392,0,392
2022-11-06T04:04:31,0,392,0,392
2022-11-06T04:19:51,0,392,0,392
2022-11-06T04:29:10,0,392,0,392
2022-11-06T04:38:29,0,392,0,392
2022-11-06T04:48:57,0,392,0,392
2022-11-06T04:58:32,0,392,0,392
2022-11-06T05:07:49,0,392,0,392
2022-11-06T05:17:06,0,392,0,392
2022-11-06T05:26:23,0,392,0,392
2022-11-06T05:35:39,0,392,0,392
2022-11-06T05:44:54,0,392,0,392
2022-11-06T05:54:12,0,392,0,392
2022-11-06T06:03:30,0,392,0,392
2022-11-06T06:12:49,0,392,0,392
2022-11-06T06:22:08,0,392,0,392
2022-11-06T06:31:24,0,392,0,392
2022-11-06T06:40:40,0,392,0,392
2022-11-06T06:49:55,0,392,0,392
2022-11-06T06:59:12,0,392,0,392
2022-11-06T07:08:29,0,392,0,392
2022-11-06T07:17:46,0,392,0,392
2022-11-06T07:27:03,0,392,0,392
2022-11-06T07:36:22,0,392,0,392
2022-11-06T07:45:41,0,392,0,392
2022-11-06T07:54:58,0,392,0,392
