time,enrolled,available,waitlisted,total
2022-12-05T09:58:49,0,29997,0,29997
2022-12-05T10:08:20,0,29997,0,29997
2022-12-05T10:17:41,0,29997,0,29997
2022-12-05T10:27:04,0,29997,0,29997
2022-12-05T10:36:28,0,29997,0,29997
2022-12-05T10:45:50,0,29997,0,29997
2022-12-05T10:55:11,0,29997,0,29997
2022-12-05T11:04:32,0,29997,0,29997
2022-12-05T11:13:53,0,29997,0,29997
2022-12-05T11:23:28,0,29997,0,29997
2022-12-05T11:32:50,0,29997,0,29997
2022-12-05T11:42:11,0,29997,0,29997
2022-12-05T11:51:32,0,29997,0,29997
2022-12-05T12:00:54,0,29997,0,29997
2022-12-05T12:10:16,0,29997,0,29997
2022-12-05T12:19:36,0,29997,0,29997
2022-12-05T12:29:00,0,29997,0,29997
2022-12-05T12:38:32,0,29997,0,29997
2022-12-05T12:47:53,0,29997,0,29997
2022-12-05T12:57:14,0,29997,0,29997
2022-12-05T13:06:36,0,29997,0,29997
2022-12-05T13:15:57,0,29997,0,29997
2022-12-05T13:25:19,0,29997,0,29997
2022-12-05T13:34:41,0,29997,0,29997
2022-12-05T13:44:02,0,29997,0,29997
2022-12-05T13:53:34,0,29997,0,29997
2022-12-05T14:02:56,0,29997,0,29997
2022-12-05T14:12:19,0,29997,0,29997
2022-12-05T14:21:41,0,29997,0,29997
2022-12-05T14:31:03,0,29997,0,29997
2022-12-05T14:40:27,0,29997,0,29997
2022-12-05T14:49:49,0,29997,0,29997
2022-12-05T14:59:20,0,29997,0,29997
2022-12-05T15:08:42,0,29997,0,29997
2022-12-05T15:18:03,0,29997,0,29997
2022-12-05T15:27:26,0,29997,0,29997
2022-12-05T15:36:47,0,29997,0,29997
2022-12-05T15:46:08,0,29997,0,29997
2022-12-05T15:55:30,0,29997,0,29997
2022-12-05T16:04:52,0,29997,0,29997
2022-12-05T16:14:13,0,29997,0,29997
2022-12-05T16:23:44,0,29997,0,29997
2022-12-05T16:33:05,0,29997,0,29997
2022-12-05T16:42:25,0,29997,0,29997
2022-12-05T16:51:45,0,29997,0,29997
2022-12-05T17:01:07,0,29997,0,29997
2022-12-05T17:10:28,0,29997,0,29997
2022-12-05T17:19:48,0,29997,0,29997
2022-12-05T17:29:09,0,29997,0,29997
2022-12-05T17:38:29,0,29997,0,29997
2022-12-05T17:48:00,0,29997,0,29997
2022-12-05T17:57:20,0,29997,0,29997
2022-12-05T18:06:40,0,29997,0,29997
2022-12-05T18:16:00,0,29997,0,29997
2022-12-05T18:25:20,0,29997,0,29997
2022-12-05T18:34:40,0,29997,0,29997
2022-12-05T18:44:01,0,29997,0,29997
