time,enrolled,available,waitlisted,total
2022-11-21T16:41:04,0,30,0,30
2022-11-21T16:50:30,0,30,0,30
2022-11-21T16:59:45,0,30,0,30
2022-11-21T17:09:01,0,30,0,30
2022-11-21T17:18:16,0,30,0,30
2022-11-21T17:27:31,0,30,0,30
2022-11-21T17:36:45,0,30,0,30
2022-11-21T17:45:59,0,30,0,30
2022-11-21T17:55:14,0,30,0,30
2022-11-21T18:04:29,0,30,0,30
2022-11-21T18:13:44,0,30,0,30
2022-11-21T18:23:09,0,30,0,30
2022-11-21T18:32:24,0,30,0,30
2022-11-21T18:41:40,0,30,0,30
2022-11-21T18:50:54,0,30,0,30
2022-11-21T19:00:09,0,30,0,30
2022-11-21T19:09:24,0,30,0,30
2022-11-21T19:18:37,0,30,0,30
2022-11-21T19:27:59,0,30,0,30
2022-11-21T19:37:13,0,30,0,30
2022-11-21T19:46:26,0,30,0,30
2022-11-21T19:55:38,0,30,0,30
2022-11-21T20:04:51,0,30,0,30
2022-11-21T20:14:04,0,30,0,30
2022-11-21T20:23:18,0,30,0,30
2022-11-21T20:32:31,0,30,0,30
2022-11-21T20:41:44,0,30,0,30
2022-11-21T20:50:57,0,30,0,30
2022-11-21T21:00:19,0,30,0,30
2022-11-21T21:09:31,0,30,0,30
2022-11-21T21:18:44,0,30,0,30
2022-11-21T21:27:58,0,30,0,30
2022-11-21T21:37:10,0,30,0,30
2022-11-21T21:46:23,0,30,0,30
2022-11-21T21:55:36,0,30,0,30
2022-11-21T22:04:49,0,30,0,30
2022-11-21T22:14:02,0,30,0,30
2022-11-21T22:23:14,0,30,0,30
2022-11-21T22:32:27,0,30,0,30
2022-11-21T22:41:51,0,30,0,30
2022-11-21T22:51:04,0,30,0,30
2022-11-21T23:00:17,0,30,0,30
2022-11-21T23:09:31,0,30,0,30
2022-11-21T23:18:45,0,30,0,30
2022-11-21T23:27:58,0,30,0,30
2022-11-21T23:37:12,0,30,0,30
2022-11-21T23:46:25,0,30,0,30
