time,enrolled,available,waitlisted,total
2022-11-05T20:15:20,0,100,0,100
2022-11-05T20:24:38,0,100,0,100
2022-11-05T20:33:54,0,100,0,100
2022-11-05T20:43:22,0,100,0,100
2022-11-05T20:52:38,0,100,0,100
2022-11-05T21:01:54,0,100,0,100
2022-11-05T21:11:09,0,100,0,100
2022-11-05T21:20:24,0,100,0,100
2022-11-05T21:29:40,0,100,0,100
2022-11-05T21:38:56,0,100,0,100
2022-11-05T21:48:12,0,100,0,100
2022-11-05T21:57:27,0,100,0,100
2022-11-05T22:06:42,0,100,0,100
2022-11-05T22:15:57,0,100,0,100
2022-11-05T22:25:12,0,100,0,100
2022-11-05T22:34:29,0,100,0,100
2022-11-05T22:43:46,0,100,0,100
2022-11-05T22:53:01,0,100,0,100
2022-11-05T23:02:17,0,100,0,100
2022-11-05T23:11:34,0,100,0,100
2022-11-05T23:20:50,0,100,0,100
2022-11-05T23:30:09,0,100,0,100
2022-11-05T23:39:24,0,100,0,100
2022-11-05T23:48:40,0,100,0,100
2022-11-05T23:57:56,0,100,0,100
2022-11-06T00:07:22,0,100,0,100
2022-11-06T00:16:38,0,100,0,100
2022-11-06T00:25:54,0,100,0,100
2022-11-06T00:35:09,0,100,0,100
2022-11-06T00:44:25,0,100,0,100
2022-11-06T00:53:40,0,100,0,100
2022-11-06T01:02:55,0,100,0,100
2022-11-06T01:12:10,0,100,0,100
2022-11-06T01:21:26,0,100,0,100
2022-11-06T01:30:42,0,100,0,100
2022-11-06T01:39:58,0,100,0,100
2022-11-06T01:49:14,0,100,0,100
2022-11-06T01:58:30,0,100,0,100
2022-11-06T01:07:47,0,100,0,100
2022-11-06T01:17:03,0,100,0,100
2022-11-06T01:26:18,0,100,0,100
2022-11-06T01:35:34,0,100,0,100
2022-11-06T01:44:49,0,100,0,100
2022-11-06T01:54:09,0,100,0,100
2022-11-06T02:03:27,0,100,0,100
2022-11-06T02:12:46,0,100,0,100
2022-11-06T02:22:05,0,100,0,100
2022-11-06T02:31:26,0,100,0,100
2022-11-06T02:40:45,0,100,0,100
2022-11-06T02:50:04,0,100,0,100
2022-11-06T02:59:23,0,100,0,100
2022-11-06T03:08:41,0,100,0,100
2022-11-06T03:17:57,0,100,0,100
2022-11-06T03:27:14,0,100,0,100
2022-11-06T03:36:33,0,100,0,100
2022-11-06T03:45:52,0,100,0,100
2022-11-06T03:55:13,0,100,0,100
2022-11-06T04:04:32,0,100,0,100
2022-11-06T04:19:51,0,100,0,100
2022-11-06T04:29:10,0,100,0,100
2022-11-06T04:38:29,0,100,0,100
2022-11-06T04:48:58,0,100,0,100
2022-11-06T04:58:32,0,100,0,100
2022-11-06T05:07:49,0,100,0,100
2022-11-06T05:17:07,0,100,0,100
2022-11-06T05:26:24,0,100,0,100
2022-11-06T05:35:40,0,100,0,100
2022-11-06T05:44:55,0,100,0,100
2022-11-06T05:54:12,0,100,0,100
2022-11-06T06:03:31,0,100,0,100
2022-11-06T06:12:49,0,100,0,100
2022-11-06T06:22:08,0,100,0,100
2022-11-06T06:31:24,0,100,0,100
2022-11-06T06:40:40,0,100,0,100
2022-11-06T06:49:56,0,100,0,100
2022-11-06T06:59:12,0,100,0,100
2022-11-06T07:08:29,0,100,0,100
2022-11-06T07:17:47,0,100,0,100
2022-11-06T07:27:04,0,100,0,100
2022-11-06T07:36:22,0,100,0,100
2022-11-06T07:45:41,0,100,0,100
2022-11-06T07:54:58,0,100,0,100
2022-11-06T08:04:15,0,100,0,100
2022-11-06T08:13:32,0,100,0,100
2022-11-06T08:22:49,0,100,0,100
2022-11-06T08:32:06,0,100,0,100
2022-11-06T08:41:23,0,100,0,100
2022-11-06T08:50:39,0,100,0,100
2022-11-06T08:59:57,0,100,0,100
2022-11-06T09:09:12,0,100,0,100
2022-11-06T09:18:27,0,100,0,100
2022-11-06T09:27:40,0,100,0,100
2022-11-06T09:36:53,0,100,0,100
2022-11-06T09:46:08,0,100,0,100
2022-11-06T09:55:22,0,100,0,100
2022-11-06T10:04:35,0,100,0,100
2022-11-06T10:13:48,0,100,0,100
2022-11-06T10:23:02,0,100,0,100
2022-11-06T10:32:19,0,100,0,100
2022-11-06T10:41:34,0,100,0,100
2022-11-06T10:50:48,0,100,0,100
2022-11-06T11:00:03,0,100,0,100
2022-11-06T11:09:17,0,100,0,100
2022-11-06T11:18:33,0,100,0,100
2022-11-06T11:27:53,0,100,0,100
2022-11-06T11:37:14,0,100,0,100
2022-11-06T11:46:28,0,100,0,100
2022-11-06T11:55:42,0,100,0,100
2022-11-06T12:04:56,0,100,0,100
2022-11-06T12:14:12,0,100,0,100
2022-11-06T12:23:38,0,100,0,100
2022-11-06T12:32:51,0,100,0,100
2022-11-06T12:42:06,0,100,0,100
2022-11-06T12:51:21,0,100,0,100
2022-11-06T13:00:35,0,100,0,100
2022-11-06T13:09:49,0,100,0,100
2022-11-06T13:19:05,0,100,0,100
2022-11-06T13:28:21,0,100,0,100
2022-11-06T13:37:34,0,100,0,100
2022-11-06T13:46:48,0,100,0,100
2022-11-06T13:56:01,0,100,0,100
2022-11-06T14:05:17,0,100,0,100
2022-11-06T14:14:32,0,100,0,100
2022-11-06T14:23:55,0,100,0,100
2022-11-06T14:33:08,0,100,0,100
2022-11-06T14:42:25,0,100,0,100
2022-11-06T14:51:40,0,100,0,100
2022-11-06T15:00:53,0,100,0,100
2022-11-06T15:10:07,0,100,0,100
2022-11-06T15:19:20,0,100,0,100
2022-11-06T15:28:35,0,100,0,100
2022-11-06T15:37:48,0,100,0,100
2022-11-06T15:47:03,0,100,0,100
2022-11-06T15:56:15,0,100,0,100
2022-11-06T16:05:27,0,100,0,100
2022-11-06T16:14:51,0,100,0,100
2022-11-06T16:24:06,0,100,0,100
2022-11-06T16:33:23,0,100,0,100
2022-11-06T16:42:38,0,100,0,100
2022-11-06T16:51:53,0,100,0,100
2022-11-06T17:01:08,0,100,0,100
2022-11-06T17:10:23,0,100,0,100
2022-11-06T17:19:37,0,100,0,100
2022-11-06T17:28:52,0,100,0,100
2022-11-06T17:38:08,0,100,0,100
2022-11-06T17:47:33,0,100,0,100
2022-11-06T17:56:47,0,100,0,100
2022-11-06T18:06:03,0,100,0,100
2022-11-06T18:15:18,0,100,0,100
2022-11-06T18:24:33,0,100,0,100
2022-11-06T18:33:47,0,100,0,100
2022-11-06T18:43:00,0,100,0,100
2022-11-06T18:52:14,0,100,0,100
2022-11-06T19:01:29,0,100,0,100
2022-11-06T19:10:53,0,100,0,100
2022-11-06T19:20:08,0,100,0,100
2022-11-06T19:29:23,0,100,0,100
2022-11-06T19:38:37,0,100,0,100
2022-11-06T19:47:50,0,100,0,100
2022-11-06T19:57:04,0,100,0,100
2022-11-06T20:06:18,0,100,0,100
2022-11-06T20:15:32,0,100,0,100
2022-11-06T20:24:48,0,100,0,100
2022-11-06T20:34:01,0,100,0,100
2022-11-06T20:43:24,0,100,0,100
2022-11-06T20:52:38,0,100,0,100
2022-11-06T21:01:53,0,100,0,100
2022-11-06T21:11:07,0,100,0,100
2022-11-06T21:20:19,0,100,0,100
2022-11-06T21:29:32,0,100,0,100
2022-11-06T21:38:46,0,100,0,100
2022-11-06T21:48:01,0,100,0,100
2022-11-06T21:57:25,0,100,0,100
2022-11-06T22:06:41,0,100,0,100
2022-11-06T22:15:56,0,100,0,100
2022-11-06T22:25:11,0,100,0,100
2022-11-06T22:34:27,0,100,0,100
2022-11-06T22:43:41,0,100,0,100
2022-11-06T22:52:55,0,100,0,100
2022-11-06T23:02:11,0,100,0,100
2022-11-06T23:11:36,0,100,0,100
2022-11-06T23:20:51,0,100,0,100
2022-11-06T23:30:07,0,100,0,100
2022-11-06T23:39:23,0,100,0,100
2022-11-06T23:48:38,0,100,0,100
2022-11-06T23:57:54,0,100,0,100
2022-11-07T00:08:55,0,100,0,100
2022-11-07T00:18:17,0,100,0,100
2022-11-07T00:27:44,0,100,0,100
2022-11-07T00:37:02,0,100,0,100
2022-11-07T00:46:16,0,100,0,100
2022-11-07T00:55:31,0,100,0,100
2022-11-07T01:04:45,0,100,0,100
2022-11-07T01:14:06,0,100,0,100
2022-11-07T01:23:22,0,100,0,100
2022-11-07T01:32:37,0,100,0,100
2022-11-07T01:42:02,0,100,0,100
2022-11-07T01:51:17,0,100,0,100
2022-11-07T02:00:31,0,100,0,100
2022-11-07T02:09:46,0,100,0,100
2022-11-07T02:19:00,0,100,0,100
2022-11-07T02:28:15,0,100,0,100
2022-11-07T02:37:30,0,100,0,100
2022-11-07T02:46:44,0,100,0,100
2022-11-07T02:55:58,0,100,0,100
2022-11-07T03:05:13,0,100,0,100
2022-11-07T03:14:27,0,100,0,100
2022-11-07T03:23:42,0,100,0,100
2022-11-07T03:32:58,0,100,0,100
2022-11-07T03:42:14,0,100,0,100
2022-11-07T03:51:29,0,100,0,100
2022-11-07T04:00:47,0,100,0,100
2022-11-07T04:10:05,0,100,0,100
2022-11-07T04:27:15,0,100,0,100
2022-11-07T04:36:53,0,100,0,100
2022-11-07T04:46:11,0,100,0,100
2022-11-07T04:55:27,0,100,0,100
2022-11-07T05:04:42,0,100,0,100
2022-11-07T05:13:57,0,100,0,100
2022-11-07T05:23:10,0,100,0,100
2022-11-07T05:32:24,0,100,0,100
2022-11-07T05:41:38,0,100,0,100
2022-11-07T05:50:54,0,100,0,100
2022-11-07T06:00:10,0,100,0,100
2022-11-07T06:09:27,0,100,0,100
2022-11-07T06:18:44,0,100,0,100
2022-11-07T06:28:02,0,100,0,100
2022-11-07T06:37:19,0,100,0,100
2022-11-07T06:46:35,0,100,0,100
2022-11-07T06:55:51,0,100,0,100
2022-11-07T07:05:08,0,100,0,100
2022-11-07T07:14:25,0,100,0,100
2022-11-07T07:23:43,0,100,0,100
2022-11-07T07:33:00,0,100,0,100
2022-11-07T07:42:17,0,100,0,100
2022-11-07T07:51:35,0,100,0,100
2022-11-07T08:00:56,0,100,0,100
2022-11-07T08:10:15,0,100,0,100
2022-11-07T08:19:33,0,100,0,100
2022-11-07T08:28:52,0,100,0,100
2022-11-07T08:38:20,0,100,0,100
2022-11-07T08:47:38,0,100,0,100
2022-11-07T08:56:55,0,100,0,100
2022-11-07T09:06:13,0,100,0,100
2022-11-07T09:15:36,0,100,0,100
2022-11-07T09:24:55,0,100,0,100
2022-11-07T09:34:15,0,100,0,100
2022-11-07T09:43:51,0,100,0,100
2022-11-07T09:53:11,0,100,0,100
2022-11-07T10:02:29,1,99,0,100
2022-11-07T10:11:48,1,99,0,100
2022-11-07T10:21:07,0,100,0,100
2022-11-07T10:30:27,0,100,0,100
2022-11-07T10:39:59,0,100,0,100
2022-11-07T10:49:18,0,100,0,100
2022-11-07T10:58:37,0,100,0,100
2022-11-07T11:07:57,0,100,0,100
2022-11-07T11:17:19,1,99,0,100
2022-11-07T11:26:49,1,99,0,100
2022-11-07T11:36:10,2,98,0,100
2022-11-07T11:45:30,2,98,0,100
2022-11-07T11:54:47,2,98,0,100
2022-11-07T12:04:06,2,98,0,100
2022-11-07T12:13:35,2,98,0,100
2022-11-07T12:22:55,2,98,0,100
2022-11-07T12:32:15,2,98,0,100
2022-11-07T12:41:35,2,98,0,100
2022-11-07T12:51:05,2,98,0,100
2022-11-07T13:00:26,2,98,0,100
2022-11-07T13:09:44,2,98,0,100
2022-11-07T13:19:06,2,98,0,100
2022-11-07T13:28:37,2,98,0,100
2022-11-07T13:37:58,2,98,0,100
2022-11-07T13:47:20,2,98,0,100
2022-11-07T13:56:51,2,98,0,100
2022-11-07T14:06:11,2,98,0,100
2022-11-07T14:15:30,2,98,0,100
2022-11-07T14:24:51,2,98,0,100
2022-11-07T14:34:20,2,98,0,100
2022-11-07T14:43:40,2,98,0,100
