time,enrolled,available,waitlisted,total
2022-11-05T20:15:39,0,70,0,70
2022-11-05T20:24:57,0,70,0,70
2022-11-05T20:34:13,0,70,0,70
2022-11-05T20:43:41,0,70,0,70
2022-11-05T20:52:57,0,70,0,70
2022-11-05T21:02:13,0,70,0,70
2022-11-05T21:11:28,0,70,0,70
2022-11-05T21:20:43,0,70,0,70
2022-11-05T21:29:59,0,70,0,70
2022-11-05T21:39:15,0,70,0,70
2022-11-05T21:48:31,0,70,0,70
2022-11-05T21:57:46,0,70,0,70
2022-11-05T22:07:01,0,70,0,70
2022-11-05T22:16:17,0,70,0,70
2022-11-05T22:25:31,0,70,0,70
2022-11-05T22:34:48,0,70,0,70
2022-11-05T22:44:05,0,70,0,70
2022-11-05T22:53:20,0,70,0,70
2022-11-05T23:02:37,0,70,0,70
2022-11-05T23:11:53,0,70,0,70
2022-11-05T23:21:09,0,70,0,70
2022-11-05T23:30:28,0,70,0,70
2022-11-05T23:39:43,0,70,0,70
2022-11-05T23:48:59,0,70,0,70
2022-11-05T23:58:15,0,70,0,70
2022-11-06T00:07:41,0,70,0,70
2022-11-06T00:16:57,0,70,0,70
2022-11-06T00:26:13,0,70,0,70
2022-11-06T00:35:28,0,70,0,70
2022-11-06T00:44:44,0,70,0,70
2022-11-06T00:53:59,0,70,0,70
2022-11-06T01:03:14,0,70,0,70
2022-11-06T01:12:30,0,70,0,70
2022-11-06T01:21:45,0,70,0,70
2022-11-06T01:31:01,0,70,0,70
2022-11-06T01:40:17,0,70,0,70
2022-11-06T01:49:33,0,70,0,70
2022-11-06T01:58:49,0,70,0,70
2022-11-06T01:08:07,0,70,0,70
2022-11-06T01:17:22,0,70,0,70
2022-11-06T01:26:37,0,70,0,70
2022-11-06T01:35:54,0,70,0,70
2022-11-06T01:45:09,0,70,0,70
2022-11-06T01:54:28,0,70,0,70
2022-11-06T02:03:46,0,70,0,70
2022-11-06T02:13:05,0,70,0,70
2022-11-06T02:22:24,0,70,0,70
2022-11-06T02:31:45,0,70,0,70
2022-11-06T02:41:04,0,70,0,70
2022-11-06T02:50:23,0,70,0,70
2022-11-06T02:59:42,0,70,0,70
2022-11-06T03:09:00,0,70,0,70
2022-11-06T03:18:17,0,70,0,70
2022-11-06T03:27:34,0,70,0,70
2022-11-06T03:36:52,0,70,0,70
2022-11-06T03:46:12,0,70,0,70
2022-11-06T03:55:32,0,70,0,70
2022-11-06T04:04:51,0,70,0,70
2022-11-06T04:20:10,0,70,0,70
2022-11-06T04:29:29,0,70,0,70
2022-11-06T04:38:49,0,70,0,70
2022-11-06T04:49:17,0,70,0,70
2022-11-06T04:58:51,0,70,0,70
2022-11-06T05:08:08,0,70,0,70
2022-11-06T05:17:26,0,70,0,70
2022-11-06T05:26:43,0,70,0,70
2022-11-06T05:35:59,0,70,0,70
2022-11-06T05:45:14,0,70,0,70
2022-11-06T05:54:31,0,70,0,70
2022-11-06T06:03:50,0,70,0,70
2022-11-06T06:13:08,0,70,0,70
2022-11-06T06:22:27,0,70,0,70
2022-11-06T06:31:43,0,70,0,70
2022-11-06T06:41:00,0,70,0,70
2022-11-06T06:50:15,0,70,0,70
2022-11-06T06:59:31,0,70,0,70
2022-11-06T07:08:49,0,70,0,70
2022-11-06T07:18:06,0,70,0,70
2022-11-06T07:27:23,0,70,0,70
2022-11-06T07:36:42,0,70,0,70
2022-11-06T07:46:00,0,70,0,70
2022-11-06T07:55:18,0,70,0,70
2022-11-06T08:04:34,0,70,0,70
2022-11-06T08:13:51,0,70,0,70
2022-11-06T08:23:08,0,70,0,70
2022-11-06T08:32:26,0,70,0,70
2022-11-06T08:41:42,0,70,0,70
2022-11-06T08:50:58,0,70,0,70
2022-11-06T09:00:16,0,70,0,70
2022-11-06T09:09:31,0,70,0,70
2022-11-06T09:18:46,0,70,0,70
2022-11-06T09:27:59,0,70,0,70
2022-11-06T09:37:13,0,70,0,70
2022-11-06T09:46:27,0,70,0,70
2022-11-06T09:55:41,0,70,0,70
2022-11-06T10:04:54,0,70,0,70
2022-11-06T10:14:07,0,70,0,70
2022-11-06T10:23:21,0,70,0,70
2022-11-06T10:32:38,0,70,0,70
2022-11-06T10:41:53,0,70,0,70
