time,enrolled,available,waitlisted,total
2022-11-05T20:15:42,0,210,0,210
2022-11-05T20:25:00,0,210,0,210
2022-11-05T20:34:16,0,210,0,210
2022-11-05T20:43:44,0,210,0,210
2022-11-05T20:53:00,0,210,0,210
2022-11-05T21:02:16,0,210,0,210
2022-11-05T21:11:31,0,210,0,210
2022-11-05T21:20:46,0,210,0,210
2022-11-05T21:30:02,0,210,0,210
2022-11-05T21:39:18,0,210,0,210
2022-11-05T21:48:34,0,210,0,210
2022-11-05T21:57:49,0,210,0,210
2022-11-05T22:07:04,0,210,0,210
2022-11-05T22:16:20,0,210,0,210
2022-11-05T22:25:34,0,210,0,210
2022-11-05T22:34:51,0,210,0,210
2022-11-05T22:44:08,0,210,0,210
2022-11-05T22:53:23,0,210,0,210
2022-11-05T23:02:40,0,210,0,210
2022-11-05T23:11:56,0,210,0,210
2022-11-05T23:21:12,0,210,0,210
2022-11-05T23:30:31,0,210,0,210
2022-11-05T23:39:46,0,210,0,210
2022-11-05T23:49:02,0,210,0,210
2022-11-05T23:58:18,0,210,0,210
2022-11-06T00:07:44,0,210,0,210
2022-11-06T00:17:00,0,210,0,210
2022-11-06T00:26:16,0,210,0,210
2022-11-06T00:35:31,0,210,0,210
2022-11-06T00:44:47,0,210,0,210
2022-11-06T00:54:02,0,210,0,210
2022-11-06T01:03:17,0,210,0,210
2022-11-06T01:12:33,0,210,0,210
2022-11-06T01:21:48,0,210,0,210
2022-11-06T01:31:04,0,210,0,210
2022-11-06T01:40:20,0,210,0,210
2022-11-06T01:49:36,0,210,0,210
2022-11-06T01:58:52,0,210,0,210
2022-11-06T01:08:10,0,210,0,210
2022-11-06T01:17:25,0,210,0,210
2022-11-06T01:26:41,0,210,0,210
2022-11-06T01:35:57,0,210,0,210
2022-11-06T01:45:12,0,210,0,210
2022-11-06T01:54:31,0,210,0,210
2022-11-06T02:03:49,0,210,0,210
2022-11-06T02:13:08,0,210,0,210
2022-11-06T02:22:27,0,210,0,210
2022-11-06T02:31:48,0,210,0,210
2022-11-06T02:41:07,0,210,0,210
2022-11-06T02:50:26,0,210,0,210
2022-11-06T02:59:45,0,210,0,210
2022-11-06T03:09:03,0,210,0,210
2022-11-06T03:18:20,0,210,0,210
2022-11-06T03:27:37,0,210,0,210
2022-11-06T03:36:55,0,210,0,210
2022-11-06T03:46:16,0,210,0,210
2022-11-06T03:55:35,0,210,0,210
2022-11-06T04:04:54,0,210,0,210
2022-11-06T04:20:13,0,210,0,210
2022-11-06T04:29:33,0,210,0,210
2022-11-06T04:38:52,0,210,0,210
2022-11-06T04:49:20,0,210,0,210
2022-11-06T04:58:54,0,210,0,210
2022-11-06T05:08:11,0,210,0,210
2022-11-06T05:17:29,0,210,0,210
2022-11-06T05:26:46,0,210,0,210
2022-11-06T05:36:02,0,210,0,210
2022-11-06T05:45:17,0,210,0,210
2022-11-06T05:54:34,0,210,0,210
2022-11-06T06:03:53,0,210,0,210
2022-11-06T06:13:11,0,210,0,210
2022-11-06T06:22:30,0,210,0,210
2022-11-06T06:31:46,0,210,0,210
2022-11-06T06:41:03,0,210,0,210
2022-11-06T06:50:18,0,210,0,210
2022-11-06T06:59:35,0,210,0,210
2022-11-06T07:08:52,0,210,0,210
2022-11-06T07:18:09,0,210,0,210
2022-11-06T07:27:26,0,210,0,210
2022-11-06T07:36:45,0,210,0,210
2022-11-06T07:46:03,0,210,0,210
2022-11-06T07:55:21,0,210,0,210
2022-11-06T08:04:37,0,210,0,210
2022-11-06T08:13:54,0,210,0,210
2022-11-06T08:23:11,0,210,0,210
2022-11-06T08:32:29,0,210,0,210
2022-11-06T08:41:45,0,210,0,210
2022-11-06T08:51:01,0,210,0,210
2022-11-06T09:00:19,0,210,0,210
2022-11-06T09:09:34,0,210,0,210
2022-11-06T09:18:49,0,210,0,210
2022-11-06T09:28:02,0,210,0,210
2022-11-06T09:37:16,0,210,0,210
2022-11-06T09:46:30,0,210,0,210
2022-11-06T09:55:44,0,210,0,210
2022-11-06T10:04:57,0,210,0,210
2022-11-06T10:14:10,0,210,0,210
2022-11-06T10:23:24,0,210,0,210
2022-11-06T10:32:41,0,210,0,210
2022-11-06T10:41:56,0,210,0,210
2022-11-06T10:51:10,0,210,0,210
2022-11-06T11:00:26,0,210,0,210
2022-11-06T11:09:39,0,210,0,210
2022-11-06T11:18:56,0,210,0,210
2022-11-06T11:28:16,0,210,0,210
2022-11-06T11:37:36,0,210,0,210
2022-11-06T11:46:50,0,210,0,210
2022-11-06T11:56:05,0,210,0,210
2022-11-06T12:05:18,0,210,0,210
2022-11-06T12:14:34,0,210,0,210
2022-11-06T12:24:00,0,210,0,210
2022-11-06T12:33:13,0,210,0,210
2022-11-06T12:42:28,0,210,0,210
2022-11-06T12:51:43,0,210,0,210
2022-11-06T13:00:57,0,210,0,210
2022-11-06T13:10:11,0,210,0,210
2022-11-06T13:19:27,0,210,0,210
2022-11-06T13:28:43,0,210,0,210
2022-11-06T13:37:56,0,210,0,210
2022-11-06T13:47:10,0,210,0,210
2022-11-06T13:56:23,0,210,0,210
2022-11-06T14:05:39,0,210,0,210
2022-11-06T14:14:54,0,210,0,210
2022-11-06T14:24:17,0,210,0,210
2022-11-06T14:33:30,0,210,0,210
