time,enrolled,available,waitlisted,total
2022-11-05T20:15:59,0,60,0,60
2022-11-05T20:25:17,0,60,0,60
2022-11-05T20:34:33,0,60,0,60
2022-11-05T20:44:01,0,60,0,60
2022-11-05T20:53:17,0,60,0,60
2022-11-05T21:02:33,0,60,0,60
2022-11-05T21:11:47,0,60,0,60
2022-11-05T21:21:02,0,60,0,60
2022-11-05T21:30:19,0,60,0,60
2022-11-05T21:39:35,0,60,0,60
2022-11-05T21:48:51,0,60,0,60
2022-11-05T21:58:05,0,60,0,60
2022-11-05T22:07:21,0,60,0,60
2022-11-05T22:16:36,0,60,0,60
2022-11-05T22:25:51,0,60,0,60
2022-11-05T22:35:08,0,60,0,60
2022-11-05T22:44:25,0,60,0,60
2022-11-05T22:53:40,0,60,0,60
2022-11-05T23:02:56,0,60,0,60
2022-11-05T23:12:13,0,60,0,60
2022-11-05T23:21:29,0,60,0,60
2022-11-05T23:30:48,0,60,0,60
2022-11-05T23:40:02,0,60,0,60
2022-11-05T23:49:19,0,60,0,60
2022-11-05T23:58:35,0,60,0,60
2022-11-06T00:08:00,0,60,0,60
2022-11-06T00:17:17,0,60,0,60
2022-11-06T00:26:33,0,60,0,60
2022-11-06T00:35:48,0,60,0,60
2022-11-06T00:45:04,0,60,0,60
2022-11-06T00:54:19,0,60,0,60
2022-11-06T01:03:34,0,60,0,60
2022-11-06T01:12:49,0,60,0,60
2022-11-06T01:22:05,0,60,0,60
2022-11-06T01:31:21,0,60,0,60
2022-11-06T01:40:37,0,60,0,60
2022-11-06T01:49:52,0,60,0,60
2022-11-06T01:59:08,0,60,0,60
2022-11-06T01:08:26,0,60,0,60
2022-11-06T01:17:42,0,60,0,60
2022-11-06T01:26:57,0,60,0,60
2022-11-06T01:36:13,0,60,0,60
2022-11-06T01:45:29,0,60,0,60
2022-11-06T01:54:47,0,60,0,60
2022-11-06T02:04:06,0,60,0,60
2022-11-06T02:13:25,0,60,0,60
2022-11-06T02:22:44,0,60,0,60
2022-11-06T02:32:05,0,60,0,60
2022-11-06T02:41:24,0,60,0,60
2022-11-06T02:50:43,0,60,0,60
2022-11-06T03:00:02,0,60,0,60
2022-11-06T03:09:20,0,60,0,60
2022-11-06T03:18:36,0,60,0,60
2022-11-06T03:27:53,0,60,0,60
2022-11-06T03:37:12,0,60,0,60
2022-11-06T03:46:32,0,60,0,60
2022-11-06T03:55:52,0,60,0,60
2022-11-06T04:05:10,0,60,0,60
2022-11-06T04:20:30,0,60,0,60
2022-11-06T04:29:49,0,60,0,60
2022-11-06T04:39:08,0,60,0,60
2022-11-06T04:49:37,0,60,0,60
2022-11-06T04:59:11,0,60,0,60
2022-11-06T05:08:28,0,60,0,60
2022-11-06T05:17:45,0,60,0,60
2022-11-06T05:27:02,0,60,0,60
2022-11-06T05:36:19,0,60,0,60
2022-11-06T05:45:33,0,60,0,60
2022-11-06T05:54:51,0,60,0,60
2022-11-06T06:04:10,0,60,0,60
2022-11-06T06:13:28,0,60,0,60
2022-11-06T06:22:47,0,60,0,60
2022-11-06T06:32:03,0,60,0,60
2022-11-06T06:41:19,0,60,0,60
2022-11-06T06:50:34,0,60,0,60
2022-11-06T06:59:51,0,60,0,60
2022-11-06T07:09:08,0,60,0,60
2022-11-06T07:18:26,0,60,0,60
2022-11-06T07:27:43,0,60,0,60
2022-11-06T07:37:01,0,60,0,60
2022-11-06T07:46:20,0,60,0,60
2022-11-06T07:55:37,0,60,0,60
2022-11-06T08:04:54,0,60,0,60
2022-11-06T08:14:11,0,60,0,60
2022-11-06T08:23:27,0,60,0,60
2022-11-06T08:32:45,0,60,0,60
2022-11-06T08:42:01,0,60,0,60
2022-11-06T08:51:18,0,60,0,60
2022-11-06T09:00:35,0,60,0,60
2022-11-06T09:09:50,0,60,0,60
2022-11-06T09:19:05,0,60,0,60
2022-11-06T09:28:19,0,60,0,60
2022-11-06T09:37:32,0,60,0,60
2022-11-06T09:46:46,0,60,0,60
2022-11-06T09:56:01,0,60,0,60
2022-11-06T10:05:14,0,60,0,60
2022-11-06T10:14:27,0,60,0,60
2022-11-06T10:23:41,0,60,0,60
2022-11-06T10:32:58,0,60,0,60
2022-11-06T10:42:12,0,60,0,60
2022-11-06T10:51:27,0,60,0,60
2022-11-06T11:00:42,0,60,0,60
2022-11-06T11:09:56,0,60,0,60
2022-11-06T11:19:12,0,60,0,60
2022-11-06T11:28:32,0,60,0,60
2022-11-06T11:37:52,0,60,0,60
2022-11-06T11:47:07,0,60,0,60
2022-11-06T11:56:21,0,60,0,60
2022-11-06T12:05:35,0,60,0,60
2022-11-06T12:14:51,0,60,0,60
2022-11-06T12:24:16,0,60,0,60
2022-11-06T12:33:30,0,60,0,60
2022-11-06T12:42:45,0,60,0,60
2022-11-06T12:51:59,0,60,0,60
2022-11-06T13:01:13,0,60,0,60
2022-11-06T13:10:28,0,60,0,60
2022-11-06T13:19:44,0,60,0,60
2022-11-06T13:28:59,0,60,0,60
2022-11-06T13:38:13,0,60,0,60
2022-11-06T13:47:26,0,60,0,60
2022-11-06T13:56:40,0,60,0,60
2022-11-06T14:05:56,0,60,0,60
2022-11-06T14:15:11,0,60,0,60
2022-11-06T14:24:34,0,60,0,60
2022-11-06T14:33:47,0,60,0,60
2022-11-06T14:43:03,0,60,0,60
2022-11-06T14:52:19,0,60,0,60
2022-11-06T15:01:32,0,60,0,60
2022-11-06T15:10:46,0,60,0,60
2022-11-06T15:19:59,0,60,0,60
2022-11-06T15:29:13,0,60,0,60
2022-11-06T15:38:26,0,60,0,60
2022-11-06T15:47:41,0,60,0,60
2022-11-06T15:56:53,0,60,0,60
2022-11-06T16:06:06,0,60,0,60
2022-11-06T16:15:30,0,60,0,60
2022-11-06T16:24:45,0,60,0,60
2022-11-06T16:34:01,0,60,0,60
2022-11-06T16:43:16,0,60,0,60
2022-11-06T16:52:32,0,60,0,60
2022-11-06T17:01:47,0,60,0,60
2022-11-06T17:11:01,0,60,0,60
2022-11-06T17:20:16,0,60,0,60
2022-11-06T17:29:31,0,60,0,60
2022-11-06T17:38:47,0,60,0,60
2022-11-06T17:48:11,0,60,0,60
2022-11-06T17:57:26,0,60,0,60
2022-11-06T18:06:41,0,60,0,60
2022-11-06T18:15:57,0,60,0,60
2022-11-06T18:25:12,0,60,0,60
2022-11-06T18:34:25,0,60,0,60
2022-11-06T18:43:39,0,60,0,60
2022-11-06T18:52:53,0,60,0,60
2022-11-06T19:02:08,0,60,0,60
2022-11-06T19:11:32,0,60,0,60
2022-11-06T19:20:47,0,60,0,60
2022-11-06T19:30:02,0,60,0,60
2022-11-06T19:39:15,0,60,0,60
2022-11-06T19:48:29,0,60,0,60
2022-11-06T19:57:43,0,60,0,60
2022-11-06T20:06:56,0,60,0,60
2022-11-06T20:16:11,0,60,0,60
2022-11-06T20:25:26,0,60,0,60
2022-11-06T20:34:40,0,60,0,60
2022-11-06T20:44:02,0,60,0,60
2022-11-06T20:53:17,0,60,0,60
2022-11-06T21:02:31,0,60,0,60
2022-11-06T21:11:46,0,60,0,60
2022-11-06T21:20:58,0,60,0,60
2022-11-06T21:30:11,0,60,0,60
2022-11-06T21:39:25,0,60,0,60
2022-11-06T21:48:40,0,60,0,60
2022-11-06T21:58:04,0,60,0,60
2022-11-06T22:07:20,0,60,0,60
2022-11-06T22:16:35,0,60,0,60
2022-11-06T22:25:50,0,60,0,60
2022-11-06T22:35:05,0,60,0,60
2022-11-06T22:44:19,0,60,0,60
2022-11-06T22:53:33,0,60,0,60
2022-11-06T23:02:49,0,60,0,60
2022-11-06T23:12:15,0,60,0,60
2022-11-06T23:21:30,0,60,0,60
2022-11-06T23:30:46,0,60,0,60
2022-11-06T23:40:02,0,60,0,60
2022-11-06T23:49:17,0,60,0,60
2022-11-06T23:58:33,0,60,0,60
2022-11-07T00:09:34,0,60,0,60
2022-11-07T00:18:55,0,60,0,60
2022-11-07T00:28:23,0,60,0,60
2022-11-07T00:37:41,0,60,0,60
2022-11-07T00:46:55,0,60,0,60
2022-11-07T00:56:09,0,60,0,60
2022-11-07T01:05:24,0,60,0,60
2022-11-07T01:14:45,0,60,0,60
2022-11-07T01:24:01,0,60,0,60
2022-11-07T01:33:16,0,60,0,60
2022-11-07T01:42:41,0,60,0,60
2022-11-07T01:51:55,0,60,0,60
2022-11-07T02:01:10,0,60,0,60
2022-11-07T02:10:24,0,60,0,60
2022-11-07T02:19:40,0,60,0,60
2022-11-07T02:28:54,0,60,0,60
2022-11-07T02:38:08,0,60,0,60
2022-11-07T02:47:22,0,60,0,60
2022-11-07T02:56:36,0,60,0,60
2022-11-07T03:05:51,0,60,0,60
2022-11-07T03:15:06,0,60,0,60
2022-11-07T03:24:21,0,60,0,60
2022-11-07T03:33:37,0,60,0,60
2022-11-07T03:42:53,0,60,0,60
2022-11-07T03:52:08,0,60,0,60
2022-11-07T04:01:26,0,60,0,60
2022-11-07T04:10:44,0,60,0,60
2022-11-07T04:28:16,0,60,0,60
2022-11-07T04:37:32,0,60,0,60
2022-11-07T04:46:50,0,60,0,60
2022-11-07T04:56:05,0,60,0,60
2022-11-07T05:05:20,0,60,0,60
2022-11-07T05:14:35,0,60,0,60
2022-11-07T05:23:49,0,60,0,60
