time,enrolled,available,waitlisted,total
2022-11-05T20:15:59,0,30,0,30
2022-11-05T20:25:17,0,30,0,30
2022-11-05T20:34:33,0,30,0,30
2022-11-05T20:44:01,0,30,0,30
2022-11-05T20:53:17,0,30,0,30
2022-11-05T21:02:33,0,30,0,30
2022-11-05T21:11:48,0,30,0,30
2022-11-05T21:21:03,0,30,0,30
2022-11-05T21:30:19,0,30,0,30
2022-11-05T21:39:35,0,30,0,30
2022-11-05T21:48:51,0,30,0,30
2022-11-05T21:58:06,0,30,0,30
2022-11-05T22:07:21,0,30,0,30
2022-11-05T22:16:37,0,30,0,30
2022-11-05T22:25:51,0,30,0,30
2022-11-05T22:35:08,0,30,0,30
2022-11-05T22:44:25,0,30,0,30
2022-11-05T22:53:41,0,30,0,30
2022-11-05T23:02:57,0,30,0,30
2022-11-05T23:12:13,0,30,0,30
2022-11-05T23:21:29,0,30,0,30
2022-11-05T23:30:48,0,30,0,30
2022-11-05T23:40:03,0,30,0,30
2022-11-05T23:49:19,0,30,0,30
2022-11-05T23:58:35,0,30,0,30
2022-11-06T00:08:01,0,30,0,30
2022-11-06T00:17:17,0,30,0,30
2022-11-06T00:26:33,0,30,0,30
2022-11-06T00:35:48,0,30,0,30
2022-11-06T00:45:04,0,30,0,30
2022-11-06T00:54:19,0,30,0,30
2022-11-06T01:03:34,0,30,0,30
2022-11-06T01:12:50,0,30,0,30
2022-11-06T01:22:05,0,30,0,30
2022-11-06T01:31:21,0,30,0,30
2022-11-06T01:40:38,0,30,0,30
2022-11-06T01:49:53,0,30,0,30
2022-11-06T01:59:09,0,30,0,30
2022-11-06T01:08:27,0,30,0,30
2022-11-06T01:17:42,0,30,0,30
2022-11-06T01:26:58,0,30,0,30
2022-11-06T01:36:14,0,30,0,30
2022-11-06T01:45:29,0,30,0,30
2022-11-06T01:54:48,0,30,0,30
2022-11-06T02:04:06,0,30,0,30
2022-11-06T02:13:25,0,30,0,30
2022-11-06T02:22:44,0,30,0,30
2022-11-06T02:32:05,0,30,0,30
2022-11-06T02:41:24,0,30,0,30
2022-11-06T02:50:43,0,30,0,30
2022-11-06T03:00:02,0,30,0,30
2022-11-06T03:09:20,0,30,0,30
2022-11-06T03:18:37,0,30,0,30
2022-11-06T03:27:54,0,30,0,30
2022-11-06T03:37:13,0,30,0,30
2022-11-06T03:46:33,0,30,0,30
2022-11-06T03:55:52,0,30,0,30
2022-11-06T04:05:11,0,30,0,30
2022-11-06T04:20:30,0,30,0,30
2022-11-06T04:29:50,0,30,0,30
2022-11-06T04:39:09,0,30,0,30
2022-11-06T04:49:38,0,30,0,30
2022-11-06T04:59:11,0,30,0,30
2022-11-06T05:08:29,0,30,0,30
2022-11-06T05:17:46,0,30,0,30
2022-11-06T05:27:03,0,30,0,30
2022-11-06T05:36:19,0,30,0,30
