time,enrolled,available,waitlisted,total
2023-01-11T07:55:55,0,9999,0,9999
2023-01-11T08:05:27,0,9999,0,9999
2023-01-11T08:15:00,0,9999,0,9999
2023-01-11T08:24:34,0,9999,0,9999
2023-01-11T08:34:17,0,9999,0,9999
2023-01-11T08:43:53,0,9999,0,9999
2023-01-11T08:53:26,0,9999,0,9999
2023-01-11T09:17:34,0,9999,0,9999
2023-01-11T09:27:29,0,9999,0,9999
2023-01-11T09:37:04,0,9999,0,9999
2023-01-11T09:46:38,0,9999,0,9999
2023-01-11T09:56:13,0,9999,0,9999
2023-01-11T10:05:51,0,9999,0,9999
2023-01-11T10:15:24,0,9999,0,9999
2023-01-11T10:25:11,0,9999,0,9999
2023-01-11T10:34:44,0,9999,0,9999
2023-01-11T10:44:18,0,9999,0,9999
2023-01-11T11:14:25,0,9999,0,9999
2023-01-11T12:09:03,0,9999,0,9999
2023-01-11T12:18:40,0,9999,0,9999
2023-01-11T12:28:18,0,9999,0,9999
2023-01-11T12:37:54,0,9999,0,9999
2023-01-11T12:47:43,0,9999,0,9999
2023-01-11T12:57:24,0,9999,0,9999
2023-01-11T13:07:05,0,9999,0,9999
2023-01-11T13:16:41,0,9999,0,9999
2023-01-11T13:26:30,0,9999,0,9999
2023-01-11T13:36:09,0,9999,0,9999
2023-01-11T13:45:54,0,9999,0,9999
2023-01-11T13:55:40,0,9999,0,9999
2023-01-11T14:05:35,0,9999,0,9999
2023-01-11T14:15:20,0,9999,0,9999
2023-01-11T14:24:58,0,9999,0,9999
2023-01-11T14:34:42,0,9999,0,9999
2023-01-11T14:44:35,0,9999,0,9999
2023-01-11T14:54:13,0,9999,0,9999
2023-01-11T15:03:55,0,9999,0,9999
2023-01-11T15:13:35,0,9999,0,9999
2023-01-11T15:23:07,0,9999,0,9999
2023-01-11T15:32:58,0,9999,0,9999
2023-01-11T15:42:39,0,9999,0,9999
2023-01-11T15:52:19,0,9999,0,9999
2023-01-11T16:02:05,0,9999,0,9999
2023-01-11T16:11:39,0,9999,0,9999
2023-01-11T16:21:24,0,9999,0,9999
2023-01-11T16:30:58,0,9999,0,9999
2023-01-11T16:40:31,0,9999,0,9999
2023-01-11T16:50:06,0,9999,0,9999
2023-01-11T16:59:45,0,9999,0,9999
2023-01-11T17:09:18,0,9999,0,9999
2023-01-11T17:19:01,0,9999,0,9999
2023-01-11T17:28:41,0,9999,0,9999
2023-01-11T17:38:12,0,9999,0,9999
2023-01-11T17:47:45,0,9999,0,9999
2023-01-11T17:57:17,0,9999,0,9999
2023-01-11T18:06:49,0,9999,0,9999
2023-01-11T18:16:22,0,9999,0,9999
2023-01-11T18:26:04,0,9999,0,9999
2023-01-11T18:35:35,0,9999,0,9999
2023-01-11T18:45:06,0,9999,0,9999
2023-01-11T18:54:37,0,9999,0,9999
2023-01-11T19:04:09,0,9999,0,9999
2023-01-11T19:13:40,0,9999,0,9999
2023-01-11T19:23:11,0,9999,0,9999
2023-01-11T19:32:43,0,9999,0,9999
2023-01-11T19:42:14,0,9999,0,9999
2023-01-11T19:51:56,0,9999,0,9999
2023-01-11T20:01:26,0,9999,0,9999
2023-01-11T20:10:56,0,9999,0,9999
2023-01-11T20:20:26,0,9999,0,9999
2023-01-11T20:29:57,0,9999,0,9999
2023-01-11T20:39:27,0,9999,0,9999
2023-01-11T20:48:58,0,9999,0,9999
2023-01-11T20:58:27,0,9999,0,9999
2023-01-11T21:07:58,0,9999,0,9999
2023-01-11T21:17:30,0,9999,0,9999
2023-01-11T21:27:09,0,9999,0,9999
2023-01-11T21:36:39,0,9999,0,9999
2023-01-11T21:46:10,0,9999,0,9999
2023-01-11T21:55:41,0,9999,0,9999
2023-01-11T22:05:13,0,9999,0,9999
2023-01-11T22:14:43,0,9999,0,9999
2023-01-11T22:24:14,0,9999,0,9999
2023-01-11T22:33:44,0,9999,0,9999
2023-01-11T22:43:25,0,9999,0,9999
2023-01-11T22:52:55,0,9999,0,9999
2023-01-11T23:02:25,0,9999,0,9999
