time,enrolled,available,waitlisted,total
2022-11-05T20:16:03,0,115,0,115
2022-11-05T20:25:21,0,115,0,115
2022-11-05T20:34:37,0,115,0,115
2022-11-05T20:44:05,0,115,0,115
2022-11-05T20:53:21,0,115,0,115
2022-11-05T21:02:37,0,115,0,115
2022-11-05T21:11:52,0,115,0,115
2022-11-05T21:21:07,0,115,0,115
2022-11-05T21:30:23,0,115,0,115
2022-11-05T21:39:39,0,115,0,115
2022-11-05T21:48:55,0,115,0,115
2022-11-05T21:58:10,0,115,0,115
2022-11-05T22:07:25,0,115,0,115
2022-11-05T22:16:41,0,115,0,115
2022-11-05T22:25:55,0,115,0,115
2022-11-05T22:35:12,0,115,0,115
2022-11-05T22:44:29,0,115,0,115
2022-11-05T22:53:44,0,115,0,115
2022-11-05T23:03:01,0,115,0,115
2022-11-05T23:12:17,0,115,0,115
2022-11-05T23:21:33,0,115,0,115
2022-11-05T23:30:52,0,115,0,115
2022-11-05T23:40:07,0,115,0,115
2022-11-05T23:49:23,0,115,0,115
2022-11-05T23:58:39,0,115,0,115
2022-11-06T00:08:05,0,115,0,115
2022-11-06T00:17:21,0,115,0,115
2022-11-06T00:26:37,0,115,0,115
2022-11-06T00:35:52,0,115,0,115
2022-11-06T00:45:08,0,115,0,115
2022-11-06T00:54:23,0,115,0,115
2022-11-06T01:03:38,0,115,0,115
2022-11-06T01:12:53,0,115,0,115
2022-11-06T01:22:09,0,115,0,115
2022-11-06T01:31:25,0,115,0,115
2022-11-06T01:40:41,0,115,0,115
2022-11-06T01:49:57,0,115,0,115
2022-11-06T01:59:13,0,115,0,115
2022-11-06T01:08:31,0,115,0,115
2022-11-06T01:17:47,0,115,0,115
2022-11-06T01:27:01,0,115,0,115
2022-11-06T01:36:18,0,115,0,115
2022-11-06T01:45:33,0,115,0,115
2022-11-06T01:54:52,0,115,0,115
2022-11-06T02:04:10,0,115,0,115
2022-11-06T02:13:29,0,115,0,115
2022-11-06T02:22:48,0,115,0,115
2022-11-06T02:32:09,0,115,0,115
2022-11-06T02:41:28,0,115,0,115
2022-11-06T02:50:47,0,115,0,115
2022-11-06T03:00:06,0,115,0,115
2022-11-06T03:09:24,0,115,0,115
2022-11-06T03:18:40,0,115,0,115
2022-11-06T03:27:58,0,115,0,115
2022-11-06T03:37:16,0,115,0,115
2022-11-06T03:46:37,0,115,0,115
2022-11-06T03:55:56,0,115,0,115
2022-11-06T04:05:15,0,115,0,115
2022-11-06T04:20:34,0,115,0,115
2022-11-06T04:29:54,0,115,0,115
2022-11-06T04:39:12,0,115,0,115
2022-11-06T04:49:41,0,115,0,115
2022-11-06T04:59:15,0,115,0,115
2022-11-06T05:08:33,0,115,0,115
2022-11-06T05:17:50,0,115,0,115
2022-11-06T05:27:07,0,115,0,115
2022-11-06T05:36:23,0,115,0,115
2022-11-06T05:45:37,0,115,0,115
2022-11-06T05:54:55,0,115,0,115
2022-11-06T06:04:14,0,115,0,115
2022-11-06T06:13:32,0,115,0,115
2022-11-06T06:22:51,0,115,0,115
2022-11-06T06:32:08,0,115,0,115
2022-11-06T06:41:24,0,115,0,115
2022-11-06T06:50:39,0,115,0,115
2022-11-06T06:59:55,0,115,0,115
2022-11-06T07:09:12,0,115,0,115
2022-11-06T07:18:30,0,115,0,115
2022-11-06T07:27:47,0,115,0,115
2022-11-06T07:37:06,0,115,0,115
2022-11-06T07:46:25,0,115,0,115
2022-11-06T07:55:42,0,115,0,115
2022-11-06T08:04:58,0,115,0,115
2022-11-06T08:14:15,0,115,0,115
2022-11-06T08:23:32,0,115,0,115
2022-11-06T08:32:49,0,115,0,115
2022-11-06T08:42:06,0,115,0,115
2022-11-06T08:51:22,0,115,0,115
2022-11-06T09:00:40,0,115,0,115
2022-11-06T09:09:54,0,115,0,115
2022-11-06T09:19:10,0,115,0,115
2022-11-06T09:28:23,0,115,0,115
2022-11-06T09:37:36,0,115,0,115
2022-11-06T09:46:51,0,115,0,115
2022-11-06T09:56:05,0,115,0,115
2022-11-06T10:05:18,0,115,0,115
2022-11-06T10:14:31,0,115,0,115
2022-11-06T10:23:45,0,115,0,115
2022-11-06T10:33:02,0,115,0,115
2022-11-06T10:42:17,0,115,0,115
2022-11-06T10:51:31,0,115,0,115
2022-11-06T11:00:47,0,115,0,115
2022-11-06T11:10:00,0,115,0,115
2022-11-06T11:19:17,0,115,0,115
2022-11-06T11:28:37,0,115,0,115
2022-11-06T11:37:57,0,115,0,115
2022-11-06T11:47:11,0,115,0,115
2022-11-06T11:56:25,0,115,0,115
2022-11-06T12:05:39,0,115,0,115
2022-11-06T12:14:55,0,115,0,115
2022-11-06T12:24:21,0,115,0,115
2022-11-06T12:33:34,0,115,0,115
2022-11-06T12:42:49,0,115,0,115
2022-11-06T12:52:04,0,115,0,115
2022-11-06T13:01:18,0,115,0,115
2022-11-06T13:10:32,0,115,0,115
2022-11-06T13:19:48,0,115,0,115
2022-11-06T13:29:04,0,115,0,115
2022-11-06T13:38:17,0,115,0,115
2022-11-06T13:47:31,0,115,0,115
2022-11-06T13:56:44,0,115,0,115
2022-11-06T14:06:00,0,115,0,115
2022-11-06T14:15:15,0,115,0,115
2022-11-06T14:24:38,0,115,0,115
2022-11-06T14:33:52,0,115,0,115
2022-11-06T14:43:08,0,115,0,115
2022-11-06T14:52:23,0,115,0,115
2022-11-06T15:01:36,0,115,0,115
2022-11-06T15:10:50,0,115,0,115
2022-11-06T15:20:03,0,115,0,115
2022-11-06T15:29:17,0,115,0,115
2022-11-06T15:38:31,0,115,0,115
2022-11-06T15:47:45,0,115,0,115
2022-11-06T15:56:58,0,115,0,115
2022-11-06T16:06:10,0,115,0,115
2022-11-06T16:15:34,0,115,0,115
2022-11-06T16:24:49,0,115,0,115
2022-11-06T16:34:06,0,115,0,115
2022-11-06T16:43:21,0,115,0,115
2022-11-06T16:52:36,0,115,0,115
2022-11-06T17:01:51,0,115,0,115
2022-11-06T17:11:06,0,115,0,115
2022-11-06T17:20:20,0,115,0,115
2022-11-06T17:29:35,0,115,0,115
2022-11-06T17:38:51,0,115,0,115
2022-11-06T17:48:16,0,115,0,115
2022-11-06T17:57:30,0,115,0,115
2022-11-06T18:06:45,0,115,0,115
2022-11-06T18:16:01,0,115,0,115
2022-11-06T18:25:16,0,115,0,115
2022-11-06T18:34:29,0,115,0,115
2022-11-06T18:43:43,0,115,0,115
2022-11-06T18:52:57,0,115,0,115
2022-11-06T19:02:12,0,115,0,115
2022-11-06T19:11:37,0,115,0,115
2022-11-06T19:20:51,0,115,0,115
2022-11-06T19:30:06,0,115,0,115
2022-11-06T19:39:20,0,115,0,115
2022-11-06T19:48:33,0,115,0,115
2022-11-06T19:57:47,0,115,0,115
2022-11-06T20:07:01,0,115,0,115
2022-11-06T20:16:15,0,115,0,115
2022-11-06T20:25:31,0,115,0,115
2022-11-06T20:34:44,0,115,0,115
2022-11-06T20:44:07,0,115,0,115
2022-11-06T20:53:21,0,115,0,115
2022-11-06T21:02:36,0,115,0,115
