time,enrolled,available,waitlisted,total
2022-11-05T20:16:04,0,165,0,165
2022-11-05T20:25:21,0,165,0,165
2022-11-05T20:34:38,0,165,0,165
2022-11-05T20:44:06,0,165,0,165
2022-11-05T20:53:21,0,165,0,165
2022-11-05T21:02:37,0,165,0,165
2022-11-05T21:11:52,0,165,0,165
2022-11-05T21:21:07,0,165,0,165
2022-11-05T21:30:23,0,165,0,165
2022-11-05T21:39:39,0,165,0,165
2022-11-05T21:48:55,0,165,0,165
2022-11-05T21:58:10,0,165,0,165
2022-11-05T22:07:26,0,165,0,165
2022-11-05T22:16:41,0,165,0,165
2022-11-05T22:25:56,0,165,0,165
2022-11-05T22:35:12,0,165,0,165
2022-11-05T22:44:29,0,165,0,165
2022-11-05T22:53:45,0,165,0,165
2022-11-05T23:03:01,0,165,0,165
2022-11-05T23:12:17,0,165,0,165
2022-11-05T23:21:34,0,165,0,165
2022-11-05T23:30:52,0,165,0,165
2022-11-05T23:40:07,0,165,0,165
2022-11-05T23:49:24,0,165,0,165
2022-11-05T23:58:39,0,165,0,165
2022-11-06T00:08:05,0,165,0,165
2022-11-06T00:17:22,0,165,0,165
2022-11-06T00:26:38,0,165,0,165
2022-11-06T00:35:52,0,165,0,165
2022-11-06T00:45:08,0,165,0,165
2022-11-06T00:54:24,0,165,0,165
2022-11-06T01:03:39,0,165,0,165
2022-11-06T01:12:54,0,165,0,165
2022-11-06T01:22:10,0,165,0,165
2022-11-06T01:31:26,0,165,0,165
2022-11-06T01:40:42,0,165,0,165
2022-11-06T01:49:57,0,165,0,165
2022-11-06T01:59:13,0,165,0,165
2022-11-06T01:08:31,0,165,0,165
2022-11-06T01:17:47,0,165,0,165
2022-11-06T01:27:02,0,165,0,165
2022-11-06T01:36:18,0,165,0,165
2022-11-06T01:45:34,0,165,0,165
2022-11-06T01:54:52,0,165,0,165
2022-11-06T02:04:11,0,165,0,165
2022-11-06T02:13:29,0,165,0,165
2022-11-06T02:22:49,0,165,0,165
2022-11-06T02:32:09,0,165,0,165
2022-11-06T02:41:29,0,165,0,165
2022-11-06T02:50:48,0,165,0,165
2022-11-06T03:00:07,0,165,0,165
2022-11-06T03:09:25,0,165,0,165
2022-11-06T03:18:41,0,165,0,165
2022-11-06T03:27:58,0,165,0,165
2022-11-06T03:37:17,0,165,0,165
2022-11-06T03:46:37,0,165,0,165
2022-11-06T03:55:56,0,165,0,165
2022-11-06T04:05:15,0,165,0,165
2022-11-06T04:20:35,0,165,0,165
2022-11-06T04:29:54,0,165,0,165
2022-11-06T04:39:13,0,165,0,165
2022-11-06T04:49:42,0,165,0,165
2022-11-06T04:59:16,0,165,0,165
2022-11-06T05:08:33,0,165,0,165
2022-11-06T05:17:50,0,165,0,165
2022-11-06T05:27:07,0,165,0,165
2022-11-06T05:36:23,0,165,0,165
2022-11-06T05:45:38,0,165,0,165
2022-11-06T05:54:56,0,165,0,165
2022-11-06T06:04:14,0,165,0,165
