time,enrolled,available,waitlisted,total
2022-11-05T20:16:05,0,165,0,165
2022-11-05T20:25:22,0,165,0,165
2022-11-05T20:34:39,0,165,0,165
2022-11-05T20:44:06,0,165,0,165
2022-11-05T20:53:22,0,165,0,165
2022-11-05T21:02:38,0,165,0,165
2022-11-05T21:11:53,0,165,0,165
2022-11-05T21:21:08,0,165,0,165
2022-11-05T21:30:24,0,165,0,165
2022-11-05T21:39:40,0,165,0,165
2022-11-05T21:48:56,0,165,0,165
2022-11-05T21:58:11,0,165,0,165
2022-11-05T22:07:27,0,165,0,165
2022-11-05T22:16:42,0,165,0,165
2022-11-05T22:25:56,0,165,0,165
2022-11-05T22:35:13,0,165,0,165
2022-11-05T22:44:30,0,165,0,165
2022-11-05T22:53:46,0,165,0,165
2022-11-05T23:03:02,0,165,0,165
2022-11-05T23:12:18,0,165,0,165
2022-11-05T23:21:35,0,165,0,165
2022-11-05T23:30:53,0,165,0,165
2022-11-05T23:40:08,0,165,0,165
2022-11-05T23:49:25,0,165,0,165
2022-11-05T23:58:40,0,165,0,165
2022-11-06T00:08:06,0,165,0,165
2022-11-06T00:17:22,0,165,0,165
2022-11-06T00:26:38,0,165,0,165
2022-11-06T00:35:53,0,165,0,165
2022-11-06T00:45:09,0,165,0,165
2022-11-06T00:54:24,0,165,0,165
2022-11-06T01:03:39,0,165,0,165
2022-11-06T01:12:55,0,165,0,165
2022-11-06T01:22:11,0,165,0,165
2022-11-06T01:31:26,0,165,0,165
2022-11-06T01:40:43,0,165,0,165
2022-11-06T01:49:58,0,165,0,165
2022-11-06T01:59:14,0,165,0,165
2022-11-06T01:08:32,0,165,0,165
2022-11-06T01:17:48,0,165,0,165
2022-11-06T01:27:03,0,165,0,165
2022-11-06T01:36:19,0,165,0,165
2022-11-06T01:45:34,0,165,0,165
2022-11-06T01:54:53,0,165,0,165
2022-11-06T02:04:12,0,165,0,165
2022-11-06T02:13:30,0,165,0,165
2022-11-06T02:22:50,0,165,0,165
2022-11-06T02:32:10,0,165,0,165
2022-11-06T02:41:29,0,165,0,165
2022-11-06T02:50:48,0,165,0,165
2022-11-06T03:00:07,0,165,0,165
2022-11-06T03:09:26,0,165,0,165
2022-11-06T03:18:42,0,165,0,165
2022-11-06T03:27:59,0,165,0,165
2022-11-06T03:37:18,0,165,0,165
2022-11-06T03:46:38,0,165,0,165
2022-11-06T03:55:57,0,165,0,165
