time,enrolled,available,waitlisted,total
2022-11-05T20:16:11,0,192,0,192
2022-11-05T20:25:29,0,192,0,192
2022-11-05T20:34:45,0,192,0,192
2022-11-05T20:44:13,0,192,0,192
2022-11-05T20:53:29,0,192,0,192
2022-11-05T21:02:45,0,192,0,192
2022-11-05T21:11:59,0,192,0,192
2022-11-05T21:21:15,0,192,0,192
2022-11-05T21:30:31,0,192,0,192
2022-11-05T21:39:47,0,192,0,192
2022-11-05T21:49:03,0,192,0,192
2022-11-05T21:58:18,0,192,0,192
2022-11-05T22:07:33,0,192,0,192
2022-11-05T22:16:48,0,192,0,192
2022-11-05T22:26:03,0,192,0,192
2022-11-05T22:35:20,0,192,0,192
2022-11-05T22:44:37,0,192,0,192
2022-11-05T22:53:52,0,192,0,192
2022-11-05T23:03:08,0,192,0,192
2022-11-05T23:12:25,0,192,0,192
2022-11-05T23:21:41,0,192,0,192
2022-11-05T23:31:00,0,192,0,192
2022-11-05T23:40:15,0,192,0,192
2022-11-05T23:49:31,0,192,0,192
2022-11-05T23:58:47,0,192,0,192
2022-11-06T00:08:12,0,192,0,192
2022-11-06T00:17:29,0,192,0,192
2022-11-06T00:26:45,0,192,0,192
2022-11-06T00:36:00,0,192,0,192
2022-11-06T00:45:16,0,192,0,192
2022-11-06T00:54:31,0,192,0,192
2022-11-06T01:03:46,0,192,0,192
2022-11-06T01:13:01,0,192,0,192
2022-11-06T01:22:17,0,192,0,192
2022-11-06T01:31:33,0,192,0,192
2022-11-06T01:40:49,0,192,0,192
2022-11-06T01:50:05,0,192,0,192
2022-11-06T01:59:21,0,192,0,192
2022-11-06T01:08:38,0,192,0,192
2022-11-06T01:17:54,0,192,0,192
2022-11-06T01:27:09,0,192,0,192
2022-11-06T01:36:26,0,192,0,192
2022-11-06T01:45:41,0,192,0,192
2022-11-06T01:55:00,0,192,0,192
2022-11-06T02:04:18,0,192,0,192
2022-11-06T02:13:37,0,192,0,192
2022-11-06T02:22:56,0,192,0,192
2022-11-06T02:32:17,0,192,0,192
2022-11-06T02:41:36,0,192,0,192
2022-11-06T02:50:55,0,192,0,192
2022-11-06T03:00:14,0,192,0,192
2022-11-06T03:09:32,0,192,0,192
2022-11-06T03:18:48,0,192,0,192
2022-11-06T03:28:05,0,192,0,192
2022-11-06T03:37:24,0,192,0,192
2022-11-06T03:46:44,0,192,0,192
2022-11-06T03:56:04,0,192,0,192
2022-11-06T04:05:23,0,192,0,192
2022-11-06T04:20:42,0,192,0,192
2022-11-06T04:30:01,0,192,0,192
2022-11-06T04:39:20,0,192,0,192
2022-11-06T04:49:49,0,192,0,192
2022-11-06T04:59:23,0,192,0,192
2022-11-06T05:08:41,0,192,0,192
2022-11-06T05:17:58,0,192,0,192
2022-11-06T05:27:15,0,192,0,192
2022-11-06T05:36:31,0,192,0,192
2022-11-06T05:45:45,0,192,0,192
2022-11-06T05:55:03,0,192,0,192
2022-11-06T06:04:22,0,192,0,192
2022-11-06T06:13:40,0,192,0,192
2022-11-06T06:22:59,0,192,0,192
2022-11-06T06:32:15,0,192,0,192
2022-11-06T06:41:32,0,192,0,192
2022-11-06T06:50:47,0,192,0,192
2022-11-06T07:00:03,0,192,0,192
2022-11-06T07:09:20,0,192,0,192
2022-11-06T07:18:38,0,192,0,192
2022-11-06T07:27:55,0,192,0,192
2022-11-06T07:37:13,0,192,0,192
2022-11-06T07:46:33,0,192,0,192
2022-11-06T07:55:50,0,192,0,192
2022-11-06T08:05:06,0,192,0,192
2022-11-06T08:14:23,0,192,0,192
2022-11-06T08:23:40,0,192,0,192
2022-11-06T08:32:57,0,192,0,192
2022-11-06T08:42:14,0,192,0,192
2022-11-06T08:51:30,0,192,0,192
2022-11-06T09:00:48,0,192,0,192
2022-11-06T09:10:02,0,192,0,192
2022-11-06T09:19:17,0,192,0,192
2022-11-06T09:28:31,0,192,0,192
2022-11-06T09:37:44,0,192,0,192
2022-11-06T09:46:58,0,192,0,192
2022-11-06T09:56:13,0,192,0,192
2022-11-06T10:05:26,0,192,0,192
2022-11-06T10:14:39,0,192,0,192
2022-11-06T10:23:53,0,192,0,192
2022-11-06T10:33:10,0,192,0,192
2022-11-06T10:42:24,0,192,0,192
2022-11-06T10:51:39,0,192,0,192
2022-11-06T11:00:54,0,192,0,192
2022-11-06T11:10:08,0,192,0,192
2022-11-06T11:19:24,0,192,0,192
2022-11-06T11:28:45,0,192,0,192
2022-11-06T11:38:05,0,192,0,192
2022-11-06T11:47:19,0,192,0,192
2022-11-06T11:56:33,0,192,0,192
2022-11-06T12:05:47,0,192,0,192
2022-11-06T12:15:03,0,192,0,192
2022-11-06T12:24:28,0,192,0,192
2022-11-06T12:33:42,0,192,0,192
2022-11-06T12:42:57,0,192,0,192
2022-11-06T12:52:11,0,192,0,192
2022-11-06T13:01:25,0,192,0,192
2022-11-06T13:10:40,0,192,0,192
2022-11-06T13:19:56,0,192,0,192
2022-11-06T13:29:11,0,192,0,192
2022-11-06T13:38:25,0,192,0,192
2022-11-06T13:47:38,0,192,0,192
2022-11-06T13:56:52,0,192,0,192
2022-11-06T14:06:08,0,192,0,192
2022-11-06T14:15:23,0,192,0,192
2022-11-06T14:24:46,0,192,0,192
2022-11-06T14:33:59,0,192,0,192
2022-11-06T14:43:16,0,192,0,192
2022-11-06T14:52:31,0,192,0,192
2022-11-06T15:01:44,0,192,0,192
2022-11-06T15:10:58,0,192,0,192
2022-11-06T15:20:11,0,192,0,192
2022-11-06T15:29:25,0,192,0,192
2022-11-06T15:38:38,0,192,0,192
2022-11-06T15:47:53,0,192,0,192
2022-11-06T15:57:05,0,192,0,192
2022-11-06T16:06:18,0,192,0,192
2022-11-06T16:15:42,0,192,0,192
2022-11-06T16:24:57,0,192,0,192
2022-11-06T16:34:14,0,192,0,192
2022-11-06T16:43:29,0,192,0,192
2022-11-06T16:52:44,0,192,0,192
2022-11-06T17:01:59,0,192,0,192
2022-11-06T17:11:13,0,192,0,192
2022-11-06T17:20:28,0,192,0,192
2022-11-06T17:29:43,0,192,0,192
2022-11-06T17:38:59,0,192,0,192
2022-11-06T17:48:23,0,192,0,192
2022-11-06T17:57:38,0,192,0,192
2022-11-06T18:06:53,0,192,0,192
2022-11-06T18:16:09,0,192,0,192
2022-11-06T18:25:24,0,192,0,192
2022-11-06T18:34:37,0,192,0,192
2022-11-06T18:43:51,0,192,0,192
2022-11-06T18:53:05,0,192,0,192
2022-11-06T19:02:20,0,192,0,192
2022-11-06T19:11:44,0,192,0,192
2022-11-06T19:20:59,0,192,0,192
2022-11-06T19:30:14,0,192,0,192
2022-11-06T19:39:27,0,192,0,192
2022-11-06T19:48:41,0,192,0,192
2022-11-06T19:57:55,0,192,0,192
2022-11-06T20:07:09,0,192,0,192
2022-11-06T20:16:23,0,192,0,192
2022-11-06T20:25:39,0,192,0,192
2022-11-06T20:34:52,0,192,0,192
2022-11-06T20:44:15,0,192,0,192
2022-11-06T20:53:29,0,192,0,192
2022-11-06T21:02:43,0,192,0,192
2022-11-06T21:11:58,0,192,0,192
2022-11-06T21:21:10,0,192,0,192
