time,enrolled,available,waitlisted,total
2022-11-05T20:16:29,0,56,0,56
2022-11-05T20:25:46,0,56,0,56
2022-11-05T20:35:14,0,56,0,56
2022-11-05T20:44:31,0,56,0,56
2022-11-05T20:53:47,0,56,0,56
2022-11-05T21:03:03,0,56,0,56
2022-11-05T21:12:17,0,56,0,56
2022-11-05T21:21:32,0,56,0,56
2022-11-05T21:30:49,0,56,0,56
2022-11-05T21:40:05,0,56,0,56
2022-11-05T21:49:21,0,56,0,56
2022-11-05T21:58:35,0,56,0,56
2022-11-05T22:07:51,0,56,0,56
2022-11-05T22:17:06,0,56,0,56
2022-11-05T22:26:21,0,56,0,56
2022-11-05T22:35:38,0,56,0,56
2022-11-05T22:44:54,0,56,0,56
2022-11-05T22:54:10,0,56,0,56
2022-11-05T23:03:26,0,56,0,56
2022-11-05T23:12:43,0,56,0,56
2022-11-05T23:21:59,0,56,0,56
2022-11-05T23:31:18,0,56,0,56
2022-11-05T23:40:32,0,56,0,56
2022-11-05T23:49:49,0,56,0,56
2022-11-05T23:59:05,0,56,0,56
2022-11-06T00:08:30,0,56,0,56
2022-11-06T00:17:47,0,56,0,56
2022-11-06T00:27:03,0,56,0,56
2022-11-06T00:36:18,0,56,0,56
2022-11-06T00:45:34,0,56,0,56
2022-11-06T00:54:49,0,56,0,56
2022-11-06T01:04:04,0,56,0,56
2022-11-06T01:13:19,0,56,0,56
2022-11-06T01:22:35,0,56,0,56
2022-11-06T01:31:51,0,56,0,56
2022-11-06T01:41:07,0,56,0,56
2022-11-06T01:50:22,0,56,0,56
2022-11-06T01:59:39,0,56,0,56
2022-11-06T01:08:56,0,56,0,56
2022-11-06T01:18:12,0,56,0,56
2022-11-06T01:27:27,0,56,0,56
2022-11-06T01:36:43,0,56,0,56
2022-11-06T01:45:59,0,56,0,56
2022-11-06T01:55:18,0,56,0,56
2022-11-06T02:04:36,0,56,0,56
2022-11-06T02:13:55,0,56,0,56
2022-11-06T02:23:14,0,56,0,56
2022-11-06T02:32:35,0,56,0,56
2022-11-06T02:41:54,0,56,0,56
2022-11-06T02:51:13,0,56,0,56
2022-11-06T03:00:32,0,56,0,56
2022-11-06T03:09:50,0,56,0,56
2022-11-06T03:19:06,0,56,0,56
2022-11-06T03:28:23,0,56,0,56
2022-11-06T03:37:42,0,56,0,56
2022-11-06T03:47:03,0,56,0,56
2022-11-06T03:56:22,0,56,0,56
2022-11-06T04:21:00,0,56,0,56
2022-11-06T04:30:19,0,56,0,56
2022-11-06T04:39:38,0,56,0,56
2022-11-06T04:50:07,0,56,0,56
2022-11-06T04:59:41,0,56,0,56
2022-11-06T05:08:59,0,56,0,56
2022-11-06T05:18:15,0,56,0,56
2022-11-06T05:27:32,0,56,0,56
2022-11-06T05:36:49,0,56,0,56
2022-11-06T05:46:03,0,56,0,56
2022-11-06T05:55:21,0,56,0,56
2022-11-06T06:04:40,0,56,0,56
2022-11-06T06:13:58,0,56,0,56
2022-11-06T06:23:17,0,56,0,56
2022-11-06T06:32:33,0,56,0,56
2022-11-06T06:41:50,0,56,0,56
2022-11-06T06:51:05,0,56,0,56
2022-11-06T07:00:21,0,56,0,56
2022-11-06T07:09:38,0,56,0,56
2022-11-06T07:18:56,0,56,0,56
2022-11-06T07:28:13,0,56,0,56
2022-11-06T07:37:31,0,56,0,56
2022-11-06T07:46:50,0,56,0,56
2022-11-06T07:56:07,0,56,0,56
2022-11-06T08:05:24,0,56,0,56
2022-11-06T08:14:41,0,56,0,56
2022-11-06T08:23:57,0,56,0,56
2022-11-06T08:33:15,0,56,0,56
2022-11-06T08:42:31,0,56,0,56
2022-11-06T08:51:48,0,56,0,56
2022-11-06T09:01:05,0,56,0,56
2022-11-06T09:10:20,0,56,0,56
2022-11-06T09:19:35,0,56,0,56
2022-11-06T09:28:49,0,56,0,56
2022-11-06T09:38:02,0,56,0,56
2022-11-06T09:47:16,0,56,0,56
2022-11-06T09:56:31,0,56,0,56
2022-11-06T10:05:44,0,56,0,56
2022-11-06T10:14:57,0,56,0,56
2022-11-06T10:24:11,0,56,0,56
2022-11-06T10:33:27,0,56,0,56
2022-11-06T10:42:42,0,56,0,56
2022-11-06T10:51:57,0,56,0,56
2022-11-06T11:01:12,0,56,0,56
2022-11-06T11:10:26,0,56,0,56
