time,enrolled,available,waitlisted,total
2022-11-05T20:16:31,0,40,0,40
2022-11-05T20:25:48,0,40,0,40
2022-11-05T20:35:16,0,40,0,40
2022-11-05T20:44:33,0,40,0,40
2022-11-05T20:53:49,0,40,0,40
2022-11-05T21:03:04,0,40,0,40
2022-11-05T21:12:19,0,40,0,40
2022-11-05T21:21:34,0,40,0,40
2022-11-05T21:30:50,0,40,0,40
2022-11-05T21:40:06,0,40,0,40
2022-11-05T21:49:22,0,40,0,40
2022-11-05T21:58:37,0,40,0,40
2022-11-05T22:07:53,0,40,0,40
2022-11-05T22:17:08,0,40,0,40
2022-11-05T22:26:22,0,40,0,40
2022-11-05T22:35:39,0,40,0,40
2022-11-05T22:44:56,0,40,0,40
2022-11-05T22:54:12,0,40,0,40
2022-11-05T23:03:28,0,40,0,40
2022-11-05T23:12:44,0,40,0,40
2022-11-05T23:22:01,0,40,0,40
2022-11-05T23:31:19,0,40,0,40
2022-11-05T23:40:34,0,40,0,40
2022-11-05T23:49:51,0,40,0,40
2022-11-05T23:59:06,0,40,0,40
2022-11-06T00:08:32,0,40,0,40
2022-11-06T00:17:49,0,40,0,40
2022-11-06T00:27:04,0,40,0,40
2022-11-06T00:36:19,0,40,0,40
2022-11-06T00:45:35,0,40,0,40
2022-11-06T00:54:51,0,40,0,40
2022-11-06T01:04:06,0,40,0,40
2022-11-06T01:13:21,0,40,0,40
2022-11-06T01:22:37,0,40,0,40
2022-11-06T01:31:53,0,40,0,40
2022-11-06T01:41:09,0,40,0,40
2022-11-06T01:50:24,0,40,0,40
2022-11-06T01:59:40,0,40,0,40
2022-11-06T01:08:58,0,40,0,40
2022-11-06T01:18:14,0,40,0,40
2022-11-06T01:27:29,0,40,0,40
2022-11-06T01:36:45,0,40,0,40
2022-11-06T01:46:00,0,40,0,40
2022-11-06T01:55:19,0,40,0,40
2022-11-06T02:04:38,0,40,0,40
2022-11-06T02:13:57,0,40,0,40
2022-11-06T02:23:16,0,40,0,40
2022-11-06T02:32:37,0,40,0,40
2022-11-06T02:41:56,0,40,0,40
2022-11-06T02:51:15,0,40,0,40
2022-11-06T03:00:34,0,40,0,40
2022-11-06T03:09:52,0,40,0,40
2022-11-06T03:19:08,0,40,0,40
2022-11-06T03:28:25,0,40,0,40
2022-11-06T03:37:44,0,40,0,40
2022-11-06T03:47:04,0,40,0,40
2022-11-06T03:56:23,0,40,0,40
2022-11-06T04:21:02,0,40,0,40
2022-11-06T04:30:21,0,40,0,40
2022-11-06T04:39:40,0,40,0,40
2022-11-06T04:50:19,0,40,0,40
2022-11-06T04:59:43,0,40,0,40
2022-11-06T05:09:00,0,40,0,40
2022-11-06T05:18:17,0,40,0,40
2022-11-06T05:27:34,0,40,0,40
2022-11-06T05:36:50,0,40,0,40
2022-11-06T05:46:05,0,40,0,40
2022-11-06T05:55:23,0,40,0,40
2022-11-06T06:04:42,0,40,0,40
2022-11-06T06:14:00,0,40,0,40
2022-11-06T06:23:19,0,40,0,40
2022-11-06T06:32:35,0,40,0,40
2022-11-06T06:41:52,0,40,0,40
2022-11-06T06:51:06,0,40,0,40
2022-11-06T07:00:23,0,40,0,40
2022-11-06T07:09:40,0,40,0,40
2022-11-06T07:18:57,0,40,0,40
2022-11-06T07:28:14,0,40,0,40
2022-11-06T07:37:33,0,40,0,40
2022-11-06T07:46:52,0,40,0,40
2022-11-06T07:56:09,0,40,0,40
2022-11-06T08:05:26,0,40,0,40
2022-11-06T08:14:43,0,40,0,40
2022-11-06T08:23:59,0,40,0,40
2022-11-06T08:33:17,0,40,0,40
2022-11-06T08:42:33,0,40,0,40
2022-11-06T08:51:49,0,40,0,40
2022-11-06T09:01:07,0,40,0,40
2022-11-06T09:10:22,0,40,0,40
2022-11-06T09:19:37,0,40,0,40
2022-11-06T09:28:50,0,40,0,40
2022-11-06T09:38:04,0,40,0,40
2022-11-06T09:47:18,0,40,0,40
2022-11-06T09:56:32,0,40,0,40
2022-11-06T10:05:45,0,40,0,40
2022-11-06T10:14:58,0,40,0,40
2022-11-06T10:24:12,0,40,0,40
2022-11-06T10:33:29,0,40,0,40
2022-11-06T10:42:44,0,40,0,40
2022-11-06T10:51:58,0,40,0,40
2022-11-06T11:01:14,0,40,0,40
2022-11-06T11:10:27,0,40,0,40
2022-11-06T11:19:44,0,40,0,40
2022-11-06T11:29:04,0,40,0,40
2022-11-06T11:38:24,0,40,0,40
2022-11-06T11:47:38,0,40,0,40
2022-11-06T11:56:53,0,40,0,40
2022-11-06T12:06:07,0,40,0,40
2022-11-06T12:15:22,0,40,0,40
2022-11-06T12:24:48,0,40,0,40
2022-11-06T12:34:01,0,40,0,40
2022-11-06T12:43:16,0,40,0,40
2022-11-06T12:52:31,0,40,0,40
2022-11-06T13:01:45,0,40,0,40
2022-11-06T13:10:59,0,40,0,40
2022-11-06T13:20:16,0,40,0,40
2022-11-06T13:29:31,0,40,0,40
2022-11-06T13:38:44,0,40,0,40
2022-11-06T13:47:58,0,40,0,40
2022-11-06T13:57:11,0,40,0,40
2022-11-06T14:06:27,0,40,0,40
2022-11-06T14:15:42,0,40,0,40
2022-11-06T14:25:05,0,40,0,40
2022-11-06T14:34:19,0,40,0,40
2022-11-06T14:43:35,0,40,0,40
2022-11-06T14:52:50,0,40,0,40
2022-11-06T15:02:03,0,40,0,40
2022-11-06T15:11:17,0,40,0,40
2022-11-06T15:20:31,0,40,0,40
2022-11-06T15:29:45,0,40,0,40
2022-11-06T15:38:58,0,40,0,40
2022-11-06T15:48:13,0,40,0,40
2022-11-06T15:57:25,0,40,0,40
2022-11-06T16:06:38,0,40,0,40
2022-11-06T16:16:01,0,40,0,40
2022-11-06T16:25:17,0,40,0,40
2022-11-06T16:34:33,0,40,0,40
2022-11-06T16:43:48,0,40,0,40
2022-11-06T16:53:04,0,40,0,40
2022-11-06T17:02:18,0,40,0,40
2022-11-06T17:11:33,0,40,0,40
2022-11-06T17:20:47,0,40,0,40
2022-11-06T17:30:03,0,40,0,40
2022-11-06T17:39:19,0,40,0,40
2022-11-06T17:48:43,0,40,0,40
2022-11-06T17:57:57,0,40,0,40
2022-11-06T18:07:13,0,40,0,40
2022-11-06T18:16:29,0,40,0,40
2022-11-06T18:25:43,0,40,0,40
2022-11-06T18:34:57,0,40,0,40
2022-11-06T18:44:10,0,40,0,40
2022-11-06T18:53:25,0,40,0,40
2022-11-06T19:02:40,0,40,0,40
2022-11-06T19:12:04,0,40,0,40
2022-11-06T19:21:18,0,40,0,40
2022-11-06T19:30:34,0,40,0,40
2022-11-06T19:39:47,0,40,0,40
2022-11-06T19:49:00,0,40,0,40
2022-11-06T19:58:14,0,40,0,40
2022-11-06T20:07:28,0,40,0,40
2022-11-06T20:16:43,0,40,0,40
2022-11-06T20:25:58,0,40,0,40
2022-11-06T20:35:11,0,40,0,40
2022-11-06T20:44:34,0,40,0,40
2022-11-06T20:53:48,0,40,0,40
2022-11-06T21:03:03,0,40,0,40
2022-11-06T21:12:17,0,40,0,40
2022-11-06T21:21:29,0,40,0,40
2022-11-06T21:30:43,0,40,0,40
2022-11-06T21:39:57,0,40,0,40
2022-11-06T21:49:12,0,40,0,40
2022-11-06T21:58:36,0,40,0,40
2022-11-06T22:07:51,0,40,0,40
2022-11-06T22:17:07,0,40,0,40
2022-11-06T22:26:21,0,40,0,40
2022-11-06T22:35:37,0,40,0,40
2022-11-06T22:44:51,0,40,0,40
2022-11-06T22:54:05,0,40,0,40
2022-11-06T23:03:21,0,40,0,40
2022-11-06T23:12:46,0,40,0,40
2022-11-06T23:22:02,0,40,0,40
2022-11-06T23:31:18,0,40,0,40
2022-11-06T23:40:33,0,40,0,40
2022-11-06T23:49:49,0,40,0,40
2022-11-06T23:59:04,0,40,0,40
2022-11-07T00:10:06,0,40,0,40
2022-11-07T00:19:27,0,40,0,40
2022-11-07T00:28:55,0,40,0,40
2022-11-07T00:38:12,0,40,0,40
2022-11-07T00:47:26,0,40,0,40
2022-11-07T00:56:41,0,40,0,40
2022-11-07T01:05:56,0,40,0,40
2022-11-07T01:15:17,0,40,0,40
2022-11-07T01:24:33,0,40,0,40
2022-11-07T01:33:48,0,40,0,40
2022-11-07T01:43:12,0,40,0,40
2022-11-07T01:52:27,0,40,0,40
2022-11-07T02:01:42,0,40,0,40
2022-11-07T02:10:56,0,40,0,40
2022-11-07T02:20:11,0,40,0,40
2022-11-07T02:29:25,0,40,0,40
2022-11-07T02:38:40,0,40,0,40
2022-11-07T02:47:54,0,40,0,40
2022-11-07T02:57:08,0,40,0,40
2022-11-07T03:06:23,0,40,0,40
2022-11-07T03:15:38,0,40,0,40
2022-11-07T03:24:52,0,40,0,40
2022-11-07T03:34:09,0,40,0,40
2022-11-07T03:43:24,0,40,0,40
2022-11-07T03:52:40,0,40,0,40
2022-11-07T04:01:58,0,40,0,40
2022-11-07T04:11:15,0,40,0,40
2022-11-07T04:28:48,0,40,0,40
2022-11-07T04:38:04,0,40,0,40
2022-11-07T04:47:22,0,40,0,40
2022-11-07T04:56:37,0,40,0,40
2022-11-07T05:05:52,0,40,0,40
2022-11-07T05:15:07,0,40,0,40
2022-11-07T05:24:21,0,40,0,40
2022-11-07T05:33:34,0,40,0,40
2022-11-07T05:42:49,0,40,0,40
2022-11-07T05:52:04,0,40,0,40
2022-11-07T06:01:20,0,40,0,40
2022-11-07T06:10:38,0,40,0,40
2022-11-07T06:19:54,0,40,0,40
2022-11-07T06:29:13,0,40,0,40
2022-11-07T06:38:30,0,40,0,40
2022-11-07T06:47:46,0,40,0,40
2022-11-07T06:57:02,0,40,0,40
2022-11-07T07:06:19,0,40,0,40
2022-11-07T07:15:36,0,40,0,40
2022-11-07T07:24:53,0,40,0,40
2022-11-07T07:34:11,0,40,0,40
2022-11-07T07:43:28,0,40,0,40
2022-11-07T07:52:48,0,40,0,40
2022-11-07T08:02:07,0,40,0,40
2022-11-07T08:11:26,0,40,0,40
2022-11-07T08:20:44,0,40,0,40
2022-11-07T08:30:03,0,40,0,40
2022-11-07T08:39:31,0,40,0,40
2022-11-07T08:48:48,0,40,0,40
2022-11-07T08:58:06,0,40,0,40
2022-11-07T09:07:24,0,40,0,40
2022-11-07T09:16:46,0,40,0,40
2022-11-07T09:26:06,0,40,0,40
2022-11-07T09:35:26,0,40,0,40
2022-11-07T09:45:02,0,40,0,40
2022-11-07T09:54:21,0,40,0,40
2022-11-07T10:03:40,0,40,0,40
2022-11-07T10:12:59,0,40,0,40
2022-11-07T10:22:18,0,40,0,40
2022-11-07T10:31:38,0,40,0,40
2022-11-07T10:41:10,0,40,0,40
2022-11-07T10:50:29,0,40,0,40
2022-11-07T10:59:48,0,40,0,40
2022-11-07T11:09:09,0,40,0,40
2022-11-07T11:18:30,0,40,0,40
2022-11-07T11:28:01,0,40,0,40
2022-11-07T11:37:21,0,40,0,40
2022-11-07T11:46:41,0,40,0,40
2022-11-07T11:55:58,0,40,0,40
2022-11-07T12:05:16,0,40,0,40
2022-11-07T12:14:46,0,40,0,40
2022-11-07T12:24:06,0,40,0,40
2022-11-07T12:33:26,0,40,0,40
2022-11-07T12:42:56,0,40,0,40
2022-11-07T12:52:15,0,40,0,40
2022-11-07T13:01:37,0,40,0,40
2022-11-07T13:10:57,0,40,0,40
2022-11-07T13:20:28,0,40,0,40
2022-11-07T13:29:48,0,40,0,40
2022-11-07T13:39:09,0,40,0,40
2022-11-07T13:48:31,0,40,0,40
2022-11-07T13:58:02,0,40,0,40
2022-11-07T14:07:22,0,40,0,40
2022-11-07T14:16:41,0,40,0,40
2022-11-07T14:26:12,0,40,0,40
2022-11-07T14:35:31,0,40,0,40
2022-11-07T14:44:51,0,40,0,40
2022-11-07T14:54:09,0,40,0,40
2022-11-07T15:03:28,0,40,0,40
2022-11-07T15:12:48,0,40,0,40
2022-11-07T15:22:18,0,40,0,40
2022-11-07T15:31:37,0,40,0,40
2022-11-07T15:40:55,0,40,0,40
2022-11-07T15:50:13,0,40,0,40
2022-11-07T15:59:42,0,40,0,40
2022-11-07T16:09:01,0,40,0,40
2022-11-07T16:18:19,0,40,0,40
2022-11-07T16:27:37,0,40,0,40
2022-11-07T16:37:05,0,40,0,40
2022-11-07T16:46:23,0,40,0,40
2022-11-07T16:55:41,0,40,0,40
2022-11-07T17:05:00,0,40,0,40
2022-11-07T17:14:24,0,40,0,40
2022-11-07T17:23:52,0,40,0,40
2022-11-07T17:33:10,0,40,0,40
2022-11-07T17:42:27,0,40,0,40
2022-11-07T17:51:45,0,40,0,40
2022-11-07T18:01:17,0,40,0,40
2022-11-07T18:10:34,0,40,0,40
2022-11-07T18:19:51,0,40,0,40
2022-11-07T18:29:09,0,40,0,40
2022-11-07T18:38:36,0,40,0,40
2022-11-07T18:47:52,0,40,0,40
2022-11-07T18:57:10,0,40,0,40
2022-11-07T19:06:28,0,40,0,40
2022-11-07T19:15:54,0,40,0,40
2022-11-07T19:25:13,0,40,0,40
2022-11-07T19:34:31,0,40,0,40
2022-11-07T19:43:50,1,39,0,40
2022-11-07T19:53:07,1,39,0,40
2022-11-07T20:02:25,1,39,0,40
2022-11-07T20:11:54,1,39,0,40
2022-11-07T20:21:12,1,39,0,40
2022-11-07T20:30:29,1,39,0,40
2022-11-07T20:39:46,1,39,0,40
2022-11-07T20:49:05,1,39,0,40
2022-11-07T20:58:32,1,39,0,40
2022-11-07T21:07:50,1,39,0,40
2022-11-07T21:17:06,1,39,0,40
2022-11-07T21:26:23,1,39,0,40
2022-11-07T21:35:41,1,39,0,40
2022-11-07T21:44:56,1,39,0,40
2022-11-07T21:54:12,1,39,0,40
2022-11-07T22:03:39,1,39,0,40
2022-11-07T22:12:56,1,39,0,40
2022-11-07T22:22:13,1,39,0,40
2022-11-07T22:31:29,1,39,0,40
2022-11-07T22:40:45,1,39,0,40
2022-11-07T22:50:00,1,39,0,40
2022-11-07T22:59:28,1,39,0,40
2022-11-07T23:08:44,1,39,0,40
2022-11-07T23:18:00,1,39,0,40
2022-11-07T23:27:16,1,39,0,40
2022-11-07T23:36:31,1,39,0,40
2022-11-07T23:45:47,1,39,0,40
2022-11-07T23:55:03,1,39,0,40
2022-11-08T00:04:19,1,39,0,40
2022-11-08T00:13:50,1,39,0,40
2022-11-08T00:23:09,1,39,0,40
2022-11-08T00:32:25,1,39,0,40
2022-11-08T00:41:43,1,39,0,40
2022-11-08T00:51:00,1,39,0,40
2022-11-08T01:00:17,1,39,0,40
2022-11-08T01:09:36,1,39,0,40
2022-11-08T01:18:53,1,39,0,40
2022-11-08T01:28:11,1,39,0,40
2022-11-08T01:37:29,1,39,0,40
2022-11-08T01:46:57,1,39,0,40
2022-11-08T01:56:15,1,39,0,40
2022-11-08T02:05:32,1,39,0,40
2022-11-08T02:14:48,1,39,0,40
2022-11-08T02:24:04,1,39,0,40
2022-11-08T02:33:20,1,39,0,40
2022-11-08T02:42:39,1,39,0,40
2022-11-08T02:51:57,1,39,0,40
2022-11-08T03:01:14,1,39,0,40
2022-11-08T03:10:31,1,39,0,40
2022-11-08T03:19:47,1,39,0,40
2022-11-08T03:29:01,1,39,0,40
2022-11-08T03:38:29,1,39,0,40
2022-11-08T03:47:45,1,39,0,40
2022-11-08T03:57:02,1,39,0,40
2022-11-08T04:23:56,1,39,0,40
2022-11-08T04:33:16,1,39,0,40
2022-11-08T04:42:35,1,39,0,40
2022-11-08T04:51:53,1,39,0,40
2022-11-08T05:01:11,1,39,0,40
2022-11-08T05:10:28,1,39,0,40
2022-11-08T05:19:44,1,39,0,40
2022-11-08T05:29:01,1,39,0,40
2022-11-08T05:38:19,1,39,0,40
2022-11-08T05:47:37,1,39,0,40
2022-11-08T05:56:57,1,39,0,40
2022-11-08T06:06:15,1,39,0,40
2022-11-08T06:15:31,1,39,0,40
2022-11-08T06:24:48,1,39,0,40
2022-11-08T06:34:04,1,39,0,40
2022-11-08T06:43:22,1,39,0,40
2022-11-08T06:52:39,1,39,0,40
2022-11-08T07:02:06,1,39,0,40
2022-11-08T07:11:25,1,39,0,40
2022-11-08T07:20:44,1,39,0,40
2022-11-08T07:30:02,1,39,0,40
2022-11-08T07:39:21,1,39,0,40
2022-11-08T07:48:40,1,39,0,40
2022-11-08T07:57:59,1,39,0,40
2022-11-08T08:07:18,1,39,0,40
2022-11-08T08:16:37,1,39,0,40
2022-11-08T08:25:56,1,39,0,40
2022-11-08T08:35:15,1,39,0,40
2022-11-08T08:44:34,1,39,0,40
2022-11-08T08:53:52,1,39,0,40
2022-11-08T09:03:11,1,39,0,40
2022-11-08T09:58:11,1,39,0,40
2022-11-08T10:09:38,1,39,0,40
2022-11-08T10:16:42,1,39,0,40
2022-11-08T10:26:03,1,39,0,40
2022-11-08T10:35:12,1,39,0,40
2022-11-08T10:44:21,1,39,0,40
2022-11-08T10:53:32,1,39,0,40
2022-11-08T11:02:53,1,39,0,40
