time,enrolled,available,waitlisted,total
2022-11-05T20:16:32,0,110,0,110
2022-11-05T20:25:50,0,110,0,110
2022-11-05T20:35:18,0,110,0,110
2022-11-05T20:44:34,0,110,0,110
2022-11-05T20:53:50,0,110,0,110
2022-11-05T21:03:06,0,110,0,110
2022-11-05T21:12:21,0,110,0,110
2022-11-05T21:21:36,0,110,0,110
2022-11-05T21:30:52,0,110,0,110
2022-11-05T21:40:08,0,110,0,110
2022-11-05T21:49:24,0,110,0,110
2022-11-05T21:58:39,0,110,0,110
2022-11-05T22:07:54,0,110,0,110
2022-11-05T22:17:09,0,110,0,110
2022-11-05T22:26:24,0,110,0,110
2022-11-05T22:35:41,0,110,0,110
2022-11-05T22:44:58,0,110,0,110
2022-11-05T22:54:14,0,110,0,110
2022-11-05T23:03:30,0,110,0,110
2022-11-05T23:12:46,0,110,0,110
2022-11-05T23:22:02,0,110,0,110
2022-11-05T23:31:21,0,110,0,110
2022-11-05T23:40:36,0,110,0,110
2022-11-05T23:49:52,0,110,0,110
2022-11-05T23:59:08,0,110,0,110
2022-11-06T00:08:34,0,110,0,110
2022-11-06T00:17:50,0,110,0,110
2022-11-06T00:27:06,0,110,0,110
2022-11-06T00:36:21,0,110,0,110
2022-11-06T00:45:37,0,110,0,110
2022-11-06T00:54:52,0,110,0,110
2022-11-06T01:04:07,0,110,0,110
2022-11-06T01:13:22,0,110,0,110
2022-11-06T01:22:38,0,110,0,110
2022-11-06T01:31:54,0,110,0,110
2022-11-06T01:41:11,0,110,0,110
2022-11-06T01:50:26,0,110,0,110
2022-11-06T01:59:42,0,110,0,110
2022-11-06T01:08:59,0,110,0,110
2022-11-06T01:18:16,0,110,0,110
2022-11-06T01:27:31,0,110,0,110
2022-11-06T01:36:47,0,110,0,110
2022-11-06T01:46:02,0,110,0,110
2022-11-06T01:55:21,0,110,0,110
2022-11-06T02:04:40,0,110,0,110
2022-11-06T02:13:58,0,110,0,110
2022-11-06T02:23:18,0,110,0,110
2022-11-06T02:32:38,0,110,0,110
2022-11-06T02:41:57,0,110,0,110
2022-11-06T02:51:16,0,110,0,110
2022-11-06T03:00:35,0,110,0,110
2022-11-06T03:09:54,0,110,0,110
2022-11-06T03:19:10,0,110,0,110
2022-11-06T03:28:27,0,110,0,110
2022-11-06T03:37:46,0,110,0,110
2022-11-06T03:47:06,0,110,0,110
2022-11-06T03:56:25,0,110,0,110
2022-11-06T04:21:04,0,110,0,110
2022-11-06T04:30:23,0,110,0,110
2022-11-06T04:39:42,0,110,0,110
2022-11-06T04:50:21,0,110,0,110
2022-11-06T04:59:44,0,110,0,110
2022-11-06T05:09:02,0,110,0,110
2022-11-06T05:18:19,0,110,0,110
2022-11-06T05:27:36,0,110,0,110
2022-11-06T05:36:52,0,110,0,110
2022-11-06T05:46:07,0,110,0,110
2022-11-06T05:55:25,0,110,0,110
2022-11-06T06:04:43,0,110,0,110
2022-11-06T06:14:02,0,110,0,110
2022-11-06T06:23:20,0,110,0,110
2022-11-06T06:32:37,0,110,0,110
2022-11-06T06:41:53,0,110,0,110
2022-11-06T06:51:08,0,110,0,110
2022-11-06T07:00:25,0,110,0,110
2022-11-06T07:09:42,0,110,0,110
2022-11-06T07:18:59,0,110,0,110
2022-11-06T07:28:16,0,110,0,110
2022-11-06T07:37:35,0,110,0,110
2022-11-06T07:46:54,0,110,0,110
2022-11-06T07:56:11,0,110,0,110
2022-11-06T08:05:27,0,110,0,110
2022-11-06T08:14:44,0,110,0,110
2022-11-06T08:24:01,0,110,0,110
2022-11-06T08:33:19,0,110,0,110
2022-11-06T08:42:35,0,110,0,110
2022-11-06T08:51:51,0,110,0,110
2022-11-06T09:01:09,0,110,0,110
2022-11-06T09:10:24,0,110,0,110
2022-11-06T09:19:39,0,110,0,110
2022-11-06T09:28:52,0,110,0,110
2022-11-06T09:38:05,0,110,0,110
2022-11-06T09:47:20,0,110,0,110
2022-11-06T09:56:34,0,110,0,110
2022-11-06T10:05:47,0,110,0,110
2022-11-06T10:15:00,0,110,0,110
2022-11-06T10:24:14,0,110,0,110
