time,enrolled,available,waitlisted,total
2022-11-05T20:16:35,0,35,0,35
2022-11-05T20:25:52,0,35,0,35
2022-11-05T20:35:20,0,35,0,35
2022-11-05T20:44:36,0,35,0,35
2022-11-05T20:53:53,0,35,0,35
2022-11-05T21:03:08,0,35,0,35
2022-11-05T21:12:23,0,35,0,35
2022-11-05T21:21:38,0,35,0,35
2022-11-05T21:30:54,0,35,0,35
2022-11-05T21:40:10,0,35,0,35
2022-11-05T21:49:26,0,35,0,35
2022-11-05T21:58:41,0,35,0,35
2022-11-05T22:07:56,0,35,0,35
2022-11-05T22:17:12,0,35,0,35
2022-11-05T22:26:26,0,35,0,35
2022-11-05T22:35:43,0,35,0,35
2022-11-05T22:45:00,0,35,0,35
2022-11-05T22:54:16,0,35,0,35
2022-11-05T23:03:32,0,35,0,35
2022-11-05T23:12:48,0,35,0,35
2022-11-05T23:22:04,0,35,0,35
2022-11-05T23:31:23,0,35,0,35
2022-11-05T23:40:38,0,35,0,35
2022-11-05T23:49:54,0,35,0,35
2022-11-05T23:59:10,0,35,0,35
2022-11-06T00:08:36,0,35,0,35
2022-11-06T00:17:52,0,35,0,35
2022-11-06T00:27:08,0,35,0,35
2022-11-06T00:36:23,0,35,0,35
2022-11-06T00:45:39,0,35,0,35
2022-11-06T00:54:54,0,35,0,35
2022-11-06T01:04:09,0,35,0,35
2022-11-06T01:13:25,0,35,0,35
2022-11-06T01:22:41,0,35,0,35
2022-11-06T01:31:56,0,35,0,35
2022-11-06T01:41:13,0,35,0,35
2022-11-06T01:50:28,0,35,0,35
2022-11-06T01:59:44,0,35,0,35
2022-11-06T01:09:02,0,35,0,35
2022-11-06T01:18:18,0,35,0,35
2022-11-06T01:27:33,0,35,0,35
2022-11-06T01:36:49,0,35,0,35
2022-11-06T01:46:04,0,35,0,35
2022-11-06T01:55:23,0,35,0,35
2022-11-06T02:04:42,0,35,0,35
2022-11-06T02:14:00,0,35,0,35
2022-11-06T02:23:20,0,35,0,35
2022-11-06T02:32:40,0,35,0,35
2022-11-06T02:42:00,0,35,0,35
2022-11-06T02:51:19,0,35,0,35
2022-11-06T03:00:38,0,35,0,35
2022-11-06T03:09:56,0,35,0,35
2022-11-06T03:19:12,0,35,0,35
2022-11-06T03:28:29,0,35,0,35
2022-11-06T03:37:48,0,35,0,35
2022-11-06T03:47:08,0,35,0,35
2022-11-06T03:56:27,0,35,0,35
2022-11-06T04:21:06,0,35,0,35
2022-11-06T04:30:25,0,35,0,35
2022-11-06T04:39:44,0,35,0,35
2022-11-06T04:50:23,0,35,0,35
2022-11-06T04:59:47,0,35,0,35
2022-11-06T05:09:04,0,35,0,35
2022-11-06T05:18:21,0,35,0,35
2022-11-06T05:27:38,0,35,0,35
2022-11-06T05:36:54,0,35,0,35
2022-11-06T05:46:09,0,35,0,35
2022-11-06T05:55:27,0,35,0,35
2022-11-06T06:04:46,0,35,0,35
2022-11-06T06:14:04,0,35,0,35
2022-11-06T06:23:22,0,35,0,35
2022-11-06T06:32:39,0,35,0,35
2022-11-06T06:41:55,0,35,0,35
2022-11-06T06:51:10,0,35,0,35
2022-11-06T07:00:27,0,35,0,35
2022-11-06T07:09:44,0,35,0,35
2022-11-06T07:19:01,0,35,0,35
2022-11-06T07:28:18,0,35,0,35
2022-11-06T07:37:37,0,35,0,35
2022-11-06T07:46:56,0,35,0,35
2022-11-06T07:56:13,0,35,0,35
2022-11-06T08:05:29,0,35,0,35
2022-11-06T08:14:46,0,35,0,35
2022-11-06T08:24:03,0,35,0,35
2022-11-06T08:33:21,0,35,0,35
2022-11-06T08:42:37,0,35,0,35
2022-11-06T08:51:53,0,35,0,35
2022-11-06T09:01:11,0,35,0,35
2022-11-06T09:10:26,0,35,0,35
