time,enrolled,available,waitlisted,total
2022-11-05T20:16:57,0,75,0,75
2022-11-05T20:26:15,0,75,0,75
2022-11-05T20:35:42,0,75,0,75
2022-11-05T20:44:59,0,75,0,75
2022-11-05T20:54:15,0,75,0,75
2022-11-05T21:03:31,0,75,0,75
2022-11-05T21:12:46,0,75,0,75
2022-11-05T21:22:01,0,75,0,75
2022-11-05T21:31:17,0,75,0,75
2022-11-05T21:40:33,0,75,0,75
2022-11-05T21:49:49,0,75,0,75
2022-11-05T21:59:04,0,75,0,75
2022-11-05T22:08:19,0,75,0,75
2022-11-05T22:17:34,0,75,0,75
2022-11-05T22:26:49,0,75,0,75
2022-11-05T22:36:06,0,75,0,75
2022-11-05T22:45:23,0,75,0,75
2022-11-05T22:54:38,0,75,0,75
2022-11-05T23:03:55,0,75,0,75
2022-11-05T23:13:11,0,75,0,75
2022-11-05T23:22:28,0,75,0,75
2022-11-05T23:31:46,0,75,0,75
2022-11-05T23:41:01,0,75,0,75
2022-11-05T23:50:17,0,75,0,75
2022-11-05T23:59:33,0,75,0,75
2022-11-06T00:08:59,0,75,0,75
2022-11-06T00:18:15,0,75,0,75
2022-11-06T00:27:31,0,75,0,75
2022-11-06T00:36:46,0,75,0,75
2022-11-06T00:46:02,0,75,0,75
2022-11-06T00:55:17,0,75,0,75
2022-11-06T01:04:32,0,75,0,75
2022-11-06T01:13:47,0,75,0,75
2022-11-06T01:23:03,0,75,0,75
2022-11-06T01:32:19,0,75,0,75
2022-11-06T01:41:36,0,75,0,75
2022-11-06T01:50:51,0,75,0,75
2022-11-06T01:00:07,0,75,0,75
2022-11-06T01:09:24,0,75,0,75
2022-11-06T01:18:40,0,75,0,75
2022-11-06T01:27:55,0,75,0,75
2022-11-06T01:37:11,0,75,0,75
2022-11-06T01:46:27,0,75,0,75
2022-11-06T01:55:46,0,75,0,75
2022-11-06T02:05:04,0,75,0,75
2022-11-06T02:14:23,0,75,0,75
2022-11-06T02:23:43,0,75,0,75
2022-11-06T02:33:03,0,75,0,75
2022-11-06T02:42:22,0,75,0,75
2022-11-06T02:51:41,0,75,0,75
2022-11-06T03:01:00,0,75,0,75
2022-11-06T03:10:18,0,75,0,75
2022-11-06T03:19:34,0,75,0,75
2022-11-06T03:28:52,0,75,0,75
2022-11-06T03:38:11,0,75,0,75
2022-11-06T03:47:31,0,75,0,75
2022-11-06T03:56:50,0,75,0,75
2022-11-06T04:21:29,0,75,0,75
2022-11-06T04:30:48,0,75,0,75
2022-11-06T04:40:07,0,75,0,75
2022-11-06T04:50:51,0,75,0,75
2022-11-06T05:00:09,0,75,0,75
2022-11-06T05:09:27,0,75,0,75
2022-11-06T05:18:44,0,75,0,75
2022-11-06T05:28:01,0,75,0,75
2022-11-06T05:37:17,0,75,0,75
2022-11-06T05:46:32,0,75,0,75
2022-11-06T05:55:49,0,75,0,75
2022-11-06T06:05:08,0,75,0,75
2022-11-06T06:14:26,0,75,0,75
2022-11-06T06:23:45,0,75,0,75
