time,enrolled,available,waitlisted,total
2022-11-05T20:17:02,0,56,0,56
2022-11-05T20:26:19,0,56,0,56
2022-11-05T20:35:46,0,56,0,56
2022-11-05T20:45:03,0,56,0,56
2022-11-05T20:54:19,0,56,0,56
2022-11-05T21:03:34,0,56,0,56
2022-11-05T21:12:49,0,56,0,56
2022-11-05T21:22:04,0,56,0,56
2022-11-05T21:31:20,0,56,0,56
2022-11-05T21:40:37,0,56,0,56
2022-11-05T21:49:52,0,56,0,56
2022-11-05T21:59:07,0,56,0,56
2022-11-05T22:08:23,0,56,0,56
2022-11-05T22:17:38,0,56,0,56
2022-11-05T22:26:52,0,56,0,56
2022-11-05T22:36:10,0,56,0,56
2022-11-05T22:45:26,0,56,0,56
2022-11-05T22:54:42,0,56,0,56
2022-11-05T23:03:58,0,56,0,56
2022-11-05T23:13:14,0,56,0,56
2022-11-05T23:22:31,0,56,0,56
2022-11-05T23:31:49,0,56,0,56
2022-11-05T23:41:04,0,56,0,56
2022-11-05T23:50:21,0,56,0,56
2022-11-05T23:59:36,0,56,0,56
2022-11-06T00:09:02,0,56,0,56
2022-11-06T00:18:18,0,56,0,56
2022-11-06T00:27:34,0,56,0,56
2022-11-06T00:36:49,0,56,0,56
2022-11-06T00:46:05,0,56,0,56
2022-11-06T00:55:20,0,56,0,56
2022-11-06T01:04:36,0,56,0,56
2022-11-06T01:13:51,0,56,0,56
2022-11-06T01:23:07,0,56,0,56
2022-11-06T01:32:23,0,56,0,56
2022-11-06T01:41:39,0,56,0,56
2022-11-06T01:50:54,0,56,0,56
2022-11-06T01:00:11,0,56,0,56
2022-11-06T01:09:28,0,56,0,56
2022-11-06T01:18:44,0,56,0,56
2022-11-06T01:27:59,0,56,0,56
2022-11-06T01:37:15,0,56,0,56
2022-11-06T01:46:30,0,56,0,56
2022-11-06T01:55:50,0,56,0,56
2022-11-06T02:05:08,0,56,0,56
2022-11-06T02:14:27,0,56,0,56
2022-11-06T02:23:46,0,56,0,56
2022-11-06T02:33:07,0,56,0,56
2022-11-06T02:42:26,0,56,0,56
2022-11-06T02:51:45,0,56,0,56
2022-11-06T03:01:04,0,56,0,56
2022-11-06T03:10:22,0,56,0,56
2022-11-06T03:19:38,0,56,0,56
2022-11-06T03:28:55,0,56,0,56
2022-11-06T03:38:14,0,56,0,56
2022-11-06T03:47:34,0,56,0,56
2022-11-06T03:56:54,0,56,0,56
2022-11-06T04:21:32,0,56,0,56
2022-11-06T04:30:52,0,56,0,56
2022-11-06T04:40:10,0,56,0,56
