time,enrolled,available,waitlisted,total
2022-11-05T20:17:09,0,30,0,30
2022-11-05T20:26:26,0,30,0,30
2022-11-05T20:35:53,0,30,0,30
2022-11-05T20:45:10,0,30,0,30
2022-11-05T20:54:25,0,30,0,30
2022-11-05T21:03:41,0,30,0,30
2022-11-05T21:12:56,0,30,0,30
2022-11-05T21:22:11,0,30,0,30
2022-11-05T21:31:27,0,30,0,30
2022-11-05T21:40:44,0,30,0,30
2022-11-05T21:49:59,0,30,0,30
2022-11-05T21:59:14,0,30,0,30
2022-11-05T22:08:30,0,30,0,30
2022-11-05T22:17:45,0,30,0,30
2022-11-05T22:26:59,0,30,0,30
2022-11-05T22:36:17,0,30,0,30
2022-11-05T22:45:33,0,30,0,30
2022-11-05T22:54:49,0,30,0,30
2022-11-05T23:04:05,0,30,0,30
2022-11-05T23:13:21,0,30,0,30
2022-11-05T23:22:38,0,30,0,30
2022-11-05T23:31:56,0,30,0,30
2022-11-05T23:41:11,0,30,0,30
2022-11-05T23:50:28,0,30,0,30
2022-11-05T23:59:43,0,30,0,30
2022-11-06T00:09:09,0,30,0,30
2022-11-06T00:18:25,0,30,0,30
2022-11-06T00:27:41,0,30,0,30
2022-11-06T00:36:56,0,30,0,30
2022-11-06T00:46:12,0,30,0,30
2022-11-06T00:55:27,0,30,0,30
2022-11-06T01:04:43,0,30,0,30
2022-11-06T01:13:57,0,30,0,30
2022-11-06T01:23:14,0,30,0,30
2022-11-06T01:32:30,0,30,0,30
2022-11-06T01:41:46,0,30,0,30
2022-11-06T01:51:01,0,30,0,30
2022-11-06T01:00:18,0,30,0,30
2022-11-06T01:09:35,0,30,0,30
2022-11-06T01:18:51,0,30,0,30
2022-11-06T01:28:06,0,30,0,30
2022-11-06T01:37:22,0,30,0,30
2022-11-06T01:46:37,0,30,0,30
2022-11-06T01:55:57,0,30,0,30
2022-11-06T02:05:15,0,30,0,30
2022-11-06T02:14:34,0,30,0,30
2022-11-06T02:23:53,0,30,0,30
2022-11-06T02:33:14,0,30,0,30
2022-11-06T02:42:33,0,30,0,30
2022-11-06T02:51:52,0,30,0,30
2022-11-06T03:01:11,0,30,0,30
2022-11-06T03:10:29,0,30,0,30
2022-11-06T03:19:45,0,30,0,30
2022-11-06T03:29:02,0,30,0,30
2022-11-06T03:38:21,0,30,0,30
2022-11-06T03:47:41,0,30,0,30
2022-11-06T03:57:01,0,30,0,30
2022-11-06T04:21:39,0,30,0,30
2022-11-06T04:30:59,0,30,0,30
2022-11-06T04:40:17,0,30,0,30
2022-11-06T04:51:02,0,30,0,30
2022-11-06T05:00:20,0,30,0,30
2022-11-06T05:09:37,0,30,0,30
2022-11-06T05:18:54,0,30,0,30
2022-11-06T05:28:11,0,30,0,30
2022-11-06T05:37:27,0,30,0,30
2022-11-06T05:46:42,0,30,0,30
2022-11-06T05:56:00,0,30,0,30
2022-11-06T06:05:19,0,30,0,30
2022-11-06T06:14:37,0,30,0,30
2022-11-06T06:23:55,0,30,0,30
2022-11-06T06:33:12,0,30,0,30
2022-11-06T06:42:28,0,30,0,30
2022-11-06T06:51:43,0,30,0,30
2022-11-06T07:01:00,0,30,0,30
2022-11-06T07:10:17,0,30,0,30
2022-11-06T07:19:34,0,30,0,30
2022-11-06T07:28:52,0,30,0,30
2022-11-06T07:38:11,0,30,0,30
2022-11-06T07:47:29,0,30,0,30
2022-11-06T07:56:46,0,30,0,30
2022-11-06T08:06:03,0,30,0,30
2022-11-06T08:15:20,0,30,0,30
2022-11-06T08:24:36,0,30,0,30
2022-11-06T08:33:54,0,30,0,30
2022-11-06T08:43:11,0,30,0,30
2022-11-06T08:52:27,0,30,0,30
2022-11-06T09:01:44,0,30,0,30
2022-11-06T09:10:59,0,30,0,30
2022-11-06T09:20:14,0,30,0,30
2022-11-06T09:29:27,0,30,0,30
2022-11-06T09:38:41,0,30,0,30
2022-11-06T09:47:55,0,30,0,30
2022-11-06T09:57:09,0,30,0,30
2022-11-06T10:06:22,0,30,0,30
2022-11-06T10:15:35,0,30,0,30
2022-11-06T10:24:49,0,30,0,30
2022-11-06T10:34:06,0,30,0,30
2022-11-06T10:43:21,0,30,0,30
2022-11-06T10:52:35,0,30,0,30
2022-11-06T11:01:51,0,30,0,30
2022-11-06T11:11:04,0,30,0,30
2022-11-06T11:20:21,0,30,0,30
2022-11-06T11:29:42,0,30,0,30
2022-11-06T11:39:01,0,30,0,30
2022-11-06T11:48:15,0,30,0,30
2022-11-06T11:57:30,0,30,0,30
2022-11-06T12:06:43,0,30,0,30
2022-11-06T12:15:59,0,30,0,30
2022-11-06T12:25:25,0,30,0,30
2022-11-06T12:34:38,0,30,0,30
2022-11-06T12:43:53,0,30,0,30
2022-11-06T12:53:08,0,30,0,30
2022-11-06T13:02:22,0,30,0,30
2022-11-06T13:11:36,0,30,0,30
2022-11-06T13:20:52,0,30,0,30
2022-11-06T13:30:08,0,30,0,30
2022-11-06T13:39:21,0,30,0,30
2022-11-06T13:48:35,0,30,0,30
2022-11-06T13:57:48,0,30,0,30
2022-11-06T14:07:04,0,30,0,30
2022-11-06T14:16:19,0,30,0,30
2022-11-06T14:25:42,0,30,0,30
2022-11-06T14:34:56,0,30,0,30
2022-11-06T14:44:12,0,30,0,30
2022-11-06T14:53:27,0,30,0,30
2022-11-06T15:02:40,0,30,0,30
2022-11-06T15:11:54,0,30,0,30
2022-11-06T15:21:08,0,30,0,30
2022-11-06T15:30:21,0,30,0,30
2022-11-06T15:39:35,0,30,0,30
2022-11-06T15:48:49,0,30,0,30
2022-11-06T15:58:02,0,30,0,30
2022-11-06T16:07:15,0,30,0,30
2022-11-06T16:16:38,0,30,0,30
2022-11-06T16:25:54,0,30,0,30
2022-11-06T16:35:10,0,30,0,30
2022-11-06T16:44:25,0,30,0,30
2022-11-06T16:53:41,0,30,0,30
2022-11-06T17:02:55,0,30,0,30
2022-11-06T17:12:10,0,30,0,30
2022-11-06T17:21:25,0,30,0,30
2022-11-06T17:30:40,0,30,0,30
2022-11-06T17:39:56,0,30,0,30
2022-11-06T17:49:20,0,30,0,30
2022-11-06T17:58:34,0,30,0,30
2022-11-06T18:07:50,0,30,0,30
2022-11-06T18:17:06,0,30,0,30
2022-11-06T18:26:20,0,30,0,30
2022-11-06T18:35:33,0,30,0,30
2022-11-06T18:44:47,0,30,0,30
2022-11-06T18:54:02,0,30,0,30
2022-11-06T19:03:17,0,30,0,30
2022-11-06T19:12:41,0,30,0,30
2022-11-06T19:21:55,0,30,0,30
