time,enrolled,available,waitlisted,total
2022-11-05T20:17:14,0,60,0,60
2022-11-05T20:26:31,0,60,0,60
2022-11-05T20:35:58,0,60,0,60
2022-11-05T20:45:15,0,60,0,60
2022-11-05T20:54:31,0,60,0,60
2022-11-05T21:03:46,0,60,0,60
2022-11-05T21:13:01,0,60,0,60
2022-11-05T21:22:16,0,60,0,60
2022-11-05T21:31:32,0,60,0,60
2022-11-05T21:40:49,0,60,0,60
2022-11-05T21:50:05,0,60,0,60
2022-11-05T21:59:19,0,60,0,60
2022-11-05T22:08:35,0,60,0,60
2022-11-05T22:17:50,0,60,0,60
2022-11-05T22:27:04,0,60,0,60
2022-11-05T22:36:22,0,60,0,60
2022-11-05T22:45:38,0,60,0,60
2022-11-05T22:54:54,0,60,0,60
2022-11-05T23:04:10,0,60,0,60
2022-11-05T23:13:26,0,60,0,60
2022-11-05T23:22:43,0,60,0,60
2022-11-05T23:32:02,0,60,0,60
2022-11-05T23:41:16,0,60,0,60
2022-11-05T23:50:33,0,60,0,60
2022-11-05T23:59:48,0,60,0,60
2022-11-06T00:09:15,0,60,0,60
2022-11-06T00:18:31,0,60,0,60
2022-11-06T00:27:47,0,60,0,60
2022-11-06T00:37:02,0,60,0,60
2022-11-06T00:46:18,0,60,0,60
2022-11-06T00:55:33,0,60,0,60
2022-11-06T01:04:48,0,60,0,60
2022-11-06T01:14:03,0,60,0,60
2022-11-06T01:23:19,0,60,0,60
2022-11-06T01:32:35,0,60,0,60
2022-11-06T01:41:51,0,60,0,60
2022-11-06T01:51:06,0,60,0,60
2022-11-06T01:00:23,0,60,0,60
2022-11-06T01:09:40,0,60,0,60
2022-11-06T01:18:56,0,60,0,60
2022-11-06T01:28:11,0,60,0,60
2022-11-06T01:37:27,0,60,0,60
2022-11-06T01:46:42,0,60,0,60
2022-11-06T01:56:02,0,60,0,60
2022-11-06T02:05:20,0,60,0,60
2022-11-06T02:14:39,0,60,0,60
2022-11-06T02:23:59,0,60,0,60
2022-11-06T02:33:19,0,60,0,60
2022-11-06T02:42:38,0,60,0,60
