time,enrolled,available,waitlisted,total
2022-11-05T20:17:23,0,60,0,60
2022-11-05T20:26:41,0,60,0,60
2022-11-05T20:36:08,0,60,0,60
2022-11-05T20:45:24,0,60,0,60
2022-11-05T20:54:40,0,60,0,60
2022-11-05T21:03:56,0,60,0,60
2022-11-05T21:13:11,0,60,0,60
2022-11-05T21:22:26,0,60,0,60
2022-11-05T21:31:42,0,60,0,60
2022-11-05T21:40:58,0,60,0,60
2022-11-05T21:50:14,0,60,0,60
2022-11-05T21:59:29,0,60,0,60
2022-11-05T22:08:44,0,60,0,60
2022-11-05T22:17:59,0,60,0,60
2022-11-05T22:27:14,0,60,0,60
2022-11-05T22:36:31,0,60,0,60
2022-11-05T22:45:48,0,60,0,60
2022-11-05T22:55:04,0,60,0,60
2022-11-05T23:04:20,0,60,0,60
2022-11-05T23:13:36,0,60,0,60
2022-11-05T23:22:53,0,60,0,60
2022-11-05T23:32:11,0,60,0,60
2022-11-05T23:41:26,0,60,0,60
2022-11-05T23:50:43,0,60,0,60
2022-11-05T23:59:58,0,60,0,60
2022-11-06T00:09:24,0,60,0,60
2022-11-06T00:18:40,0,60,0,60
2022-11-06T00:27:56,0,60,0,60
2022-11-06T00:37:11,0,60,0,60
2022-11-06T00:46:27,0,60,0,60
2022-11-06T00:55:42,0,60,0,60
2022-11-06T01:04:57,0,60,0,60
2022-11-06T01:14:12,0,60,0,60
2022-11-06T01:23:29,0,60,0,60
2022-11-06T01:32:44,0,60,0,60
2022-11-06T01:42:01,0,60,0,60
2022-11-06T01:51:16,0,60,0,60
2022-11-06T01:00:32,0,60,0,60
2022-11-06T01:09:49,0,60,0,60
2022-11-06T01:19:05,0,60,0,60
2022-11-06T01:28:21,0,60,0,60
2022-11-06T01:37:37,0,60,0,60
2022-11-06T01:46:52,0,60,0,60
2022-11-06T01:56:11,0,60,0,60
2022-11-06T02:05:30,0,60,0,60
2022-11-06T02:14:49,0,60,0,60
2022-11-06T02:24:08,0,60,0,60
2022-11-06T02:33:29,0,60,0,60
2022-11-06T02:42:48,0,60,0,60
2022-11-06T02:52:07,0,60,0,60
2022-11-06T03:01:25,0,60,0,60
2022-11-06T03:10:44,0,60,0,60
2022-11-06T03:20:00,0,60,0,60
2022-11-06T03:29:17,0,60,0,60
2022-11-06T03:38:36,0,60,0,60
2022-11-06T03:47:56,0,60,0,60
2022-11-06T03:57:15,0,60,0,60
2022-11-06T04:21:54,0,60,0,60
2022-11-06T04:31:14,0,60,0,60
2022-11-06T04:40:32,0,60,0,60
2022-11-06T04:51:16,0,60,0,60
2022-11-06T05:00:34,0,60,0,60
2022-11-06T05:09:52,0,60,0,60
2022-11-06T05:19:09,0,60,0,60
2022-11-06T05:28:26,0,60,0,60
2022-11-06T05:37:42,0,60,0,60
2022-11-06T05:46:57,0,60,0,60
2022-11-06T05:56:15,0,60,0,60
2022-11-06T06:05:33,0,60,0,60
2022-11-06T06:14:52,0,60,0,60
2022-11-06T06:24:10,0,60,0,60
2022-11-06T06:33:27,0,60,0,60
2022-11-06T06:42:43,0,60,0,60
2022-11-06T06:51:59,0,60,0,60
2022-11-06T07:01:15,0,60,0,60
2022-11-06T07:10:32,0,60,0,60
2022-11-06T07:19:49,0,60,0,60
2022-11-06T07:29:07,0,60,0,60
2022-11-06T07:38:26,0,60,0,60
2022-11-06T07:47:44,0,60,0,60
2022-11-06T07:57:01,0,60,0,60
2022-11-06T08:06:17,0,60,0,60
2022-11-06T08:15:34,0,60,0,60
2022-11-06T08:24:51,0,60,0,60
2022-11-06T08:34:09,0,60,0,60
2022-11-06T08:43:25,0,60,0,60
2022-11-06T08:52:41,0,60,0,60
2022-11-06T09:01:59,0,60,0,60
2022-11-06T09:11:14,0,60,0,60
2022-11-06T09:20:29,0,60,0,60
2022-11-06T09:29:42,0,60,0,60
2022-11-06T09:38:55,0,60,0,60
2022-11-06T09:48:10,0,60,0,60
2022-11-06T09:57:24,0,60,0,60
2022-11-06T10:06:37,0,60,0,60
2022-11-06T10:15:50,0,60,0,60
2022-11-06T10:25:04,0,60,0,60
2022-11-06T10:34:21,0,60,0,60
2022-11-06T10:43:36,0,60,0,60
2022-11-06T10:52:50,0,60,0,60
2022-11-06T11:02:06,0,60,0,60
2022-11-06T11:11:19,0,60,0,60
2022-11-06T11:20:36,0,60,0,60
2022-11-06T11:29:57,0,60,0,60
2022-11-06T11:39:16,0,60,0,60
2022-11-06T11:48:30,0,60,0,60
2022-11-06T11:57:44,0,60,0,60
2022-11-06T12:06:58,0,60,0,60
2022-11-06T12:16:14,0,60,0,60
2022-11-06T12:25:40,0,60,0,60
2022-11-06T12:34:53,0,60,0,60
2022-11-06T12:44:08,0,60,0,60
2022-11-06T12:53:23,0,60,0,60
2022-11-06T13:02:36,0,60,0,60
2022-11-06T13:11:51,0,60,0,60
2022-11-06T13:21:07,0,60,0,60
2022-11-06T13:30:22,0,60,0,60
2022-11-06T13:39:36,0,60,0,60
2022-11-06T13:48:49,0,60,0,60
2022-11-06T13:58:03,0,60,0,60
2022-11-06T14:07:19,0,60,0,60
2022-11-06T14:16:34,0,60,0,60
2022-11-06T14:25:57,0,60,0,60
2022-11-06T14:35:10,0,60,0,60
2022-11-06T14:44:27,0,60,0,60
2022-11-06T14:53:42,0,60,0,60
2022-11-06T15:02:55,0,60,0,60
2022-11-06T15:12:09,0,60,0,60
2022-11-06T15:21:22,0,60,0,60
2022-11-06T15:30:36,0,60,0,60
2022-11-06T15:39:49,0,60,0,60
2022-11-06T15:49:04,0,60,0,60
2022-11-06T15:58:16,0,60,0,60
2022-11-06T16:07:29,0,60,0,60
2022-11-06T16:16:53,0,60,0,60
2022-11-06T16:26:08,0,60,0,60
2022-11-06T16:35:25,0,60,0,60
2022-11-06T16:44:40,0,60,0,60
2022-11-06T16:53:56,0,60,0,60
2022-11-06T17:03:10,0,60,0,60
2022-11-06T17:12:25,0,60,0,60
2022-11-06T17:21:39,0,60,0,60
2022-11-06T17:30:55,0,60,0,60
2022-11-06T17:40:10,0,60,0,60
2022-11-06T17:49:34,0,60,0,60
2022-11-06T17:58:49,0,60,0,60
2022-11-06T18:08:04,0,60,0,60
2022-11-06T18:17:20,0,60,0,60
2022-11-06T18:26:35,0,60,0,60
2022-11-06T18:35:48,0,60,0,60
2022-11-06T18:45:02,0,60,0,60
2022-11-06T18:54:17,0,60,0,60
2022-11-06T19:03:31,0,60,0,60
2022-11-06T19:12:56,0,60,0,60
2022-11-06T19:22:10,0,60,0,60
2022-11-06T19:31:25,0,60,0,60
2022-11-06T19:40:38,0,60,0,60
2022-11-06T19:49:52,0,60,0,60
2022-11-06T19:59:06,0,60,0,60
2022-11-06T20:08:20,0,60,0,60
2022-11-06T20:17:34,0,60,0,60
2022-11-06T20:26:49,0,60,0,60
2022-11-06T20:36:12,0,60,0,60
2022-11-06T20:45:26,0,60,0,60
2022-11-06T20:54:40,0,60,0,60
2022-11-06T21:03:55,0,60,0,60
2022-11-06T21:13:08,0,60,0,60
2022-11-06T21:22:21,0,60,0,60
2022-11-06T21:31:34,0,60,0,60
2022-11-06T21:40:49,0,60,0,60
2022-11-06T21:50:03,0,60,0,60
2022-11-06T21:59:28,0,60,0,60
2022-11-06T22:08:43,0,60,0,60
2022-11-06T22:17:59,0,60,0,60
2022-11-06T22:27:13,0,60,0,60
2022-11-06T22:36:29,0,60,0,60
2022-11-06T22:45:42,0,60,0,60
2022-11-06T22:54:57,0,60,0,60
2022-11-06T23:04:13,0,60,0,60
2022-11-06T23:13:38,0,60,0,60
2022-11-06T23:22:54,0,60,0,60
2022-11-06T23:32:10,0,60,0,60
2022-11-06T23:41:25,0,60,0,60
2022-11-06T23:50:41,0,60,0,60
2022-11-06T23:59:56,0,60,0,60
2022-11-07T00:11:01,1,59,0,60
2022-11-07T00:20:18,1,59,0,60
2022-11-07T00:29:46,2,58,0,60
2022-11-07T00:39:04,2,58,0,60
2022-11-07T00:48:18,2,58,0,60
2022-11-07T00:57:32,2,58,0,60
2022-11-07T01:06:49,2,58,0,60
2022-11-07T01:16:09,2,58,0,60
2022-11-07T01:25:24,2,58,0,60
2022-11-07T01:34:39,2,58,0,60
2022-11-07T01:44:04,2,58,0,60
2022-11-07T01:53:19,2,58,0,60
2022-11-07T02:02:33,2,58,0,60
2022-11-07T02:11:48,2,58,0,60
2022-11-07T02:21:03,2,58,0,60
2022-11-07T02:30:17,2,58,0,60
2022-11-07T02:39:32,2,58,0,60
2022-11-07T02:48:45,2,58,0,60
2022-11-07T02:57:59,2,58,0,60
2022-11-07T03:07:15,2,58,0,60
2022-11-07T03:16:29,2,58,0,60
2022-11-07T03:25:44,2,58,0,60
2022-11-07T03:35:00,2,58,0,60
2022-11-07T03:44:16,2,58,0,60
2022-11-07T03:53:32,2,58,0,60
2022-11-07T04:02:50,2,58,0,60
2022-11-07T04:12:07,2,58,0,60
2022-11-07T04:29:39,2,58,0,60
2022-11-07T04:38:56,2,58,0,60
2022-11-07T04:48:14,2,58,0,60
2022-11-07T04:57:28,2,58,0,60
2022-11-07T05:06:44,2,58,0,60
2022-11-07T05:15:58,2,58,0,60
2022-11-07T05:25:12,2,58,0,60
2022-11-07T05:34:26,2,58,0,60
2022-11-07T05:43:41,2,58,0,60
2022-11-07T05:52:56,2,58,0,60
2022-11-07T06:02:12,2,58,0,60
2022-11-07T06:11:30,2,58,0,60
2022-11-07T06:20:46,2,58,0,60
2022-11-07T06:30:05,2,58,0,60
2022-11-07T06:39:21,2,58,0,60
2022-11-07T06:48:38,2,58,0,60
2022-11-07T06:57:54,2,58,0,60
2022-11-07T07:07:11,2,58,0,60
2022-11-07T07:16:28,2,58,0,60
2022-11-07T07:25:45,2,58,0,60
2022-11-07T07:35:02,2,58,0,60
2022-11-07T07:44:20,2,58,0,60
2022-11-07T07:53:41,3,57,0,60
2022-11-07T08:02:59,3,57,0,60
2022-11-07T08:12:18,3,57,0,60
2022-11-07T08:21:36,3,57,0,60
2022-11-07T08:31:05,3,57,0,60
2022-11-07T08:40:23,4,56,0,60
2022-11-07T08:49:40,4,56,0,60
2022-11-07T08:58:57,4,56,0,60
2022-11-07T09:08:16,4,56,0,60
2022-11-07T09:17:38,4,56,0,60
2022-11-07T09:26:58,4,56,0,60
2022-11-07T09:36:18,5,55,0,60
2022-11-07T09:45:54,5,55,0,60
2022-11-07T09:55:13,5,55,0,60
2022-11-07T10:04:32,5,55,0,60
2022-11-07T10:13:51,5,55,0,60
2022-11-07T10:23:10,6,54,0,60
2022-11-07T10:32:30,6,54,0,60
2022-11-07T10:42:02,6,54,0,60
2022-11-07T10:51:21,6,54,0,60
2022-11-07T11:00:40,6,54,0,60
2022-11-07T11:10:02,6,54,0,60
2022-11-07T11:19:22,6,54,0,60
2022-11-07T11:28:53,6,54,0,60
2022-11-07T11:38:13,6,54,0,60
2022-11-07T11:47:33,6,54,0,60
2022-11-07T11:56:50,6,54,0,60
2022-11-07T12:06:19,6,54,0,60
2022-11-07T12:15:38,6,54,0,60
2022-11-07T12:24:58,7,53,0,60
2022-11-07T12:34:18,7,53,0,60
2022-11-07T12:43:48,7,53,0,60
2022-11-07T12:53:07,7,53,0,60
2022-11-07T13:02:29,7,53,0,60
2022-11-07T13:11:49,7,53,0,60
2022-11-07T13:21:20,7,53,0,60
2022-11-07T13:30:41,7,53,0,60
2022-11-07T13:40:02,7,53,0,60
2022-11-07T13:49:23,7,53,0,60
2022-11-07T13:58:54,7,53,0,60
2022-11-07T14:08:14,7,53,0,60
2022-11-07T14:17:33,7,53,0,60
2022-11-07T14:27:04,7,53,0,60
2022-11-07T14:36:23,7,53,0,60
2022-11-07T14:45:43,7,53,0,60
2022-11-07T14:55:01,8,52,0,60
2022-11-07T15:04:20,8,52,0,60
2022-11-07T15:13:40,8,52,0,60
2022-11-07T15:23:10,8,52,0,60
2022-11-07T15:32:29,8,52,0,60
2022-11-07T15:41:47,8,52,0,60
2022-11-07T15:51:05,8,52,0,60
2022-11-07T16:00:34,8,52,0,60
2022-11-07T16:09:53,9,51,0,60
2022-11-07T16:19:10,9,51,0,60
2022-11-07T16:28:29,9,51,0,60
2022-11-07T16:37:57,10,50,0,60
2022-11-07T16:47:15,10,50,0,60
2022-11-07T16:56:33,10,50,0,60
2022-11-07T17:05:52,10,50,0,60
2022-11-07T17:15:15,10,50,0,60
2022-11-07T17:24:44,10,50,0,60
2022-11-07T17:34:01,10,50,0,60
2022-11-07T17:43:19,10,50,0,60
2022-11-07T17:52:37,10,50,0,60
2022-11-07T18:02:09,13,47,0,60
2022-11-07T18:11:26,13,47,0,60
2022-11-07T18:20:43,14,46,0,60
2022-11-07T18:30:01,14,46,0,60
2022-11-07T18:39:27,14,46,0,60
2022-11-07T18:48:44,14,46,0,60
2022-11-07T18:58:02,14,46,0,60
2022-11-07T19:07:20,14,46,0,60
2022-11-07T19:16:46,14,46,0,60
2022-11-07T19:26:04,14,46,0,60
