time,enrolled,available,waitlisted,total
2022-11-05T20:17:30,0,70,0,70
2022-11-05T20:26:47,0,70,0,70
2022-11-05T20:36:14,0,70,0,70
2022-11-05T20:45:30,0,70,0,70
2022-11-05T20:54:46,0,70,0,70
2022-11-05T21:04:02,0,70,0,70
2022-11-05T21:13:17,0,70,0,70
2022-11-05T21:22:32,0,70,0,70
2022-11-05T21:31:48,0,70,0,70
2022-11-05T21:41:05,0,70,0,70
2022-11-05T21:50:20,0,70,0,70
2022-11-05T21:59:35,0,70,0,70
2022-11-05T22:08:50,0,70,0,70
2022-11-05T22:18:06,0,70,0,70
2022-11-05T22:27:20,0,70,0,70
2022-11-05T22:36:37,0,70,0,70
2022-11-05T22:45:54,0,70,0,70
2022-11-05T22:55:10,0,70,0,70
2022-11-05T23:04:26,0,70,0,70
2022-11-05T23:13:42,0,70,0,70
2022-11-05T23:22:59,0,70,0,70
2022-11-05T23:32:17,0,70,0,70
2022-11-05T23:41:32,0,70,0,70
2022-11-05T23:50:49,0,70,0,70
2022-11-06T00:00:04,0,70,0,70
2022-11-06T00:09:30,0,70,0,70
2022-11-06T00:18:46,0,70,0,70
2022-11-06T00:28:02,0,70,0,70
2022-11-06T00:37:17,0,70,0,70
2022-11-06T00:46:33,0,70,0,70
2022-11-06T00:55:48,0,70,0,70
2022-11-06T01:05:03,0,70,0,70
2022-11-06T01:14:18,0,70,0,70
2022-11-06T01:23:35,0,70,0,70
2022-11-06T01:32:51,0,70,0,70
2022-11-06T01:42:07,0,70,0,70
2022-11-06T01:51:22,0,70,0,70
2022-11-06T01:00:38,0,70,0,70
2022-11-06T01:09:56,0,70,0,70
2022-11-06T01:19:11,0,70,0,70
2022-11-06T01:28:27,0,70,0,70
2022-11-06T01:37:43,0,70,0,70
2022-11-06T01:46:58,0,70,0,70
2022-11-06T01:56:18,0,70,0,70
2022-11-06T02:05:36,0,70,0,70
2022-11-06T02:14:55,0,70,0,70
2022-11-06T02:24:14,0,70,0,70
2022-11-06T02:33:35,0,70,0,70
2022-11-06T02:42:54,0,70,0,70
