time,enrolled,available,waitlisted,total
2022-11-05T20:17:40,0,30,0,30
2022-11-05T20:26:57,0,30,0,30
2022-11-05T20:36:25,0,30,0,30
2022-11-05T20:45:41,0,30,0,30
2022-11-05T20:54:57,0,30,0,30
2022-11-05T21:04:12,0,30,0,30
2022-11-05T21:13:27,0,30,0,30
2022-11-05T21:22:42,0,30,0,30
2022-11-05T21:31:58,0,30,0,30
2022-11-05T21:41:15,0,30,0,30
2022-11-05T21:50:30,0,30,0,30
2022-11-05T21:59:45,0,30,0,30
2022-11-05T22:09:01,0,30,0,30
2022-11-05T22:18:16,0,30,0,30
2022-11-05T22:27:31,0,30,0,30
2022-11-05T22:36:48,0,30,0,30
2022-11-05T22:46:04,0,30,0,30
2022-11-05T22:55:20,0,30,0,30
2022-11-05T23:04:37,0,30,0,30
2022-11-05T23:13:53,0,30,0,30
2022-11-05T23:23:09,0,30,0,30
2022-11-05T23:32:28,0,30,0,30
2022-11-05T23:41:42,0,30,0,30
2022-11-05T23:50:59,0,30,0,30
2022-11-06T00:00:14,0,30,0,30
2022-11-06T00:09:41,0,30,0,30
2022-11-06T00:18:57,0,30,0,30
2022-11-06T00:28:13,0,30,0,30
2022-11-06T00:37:28,0,30,0,30
2022-11-06T00:46:44,0,30,0,30
2022-11-06T00:55:59,0,30,0,30
2022-11-06T01:05:14,0,30,0,30
2022-11-06T01:14:29,0,30,0,30
2022-11-06T01:23:45,0,30,0,30
2022-11-06T01:33:01,0,30,0,30
2022-11-06T01:42:17,0,30,0,30
2022-11-06T01:51:33,0,30,0,30
2022-11-06T01:00:49,0,30,0,30
2022-11-06T01:10:06,0,30,0,30
2022-11-06T01:19:22,0,30,0,30
2022-11-06T01:28:37,0,30,0,30
2022-11-06T01:37:53,0,30,0,30
2022-11-06T01:47:08,0,30,0,30
2022-11-06T01:56:28,0,30,0,30
2022-11-06T02:05:46,0,30,0,30
2022-11-06T02:15:05,0,30,0,30
2022-11-06T02:24:25,0,30,0,30
2022-11-06T02:33:46,0,30,0,30
2022-11-06T02:43:04,0,30,0,30
2022-11-06T02:52:23,0,30,0,30
2022-11-06T03:01:42,0,30,0,30
2022-11-06T03:11:00,0,30,0,30
2022-11-06T03:20:17,0,30,0,30
2022-11-06T03:29:33,0,30,0,30
2022-11-06T03:38:53,0,30,0,30
2022-11-06T03:48:13,0,30,0,30
