time,enrolled,available,waitlisted,total
2022-11-05T20:17:52,0,30,0,30
2022-11-05T20:27:09,0,30,0,30
2022-11-05T20:36:37,0,30,0,30
2022-11-05T20:45:53,0,30,0,30
2022-11-05T20:55:09,0,30,0,30
2022-11-05T21:04:24,0,30,0,30
2022-11-05T21:13:40,0,30,0,30
2022-11-05T21:22:54,0,30,0,30
2022-11-05T21:32:11,0,30,0,30
2022-11-05T21:41:27,0,30,0,30
2022-11-05T21:50:43,0,30,0,30
2022-11-05T21:59:57,0,30,0,30
2022-11-05T22:09:13,0,30,0,30
2022-11-05T22:18:28,0,30,0,30
2022-11-05T22:27:43,0,30,0,30
2022-11-05T22:37:00,0,30,0,30
2022-11-05T22:46:17,0,30,0,30
2022-11-05T22:55:32,0,30,0,30
2022-11-05T23:04:49,0,30,0,30
2022-11-05T23:14:05,0,30,0,30
2022-11-05T23:23:22,0,30,0,30
2022-11-05T23:32:40,0,30,0,30
2022-11-05T23:41:55,0,30,0,30
2022-11-05T23:51:11,0,30,0,30
2022-11-06T00:00:27,0,30,0,30
2022-11-06T00:09:53,0,30,0,30
2022-11-06T00:19:09,0,30,0,30
2022-11-06T00:28:25,0,30,0,30
2022-11-06T00:37:40,0,30,0,30
2022-11-06T00:46:56,0,30,0,30
2022-11-06T00:56:11,0,30,0,30
2022-11-06T01:05:26,0,30,0,30
2022-11-06T01:14:41,0,30,0,30
2022-11-06T01:23:57,0,30,0,30
2022-11-06T01:33:13,0,30,0,30
2022-11-06T01:42:29,0,30,0,30
2022-11-06T01:51:45,0,30,0,30
2022-11-06T01:01:01,0,30,0,30
2022-11-06T01:10:18,0,30,0,30
2022-11-06T01:19:34,0,30,0,30
2022-11-06T01:28:50,0,30,0,30
2022-11-06T01:38:05,0,30,0,30
2022-11-06T01:47:21,0,30,0,30
2022-11-06T01:56:40,0,30,0,30
2022-11-06T02:05:58,0,30,0,30
2022-11-06T02:15:17,0,30,0,30
2022-11-06T02:24:37,0,30,0,30
2022-11-06T02:33:58,0,30,0,30
2022-11-06T02:43:16,0,30,0,30
2022-11-06T02:52:36,0,30,0,30
2022-11-06T03:01:54,0,30,0,30
2022-11-06T03:11:12,0,30,0,30
2022-11-06T03:20:29,0,30,0,30
2022-11-06T03:29:46,0,30,0,30
2022-11-06T03:39:05,0,30,0,30
2022-11-06T03:48:25,0,30,0,30
2022-11-06T03:57:44,0,30,0,30
2022-11-06T04:22:23,0,30,0,30
2022-11-06T04:31:42,0,30,0,30
2022-11-06T04:41:01,0,30,0,30
2022-11-06T04:51:45,0,30,0,30
2022-11-06T05:01:03,0,30,0,30
2022-11-06T05:10:21,0,30,0,30
2022-11-06T05:19:38,0,30,0,30
2022-11-06T05:28:55,0,30,0,30
2022-11-06T05:38:11,0,30,0,30
2022-11-06T05:47:26,0,30,0,30
2022-11-06T05:56:44,0,30,0,30
2022-11-06T06:06:02,0,30,0,30
2022-11-06T06:15:21,0,30,0,30
2022-11-06T06:24:39,0,30,0,30
2022-11-06T06:33:55,0,30,0,30
