time,enrolled,available,waitlisted,total
2022-12-02T15:11:54,0,15,0,15
2022-12-02T15:21:25,0,15,0,15
2022-12-02T15:30:46,0,15,0,15
2022-12-02T15:40:07,3,12,0,15
2022-12-02T15:49:29,5,10,0,15
2022-12-02T15:58:50,5,10,0,15
2022-12-02T16:08:11,5,10,0,15
2022-12-02T16:17:34,5,10,0,15
2022-12-02T16:27:07,5,10,0,15
2022-12-02T16:36:28,5,10,0,15
2022-12-02T16:45:49,6,9,0,15
2022-12-02T16:55:10,6,9,0,15
2022-12-02T17:04:32,6,9,0,15
2022-12-02T17:13:53,6,9,0,15
2022-12-02T17:23:23,6,9,0,15
2022-12-02T17:32:43,6,9,0,15
2022-12-02T17:42:03,6,9,0,15
2022-12-02T17:51:22,7,8,0,15
2022-12-02T18:00:42,7,8,0,15
2022-12-02T18:10:04,7,8,0,15
2022-12-02T18:19:23,7,8,0,15
2022-12-02T18:28:44,7,8,0,15
2022-12-02T18:38:04,7,8,0,15
2022-12-02T18:47:24,7,8,0,15
2022-12-02T18:56:53,7,8,0,15
2022-12-02T19:06:13,7,8,0,15
2022-12-02T19:15:35,7,8,0,15
2022-12-02T19:24:54,7,8,0,15
2022-12-02T19:34:13,7,8,0,15
2022-12-02T19:43:33,7,8,0,15
2022-12-02T19:52:52,7,8,0,15
2022-12-02T20:02:12,7,8,0,15
2022-12-02T20:11:33,7,8,0,15
2022-12-02T20:20:54,7,8,0,15
2022-12-02T20:30:24,7,8,0,15
2022-12-02T20:39:44,7,8,0,15
2022-12-02T20:49:03,7,8,0,15
2022-12-02T20:58:23,7,8,0,15
2022-12-02T21:07:43,7,8,0,15
2022-12-02T21:17:04,7,8,0,15
2022-12-02T21:26:24,7,8,0,15
2022-12-02T21:35:44,7,8,0,15
2022-12-02T21:45:03,7,8,0,15
2022-12-02T21:54:21,7,8,0,15
2022-12-02T22:03:41,7,8,0,15
2022-12-02T22:13:01,7,8,0,15
2022-12-02T22:22:32,7,8,0,15
2022-12-02T22:31:50,7,8,0,15
2022-12-02T22:41:09,7,8,0,15
2022-12-02T22:50:28,7,8,0,15
2022-12-02T22:59:49,7,8,0,15
2022-12-02T23:09:11,7,8,0,15
2022-12-02T23:18:31,7,8,0,15
2022-12-02T23:27:51,7,8,0,15
2022-12-02T23:37:10,7,8,0,15
2022-12-02T23:46:39,7,8,0,15
2022-12-02T23:55:58,7,8,0,15
2022-12-03T00:05:18,7,8,0,15
2022-12-03T00:14:45,7,8,0,15
2022-12-03T00:24:09,7,8,0,15
2022-12-03T00:33:29,7,8,0,15
2022-12-03T00:42:53,7,8,0,15
2022-12-03T00:52:16,7,8,0,15
2022-12-03T01:01:39,7,8,0,15
2022-12-03T01:11:03,7,8,0,15
2022-12-03T01:20:27,7,8,0,15
2022-12-03T01:29:52,7,8,0,15
2022-12-03T01:39:14,7,8,0,15
2022-12-03T01:48:36,7,8,0,15
2022-12-03T01:57:56,7,8,0,15
2022-12-03T02:07:15,7,8,0,15
2022-12-03T02:16:46,7,8,0,15
2022-12-03T02:26:05,7,8,0,15
2022-12-03T02:35:24,7,8,0,15
2022-12-03T02:44:44,7,8,0,15
2022-12-03T02:54:03,7,8,0,15
2022-12-03T03:03:23,7,8,0,15
2022-12-03T03:12:43,7,8,0,15
2022-12-03T03:22:02,7,8,0,15
2022-12-03T03:31:22,7,8,0,15
2022-12-03T03:40:43,7,8,0,15
2022-12-03T03:50:05,7,8,0,15
2022-12-03T03:59:27,7,8,0,15
2022-12-03T04:24:32,7,8,0,15
2022-12-03T04:34:30,7,8,0,15
2022-12-03T04:45:08,7,8,0,15
2022-12-03T04:54:27,7,8,0,15
2022-12-03T05:03:46,7,8,0,15
2022-12-03T05:13:07,7,8,0,15
2022-12-03T05:22:26,7,8,0,15
2022-12-03T05:31:44,7,8,0,15
2022-12-03T05:41:03,7,8,0,15
2022-12-03T05:50:23,7,8,0,15
2022-12-03T05:59:45,7,8,0,15
2022-12-03T06:09:09,7,8,0,15
2022-12-03T06:18:31,7,8,0,15
2022-12-03T06:27:54,7,8,0,15
2022-12-03T06:37:19,7,8,0,15
2022-12-03T06:46:43,7,8,0,15
2022-12-03T06:56:07,7,8,0,15
2022-12-03T07:05:29,7,8,0,15
2022-12-03T07:15:08,7,8,0,15
2022-12-03T07:24:33,7,8,0,15
2022-12-03T07:33:57,7,8,0,15
2022-12-03T07:43:21,7,8,0,15
2022-12-03T07:52:45,7,8,0,15
2022-12-03T08:02:09,7,8,0,15
2022-12-03T08:11:33,7,8,0,15
2022-12-03T08:20:57,7,8,0,15
2022-12-03T08:30:22,7,8,0,15
2022-12-03T08:39:46,7,8,0,15
2022-12-03T08:49:10,7,8,0,15
2022-12-03T08:58:33,7,8,0,15
2022-12-03T09:07:56,7,8,0,15
2022-12-03T09:17:29,7,8,0,15
2022-12-03T09:26:52,7,8,0,15
2022-12-03T09:36:15,7,8,0,15
2022-12-03T09:45:38,7,8,0,15
2022-12-03T09:55:01,7,8,0,15
2022-12-03T10:04:23,7,8,0,15
2022-12-03T10:13:43,7,8,0,15
2022-12-03T10:23:02,7,8,0,15
2022-12-03T10:32:20,7,8,0,15
2022-12-03T10:41:41,7,8,0,15
2022-12-03T10:51:00,7,8,0,15
2022-12-03T11:00:17,7,8,0,15
2022-12-03T11:09:45,7,8,0,15
2022-12-03T11:19:03,7,8,0,15
2022-12-03T11:28:21,7,8,0,15
2022-12-03T11:37:38,7,8,0,15
2022-12-03T11:46:55,7,8,0,15
2022-12-03T11:56:13,7,8,0,15
2022-12-03T12:05:31,7,8,0,15
2022-12-03T12:14:51,7,8,0,15
2022-12-03T12:24:08,7,8,0,15
2022-12-03T12:33:25,7,8,0,15
2022-12-03T12:42:42,7,8,0,15
2022-12-03T12:52:15,7,8,0,15
2022-12-03T13:01:32,7,8,0,15
2022-12-03T13:10:52,7,8,0,15
2022-12-03T13:20:10,7,8,0,15
2022-12-03T13:29:27,7,8,0,15
