time,enrolled,available,waitlisted,total
2022-11-05T20:18:07,0,160,0,160
2022-11-05T20:27:24,0,160,0,160
2022-11-05T20:36:52,0,160,0,160
2022-11-05T20:46:08,0,160,0,160
2022-11-05T20:55:24,0,160,0,160
2022-11-05T21:04:39,0,160,0,160
2022-11-05T21:13:54,0,160,0,160
2022-11-05T21:23:09,0,160,0,160
2022-11-05T21:32:25,0,160,0,160
2022-11-05T21:41:42,0,160,0,160
2022-11-05T21:50:57,0,160,0,160
2022-11-05T22:00:12,0,160,0,160
2022-11-05T22:09:28,0,160,0,160
2022-11-05T22:18:43,0,160,0,160
2022-11-05T22:27:58,0,160,0,160
2022-11-05T22:37:15,0,160,0,160
2022-11-05T22:46:31,0,160,0,160
2022-11-05T22:55:47,0,160,0,160
2022-11-05T23:05:03,0,160,0,160
2022-11-05T23:14:20,0,160,0,160
2022-11-05T23:23:36,0,160,0,160
2022-11-05T23:32:55,0,160,0,160
2022-11-05T23:42:10,0,160,0,160
2022-11-05T23:51:26,0,160,0,160
2022-11-06T00:00:41,0,160,0,160
2022-11-06T00:10:08,0,160,0,160
2022-11-06T00:19:24,0,160,0,160
2022-11-06T00:28:40,0,160,0,160
2022-11-06T00:37:54,0,160,0,160
2022-11-06T00:47:10,0,160,0,160
2022-11-06T00:56:26,0,160,0,160
2022-11-06T01:05:41,0,160,0,160
2022-11-06T01:14:56,0,160,0,160
2022-11-06T01:24:12,0,160,0,160
2022-11-06T01:33:28,0,160,0,160
2022-11-06T01:42:44,0,160,0,160
2022-11-06T01:52:00,0,160,0,160
2022-11-06T01:01:16,0,160,0,160
2022-11-06T01:10:33,0,160,0,160
2022-11-06T01:19:49,0,160,0,160
2022-11-06T01:29:04,0,160,0,160
2022-11-06T01:38:20,0,160,0,160
2022-11-06T01:47:36,0,160,0,160
2022-11-06T01:56:55,0,160,0,160
2022-11-06T02:06:13,0,160,0,160
2022-11-06T02:15:32,0,160,0,160
2022-11-06T02:24:52,0,160,0,160
2022-11-06T02:34:13,0,160,0,160
2022-11-06T02:43:31,0,160,0,160
2022-11-06T02:52:51,0,160,0,160
2022-11-06T03:02:09,0,160,0,160
2022-11-06T03:11:27,0,160,0,160
2022-11-06T03:20:43,0,160,0,160
2022-11-06T03:30:01,0,160,0,160
2022-11-06T03:39:20,0,160,0,160
2022-11-06T03:48:40,0,160,0,160
2022-11-06T03:57:59,0,160,0,160
2022-11-06T04:22:38,0,160,0,160
2022-11-06T04:31:57,0,160,0,160
2022-11-06T04:41:16,0,160,0,160
2022-11-06T04:52:00,0,160,0,160
2022-11-06T05:01:18,0,160,0,160
2022-11-06T05:10:35,0,160,0,160
2022-11-06T05:19:52,0,160,0,160
2022-11-06T05:29:09,0,160,0,160
2022-11-06T05:38:25,0,160,0,160
2022-11-06T05:47:41,0,160,0,160
2022-11-06T05:56:58,0,160,0,160
2022-11-06T06:06:17,0,160,0,160
2022-11-06T06:15:36,0,160,0,160
2022-11-06T06:24:54,0,160,0,160
2022-11-06T06:34:10,0,160,0,160
2022-11-06T06:43:27,0,160,0,160
2022-11-06T06:52:42,0,160,0,160
2022-11-06T07:01:58,0,160,0,160
2022-11-06T07:11:15,0,160,0,160
2022-11-06T07:20:33,0,160,0,160
2022-11-06T07:29:50,0,160,0,160
2022-11-06T07:39:09,0,160,0,160
2022-11-06T07:48:28,0,160,0,160
2022-11-06T07:57:45,0,160,0,160
2022-11-06T08:07:01,0,160,0,160
2022-11-06T08:16:18,0,160,0,160
2022-11-06T08:25:35,0,160,0,160
2022-11-06T08:34:52,0,160,0,160
2022-11-06T08:44:09,0,160,0,160
2022-11-06T08:53:25,0,160,0,160
2022-11-06T09:02:42,0,160,0,160
2022-11-06T09:11:57,0,160,0,160
2022-11-06T09:21:12,0,160,0,160
2022-11-06T09:30:25,0,160,0,160
2022-11-06T09:39:39,0,160,0,160
2022-11-06T09:48:53,0,160,0,160
2022-11-06T09:58:07,0,160,0,160
2022-11-06T10:07:20,0,160,0,160
2022-11-06T10:16:33,0,160,0,160
2022-11-06T10:25:47,0,160,0,160
2022-11-06T10:35:04,0,160,0,160
2022-11-06T10:44:19,0,160,0,160
2022-11-06T10:53:34,0,160,0,160
2022-11-06T11:02:49,0,160,0,160
2022-11-06T11:12:02,0,160,0,160
2022-11-06T11:21:20,0,160,0,160
2022-11-06T11:30:41,0,160,0,160
2022-11-06T11:39:59,0,160,0,160
2022-11-06T11:49:13,0,160,0,160
2022-11-06T11:58:28,0,160,0,160
2022-11-06T12:07:41,0,160,0,160
2022-11-06T12:16:57,0,160,0,160
2022-11-06T12:26:23,0,160,0,160
2022-11-06T12:35:36,0,160,0,160
2022-11-06T12:44:51,0,160,0,160
2022-11-06T12:54:06,0,160,0,160
2022-11-06T13:03:20,0,160,0,160
2022-11-06T13:12:35,0,160,0,160
2022-11-06T13:21:51,0,160,0,160
2022-11-06T13:31:06,0,160,0,160
2022-11-06T13:40:19,0,160,0,160
2022-11-06T13:49:33,0,160,0,160
2022-11-06T13:58:47,0,160,0,160
2022-11-06T14:08:02,0,160,0,160
2022-11-06T14:17:17,0,160,0,160
2022-11-06T14:26:40,0,160,0,160
2022-11-06T14:35:54,0,160,0,160
2022-11-06T14:45:10,0,160,0,160
2022-11-06T14:54:25,0,160,0,160
2022-11-06T15:03:38,0,160,0,160
2022-11-06T15:12:52,0,160,0,160
2022-11-06T15:22:06,0,160,0,160
2022-11-06T15:31:19,0,160,0,160
2022-11-06T15:40:33,0,160,0,160
2022-11-06T15:49:47,0,160,0,160
2022-11-06T15:58:59,0,160,0,160
2022-11-06T16:08:13,0,160,0,160
2022-11-06T16:17:36,0,160,0,160
2022-11-06T16:26:52,0,160,0,160
2022-11-06T16:36:09,0,160,0,160
2022-11-06T16:45:23,0,160,0,160
2022-11-06T16:54:39,0,160,0,160
2022-11-06T17:03:53,0,160,0,160
2022-11-06T17:13:08,0,160,0,160
2022-11-06T17:22:23,0,160,0,160
2022-11-06T17:31:38,0,160,0,160
2022-11-06T17:40:54,0,160,0,160
2022-11-06T17:50:18,0,160,0,160
2022-11-06T17:59:33,0,160,0,160
2022-11-06T18:08:48,0,160,0,160
2022-11-06T18:18:04,0,160,0,160
2022-11-06T18:27:18,0,160,0,160
2022-11-06T18:36:32,0,160,0,160
2022-11-06T18:45:45,0,160,0,160
2022-11-06T18:55:00,0,160,0,160
2022-11-06T19:04:15,0,160,0,160
2022-11-06T19:13:39,0,160,0,160
2022-11-06T19:22:53,0,160,0,160
2022-11-06T19:32:09,0,160,0,160
2022-11-06T19:41:22,0,160,0,160
2022-11-06T19:50:35,0,160,0,160
2022-11-06T19:59:49,0,160,0,160
2022-11-06T20:09:03,0,160,0,160
2022-11-06T20:18:17,0,160,0,160
2022-11-06T20:27:33,0,160,0,160
2022-11-06T20:36:55,0,160,0,160
2022-11-06T20:46:09,0,160,0,160
2022-11-06T20:55:23,0,160,0,160
2022-11-06T21:04:39,0,160,0,160
