time,enrolled,available,waitlisted,total
2022-11-05T20:09:44,0,15,0,15
2022-11-05T20:19:01,0,15,0,15
2022-11-05T20:28:18,0,15,0,15
2022-11-05T20:37:45,0,15,0,15
2022-11-05T20:47:02,0,15,0,15
2022-11-05T20:56:17,0,15,0,15
2022-11-05T21:05:33,0,15,0,15
2022-11-05T21:14:48,0,15,0,15
2022-11-05T21:24:03,0,15,0,15
2022-11-05T21:33:19,0,15,0,15
2022-11-05T21:42:35,0,15,0,15
2022-11-05T21:51:51,0,15,0,15
2022-11-05T22:01:06,0,15,0,15
2022-11-05T22:10:21,0,15,0,15
2022-11-05T22:19:36,0,15,0,15
2022-11-05T22:28:51,0,15,0,15
2022-11-05T22:38:09,0,15,0,15
2022-11-05T22:47:25,0,15,0,15
2022-11-05T22:56:41,0,15,0,15
2022-11-05T23:05:58,0,15,0,15
2022-11-05T23:15:13,0,15,0,15
2022-11-05T23:24:30,0,15,0,15
2022-11-05T23:33:48,0,15,0,15
2022-11-05T23:43:03,0,15,0,15
2022-11-05T23:52:20,0,15,0,15
2022-11-06T00:01:35,0,15,0,15
2022-11-06T00:11:01,0,15,0,15
2022-11-06T00:20:17,0,15,0,15
2022-11-06T00:29:33,0,15,0,15
2022-11-06T00:38:48,0,15,0,15
2022-11-06T00:48:04,0,15,0,15
2022-11-06T00:57:19,0,15,0,15
2022-11-06T01:06:34,0,15,0,15
2022-11-06T01:15:49,0,15,0,15
2022-11-06T01:25:06,0,15,0,15
2022-11-06T01:34:21,0,15,0,15
2022-11-06T01:43:37,0,15,0,15
2022-11-06T01:52:53,0,15,0,15
2022-11-06T01:02:10,0,15,0,15
2022-11-06T01:11:26,0,15,0,15
2022-11-06T01:20:42,0,15,0,15
2022-11-06T01:29:58,0,15,0,15
2022-11-06T01:39:13,0,15,0,15
2022-11-06T01:48:29,0,15,0,15
2022-11-06T01:57:49,0,15,0,15
2022-11-06T02:07:07,0,15,0,15
2022-11-06T02:16:26,0,15,0,15
