time,enrolled,available,waitlisted,total
2022-11-05T20:09:56,0,30,0,30
2022-11-05T20:19:13,0,30,0,30
2022-11-05T20:28:30,0,30,0,30
2022-11-05T20:37:58,0,30,0,30
2022-11-05T20:47:14,0,30,0,30
2022-11-05T20:56:30,0,30,0,30
2022-11-05T21:05:45,0,30,0,30
2022-11-05T21:15:01,0,30,0,30
2022-11-05T21:24:15,0,30,0,30
2022-11-05T21:33:32,0,30,0,30
2022-11-05T21:42:48,0,30,0,30
2022-11-05T21:52:03,0,30,0,30
2022-11-05T22:01:18,0,30,0,30
2022-11-05T22:10:34,0,30,0,30
2022-11-05T22:19:49,0,30,0,30
2022-11-05T22:29:04,0,30,0,30
2022-11-05T22:38:21,0,30,0,30
2022-11-05T22:47:38,0,30,0,30
2022-11-05T22:56:53,0,30,0,30
2022-11-05T23:06:10,0,30,0,30
2022-11-05T23:15:26,0,30,0,30
2022-11-05T23:24:42,0,30,0,30
2022-11-05T23:34:01,0,30,0,30
2022-11-05T23:43:16,0,30,0,30
2022-11-05T23:52:32,0,30,0,30
2022-11-06T00:01:48,0,30,0,30
2022-11-06T00:11:14,0,30,0,30
2022-11-06T00:20:30,0,30,0,30
2022-11-06T00:29:46,0,30,0,30
2022-11-06T00:39:01,0,30,0,30
2022-11-06T00:48:17,0,30,0,30
2022-11-06T00:57:32,0,30,0,30
2022-11-06T01:06:47,0,30,0,30
2022-11-06T01:16:02,0,30,0,30
2022-11-06T01:25:18,0,30,0,30
2022-11-06T01:34:34,0,30,0,30
2022-11-06T01:43:50,0,30,0,30
2022-11-06T01:53:06,0,30,0,30
2022-11-06T01:02:22,0,30,0,30
2022-11-06T01:11:39,0,30,0,30
2022-11-06T01:20:55,0,30,0,30
2022-11-06T01:30:11,0,30,0,30
2022-11-06T01:39:26,0,30,0,30
2022-11-06T01:48:42,0,30,0,30
2022-11-06T01:58:02,0,30,0,30
2022-11-06T02:07:20,0,30,0,30
2022-11-06T02:16:39,0,30,0,30
2022-11-06T02:25:59,0,30,0,30
2022-11-06T02:35:19,0,30,0,30
2022-11-06T02:44:38,0,30,0,30
2022-11-06T02:53:57,0,30,0,30
2022-11-06T03:03:16,0,30,0,30
2022-11-06T03:12:34,0,30,0,30
2022-11-06T03:21:50,0,30,0,30
2022-11-06T03:31:07,0,30,0,30
2022-11-06T03:40:27,0,30,0,30
2022-11-06T03:49:47,0,30,0,30
2022-11-06T03:59:06,0,30,0,30
2022-11-06T04:14:23,0,30,0,30
2022-11-06T04:23:45,0,30,0,30
2022-11-06T04:33:04,0,30,0,30
2022-11-06T04:42:22,0,30,0,30
2022-11-06T04:53:07,0,30,0,30
2022-11-06T05:02:25,0,30,0,30
2022-11-06T05:11:42,0,30,0,30
2022-11-06T05:20:59,0,30,0,30
2022-11-06T05:30:16,0,30,0,30
2022-11-06T05:39:31,0,30,0,30
2022-11-06T05:48:47,0,30,0,30
2022-11-06T05:58:05,0,30,0,30
2022-11-06T06:07:24,0,30,0,30
2022-11-06T06:16:42,0,30,0,30
2022-11-06T06:26:00,0,30,0,30
2022-11-06T06:35:16,0,30,0,30
2022-11-06T06:44:33,0,30,0,30
2022-11-06T06:53:48,0,30,0,30
2022-11-06T07:03:05,0,30,0,30
2022-11-06T07:12:22,0,30,0,30
2022-11-06T07:21:39,0,30,0,30
2022-11-06T07:30:57,0,30,0,30
2022-11-06T07:40:16,0,30,0,30
2022-11-06T07:49:34,0,30,0,30
2022-11-06T07:58:51,0,30,0,30
2022-11-06T08:08:07,0,30,0,30
2022-11-06T08:17:24,0,30,0,30
2022-11-06T08:26:42,0,30,0,30
2022-11-06T08:35:58,0,30,0,30
2022-11-06T08:45:15,0,30,0,30
2022-11-06T08:54:32,0,30,0,30
2022-11-06T09:03:48,0,30,0,30
2022-11-06T09:13:03,0,30,0,30
2022-11-06T09:22:18,0,30,0,30
2022-11-06T09:31:31,0,30,0,30
2022-11-06T09:40:45,0,30,0,30
2022-11-06T09:49:59,0,30,0,30
2022-11-06T09:59:13,0,30,0,30
2022-11-06T10:08:26,0,30,0,30
2022-11-06T10:17:39,0,30,0,30
2022-11-06T10:26:53,0,30,0,30
2022-11-06T10:36:10,0,30,0,30
2022-11-06T10:45:25,0,30,0,30
2022-11-06T10:54:39,0,30,0,30
2022-11-06T11:03:55,0,30,0,30
2022-11-06T11:13:10,0,30,0,30
2022-11-06T11:22:26,0,30,0,30
2022-11-06T11:31:48,0,30,0,30
2022-11-06T11:41:05,0,30,0,30
2022-11-06T11:50:19,0,30,0,30
2022-11-06T11:59:34,0,30,0,30
2022-11-06T12:08:47,0,30,0,30
2022-11-06T12:18:03,0,30,0,30
2022-11-06T12:27:29,0,30,0,30
2022-11-06T12:36:42,0,30,0,30
2022-11-06T12:45:57,0,30,0,30
2022-11-06T12:55:12,0,30,0,30
2022-11-06T13:04:26,0,30,0,30
2022-11-06T13:13:41,0,30,0,30
2022-11-06T13:22:57,0,30,0,30
2022-11-06T13:32:12,0,30,0,30
2022-11-06T13:41:25,0,30,0,30
2022-11-06T13:50:38,0,30,0,30
2022-11-06T13:59:53,0,30,0,30
2022-11-06T14:09:09,0,30,0,30
2022-11-06T14:18:23,0,30,0,30
2022-11-06T14:27:46,0,30,0,30
2022-11-06T14:36:59,0,30,0,30
