time,enrolled,available,waitlisted,total
2022-11-05T20:09:57,0,12,0,12
2022-11-05T20:19:15,0,12,0,12
2022-11-05T20:28:31,0,12,0,12
2022-11-05T20:37:59,0,12,0,12
2022-11-05T20:47:15,0,12,0,12
2022-11-05T20:56:31,0,12,0,12
2022-11-05T21:05:46,0,12,0,12
2022-11-05T21:15:02,0,12,0,12
2022-11-05T21:24:16,0,12,0,12
2022-11-05T21:33:33,0,12,0,12
2022-11-05T21:42:49,0,12,0,12
2022-11-05T21:52:05,0,12,0,12
2022-11-05T22:01:20,0,12,0,12
2022-11-05T22:10:35,0,12,0,12
2022-11-05T22:19:50,0,12,0,12
2022-11-05T22:29:05,0,12,0,12
2022-11-05T22:38:23,0,12,0,12
2022-11-05T22:47:39,0,12,0,12
2022-11-05T22:56:55,0,12,0,12
2022-11-05T23:06:11,0,12,0,12
2022-11-05T23:15:27,0,12,0,12
2022-11-05T23:24:44,0,12,0,12
2022-11-05T23:34:02,0,12,0,12
2022-11-05T23:43:17,0,12,0,12
2022-11-05T23:52:34,0,12,0,12
2022-11-06T00:01:49,0,12,0,12
2022-11-06T00:11:15,0,12,0,12
2022-11-06T00:20:31,0,12,0,12
2022-11-06T00:29:47,0,12,0,12
2022-11-06T00:39:02,0,12,0,12
2022-11-06T00:48:18,0,12,0,12
2022-11-06T00:57:33,0,12,0,12
2022-11-06T01:06:48,0,12,0,12
2022-11-06T01:16:03,0,12,0,12
2022-11-06T01:25:20,0,12,0,12
2022-11-06T01:34:35,0,12,0,12
2022-11-06T01:43:51,0,12,0,12
2022-11-06T01:53:07,0,12,0,12
2022-11-06T01:02:23,0,12,0,12
2022-11-06T01:11:40,0,12,0,12
2022-11-06T01:20:56,0,12,0,12
2022-11-06T01:30:12,0,12,0,12
2022-11-06T01:39:27,0,12,0,12
2022-11-06T01:48:43,0,12,0,12
2022-11-06T01:58:03,0,12,0,12
2022-11-06T02:07:21,0,12,0,12
2022-11-06T02:16:40,0,12,0,12
2022-11-06T02:26:00,0,12,0,12
2022-11-06T02:35:21,0,12,0,12
2022-11-06T02:44:39,0,12,0,12
2022-11-06T02:53:59,0,12,0,12
2022-11-06T03:03:17,0,12,0,12
2022-11-06T03:12:35,0,12,0,12
2022-11-06T03:21:51,0,12,0,12
2022-11-06T03:31:08,0,12,0,12
2022-11-06T03:40:28,0,12,0,12
2022-11-06T03:49:48,0,12,0,12
2022-11-06T03:59:08,0,12,0,12
2022-11-06T04:14:25,0,12,0,12
2022-11-06T04:23:46,0,12,0,12
2022-11-06T04:33:05,0,12,0,12
2022-11-06T04:42:24,0,12,0,12
2022-11-06T04:53:08,0,12,0,12
2022-11-06T05:02:26,0,12,0,12
2022-11-06T05:11:43,0,12,0,12
2022-11-06T05:21:00,0,12,0,12
2022-11-06T05:30:17,0,12,0,12
2022-11-06T05:39:33,0,12,0,12
2022-11-06T05:48:48,0,12,0,12
2022-11-06T05:58:06,0,12,0,12
2022-11-06T06:07:25,0,12,0,12
2022-11-06T06:16:44,0,12,0,12
2022-11-06T06:26:01,0,12,0,12
2022-11-06T06:35:18,0,12,0,12
2022-11-06T06:44:34,0,12,0,12
2022-11-06T06:53:49,0,12,0,12
2022-11-06T07:03:06,0,12,0,12
2022-11-06T07:12:23,0,12,0,12
2022-11-06T07:21:41,0,12,0,12
2022-11-06T07:30:58,0,12,0,12
2022-11-06T07:40:17,0,12,0,12
2022-11-06T07:49:35,0,12,0,12
2022-11-06T07:58:52,0,12,0,12
2022-11-06T08:08:09,0,12,0,12
2022-11-06T08:17:26,0,12,0,12
2022-11-06T08:26:43,0,12,0,12
2022-11-06T08:35:59,0,12,0,12
2022-11-06T08:45:16,0,12,0,12
2022-11-06T08:54:33,0,12,0,12
2022-11-06T09:03:50,0,12,0,12
2022-11-06T09:13:04,0,12,0,12
2022-11-06T09:22:19,0,12,0,12
2022-11-06T09:31:32,0,12,0,12
2022-11-06T09:40:46,0,12,0,12
2022-11-06T09:50:00,0,12,0,12
2022-11-06T09:59:14,0,12,0,12
2022-11-06T10:08:27,0,12,0,12
2022-11-06T10:17:41,0,12,0,12
2022-11-06T10:26:55,0,12,0,12
2022-11-06T10:36:11,0,12,0,12
2022-11-06T10:45:26,0,12,0,12
2022-11-06T10:54:41,0,12,0,12
2022-11-06T11:03:56,0,12,0,12
2022-11-06T11:13:11,0,12,0,12
2022-11-06T11:22:27,0,12,0,12
2022-11-06T11:31:49,0,12,0,12
2022-11-06T11:41:06,0,12,0,12
2022-11-06T11:50:21,0,12,0,12
2022-11-06T11:59:35,0,12,0,12
2022-11-06T12:08:49,0,12,0,12
2022-11-06T12:18:05,0,12,0,12
2022-11-06T12:27:30,0,12,0,12
2022-11-06T12:36:43,0,12,0,12
2022-11-06T12:45:58,0,12,0,12
2022-11-06T12:55:13,0,12,0,12
2022-11-06T13:04:27,0,12,0,12
2022-11-06T13:13:43,0,12,0,12
2022-11-06T13:22:59,0,12,0,12
2022-11-06T13:32:13,0,12,0,12
2022-11-06T13:41:26,0,12,0,12
2022-11-06T13:50:40,0,12,0,12
2022-11-06T13:59:55,0,12,0,12
2022-11-06T14:09:10,0,12,0,12
2022-11-06T14:18:24,0,12,0,12
2022-11-06T14:27:48,0,12,0,12
2022-11-06T14:37:01,0,12,0,12
2022-11-06T14:46:18,0,12,0,12
2022-11-06T14:55:32,0,12,0,12
2022-11-06T15:04:45,0,12,0,12
2022-11-06T15:13:59,0,12,0,12
2022-11-06T15:23:13,0,12,0,12
2022-11-06T15:32:27,0,12,0,12
2022-11-06T15:41:40,0,12,0,12
2022-11-06T15:50:54,0,12,0,12
2022-11-06T16:00:06,0,12,0,12
2022-11-06T16:09:29,0,12,0,12
2022-11-06T16:18:43,0,12,0,12
2022-11-06T16:28:00,0,12,0,12
2022-11-06T16:37:16,0,12,0,12
2022-11-06T16:46:31,0,12,0,12
2022-11-06T16:55:46,0,12,0,12
2022-11-06T17:05:01,0,12,0,12
2022-11-06T17:14:16,0,12,0,12
2022-11-06T17:23:30,0,12,0,12
2022-11-06T17:32:45,0,12,0,12
2022-11-06T17:42:01,0,12,0,12
2022-11-06T17:51:25,0,12,0,12
2022-11-06T18:00:40,0,12,0,12
2022-11-06T18:09:55,0,12,0,12
2022-11-06T18:19:11,0,12,0,12
2022-11-06T18:28:25,0,12,0,12
2022-11-06T18:37:39,0,12,0,12
2022-11-06T18:46:52,0,12,0,12
2022-11-06T18:56:07,0,12,0,12
2022-11-06T19:05:23,0,12,0,12
