time,enrolled,available,waitlisted,total
2022-11-05T20:10:10,0,20,0,20
2022-11-05T20:19:27,0,20,0,20
2022-11-05T20:28:44,0,20,0,20
2022-11-05T20:38:11,0,20,0,20
2022-11-05T20:47:28,0,20,0,20
2022-11-05T20:56:43,0,20,0,20
2022-11-05T21:05:59,0,20,0,20
2022-11-05T21:15:14,0,20,0,20
2022-11-05T21:24:29,0,20,0,20
2022-11-05T21:33:45,0,20,0,20
2022-11-05T21:43:02,0,20,0,20
2022-11-05T21:52:17,0,20,0,20
2022-11-05T22:01:32,0,20,0,20
2022-11-05T22:10:47,0,20,0,20
2022-11-05T22:20:03,0,20,0,20
2022-11-05T22:29:17,0,20,0,20
2022-11-05T22:38:35,0,20,0,20
2022-11-05T22:47:51,0,20,0,20
2022-11-05T22:57:07,0,20,0,20
2022-11-05T23:06:24,0,20,0,20
2022-11-05T23:15:39,0,20,0,20
2022-11-05T23:24:56,0,20,0,20
2022-11-05T23:34:14,0,20,0,20
2022-11-05T23:43:29,0,20,0,20
2022-11-05T23:52:46,0,20,0,20
2022-11-06T00:02:01,0,20,0,20
2022-11-06T00:11:28,0,20,0,20
2022-11-06T00:20:43,0,20,0,20
2022-11-06T00:29:59,0,20,0,20
2022-11-06T00:39:14,0,20,0,20
2022-11-06T00:48:30,0,20,0,20
2022-11-06T00:57:45,0,20,0,20
2022-11-06T01:07:00,0,20,0,20
2022-11-06T01:16:15,0,20,0,20
2022-11-06T01:25:32,0,20,0,20
2022-11-06T01:34:48,0,20,0,20
2022-11-06T01:44:04,0,20,0,20
2022-11-06T01:53:19,0,20,0,20
2022-11-06T01:02:36,0,20,0,20
2022-11-06T01:11:52,0,20,0,20
2022-11-06T01:21:08,0,20,0,20
2022-11-06T01:30:24,0,20,0,20
2022-11-06T01:39:39,0,20,0,20
2022-11-06T01:48:56,0,20,0,20
2022-11-06T01:58:15,0,20,0,20
2022-11-06T02:07:34,0,20,0,20
2022-11-06T02:16:52,0,20,0,20
2022-11-06T02:26:13,0,20,0,20
2022-11-06T02:35:33,0,20,0,20
2022-11-06T02:44:52,0,20,0,20
2022-11-06T02:54:11,0,20,0,20
2022-11-06T03:03:29,0,20,0,20
2022-11-06T03:12:47,0,20,0,20
2022-11-06T03:22:03,0,20,0,20
2022-11-06T03:31:21,0,20,0,20
2022-11-06T03:40:40,0,20,0,20
2022-11-06T03:50:00,0,20,0,20
2022-11-06T03:59:20,0,20,0,20
2022-11-06T04:14:37,0,20,0,20
2022-11-06T04:23:58,0,20,0,20
2022-11-06T04:33:17,0,20,0,20
2022-11-06T04:42:36,0,20,0,20
2022-11-06T04:53:20,0,20,0,20
2022-11-06T05:02:38,0,20,0,20
2022-11-06T05:11:56,0,20,0,20
2022-11-06T05:21:12,0,20,0,20
2022-11-06T05:30:29,0,20,0,20
2022-11-06T05:39:45,0,20,0,20
2022-11-06T05:49:00,0,20,0,20
2022-11-06T05:58:18,0,20,0,20
