time,enrolled,available,waitlisted,total
2022-11-05T20:10:21,0,48,0,48
2022-11-05T20:19:39,0,48,0,48
2022-11-05T20:28:55,0,48,0,48
2022-11-05T20:38:23,0,48,0,48
2022-11-05T20:47:39,0,48,0,48
2022-11-05T20:56:55,0,48,0,48
2022-11-05T21:06:10,0,48,0,48
2022-11-05T21:15:26,0,48,0,48
2022-11-05T21:24:40,0,48,0,48
2022-11-05T21:33:57,0,48,0,48
2022-11-05T21:43:13,0,48,0,48
2022-11-05T21:52:28,0,48,0,48
2022-11-05T22:01:44,0,48,0,48
2022-11-05T22:10:59,0,48,0,48
2022-11-05T22:20:14,0,48,0,48
2022-11-05T22:29:29,0,48,0,48
2022-11-05T22:38:47,0,48,0,48
2022-11-05T22:48:03,0,48,0,48
2022-11-05T22:57:19,0,48,0,48
2022-11-05T23:06:35,0,48,0,48
2022-11-05T23:15:51,0,48,0,48
2022-11-05T23:25:07,0,48,0,48
2022-11-05T23:34:26,0,48,0,48
2022-11-05T23:43:41,0,48,0,48
2022-11-05T23:52:58,0,48,0,48
2022-11-06T00:02:13,0,48,0,48
2022-11-06T00:11:39,0,48,0,48
2022-11-06T00:20:55,0,48,0,48
2022-11-06T00:30:11,0,48,0,48
2022-11-06T00:39:26,0,48,0,48
2022-11-06T00:48:42,0,48,0,48
2022-11-06T00:57:57,0,48,0,48
2022-11-06T01:07:12,0,48,0,48
2022-11-06T01:16:27,0,48,0,48
2022-11-06T01:25:44,0,48,0,48
2022-11-06T01:34:59,0,48,0,48
2022-11-06T01:44:15,0,48,0,48
2022-11-06T01:53:31,0,48,0,48
2022-11-06T01:02:47,0,48,0,48
2022-11-06T01:12:04,0,48,0,48
2022-11-06T01:21:20,0,48,0,48
2022-11-06T01:30:36,0,48,0,48
2022-11-06T01:39:51,0,48,0,48
2022-11-06T01:49:08,0,48,0,48
2022-11-06T01:58:27,0,48,0,48
2022-11-06T02:07:46,0,48,0,48
2022-11-06T02:17:04,0,48,0,48
2022-11-06T02:26:25,0,48,0,48
2022-11-06T02:35:45,0,48,0,48
2022-11-06T02:45:04,0,48,0,48
2022-11-06T02:54:23,0,48,0,48
2022-11-06T03:03:41,0,48,0,48
2022-11-06T03:12:59,0,48,0,48
2022-11-06T03:22:15,0,48,0,48
2022-11-06T03:31:33,0,48,0,48
2022-11-06T03:40:52,0,48,0,48
2022-11-06T03:50:12,0,48,0,48
2022-11-06T03:59:32,0,48,0,48
2022-11-06T04:14:49,0,48,0,48
2022-11-06T04:24:10,0,48,0,48
2022-11-06T04:33:29,0,48,0,48
2022-11-06T04:42:48,0,48,0,48
2022-11-06T04:53:32,0,48,0,48
2022-11-06T05:02:50,0,48,0,48
2022-11-06T05:12:07,0,48,0,48
2022-11-06T05:21:24,0,48,0,48
2022-11-06T05:30:41,0,48,0,48
2022-11-06T05:39:57,0,48,0,48
2022-11-06T05:49:12,0,48,0,48
2022-11-06T05:58:30,0,48,0,48
2022-11-06T06:07:49,0,48,0,48
2022-11-06T06:17:08,0,48,0,48
2022-11-06T06:26:25,0,48,0,48
2022-11-06T06:35:42,0,48,0,48
2022-11-06T06:44:58,0,48,0,48
2022-11-06T06:54:13,0,48,0,48
2022-11-06T07:03:30,0,48,0,48
2022-11-06T07:12:47,0,48,0,48
2022-11-06T07:22:05,0,48,0,48
2022-11-06T07:31:22,0,48,0,48
2022-11-06T07:40:41,0,48,0,48
2022-11-06T07:49:59,0,48,0,48
