time,enrolled,available,waitlisted,total
2022-11-05T20:10:34,0,64,0,64
2022-11-05T20:19:51,0,64,0,64
2022-11-05T20:29:08,0,64,0,64
2022-11-05T20:38:35,0,64,0,64
2022-11-05T20:47:52,0,64,0,64
2022-11-05T20:57:07,0,64,0,64
2022-11-05T21:06:23,0,64,0,64
2022-11-05T21:15:38,0,64,0,64
2022-11-05T21:24:53,0,64,0,64
2022-11-05T21:34:09,0,64,0,64
2022-11-05T21:43:26,0,64,0,64
2022-11-05T21:52:41,0,64,0,64
2022-11-05T22:01:56,0,64,0,64
2022-11-05T22:11:11,0,64,0,64
2022-11-05T22:20:26,0,64,0,64
2022-11-05T22:29:41,0,64,0,64
2022-11-05T22:38:59,0,64,0,64
2022-11-05T22:48:15,0,64,0,64
2022-11-05T22:57:31,0,64,0,64
2022-11-05T23:06:48,0,64,0,64
2022-11-05T23:16:03,0,64,0,64
2022-11-05T23:25:20,0,64,0,64
2022-11-05T23:34:38,0,64,0,64
2022-11-05T23:43:53,0,64,0,64
2022-11-05T23:53:10,0,64,0,64
2022-11-06T00:02:25,0,64,0,64
2022-11-06T00:11:52,0,64,0,64
2022-11-06T00:21:07,0,64,0,64
2022-11-06T00:30:23,0,64,0,64
2022-11-06T00:39:38,0,64,0,64
2022-11-06T00:48:54,0,64,0,64
2022-11-06T00:58:09,0,64,0,64
2022-11-06T01:07:24,0,64,0,64
2022-11-06T01:16:39,0,64,0,64
2022-11-06T01:25:56,0,64,0,64
2022-11-06T01:35:12,0,64,0,64
2022-11-06T01:44:27,0,64,0,64
2022-11-06T01:53:43,0,64,0,64
2022-11-06T01:02:59,0,64,0,64
2022-11-06T01:12:16,0,64,0,64
2022-11-06T01:21:32,0,64,0,64
2022-11-06T01:30:48,0,64,0,64
2022-11-06T01:40:03,0,64,0,64
2022-11-06T01:49:20,0,64,0,64
2022-11-06T01:58:39,0,64,0,64
2022-11-06T02:07:58,0,64,0,64
2022-11-06T02:17:17,0,64,0,64
2022-11-06T02:26:37,0,64,0,64
2022-11-06T02:35:57,0,64,0,64
2022-11-06T02:45:16,0,64,0,64
2022-11-06T02:54:35,0,64,0,64
2022-11-06T03:03:53,0,64,0,64
2022-11-06T03:13:11,0,64,0,64
2022-11-06T03:22:27,0,64,0,64
2022-11-06T03:31:45,0,64,0,64
2022-11-06T03:41:04,0,64,0,64
2022-11-06T03:50:24,0,64,0,64
2022-11-06T03:59:44,0,64,0,64
2022-11-06T04:15:01,0,64,0,64
2022-11-06T04:24:22,0,64,0,64
2022-11-06T04:33:42,0,64,0,64
2022-11-06T04:43:00,0,64,0,64
2022-11-06T04:53:44,0,64,0,64
2022-11-06T05:03:02,0,64,0,64
2022-11-06T05:12:19,0,64,0,64
2022-11-06T05:21:36,0,64,0,64
2022-11-06T05:30:53,0,64,0,64
2022-11-06T05:40:09,0,64,0,64
2022-11-06T05:49:25,0,64,0,64
2022-11-06T05:58:42,0,64,0,64
2022-11-06T06:08:02,0,64,0,64
2022-11-06T06:17:20,0,64,0,64
2022-11-06T06:26:37,0,64,0,64
2022-11-06T06:35:54,0,64,0,64
2022-11-06T06:45:10,0,64,0,64
2022-11-06T06:54:25,0,64,0,64
2022-11-06T07:03:42,0,64,0,64
2022-11-06T07:12:59,0,64,0,64
2022-11-06T07:22:17,0,64,0,64
2022-11-06T07:31:34,0,64,0,64
2022-11-06T07:40:53,0,64,0,64
2022-11-06T07:50:12,0,64,0,64
2022-11-06T07:59:28,0,64,0,64
2022-11-06T08:08:45,0,64,0,64
2022-11-06T08:18:02,0,64,0,64
2022-11-06T08:27:20,0,64,0,64
2022-11-06T08:36:36,0,64,0,64
2022-11-06T08:45:52,0,64,0,64
2022-11-06T08:55:10,0,64,0,64
2022-11-06T09:04:26,0,64,0,64
2022-11-06T09:13:41,0,64,0,64
2022-11-06T09:22:55,0,64,0,64
2022-11-06T09:32:08,0,64,0,64
2022-11-06T09:41:23,0,64,0,64
2022-11-06T09:50:36,0,64,0,64
2022-11-06T09:59:50,0,64,0,64
2022-11-06T10:09:04,0,64,0,64
2022-11-06T10:18:17,0,64,0,64
2022-11-06T10:27:31,0,64,0,64
2022-11-06T10:36:47,0,64,0,64
2022-11-06T10:46:02,0,64,0,64
2022-11-06T10:55:17,0,64,0,64
2022-11-06T11:04:32,0,64,0,64
2022-11-06T11:13:47,0,64,0,64
2022-11-06T11:23:03,0,64,0,64
2022-11-06T11:32:26,0,64,0,64
2022-11-06T11:41:42,0,64,0,64
2022-11-06T11:50:57,0,64,0,64
2022-11-06T12:00:11,0,64,0,64
2022-11-06T12:09:25,0,64,0,64
2022-11-06T12:18:41,0,64,0,64
2022-11-06T12:28:06,0,64,0,64
2022-11-06T12:37:20,0,64,0,64
2022-11-06T12:46:34,0,64,0,64
2022-11-06T12:55:49,0,64,0,64
2022-11-06T13:05:03,0,64,0,64
2022-11-06T13:14:18,0,64,0,64
2022-11-06T13:23:35,0,64,0,64
2022-11-06T13:32:49,0,64,0,64
2022-11-06T13:42:03,0,64,0,64
2022-11-06T13:51:16,0,64,0,64
2022-11-06T14:00:31,0,64,0,64
2022-11-06T14:09:46,0,64,0,64
2022-11-06T14:19:00,0,64,0,64
2022-11-06T14:28:24,0,64,0,64
2022-11-06T14:37:37,0,64,0,64
2022-11-06T14:46:55,0,64,0,64
2022-11-06T14:56:08,0,64,0,64
2022-11-06T15:05:21,0,64,0,64
2022-11-06T15:14:35,0,64,0,64
2022-11-06T15:23:49,0,64,0,64
2022-11-06T15:33:03,0,64,0,64
2022-11-06T15:42:17,0,64,0,64
2022-11-06T15:51:30,0,64,0,64
2022-11-06T16:00:42,0,64,0,64
2022-11-06T16:10:05,0,64,0,64
2022-11-06T16:19:20,0,64,0,64
2022-11-06T16:28:36,0,64,0,64
2022-11-06T16:37:52,0,64,0,64
2022-11-06T16:47:07,0,64,0,64
2022-11-06T16:56:22,0,64,0,64
2022-11-06T17:05:37,0,64,0,64
2022-11-06T17:14:52,0,64,0,64
2022-11-06T17:24:07,0,64,0,64
2022-11-06T17:33:22,0,64,0,64
2022-11-06T17:42:47,0,64,0,64
2022-11-06T17:52:01,0,64,0,64
2022-11-06T18:01:16,0,64,0,64
2022-11-06T18:10:31,0,64,0,64
2022-11-06T18:19:47,0,64,0,64
2022-11-06T18:29:01,0,64,0,64
2022-11-06T18:38:15,0,64,0,64
2022-11-06T18:47:28,0,64,0,64
2022-11-06T18:56:43,0,64,0,64
2022-11-06T19:05:59,0,64,0,64
2022-11-06T19:15:22,0,64,0,64
2022-11-06T19:24:36,0,64,0,64
2022-11-06T19:33:52,0,64,0,64
2022-11-06T19:43:05,0,64,0,64
2022-11-06T19:52:18,0,64,0,64
2022-11-06T20:01:32,0,64,0,64
2022-11-06T20:10:46,0,64,0,64
2022-11-06T20:20:01,0,64,0,64
2022-11-06T20:29:16,0,64,0,64
2022-11-06T20:38:38,0,64,0,64
2022-11-06T20:47:52,0,64,0,64
2022-11-06T20:57:06,0,64,0,64
2022-11-06T21:06:22,0,64,0,64
2022-11-06T21:15:35,0,64,0,64
2022-11-06T21:24:47,0,64,0,64
2022-11-06T21:34:00,0,64,0,64
2022-11-06T21:43:16,0,64,0,64
2022-11-06T21:52:39,0,64,0,64
2022-11-06T22:01:56,0,64,0,64
2022-11-06T22:11:10,0,64,0,64
2022-11-06T22:20:25,0,64,0,64
2022-11-06T22:29:40,0,64,0,64
2022-11-06T22:38:55,0,64,0,64
2022-11-06T22:48:09,0,64,0,64
2022-11-06T22:57:24,0,64,0,64
2022-11-06T23:06:40,0,64,0,64
2022-11-06T23:16:05,0,64,0,64
2022-11-06T23:25:21,0,64,0,64
2022-11-06T23:34:36,0,64,0,64
2022-11-06T23:43:52,0,64,0,64
2022-11-06T23:53:07,0,64,0,64
2022-11-07T00:04:05,0,64,0,64
2022-11-07T00:13:29,0,64,0,64
2022-11-07T00:22:57,0,64,0,64
2022-11-07T00:32:14,0,64,0,64
2022-11-07T00:41:30,0,64,0,64
2022-11-07T00:50:44,0,64,0,64
2022-11-07T00:59:59,0,64,0,64
2022-11-07T01:09:18,0,64,0,64
2022-11-07T01:18:36,0,64,0,64
2022-11-07T01:27:51,0,64,0,64
2022-11-07T01:37:06,0,64,0,64
2022-11-07T01:46:32,0,64,0,64
2022-11-07T01:55:46,0,64,0,64
2022-11-07T02:05:00,0,64,0,64
2022-11-07T02:14:15,0,64,0,64
2022-11-07T02:23:30,0,64,0,64
2022-11-07T02:32:43,0,64,0,64
2022-11-07T02:41:58,0,64,0,64
2022-11-07T02:51:12,0,64,0,64
2022-11-07T03:00:26,0,64,0,64
2022-11-07T03:09:41,0,64,0,64
2022-11-07T03:18:57,0,64,0,64
2022-11-07T03:28:11,0,64,0,64
2022-11-07T03:37:28,0,64,0,64
2022-11-07T03:46:43,0,64,0,64
2022-11-07T03:56:00,0,64,0,64
2022-11-07T04:05:18,0,64,0,64
2022-11-07T04:22:27,0,64,0,64
2022-11-07T04:32:06,0,64,0,64
2022-11-07T04:41:23,0,64,0,64
2022-11-07T04:50:41,0,64,0,64
2022-11-07T04:59:55,0,64,0,64
2022-11-07T05:09:11,0,64,0,64
2022-11-07T05:18:25,0,64,0,64
2022-11-07T05:27:39,0,64,0,64
2022-11-07T05:36:52,0,64,0,64
2022-11-07T05:46:07,0,64,0,64
2022-11-07T05:55:23,0,64,0,64
2022-11-07T06:04:40,0,64,0,64
2022-11-07T06:13:57,0,64,0,64
2022-11-07T06:23:14,0,64,0,64
2022-11-07T06:32:32,0,64,0,64
2022-11-07T06:41:49,0,64,0,64
2022-11-07T06:51:05,0,64,0,64
2022-11-07T07:00:21,0,64,0,64
2022-11-07T07:09:38,0,64,0,64
2022-11-07T07:18:55,0,64,0,64
2022-11-07T07:28:13,0,64,0,64
2022-11-07T07:37:30,0,64,0,64
2022-11-07T07:46:47,0,64,0,64
2022-11-07T07:56:08,0,64,0,64
2022-11-07T08:05:27,0,64,0,64
2022-11-07T08:14:46,0,64,0,64
2022-11-07T08:24:04,0,64,0,64
2022-11-07T08:33:32,0,64,0,64
2022-11-07T08:42:51,0,64,0,64
2022-11-07T08:52:07,0,64,0,64
2022-11-07T09:01:25,0,64,0,64
2022-11-07T09:10:45,0,64,0,64
2022-11-07T09:20:07,0,64,0,64
2022-11-07T09:29:26,0,64,0,64
2022-11-07T09:38:45,0,64,0,64
2022-11-07T09:48:22,0,64,0,64
2022-11-07T09:57:41,0,64,0,64
2022-11-07T10:07:00,0,64,0,64
2022-11-07T10:16:19,0,64,0,64
2022-11-07T10:25:38,0,64,0,64
2022-11-07T10:34:58,0,64,0,64
2022-11-07T10:44:30,0,64,0,64
2022-11-07T10:53:49,0,64,0,64
2022-11-07T11:03:09,0,64,0,64
2022-11-07T11:12:30,0,64,0,64
2022-11-07T11:21:50,0,64,0,64
2022-11-07T11:31:22,0,64,0,64
2022-11-07T11:40:41,0,64,0,64
2022-11-07T11:50:00,0,64,0,64
2022-11-07T11:59:17,0,64,0,64
2022-11-07T12:08:47,0,64,0,64
2022-11-07T12:18:06,0,64,0,64
2022-11-07T12:27:27,0,64,0,64
2022-11-07T12:36:46,0,64,0,64
2022-11-07T12:46:16,0,64,0,64
2022-11-07T12:55:35,0,64,0,64
2022-11-07T13:04:57,0,64,0,64
2022-11-07T13:14:18,0,64,0,64
2022-11-07T13:23:48,0,64,0,64
2022-11-07T13:33:10,0,64,0,64
2022-11-07T13:42:31,0,64,0,64
2022-11-07T13:52:02,0,64,0,64
2022-11-07T14:01:23,0,64,0,64
2022-11-07T14:10:42,0,64,0,64
2022-11-07T14:20:02,0,64,0,64
2022-11-07T14:29:32,1,63,0,64
2022-11-07T14:38:51,1,63,0,64
2022-11-07T14:48:11,1,63,0,64
2022-11-07T14:57:29,1,63,0,64
2022-11-07T15:06:48,1,63,0,64
2022-11-07T15:16:19,1,63,0,64
2022-11-07T15:25:39,1,63,0,64
2022-11-07T15:34:57,1,63,0,64
2022-11-07T15:44:15,1,63,0,64
2022-11-07T15:53:44,1,63,0,64
2022-11-07T16:03:02,1,63,0,64
2022-11-07T16:12:20,1,63,0,64
2022-11-07T16:21:38,1,63,0,64
2022-11-07T16:30:57,1,63,0,64
2022-11-07T16:40:25,1,63,0,64
