time,enrolled,available,waitlisted,total
2022-11-05T20:10:38,0,30,0,30
2022-11-05T20:19:55,0,30,0,30
2022-11-05T20:29:12,0,30,0,30
2022-11-05T20:38:40,0,30,0,30
2022-11-05T20:47:56,0,30,0,30
2022-11-05T20:57:12,0,30,0,30
2022-11-05T21:06:27,0,30,0,30
2022-11-05T21:15:43,0,30,0,30
2022-11-05T21:24:57,0,30,0,30
2022-11-05T21:34:14,0,30,0,30
2022-11-05T21:43:30,0,30,0,30
2022-11-05T21:52:46,0,30,0,30
2022-11-05T22:02:00,0,30,0,30
2022-11-05T22:11:16,0,30,0,30
2022-11-05T22:20:31,0,30,0,30
2022-11-05T22:29:46,0,30,0,30
2022-11-05T22:39:04,0,30,0,30
2022-11-05T22:48:20,0,30,0,30
2022-11-05T22:57:36,0,30,0,30
2022-11-05T23:06:52,0,30,0,30
2022-11-05T23:16:08,0,30,0,30
2022-11-05T23:25:24,0,30,0,30
2022-11-05T23:34:43,0,30,0,30
2022-11-05T23:43:58,0,30,0,30
2022-11-05T23:53:15,0,30,0,30
2022-11-06T00:02:30,0,30,0,30
2022-11-06T00:11:56,0,30,0,30
2022-11-06T00:21:12,0,30,0,30
2022-11-06T00:30:28,0,30,0,30
2022-11-06T00:39:43,0,30,0,30
2022-11-06T00:48:59,0,30,0,30
2022-11-06T00:58:14,0,30,0,30
2022-11-06T01:07:29,0,30,0,30
2022-11-06T01:16:44,0,30,0,30
2022-11-06T01:26:01,0,30,0,30
2022-11-06T01:35:16,0,30,0,30
2022-11-06T01:44:32,0,30,0,30
2022-11-06T01:53:48,0,30,0,30
2022-11-06T01:03:04,0,30,0,30
2022-11-06T01:12:21,0,30,0,30
2022-11-06T01:21:37,0,30,0,30
2022-11-06T01:30:53,0,30,0,30
2022-11-06T01:40:08,0,30,0,30
2022-11-06T01:49:25,0,30,0,30
2022-11-06T01:58:44,0,30,0,30
2022-11-06T02:08:03,0,30,0,30
2022-11-06T02:17:21,0,30,0,30
2022-11-06T02:26:42,0,30,0,30
2022-11-06T02:36:02,0,30,0,30
2022-11-06T02:45:21,0,30,0,30
2022-11-06T02:54:40,0,30,0,30
2022-11-06T03:03:58,0,30,0,30
2022-11-06T03:13:16,0,30,0,30
2022-11-06T03:22:32,0,30,0,30
2022-11-06T03:31:50,0,30,0,30
2022-11-06T03:41:09,0,30,0,30
2022-11-06T03:50:29,0,30,0,30
2022-11-06T03:59:49,0,30,0,30
2022-11-06T04:15:06,0,30,0,30
2022-11-06T04:24:27,0,30,0,30
2022-11-06T04:33:46,0,30,0,30
2022-11-06T04:43:05,0,30,0,30
2022-11-06T04:53:49,0,30,0,30
2022-11-06T05:03:07,0,30,0,30
2022-11-06T05:12:24,0,30,0,30
2022-11-06T05:21:41,0,30,0,30
2022-11-06T05:30:58,0,30,0,30
2022-11-06T05:40:14,0,30,0,30
2022-11-06T05:49:29,0,30,0,30
2022-11-06T05:58:47,0,30,0,30
2022-11-06T06:08:06,0,30,0,30
2022-11-06T06:17:25,0,30,0,30
2022-11-06T06:26:42,0,30,0,30
2022-11-06T06:35:59,0,30,0,30
2022-11-06T06:45:15,0,30,0,30
2022-11-06T06:54:30,0,30,0,30
2022-11-06T07:03:47,0,30,0,30
2022-11-06T07:13:04,0,30,0,30
2022-11-06T07:22:22,0,30,0,30
2022-11-06T07:31:39,0,30,0,30
2022-11-06T07:40:58,0,30,0,30
2022-11-06T07:50:16,0,30,0,30
2022-11-06T07:59:33,0,30,0,30
2022-11-06T08:08:49,0,30,0,30
2022-11-06T08:18:07,0,30,0,30
2022-11-06T08:27:24,0,30,0,30
2022-11-06T08:36:40,0,30,0,30
2022-11-06T08:45:57,0,30,0,30
2022-11-06T08:55:14,0,30,0,30
2022-11-06T09:04:30,0,30,0,30
2022-11-06T09:13:45,0,30,0,30
2022-11-06T09:23:00,0,30,0,30
2022-11-06T09:32:13,0,30,0,30
2022-11-06T09:41:27,0,30,0,30
2022-11-06T09:50:41,0,30,0,30
2022-11-06T09:59:55,0,30,0,30
2022-11-06T10:09:08,0,30,0,30
2022-11-06T10:18:22,0,30,0,30
2022-11-06T10:27:35,0,30,0,30
2022-11-06T10:36:52,0,30,0,30
2022-11-06T10:46:07,0,30,0,30
2022-11-06T10:55:22,0,30,0,30
2022-11-06T11:04:37,0,30,0,30
2022-11-06T11:13:52,0,30,0,30
2022-11-06T11:23:08,0,30,0,30
2022-11-06T11:32:31,0,30,0,30
2022-11-06T11:41:47,0,30,0,30
2022-11-06T11:51:01,0,30,0,30
2022-11-06T12:00:16,0,30,0,30
2022-11-06T12:09:30,0,30,0,30
