time,enrolled,available,waitlisted,total
2022-11-05T20:10:40,0,50,0,50
2022-11-05T20:19:57,0,50,0,50
2022-11-05T20:29:14,0,50,0,50
2022-11-05T20:38:42,0,50,0,50
2022-11-05T20:47:58,0,50,0,50
2022-11-05T20:57:14,0,50,0,50
2022-11-05T21:06:29,0,50,0,50
2022-11-05T21:15:45,0,50,0,50
2022-11-05T21:24:59,0,50,0,50
2022-11-05T21:34:16,0,50,0,50
2022-11-05T21:43:32,0,50,0,50
2022-11-05T21:52:47,0,50,0,50
2022-11-05T22:02:02,0,50,0,50
2022-11-05T22:11:18,0,50,0,50
2022-11-05T22:20:33,0,50,0,50
2022-11-05T22:29:48,0,50,0,50
2022-11-05T22:39:06,0,50,0,50
2022-11-05T22:48:22,0,50,0,50
2022-11-05T22:57:37,0,50,0,50
2022-11-05T23:06:54,0,50,0,50
2022-11-05T23:16:10,0,50,0,50
2022-11-05T23:25:26,0,50,0,50
2022-11-05T23:34:45,0,50,0,50
2022-11-05T23:44:00,0,50,0,50
2022-11-05T23:53:16,0,50,0,50
2022-11-06T00:02:32,0,50,0,50
2022-11-06T00:11:58,0,50,0,50
2022-11-06T00:21:14,0,50,0,50
2022-11-06T00:30:30,0,50,0,50
2022-11-06T00:39:45,0,50,0,50
2022-11-06T00:49:01,0,50,0,50
2022-11-06T00:58:16,0,50,0,50
2022-11-06T01:07:31,0,50,0,50
2022-11-06T01:16:46,0,50,0,50
2022-11-06T01:26:02,0,50,0,50
2022-11-06T01:35:18,0,50,0,50
2022-11-06T01:44:34,0,50,0,50
2022-11-06T01:53:50,0,50,0,50
2022-11-06T01:03:06,0,50,0,50
2022-11-06T01:12:23,0,50,0,50
2022-11-06T01:21:39,0,50,0,50
2022-11-06T01:30:55,0,50,0,50
2022-11-06T01:40:10,0,50,0,50
2022-11-06T01:49:27,0,50,0,50
2022-11-06T01:58:46,0,50,0,50
2022-11-06T02:08:05,0,50,0,50
2022-11-06T02:17:23,0,50,0,50
2022-11-06T02:26:44,0,50,0,50
2022-11-06T02:36:04,0,50,0,50
2022-11-06T02:45:22,0,50,0,50
2022-11-06T02:54:42,0,50,0,50
2022-11-06T03:04:00,0,50,0,50
2022-11-06T03:13:18,0,50,0,50
2022-11-06T03:22:34,0,50,0,50
2022-11-06T03:31:51,0,50,0,50
2022-11-06T03:41:11,0,50,0,50
2022-11-06T03:50:31,0,50,0,50
2022-11-06T03:59:50,0,50,0,50
2022-11-06T04:15:08,0,50,0,50
2022-11-06T04:24:29,0,50,0,50
2022-11-06T04:33:48,0,50,0,50
2022-11-06T04:43:07,0,50,0,50
2022-11-06T04:53:51,0,50,0,50
2022-11-06T05:03:09,0,50,0,50
2022-11-06T05:12:26,0,50,0,50
2022-11-06T05:21:42,0,50,0,50
2022-11-06T05:31:00,0,50,0,50
2022-11-06T05:40:15,0,50,0,50
2022-11-06T05:49:31,0,50,0,50
2022-11-06T05:58:49,0,50,0,50
2022-11-06T06:08:08,0,50,0,50
2022-11-06T06:17:26,0,50,0,50
2022-11-06T06:26:44,0,50,0,50
2022-11-06T06:36:00,0,50,0,50
2022-11-06T06:45:17,0,50,0,50
2022-11-06T06:54:32,0,50,0,50
2022-11-06T07:03:49,0,50,0,50
