time,enrolled,available,waitlisted,total
2022-11-05T20:10:45,0,46,0,46
2022-11-05T20:20:03,0,46,0,46
2022-11-05T20:29:19,0,46,0,46
2022-11-05T20:38:47,0,46,0,46
2022-11-05T20:48:03,0,46,0,46
2022-11-05T20:57:19,0,46,0,46
2022-11-05T21:06:34,0,46,0,46
2022-11-05T21:15:50,0,46,0,46
2022-11-05T21:25:04,0,46,0,46
2022-11-05T21:34:21,0,46,0,46
2022-11-05T21:43:37,0,46,0,46
2022-11-05T21:52:53,0,46,0,46
2022-11-05T22:02:07,0,46,0,46
2022-11-05T22:11:23,0,46,0,46
2022-11-05T22:20:38,0,46,0,46
2022-11-05T22:29:53,0,46,0,46
2022-11-05T22:39:11,0,46,0,46
2022-11-05T22:48:27,0,46,0,46
2022-11-05T22:57:43,0,46,0,46
2022-11-05T23:06:59,0,46,0,46
2022-11-05T23:16:15,0,46,0,46
2022-11-05T23:25:31,0,46,0,46
2022-11-05T23:34:50,0,46,0,46
2022-11-05T23:44:05,0,46,0,46
2022-11-05T23:53:22,0,46,0,46
2022-11-06T00:02:37,0,46,0,46
2022-11-06T00:12:03,0,46,0,46
2022-11-06T00:21:19,0,46,0,46
2022-11-06T00:30:35,0,46,0,46
2022-11-06T00:39:50,0,46,0,46
2022-11-06T00:49:06,0,46,0,46
2022-11-06T00:58:21,0,46,0,46
2022-11-06T01:07:36,0,46,0,46
2022-11-06T01:16:51,0,46,0,46
2022-11-06T01:26:08,0,46,0,46
2022-11-06T01:35:23,0,46,0,46
2022-11-06T01:44:39,0,46,0,46
2022-11-06T01:53:55,0,46,0,46
2022-11-06T01:03:11,0,46,0,46
2022-11-06T01:12:28,0,46,0,46
2022-11-06T01:21:44,0,46,0,46
2022-11-06T01:31:00,0,46,0,46
2022-11-06T01:40:15,0,46,0,46
2022-11-06T01:49:32,0,46,0,46
2022-11-06T01:58:51,0,46,0,46
2022-11-06T02:08:10,0,46,0,46
2022-11-06T02:17:28,0,46,0,46
2022-11-06T02:26:49,0,46,0,46
2022-11-06T02:36:09,0,46,0,46
2022-11-06T02:45:28,0,46,0,46
2022-11-06T02:54:47,0,46,0,46
2022-11-06T03:04:05,0,46,0,46
2022-11-06T03:13:23,0,46,0,46
2022-11-06T03:22:39,0,46,0,46
2022-11-06T03:31:57,0,46,0,46
2022-11-06T03:41:16,0,46,0,46
2022-11-06T03:50:36,0,46,0,46
2022-11-06T03:59:56,0,46,0,46
2022-11-06T04:15:13,0,46,0,46
2022-11-06T04:24:34,0,46,0,46
2022-11-06T04:33:53,0,46,0,46
2022-11-06T04:43:12,0,46,0,46
2022-11-06T04:53:56,0,46,0,46
2022-11-06T05:03:14,0,46,0,46
2022-11-06T05:12:31,0,46,0,46
2022-11-06T05:21:48,0,46,0,46
2022-11-06T05:31:05,0,46,0,46
2022-11-06T05:40:21,0,46,0,46
2022-11-06T05:49:36,0,46,0,46
2022-11-06T05:58:54,0,46,0,46
2022-11-06T06:08:13,0,46,0,46
2022-11-06T06:17:32,0,46,0,46
2022-11-06T06:26:49,0,46,0,46
2022-11-06T06:36:06,0,46,0,46
2022-11-06T06:45:22,0,46,0,46
2022-11-06T06:54:37,0,46,0,46
2022-11-06T07:03:54,0,46,0,46
2022-11-06T07:13:11,0,46,0,46
2022-11-06T07:22:29,0,46,0,46
2022-11-06T07:31:46,0,46,0,46
2022-11-06T07:41:05,0,46,0,46
2022-11-06T07:50:23,0,46,0,46
2022-11-06T07:59:40,0,46,0,46
2022-11-06T08:08:56,0,46,0,46
2022-11-06T08:18:14,0,46,0,46
2022-11-06T08:27:31,0,46,0,46
2022-11-06T08:36:47,0,46,0,46
2022-11-06T08:46:04,0,46,0,46
2022-11-06T08:55:21,0,46,0,46
2022-11-06T09:04:37,0,46,0,46
2022-11-06T09:13:52,0,46,0,46
2022-11-06T09:23:07,0,46,0,46
2022-11-06T09:32:20,0,46,0,46
2022-11-06T09:41:34,0,46,0,46
2022-11-06T09:50:48,0,46,0,46
2022-11-06T10:00:02,0,46,0,46
2022-11-06T10:09:15,0,46,0,46
2022-11-06T10:18:29,0,46,0,46
2022-11-06T10:27:42,0,46,0,46
2022-11-06T10:36:59,0,46,0,46
2022-11-06T10:46:14,0,46,0,46
2022-11-06T10:55:29,0,46,0,46
2022-11-06T11:04:44,0,46,0,46
2022-11-06T11:13:59,0,46,0,46
2022-11-06T11:23:15,0,46,0,46
2022-11-06T11:32:37,0,46,0,46
2022-11-06T11:41:54,0,46,0,46
2022-11-06T11:51:08,0,46,0,46
2022-11-06T12:00:23,0,46,0,46
2022-11-06T12:09:37,0,46,0,46
2022-11-06T12:18:52,0,46,0,46
2022-11-06T12:28:18,0,46,0,46
2022-11-06T12:37:31,0,46,0,46
2022-11-06T12:46:46,0,46,0,46
