time,enrolled,available,waitlisted,total
2022-11-05T20:10:43,0,50,0,50
2022-11-05T20:20:00,0,50,0,50
2022-11-05T20:29:17,0,50,0,50
2022-11-05T20:38:45,0,50,0,50
2022-11-05T20:48:01,0,50,0,50
2022-11-05T20:57:17,0,50,0,50
2022-11-05T21:06:32,0,50,0,50
2022-11-05T21:15:48,0,50,0,50
2022-11-05T21:25:02,0,50,0,50
2022-11-05T21:34:19,0,50,0,50
2022-11-05T21:43:35,0,50,0,50
2022-11-05T21:52:50,0,50,0,50
2022-11-05T22:02:05,0,50,0,50
2022-11-05T22:11:21,0,50,0,50
2022-11-05T22:20:36,0,50,0,50
2022-11-05T22:29:51,0,50,0,50
2022-11-05T22:39:09,0,50,0,50
2022-11-05T22:48:25,0,50,0,50
2022-11-05T22:57:40,0,50,0,50
2022-11-05T23:06:57,0,50,0,50
2022-11-05T23:16:13,0,50,0,50
2022-11-05T23:25:29,0,50,0,50
2022-11-05T23:34:48,0,50,0,50
2022-11-05T23:44:03,0,50,0,50
2022-11-05T23:53:19,0,50,0,50
2022-11-06T00:02:35,0,50,0,50
2022-11-06T00:12:01,0,50,0,50
2022-11-06T00:21:17,0,50,0,50
2022-11-06T00:30:33,0,50,0,50
2022-11-06T00:39:48,0,50,0,50
2022-11-06T00:49:04,0,50,0,50
2022-11-06T00:58:19,0,50,0,50
2022-11-06T01:07:34,0,50,0,50
2022-11-06T01:16:49,0,50,0,50
2022-11-06T01:26:05,0,50,0,50
2022-11-06T01:35:21,0,50,0,50
2022-11-06T01:44:37,0,50,0,50
2022-11-06T01:53:53,0,50,0,50
2022-11-06T01:03:09,0,50,0,50
2022-11-06T01:12:26,0,50,0,50
2022-11-06T01:21:42,0,50,0,50
2022-11-06T01:30:58,0,50,0,50
2022-11-06T01:40:13,0,50,0,50
2022-11-06T01:49:30,0,50,0,50
2022-11-06T01:58:49,0,50,0,50
2022-11-06T02:08:08,0,50,0,50
2022-11-06T02:17:26,0,50,0,50
2022-11-06T02:26:47,0,50,0,50
2022-11-06T02:36:07,0,50,0,50
2022-11-06T02:45:25,0,50,0,50
2022-11-06T02:54:45,0,50,0,50
2022-11-06T03:04:03,0,50,0,50
2022-11-06T03:13:21,0,50,0,50
2022-11-06T03:22:37,0,50,0,50
2022-11-06T03:31:55,0,50,0,50
2022-11-06T03:41:14,0,50,0,50
2022-11-06T03:50:34,0,50,0,50
2022-11-06T03:59:54,0,50,0,50
2022-11-06T04:15:11,0,50,0,50
2022-11-06T04:24:32,0,50,0,50
2022-11-06T04:33:51,0,50,0,50
2022-11-06T04:43:10,0,50,0,50
2022-11-06T04:53:54,0,50,0,50
2022-11-06T05:03:12,0,50,0,50
2022-11-06T05:12:29,0,50,0,50
2022-11-06T05:21:45,0,50,0,50
2022-11-06T05:31:03,0,50,0,50
2022-11-06T05:40:18,0,50,0,50
2022-11-06T05:49:34,0,50,0,50
2022-11-06T05:58:52,0,50,0,50
2022-11-06T06:08:11,0,50,0,50
2022-11-06T06:17:29,0,50,0,50
2022-11-06T06:26:47,0,50,0,50
2022-11-06T06:36:03,0,50,0,50
2022-11-06T06:45:20,0,50,0,50
2022-11-06T06:54:35,0,50,0,50
2022-11-06T07:03:52,0,50,0,50
2022-11-06T07:13:09,0,50,0,50
2022-11-06T07:22:26,0,50,0,50
2022-11-06T07:31:44,0,50,0,50
2022-11-06T07:41:03,0,50,0,50
2022-11-06T07:50:21,0,50,0,50
2022-11-06T07:59:38,0,50,0,50
2022-11-06T08:08:54,0,50,0,50
2022-11-06T08:18:12,0,50,0,50
2022-11-06T08:27:29,0,50,0,50
2022-11-06T08:36:45,0,50,0,50
