time,enrolled,available,waitlisted,total
2022-11-05T20:10:57,0,120,0,120
2022-11-05T20:20:14,0,120,0,120
2022-11-05T20:29:31,0,120,0,120
2022-11-05T20:38:59,0,120,0,120
2022-11-05T20:48:15,0,120,0,120
2022-11-05T20:57:31,0,120,0,120
2022-11-05T21:06:47,0,120,0,120
2022-11-05T21:16:02,0,120,0,120
2022-11-05T21:25:16,0,120,0,120
2022-11-05T21:34:33,0,120,0,120
2022-11-05T21:43:49,0,120,0,120
2022-11-05T21:53:04,0,120,0,120
2022-11-05T22:02:19,0,120,0,120
2022-11-05T22:11:35,0,120,0,120
2022-11-05T22:20:50,0,120,0,120
2022-11-05T22:30:05,0,120,0,120
2022-11-05T22:39:23,0,120,0,120
2022-11-05T22:48:39,0,120,0,120
2022-11-05T22:57:54,0,120,0,120
2022-11-05T23:07:11,0,120,0,120
2022-11-05T23:16:27,0,120,0,120
2022-11-05T23:25:43,0,120,0,120
2022-11-05T23:35:01,0,120,0,120
2022-11-05T23:44:17,0,120,0,120
2022-11-05T23:53:34,0,120,0,120
2022-11-06T00:02:49,0,120,0,120
2022-11-06T00:12:15,0,120,0,120
2022-11-06T00:21:31,0,120,0,120
2022-11-06T00:30:47,0,120,0,120
2022-11-06T00:40:02,0,120,0,120
2022-11-06T00:49:18,0,120,0,120
2022-11-06T00:58:33,0,120,0,120
2022-11-06T01:07:48,0,120,0,120
2022-11-06T01:17:03,0,120,0,120
2022-11-06T01:26:19,0,120,0,120
2022-11-06T01:35:35,0,120,0,120
2022-11-06T01:44:51,0,120,0,120
2022-11-06T01:54:07,0,120,0,120
2022-11-06T01:03:23,0,120,0,120
2022-11-06T01:12:40,0,120,0,120
2022-11-06T01:21:56,0,120,0,120
2022-11-06T01:31:12,0,120,0,120
2022-11-06T01:40:27,0,120,0,120
2022-11-06T01:49:44,0,120,0,120
2022-11-06T01:59:03,0,120,0,120
2022-11-06T02:08:22,0,120,0,120
2022-11-06T02:17:40,0,120,0,120
2022-11-06T02:27:01,0,120,0,120
2022-11-06T02:36:21,0,120,0,120
2022-11-06T02:45:39,0,120,0,120
2022-11-06T02:54:59,0,120,0,120
2022-11-06T03:04:17,0,120,0,120
2022-11-06T03:13:34,0,120,0,120
2022-11-06T03:22:51,0,120,0,120
