time,enrolled,available,waitlisted,total
2022-11-05T20:10:59,0,200,0,200
2022-11-05T20:20:16,0,200,0,200
2022-11-05T20:29:33,0,200,0,200
2022-11-05T20:39:01,0,200,0,200
2022-11-05T20:48:17,0,200,0,200
2022-11-05T20:57:33,0,200,0,200
2022-11-05T21:06:48,0,200,0,200
2022-11-05T21:16:04,0,200,0,200
2022-11-05T21:25:18,0,200,0,200
2022-11-05T21:34:34,0,200,0,200
2022-11-05T21:43:51,0,200,0,200
2022-11-05T21:53:06,0,200,0,200
2022-11-05T22:02:21,0,200,0,200
2022-11-05T22:11:36,0,200,0,200
2022-11-05T22:20:52,0,200,0,200
2022-11-05T22:30:07,0,200,0,200
2022-11-05T22:39:25,0,200,0,200
2022-11-05T22:48:41,0,200,0,200
2022-11-05T22:57:56,0,200,0,200
2022-11-05T23:07:13,0,200,0,200
2022-11-05T23:16:29,0,200,0,200
2022-11-05T23:25:45,0,200,0,200
2022-11-05T23:35:03,0,200,0,200
2022-11-05T23:44:18,0,200,0,200
2022-11-05T23:53:36,0,200,0,200
2022-11-06T00:02:50,0,200,0,200
2022-11-06T00:12:17,0,200,0,200
2022-11-06T00:21:32,0,200,0,200
2022-11-06T00:30:48,0,200,0,200
2022-11-06T00:40:03,0,200,0,200
2022-11-06T00:49:19,0,200,0,200
2022-11-06T00:58:34,0,200,0,200
2022-11-06T01:07:49,0,200,0,200
2022-11-06T01:17:05,0,200,0,200
2022-11-06T01:26:21,0,200,0,200
2022-11-06T01:35:37,0,200,0,200
2022-11-06T01:44:53,0,200,0,200
2022-11-06T01:54:09,0,200,0,200
2022-11-06T01:03:25,0,200,0,200
2022-11-06T01:12:41,0,200,0,200
2022-11-06T01:21:57,0,200,0,200
2022-11-06T01:31:14,0,200,0,200
2022-11-06T01:40:28,0,200,0,200
2022-11-06T01:49:46,0,200,0,200
2022-11-06T01:59:05,0,200,0,200
2022-11-06T02:08:23,0,200,0,200
2022-11-06T02:17:42,0,200,0,200
2022-11-06T02:27:02,0,200,0,200
2022-11-06T02:36:22,0,200,0,200
2022-11-06T02:45:41,0,200,0,200
2022-11-06T02:55:00,0,200,0,200
2022-11-06T03:04:19,0,200,0,200
2022-11-06T03:13:36,0,200,0,200
2022-11-06T03:22:53,0,200,0,200
2022-11-06T03:32:10,0,200,0,200
2022-11-06T03:41:30,0,200,0,200
2022-11-06T03:50:50,0,200,0,200
2022-11-06T04:00:09,0,200,0,200
2022-11-06T04:15:27,0,200,0,200
2022-11-06T04:24:48,0,200,0,200
2022-11-06T04:34:07,0,200,0,200
2022-11-06T04:43:35,0,200,0,200
2022-11-06T04:54:10,0,200,0,200
2022-11-06T05:03:28,0,200,0,200
2022-11-06T05:12:45,0,200,0,200
2022-11-06T05:22:01,0,200,0,200
2022-11-06T05:31:18,0,200,0,200
2022-11-06T05:40:34,0,200,0,200
2022-11-06T05:49:50,0,200,0,200
2022-11-06T05:59:08,0,200,0,200
2022-11-06T06:08:27,0,200,0,200
2022-11-06T06:17:45,0,200,0,200
2022-11-06T06:27:03,0,200,0,200
2022-11-06T06:36:19,0,200,0,200
2022-11-06T06:45:35,0,200,0,200
2022-11-06T06:54:51,0,200,0,200
2022-11-06T07:04:08,0,200,0,200
2022-11-06T07:13:25,0,200,0,200
2022-11-06T07:22:42,0,200,0,200
2022-11-06T07:32:00,0,200,0,200
2022-11-06T07:41:19,0,200,0,200
2022-11-06T07:50:37,0,200,0,200
2022-11-06T07:59:53,0,200,0,200
2022-11-06T08:09:10,0,200,0,200
2022-11-06T08:18:27,0,200,0,200
2022-11-06T08:27:45,0,200,0,200
2022-11-06T08:37:01,0,200,0,200
2022-11-06T08:46:18,0,200,0,200
2022-11-06T08:55:35,0,200,0,200
2022-11-06T09:04:51,0,200,0,200
2022-11-06T09:14:06,0,200,0,200
2022-11-06T09:23:20,0,200,0,200
2022-11-06T09:32:33,0,200,0,200
2022-11-06T09:41:48,0,200,0,200
2022-11-06T09:51:02,0,200,0,200
2022-11-06T10:00:15,0,200,0,200
2022-11-06T10:09:29,0,200,0,200
2022-11-06T10:18:42,0,200,0,200
2022-11-06T10:27:56,0,200,0,200
2022-11-06T10:37:13,0,200,0,200
2022-11-06T10:46:27,0,200,0,200
2022-11-06T10:55:42,0,200,0,200
2022-11-06T11:04:57,0,200,0,200
2022-11-06T11:14:12,0,200,0,200
2022-11-06T11:23:29,0,200,0,200
2022-11-06T11:32:51,0,200,0,200
2022-11-06T11:42:08,0,200,0,200
2022-11-06T11:51:22,0,200,0,200
2022-11-06T12:00:36,0,200,0,200
2022-11-06T12:09:50,0,200,0,200
2022-11-06T12:19:06,0,200,0,200
2022-11-06T12:28:31,0,200,0,200
2022-11-06T12:37:45,0,200,0,200
2022-11-06T12:47:00,0,200,0,200
2022-11-06T12:56:14,0,200,0,200
2022-11-06T13:05:29,0,200,0,200
2022-11-06T13:14:44,0,200,0,200
2022-11-06T13:24:00,0,200,0,200
2022-11-06T13:33:14,0,200,0,200
2022-11-06T13:42:28,0,200,0,200
2022-11-06T13:51:41,0,200,0,200
2022-11-06T14:00:56,0,200,0,200
2022-11-06T14:10:12,0,200,0,200
2022-11-06T14:19:35,0,200,0,200
2022-11-06T14:28:49,0,200,0,200
2022-11-06T14:38:03,0,200,0,200
2022-11-06T14:47:20,0,200,0,200
2022-11-06T14:56:33,0,200,0,200
2022-11-06T15:05:47,0,200,0,200
2022-11-06T15:15:00,0,200,0,200
2022-11-06T15:24:14,0,200,0,200
2022-11-06T15:33:28,0,200,0,200
2022-11-06T15:42:42,0,200,0,200
2022-11-06T15:51:55,0,200,0,200
2022-11-06T16:01:07,0,200,0,200
2022-11-06T16:10:31,0,200,0,200
2022-11-06T16:19:45,0,200,0,200
2022-11-06T16:29:01,0,200,0,200
2022-11-06T16:38:17,0,200,0,200
2022-11-06T16:47:32,0,200,0,200
2022-11-06T16:56:48,0,200,0,200
2022-11-06T17:06:02,0,200,0,200
2022-11-06T17:15:17,0,200,0,200
2022-11-06T17:24:32,0,200,0,200
2022-11-06T17:33:47,0,200,0,200
2022-11-06T17:43:12,0,200,0,200
2022-11-06T17:52:26,0,200,0,200
2022-11-06T18:01:42,0,200,0,200
2022-11-06T18:10:57,0,200,0,200
2022-11-06T18:20:12,0,200,0,200
2022-11-06T18:29:26,0,200,0,200
2022-11-06T18:38:40,0,200,0,200
2022-11-06T18:47:54,0,200,0,200
2022-11-06T18:57:09,0,200,0,200
2022-11-06T19:06:24,0,200,0,200
2022-11-06T19:15:47,0,200,0,200
2022-11-06T19:25:02,0,200,0,200
2022-11-06T19:34:17,0,200,0,200
2022-11-06T19:43:30,0,200,0,200
2022-11-06T19:52:44,0,200,0,200
2022-11-06T20:01:57,0,200,0,200
2022-11-06T20:11:12,0,200,0,200
2022-11-06T20:20:26,0,200,0,200
2022-11-06T20:29:41,0,200,0,200
2022-11-06T20:39:03,0,200,0,200
2022-11-06T20:48:18,0,200,0,200
2022-11-06T20:57:32,0,200,0,200
2022-11-06T21:06:47,0,200,0,200
2022-11-06T21:16:00,0,200,0,200
2022-11-06T21:25:12,0,200,0,200
2022-11-06T21:34:25,0,200,0,200
2022-11-06T21:43:41,0,200,0,200
2022-11-06T21:53:05,0,200,0,200
2022-11-06T22:02:21,0,200,0,200
2022-11-06T22:11:35,0,200,0,200
2022-11-06T22:20:50,0,200,0,200
2022-11-06T22:30:05,0,200,0,200
2022-11-06T22:39:20,0,200,0,200
2022-11-06T22:48:34,0,200,0,200
2022-11-06T22:57:49,0,200,0,200
2022-11-06T23:07:05,0,200,0,200
2022-11-06T23:16:30,0,200,0,200
2022-11-06T23:25:46,0,200,0,200
2022-11-06T23:35:02,0,200,0,200
2022-11-06T23:44:17,0,200,0,200
2022-11-06T23:53:33,0,200,0,200
2022-11-07T00:04:30,0,200,0,200
2022-11-07T00:13:54,0,200,0,200
2022-11-07T00:23:22,0,200,0,200
2022-11-07T00:32:39,0,200,0,200
2022-11-07T00:41:55,0,200,0,200
2022-11-07T00:51:10,0,200,0,200
2022-11-07T01:00:24,0,200,0,200
2022-11-07T01:09:44,0,200,0,200
2022-11-07T01:19:01,0,200,0,200
2022-11-07T01:28:16,0,200,0,200
2022-11-07T01:37:32,0,200,0,200
2022-11-07T01:46:57,0,200,0,200
2022-11-07T01:56:11,0,200,0,200
2022-11-07T02:05:25,0,200,0,200
2022-11-07T02:14:40,0,200,0,200
2022-11-07T02:23:55,0,200,0,200
2022-11-07T02:33:09,0,200,0,200
