time,enrolled,available,waitlisted,total
2022-11-05T20:10:49,0,546,0,546
2022-11-05T20:20:06,0,546,0,546
2022-11-05T20:29:23,0,546,0,546
2022-11-05T20:38:50,0,546,0,546
2022-11-05T20:48:07,0,546,0,546
2022-11-05T20:57:22,0,546,0,546
2022-11-05T21:06:38,0,546,0,546
2022-11-05T21:15:53,0,546,0,546
2022-11-05T21:25:08,0,546,0,546
2022-11-05T21:34:24,0,546,0,546
2022-11-05T21:43:41,0,546,0,546
2022-11-05T21:52:56,0,546,0,546
2022-11-05T22:02:11,0,546,0,546
2022-11-05T22:11:26,0,546,0,546
2022-11-05T22:20:42,0,546,0,546
2022-11-05T22:29:57,0,546,0,546
2022-11-05T22:39:14,0,546,0,546
2022-11-05T22:48:30,0,546,0,546
2022-11-05T22:57:46,0,546,0,546
2022-11-05T23:07:03,0,546,0,546
2022-11-05T23:16:18,0,546,0,546
2022-11-05T23:25:35,0,546,0,546
2022-11-05T23:34:53,0,546,0,546
2022-11-05T23:44:08,0,546,0,546
2022-11-05T23:53:26,0,546,0,546
2022-11-06T00:02:40,0,546,0,546
2022-11-06T00:12:07,0,546,0,546
2022-11-06T00:21:22,0,546,0,546
2022-11-06T00:30:38,0,546,0,546
2022-11-06T00:39:53,0,546,0,546
2022-11-06T00:49:09,0,546,0,546
2022-11-06T00:58:24,0,546,0,546
2022-11-06T01:07:39,0,546,0,546
2022-11-06T01:16:55,0,546,0,546
2022-11-06T01:26:11,0,546,0,546
2022-11-06T01:35:27,0,546,0,546
2022-11-06T01:44:43,0,546,0,546
2022-11-06T01:53:59,0,546,0,546
2022-11-06T01:03:15,0,546,0,546
2022-11-06T01:12:31,0,546,0,546
2022-11-06T01:21:47,0,546,0,546
2022-11-06T01:31:03,0,546,0,546
2022-11-06T01:40:18,0,546,0,546
2022-11-06T01:49:35,0,546,0,546
2022-11-06T01:58:55,0,546,0,546
2022-11-06T02:08:13,0,546,0,546
2022-11-06T02:17:32,0,546,0,546
2022-11-06T02:26:52,0,546,0,546
2022-11-06T02:36:12,0,546,0,546
2022-11-06T02:45:31,0,546,0,546
2022-11-06T02:54:50,0,546,0,546
2022-11-06T03:04:09,0,546,0,546
2022-11-06T03:13:26,0,546,0,546
2022-11-06T03:22:43,0,546,0,546
2022-11-06T03:32:00,0,546,0,546
2022-11-06T03:41:20,0,546,0,546
2022-11-06T03:50:40,0,546,0,546
2022-11-06T03:59:59,0,546,0,546
2022-11-06T04:15:17,0,546,0,546
2022-11-06T04:24:38,0,546,0,546
2022-11-06T04:33:57,0,546,0,546
2022-11-06T04:43:15,0,546,0,546
2022-11-06T04:54:00,0,546,0,546
2022-11-06T05:03:17,0,546,0,546
2022-11-06T05:12:35,0,546,0,546
2022-11-06T05:21:51,0,546,0,546
2022-11-06T05:31:08,0,546,0,546
2022-11-06T05:40:24,0,546,0,546
2022-11-06T05:49:40,0,546,0,546
2022-11-06T05:58:58,0,546,0,546
2022-11-06T06:08:17,0,546,0,546
2022-11-06T06:17:35,0,546,0,546
2022-11-06T06:26:53,0,546,0,546
2022-11-06T06:36:09,0,546,0,546
2022-11-06T06:45:25,0,546,0,546
2022-11-06T06:54:41,0,546,0,546
2022-11-06T07:03:58,0,546,0,546
2022-11-06T07:13:15,0,546,0,546
2022-11-06T07:22:32,0,546,0,546
2022-11-06T07:31:50,0,546,0,546
2022-11-06T07:41:09,0,546,0,546
2022-11-06T07:50:27,0,546,0,546
2022-11-06T07:59:43,0,546,0,546
2022-11-06T08:09:00,0,546,0,546
2022-11-06T08:18:17,0,546,0,546
2022-11-06T08:27:35,0,546,0,546
2022-11-06T08:36:51,0,546,0,546
2022-11-06T08:46:08,0,546,0,546
2022-11-06T08:55:25,0,546,0,546
2022-11-06T09:04:41,0,546,0,546
2022-11-06T09:13:56,0,546,0,546
2022-11-06T09:23:10,0,546,0,546
2022-11-06T09:32:23,0,546,0,546
2022-11-06T09:41:38,0,546,0,546
