time,enrolled,available,waitlisted,total
2022-11-05T20:11:03,0,50,0,50
2022-11-05T20:20:20,0,50,0,50
2022-11-05T20:29:37,0,50,0,50
2022-11-05T20:39:04,0,50,0,50
2022-11-05T20:48:21,0,50,0,50
2022-11-05T20:57:36,0,50,0,50
2022-11-05T21:06:52,0,50,0,50
2022-11-05T21:16:07,0,50,0,50
2022-11-05T21:25:22,0,50,0,50
2022-11-05T21:34:38,0,50,0,50
2022-11-05T21:43:55,0,50,0,50
2022-11-05T21:53:10,0,50,0,50
2022-11-05T22:02:25,0,50,0,50
2022-11-05T22:11:40,0,50,0,50
2022-11-05T22:20:56,0,50,0,50
2022-11-05T22:30:11,0,50,0,50
2022-11-05T22:39:29,0,50,0,50
2022-11-05T22:48:44,0,50,0,50
2022-11-05T22:58:00,0,50,0,50
2022-11-05T23:07:17,0,50,0,50
2022-11-05T23:16:32,0,50,0,50
2022-11-05T23:25:49,0,50,0,50
2022-11-05T23:35:07,0,50,0,50
2022-11-05T23:44:22,0,50,0,50
2022-11-05T23:53:39,0,50,0,50
2022-11-06T00:02:54,0,50,0,50
2022-11-06T00:12:21,0,50,0,50
2022-11-06T00:21:36,0,50,0,50
2022-11-06T00:30:52,0,50,0,50
2022-11-06T00:40:07,0,50,0,50
2022-11-06T00:49:23,0,50,0,50
2022-11-06T00:58:38,0,50,0,50
2022-11-06T01:07:53,0,50,0,50
2022-11-06T01:17:09,0,50,0,50
2022-11-06T01:26:25,0,50,0,50
2022-11-06T01:35:41,0,50,0,50
2022-11-06T01:44:57,0,50,0,50
2022-11-06T01:54:13,0,50,0,50
2022-11-06T01:03:29,0,50,0,50
2022-11-06T01:12:45,0,50,0,50
2022-11-06T01:22:01,0,50,0,50
2022-11-06T01:31:18,0,50,0,50
2022-11-06T01:40:32,0,50,0,50
2022-11-06T01:49:50,0,50,0,50
2022-11-06T01:59:09,0,50,0,50
2022-11-06T02:08:27,0,50,0,50
2022-11-06T02:17:46,0,50,0,50
2022-11-06T02:27:06,0,50,0,50
2022-11-06T02:36:26,0,50,0,50
2022-11-06T02:45:45,0,50,0,50
2022-11-06T02:55:04,0,50,0,50
2022-11-06T03:04:23,0,50,0,50
2022-11-06T03:13:40,0,50,0,50
2022-11-06T03:22:57,0,50,0,50
2022-11-06T03:32:14,0,50,0,50
2022-11-06T03:41:34,0,50,0,50
2022-11-06T03:50:54,0,50,0,50
2022-11-06T04:00:13,0,50,0,50
2022-11-06T04:15:31,0,50,0,50
2022-11-06T04:24:52,0,50,0,50
2022-11-06T04:34:11,0,50,0,50
2022-11-06T04:43:39,0,50,0,50
2022-11-06T04:54:14,0,50,0,50
2022-11-06T05:03:31,0,50,0,50
2022-11-06T05:12:49,0,50,0,50
2022-11-06T05:22:05,0,50,0,50
2022-11-06T05:31:22,0,50,0,50
2022-11-06T05:40:38,0,50,0,50
2022-11-06T05:49:54,0,50,0,50
2022-11-06T05:59:12,0,50,0,50
2022-11-06T06:08:31,0,50,0,50
2022-11-06T06:17:49,0,50,0,50
2022-11-06T06:27:07,0,50,0,50
2022-11-06T06:36:23,0,50,0,50
2022-11-06T06:45:39,0,50,0,50
2022-11-06T06:54:55,0,50,0,50
2022-11-06T07:04:12,0,50,0,50
2022-11-06T07:13:29,0,50,0,50
2022-11-06T07:22:46,0,50,0,50
2022-11-06T07:32:04,0,50,0,50
2022-11-06T07:41:23,0,50,0,50
2022-11-06T07:50:41,0,50,0,50
2022-11-06T07:59:57,0,50,0,50
2022-11-06T08:09:14,0,50,0,50
2022-11-06T08:18:31,0,50,0,50
2022-11-06T08:27:49,0,50,0,50
2022-11-06T08:37:05,0,50,0,50
2022-11-06T08:46:22,0,50,0,50
2022-11-06T08:55:39,0,50,0,50
2022-11-06T09:04:55,0,50,0,50
2022-11-06T09:14:10,0,50,0,50
2022-11-06T09:23:24,0,50,0,50
2022-11-06T09:32:37,0,50,0,50
2022-11-06T09:41:51,0,50,0,50
2022-11-06T09:51:06,0,50,0,50
2022-11-06T10:00:19,0,50,0,50
2022-11-06T10:09:33,0,50,0,50
2022-11-06T10:18:46,0,50,0,50
2022-11-06T10:28:00,0,50,0,50
2022-11-06T10:37:16,0,50,0,50
2022-11-06T10:46:31,0,50,0,50
2022-11-06T10:55:46,0,50,0,50
2022-11-06T11:05:01,0,50,0,50
2022-11-06T11:14:16,0,50,0,50
2022-11-06T11:23:33,0,50,0,50
2022-11-06T11:32:55,0,50,0,50
2022-11-06T11:42:12,0,50,0,50
2022-11-06T11:51:26,0,50,0,50
2022-11-06T12:00:40,0,50,0,50
2022-11-06T12:09:54,0,50,0,50
2022-11-06T12:19:10,0,50,0,50
2022-11-06T12:28:35,0,50,0,50
2022-11-06T12:37:49,0,50,0,50
2022-11-06T12:47:04,0,50,0,50
2022-11-06T12:56:18,0,50,0,50
2022-11-06T13:05:32,0,50,0,50
2022-11-06T13:14:48,0,50,0,50
2022-11-06T13:24:04,0,50,0,50
