time,enrolled,available,waitlisted,total
2022-11-05T20:11:25,0,250,0,250
2022-11-05T20:20:42,0,250,0,250
2022-11-05T20:29:59,0,250,0,250
2022-11-05T20:39:27,0,250,0,250
2022-11-05T20:48:43,0,250,0,250
2022-11-05T20:57:59,0,250,0,250
2022-11-05T21:07:14,0,250,0,250
2022-11-05T21:16:29,0,250,0,250
2022-11-05T21:25:45,0,250,0,250
2022-11-05T21:35:00,0,250,0,250
2022-11-05T21:44:17,0,250,0,250
2022-11-05T21:53:32,0,250,0,250
2022-11-05T22:02:47,0,250,0,250
2022-11-05T22:12:02,0,250,0,250
2022-11-05T22:21:18,0,250,0,250
2022-11-05T22:30:33,0,250,0,250
2022-11-05T22:39:51,0,250,0,250
2022-11-05T22:49:07,0,250,0,250
2022-11-05T22:58:22,0,250,0,250
2022-11-05T23:07:39,0,250,0,250
2022-11-05T23:16:55,0,250,0,250
2022-11-05T23:26:11,0,250,0,250
2022-11-05T23:35:29,0,250,0,250
2022-11-05T23:44:45,0,250,0,250
2022-11-05T23:54:02,0,250,0,250
2022-11-06T00:03:17,0,250,0,250
2022-11-06T00:12:43,0,250,0,250
2022-11-06T00:21:59,0,250,0,250
2022-11-06T00:31:14,0,250,0,250
2022-11-06T00:40:30,0,250,0,250
2022-11-06T00:49:45,0,250,0,250
2022-11-06T00:59:00,0,250,0,250
2022-11-06T01:08:16,0,250,0,250
2022-11-06T01:17:31,0,250,0,250
2022-11-06T01:26:47,0,250,0,250
2022-11-06T01:36:03,0,250,0,250
2022-11-06T01:45:19,0,250,0,250
2022-11-06T01:54:35,0,250,0,250
2022-11-06T01:03:51,0,250,0,250
2022-11-06T01:13:08,0,250,0,250
2022-11-06T01:22:23,0,250,0,250
2022-11-06T01:31:40,0,250,0,250
2022-11-06T01:40:55,0,250,0,250
2022-11-06T01:50:12,0,250,0,250
2022-11-06T01:59:31,0,250,0,250
2022-11-06T02:08:50,0,250,0,250
2022-11-06T02:18:08,0,250,0,250
2022-11-06T02:27:29,0,250,0,250
2022-11-06T02:36:49,0,250,0,250
2022-11-06T02:46:07,0,250,0,250
2022-11-06T02:55:27,0,250,0,250
2022-11-06T03:04:45,0,250,0,250
2022-11-06T03:14:02,0,250,0,250
2022-11-06T03:23:19,0,250,0,250
2022-11-06T03:32:37,0,250,0,250
2022-11-06T03:41:56,0,250,0,250
2022-11-06T03:51:16,0,250,0,250
2022-11-06T04:00:36,0,250,0,250
2022-11-06T04:15:53,0,250,0,250
2022-11-06T04:25:14,0,250,0,250
2022-11-06T04:34:33,0,250,0,250
2022-11-06T04:44:31,0,250,0,250
2022-11-06T04:54:36,0,250,0,250
2022-11-06T05:03:54,0,250,0,250
2022-11-06T05:13:11,0,250,0,250
2022-11-06T05:22:28,0,250,0,250
2022-11-06T05:31:44,0,250,0,250
2022-11-06T05:41:00,0,250,0,250
2022-11-06T05:50:16,0,250,0,250
2022-11-06T05:59:34,0,250,0,250
2022-11-06T06:08:53,0,250,0,250
2022-11-06T06:18:12,0,250,0,250
2022-11-06T06:27:29,0,250,0,250
2022-11-06T06:36:45,0,250,0,250
2022-11-06T06:46:01,0,250,0,250
2022-11-06T06:55:17,0,250,0,250
2022-11-06T07:04:34,0,250,0,250
2022-11-06T07:13:51,0,250,0,250
2022-11-06T07:23:08,0,250,0,250
2022-11-06T07:32:26,0,250,0,250
2022-11-06T07:41:45,0,250,0,250
2022-11-06T07:51:03,0,250,0,250
2022-11-06T08:00:20,0,250,0,250
2022-11-06T08:09:36,0,250,0,250
2022-11-06T08:18:53,0,250,0,250
2022-11-06T08:28:11,0,250,0,250
2022-11-06T08:37:27,0,250,0,250
2022-11-06T08:46:44,0,250,0,250
2022-11-06T08:56:01,0,250,0,250
2022-11-06T09:05:17,0,250,0,250
2022-11-06T09:14:32,0,250,0,250
2022-11-06T09:23:46,0,250,0,250
2022-11-06T09:32:59,0,250,0,250
2022-11-06T09:42:13,0,250,0,250
2022-11-06T09:51:28,0,250,0,250
2022-11-06T10:00:41,0,250,0,250
2022-11-06T10:09:55,0,250,0,250
2022-11-06T10:19:08,0,250,0,250
2022-11-06T10:28:22,0,250,0,250
2022-11-06T10:37:39,0,250,0,250
2022-11-06T10:46:54,0,250,0,250
2022-11-06T10:56:08,0,250,0,250
2022-11-06T11:05:23,0,250,0,250
2022-11-06T11:14:38,0,250,0,250
2022-11-06T11:23:55,0,250,0,250
2022-11-06T11:33:17,0,250,0,250
2022-11-06T11:42:34,0,250,0,250
2022-11-06T11:51:48,0,250,0,250
2022-11-06T12:01:02,0,250,0,250
2022-11-06T12:10:16,0,250,0,250
2022-11-06T12:19:32,0,250,0,250
2022-11-06T12:28:57,0,250,0,250
2022-11-06T12:38:11,0,250,0,250
2022-11-06T12:47:26,0,250,0,250
2022-11-06T12:56:40,0,250,0,250
2022-11-06T13:05:55,0,250,0,250
2022-11-06T13:15:10,0,250,0,250
2022-11-06T13:24:26,0,250,0,250
2022-11-06T13:33:40,0,250,0,250
2022-11-06T13:42:54,0,250,0,250
2022-11-06T13:52:07,0,250,0,250
2022-11-06T14:01:22,0,250,0,250
2022-11-06T14:10:38,0,250,0,250
2022-11-06T14:20:01,0,250,0,250
2022-11-06T14:29:15,0,250,0,250
2022-11-06T14:38:29,0,250,0,250
2022-11-06T14:47:46,0,250,0,250
2022-11-06T14:57:00,0,250,0,250
2022-11-06T15:06:13,0,250,0,250
2022-11-06T15:15:26,0,250,0,250
2022-11-06T15:24:40,0,250,0,250
2022-11-06T15:33:54,0,250,0,250
2022-11-06T15:43:08,0,250,0,250
2022-11-06T15:52:21,0,250,0,250
2022-11-06T16:01:33,0,250,0,250
2022-11-06T16:10:57,0,250,0,250
2022-11-06T16:20:11,0,250,0,250
2022-11-06T16:29:27,0,250,0,250
2022-11-06T16:38:43,0,250,0,250
2022-11-06T16:47:58,0,250,0,250
2022-11-06T16:57:13,0,250,0,250
2022-11-06T17:06:28,0,250,0,250
