time,enrolled,available,waitlisted,total
2022-11-05T20:11:28,0,40,0,40
2022-11-05T20:20:45,0,40,0,40
2022-11-05T20:30:02,0,40,0,40
2022-11-05T20:39:30,0,40,0,40
2022-11-05T20:48:46,0,40,0,40
2022-11-05T20:58:02,0,40,0,40
2022-11-05T21:07:17,0,40,0,40
2022-11-05T21:16:32,0,40,0,40
2022-11-05T21:25:48,0,40,0,40
2022-11-05T21:35:03,0,40,0,40
2022-11-05T21:44:20,0,40,0,40
2022-11-05T21:53:35,0,40,0,40
2022-11-05T22:02:50,0,40,0,40
2022-11-05T22:12:06,0,40,0,40
2022-11-05T22:21:21,0,40,0,40
2022-11-05T22:30:36,0,40,0,40
2022-11-05T22:39:54,0,40,0,40
2022-11-05T22:49:10,0,40,0,40
2022-11-05T22:58:25,0,40,0,40
2022-11-05T23:07:42,0,40,0,40
2022-11-05T23:16:58,0,40,0,40
2022-11-05T23:26:14,0,40,0,40
2022-11-05T23:35:32,0,40,0,40
2022-11-05T23:44:48,0,40,0,40
2022-11-05T23:54:05,0,40,0,40
2022-11-06T00:03:20,0,40,0,40
2022-11-06T00:12:46,0,40,0,40
2022-11-06T00:22:02,0,40,0,40
2022-11-06T00:31:17,0,40,0,40
2022-11-06T00:40:33,0,40,0,40
2022-11-06T00:49:48,0,40,0,40
2022-11-06T00:59:03,0,40,0,40
2022-11-06T01:08:19,0,40,0,40
2022-11-06T01:17:34,0,40,0,40
2022-11-06T01:26:50,0,40,0,40
2022-11-06T01:36:06,0,40,0,40
2022-11-06T01:45:22,0,40,0,40
2022-11-06T01:54:38,0,40,0,40
2022-11-06T01:03:54,0,40,0,40
2022-11-06T01:13:11,0,40,0,40
2022-11-06T01:22:26,0,40,0,40
2022-11-06T01:31:43,0,40,0,40
2022-11-06T01:40:58,0,40,0,40
2022-11-06T01:50:15,0,40,0,40
2022-11-06T01:59:34,0,40,0,40
2022-11-06T02:08:53,0,40,0,40
2022-11-06T02:18:11,0,40,0,40
2022-11-06T02:27:32,0,40,0,40
2022-11-06T02:36:52,0,40,0,40
2022-11-06T02:46:10,0,40,0,40
2022-11-06T02:55:30,0,40,0,40
2022-11-06T03:04:48,0,40,0,40
2022-11-06T03:14:05,0,40,0,40
2022-11-06T03:23:22,0,40,0,40
2022-11-06T03:32:40,0,40,0,40
2022-11-06T03:41:59,0,40,0,40
2022-11-06T03:51:19,0,40,0,40
2022-11-06T04:00:39,0,40,0,40
2022-11-06T04:15:56,0,40,0,40
2022-11-06T04:25:17,0,40,0,40
2022-11-06T04:34:36,0,40,0,40
2022-11-06T04:44:34,0,40,0,40
2022-11-06T04:54:39,0,40,0,40
2022-11-06T05:03:57,0,40,0,40
2022-11-06T05:13:14,0,40,0,40
2022-11-06T05:22:31,0,40,0,40
2022-11-06T05:31:48,0,40,0,40
2022-11-06T05:41:03,0,40,0,40
2022-11-06T05:50:19,0,40,0,40
2022-11-06T05:59:37,0,40,0,40
2022-11-06T06:08:56,0,40,0,40
2022-11-06T06:18:15,0,40,0,40
2022-11-06T06:27:32,0,40,0,40
2022-11-06T06:36:48,0,40,0,40
2022-11-06T06:46:04,0,40,0,40
