time,enrolled,available,waitlisted,total
2022-11-05T20:11:29,0,42,0,42
2022-11-05T20:20:46,0,42,0,42
2022-11-05T20:30:03,0,42,0,42
2022-11-05T20:39:31,0,42,0,42
2022-11-05T20:48:47,0,42,0,42
2022-11-05T20:58:02,0,42,0,42
2022-11-05T21:07:18,0,42,0,42
2022-11-05T21:16:33,0,42,0,42
2022-11-05T21:25:49,0,42,0,42
2022-11-05T21:35:04,0,42,0,42
2022-11-05T21:44:21,0,42,0,42
2022-11-05T21:53:36,0,42,0,42
2022-11-05T22:02:51,0,42,0,42
2022-11-05T22:12:06,0,42,0,42
2022-11-05T22:21:22,0,42,0,42
2022-11-05T22:30:37,0,42,0,42
2022-11-05T22:39:55,0,42,0,42
2022-11-05T22:49:11,0,42,0,42
2022-11-05T22:58:26,0,42,0,42
2022-11-05T23:07:43,0,42,0,42
2022-11-05T23:16:59,0,42,0,42
2022-11-05T23:26:15,0,42,0,42
2022-11-05T23:35:33,0,42,0,42
2022-11-05T23:44:49,0,42,0,42
2022-11-05T23:54:06,0,42,0,42
2022-11-06T00:03:21,0,42,0,42
2022-11-06T00:12:47,0,42,0,42
2022-11-06T00:22:02,0,42,0,42
2022-11-06T00:31:18,0,42,0,42
2022-11-06T00:40:34,0,42,0,42
2022-11-06T00:49:49,0,42,0,42
2022-11-06T00:59:04,0,42,0,42
2022-11-06T01:08:20,0,42,0,42
2022-11-06T01:17:34,0,42,0,42
2022-11-06T01:26:51,0,42,0,42
2022-11-06T01:36:07,0,42,0,42
2022-11-06T01:45:23,0,42,0,42
2022-11-06T01:54:39,0,42,0,42
2022-11-06T01:03:55,0,42,0,42
2022-11-06T01:13:12,0,42,0,42
2022-11-06T01:22:27,0,42,0,42
2022-11-06T01:31:44,0,42,0,42
2022-11-06T01:40:58,0,42,0,42
2022-11-06T01:50:16,0,42,0,42
2022-11-06T01:59:35,0,42,0,42
2022-11-06T02:08:53,0,42,0,42
2022-11-06T02:18:12,0,42,0,42
2022-11-06T02:27:33,0,42,0,42
2022-11-06T02:36:53,0,42,0,42
2022-11-06T02:46:11,0,42,0,42
2022-11-06T02:55:30,0,42,0,42
2022-11-06T03:04:49,0,42,0,42
2022-11-06T03:14:06,0,42,0,42
2022-11-06T03:23:23,0,42,0,42
2022-11-06T03:32:41,0,42,0,42
2022-11-06T03:42:00,0,42,0,42
2022-11-06T03:51:20,0,42,0,42
2022-11-06T04:00:39,0,42,0,42
2022-11-06T04:15:57,0,42,0,42
2022-11-06T04:25:18,0,42,0,42
2022-11-06T04:34:37,0,42,0,42
2022-11-06T04:44:35,0,42,0,42
2022-11-06T04:54:40,0,42,0,42
2022-11-06T05:03:58,0,42,0,42
2022-11-06T05:13:15,0,42,0,42
2022-11-06T05:22:32,0,42,0,42
2022-11-06T05:31:48,0,42,0,42
2022-11-06T05:41:04,0,42,0,42
2022-11-06T05:50:20,0,42,0,42
2022-11-06T05:59:38,0,42,0,42
2022-11-06T06:08:57,0,42,0,42
2022-11-06T06:18:16,0,42,0,42
2022-11-06T06:27:33,0,42,0,42
2022-11-06T06:36:49,0,42,0,42
2022-11-06T06:46:05,0,42,0,42
2022-11-06T06:55:21,0,42,0,42
