time,enrolled,available,waitlisted,total
2022-11-05T20:11:29,0,100,0,100
2022-11-05T20:20:46,0,100,0,100
2022-11-05T20:30:03,0,100,0,100
2022-11-05T20:39:31,0,100,0,100
2022-11-05T20:48:47,0,100,0,100
2022-11-05T20:58:03,0,100,0,100
2022-11-05T21:07:19,0,100,0,100
2022-11-05T21:16:34,0,100,0,100
2022-11-05T21:25:49,0,100,0,100
2022-11-05T21:35:05,0,100,0,100
2022-11-05T21:44:21,0,100,0,100
2022-11-05T21:53:37,0,100,0,100
2022-11-05T22:02:51,0,100,0,100
2022-11-05T22:12:07,0,100,0,100
2022-11-05T22:21:22,0,100,0,100
2022-11-05T22:30:37,0,100,0,100
2022-11-05T22:39:55,0,100,0,100
2022-11-05T22:49:11,0,100,0,100
2022-11-05T22:58:27,0,100,0,100
2022-11-05T23:07:43,0,100,0,100
2022-11-05T23:16:59,0,100,0,100
2022-11-05T23:26:16,0,100,0,100
2022-11-05T23:35:34,0,100,0,100
2022-11-05T23:44:50,0,100,0,100
2022-11-05T23:54:06,0,100,0,100
2022-11-06T00:03:21,0,100,0,100
2022-11-06T00:12:47,0,100,0,100
2022-11-06T00:22:03,0,100,0,100
2022-11-06T00:31:19,0,100,0,100
2022-11-06T00:40:34,0,100,0,100
2022-11-06T00:49:50,0,100,0,100
2022-11-06T00:59:05,0,100,0,100
2022-11-06T01:08:20,0,100,0,100
2022-11-06T01:17:35,0,100,0,100
2022-11-06T01:26:51,0,100,0,100
2022-11-06T01:36:07,0,100,0,100
2022-11-06T01:45:23,0,100,0,100
2022-11-06T01:54:39,0,100,0,100
2022-11-06T01:03:55,0,100,0,100
2022-11-06T01:13:12,0,100,0,100
2022-11-06T01:22:28,0,100,0,100
2022-11-06T01:31:44,0,100,0,100
2022-11-06T01:40:59,0,100,0,100
2022-11-06T01:50:16,0,100,0,100
2022-11-06T01:59:36,0,100,0,100
2022-11-06T02:08:54,0,100,0,100
2022-11-06T02:18:12,0,100,0,100
2022-11-06T02:27:33,0,100,0,100
2022-11-06T02:36:53,0,100,0,100
2022-11-06T02:46:12,0,100,0,100
2022-11-06T02:55:31,0,100,0,100
2022-11-06T03:04:49,0,100,0,100
2022-11-06T03:14:07,0,100,0,100
2022-11-06T03:23:23,0,100,0,100
2022-11-06T03:32:41,0,100,0,100
2022-11-06T03:42:00,0,100,0,100
2022-11-06T03:51:20,0,100,0,100
2022-11-06T04:00:40,0,100,0,100
2022-11-06T04:15:58,0,100,0,100
2022-11-06T04:25:19,0,100,0,100
2022-11-06T04:34:38,0,100,0,100
2022-11-06T04:44:35,0,100,0,100
2022-11-06T04:54:40,0,100,0,100
2022-11-06T05:03:58,0,100,0,100
2022-11-06T05:13:15,0,100,0,100
2022-11-06T05:22:32,0,100,0,100
2022-11-06T05:31:49,0,100,0,100
2022-11-06T05:41:04,0,100,0,100
2022-11-06T05:50:20,0,100,0,100
2022-11-06T05:59:38,0,100,0,100
2022-11-06T06:08:57,0,100,0,100
2022-11-06T06:18:16,0,100,0,100
2022-11-06T06:27:33,0,100,0,100
2022-11-06T06:36:50,0,100,0,100
2022-11-06T06:46:06,0,100,0,100
2022-11-06T06:55:21,0,100,0,100
2022-11-06T07:04:38,0,100,0,100
2022-11-06T07:13:56,0,100,0,100
2022-11-06T07:23:13,0,100,0,100
2022-11-06T07:32:31,0,100,0,100
2022-11-06T07:41:49,0,100,0,100
2022-11-06T07:51:08,0,100,0,100
2022-11-06T08:00:24,0,100,0,100
2022-11-06T08:09:40,0,100,0,100
2022-11-06T08:18:58,0,100,0,100
2022-11-06T08:28:15,0,100,0,100
2022-11-06T08:37:31,0,100,0,100
2022-11-06T08:46:48,0,100,0,100
2022-11-06T08:56:06,0,100,0,100
2022-11-06T09:05:21,0,100,0,100
2022-11-06T09:14:36,0,100,0,100
2022-11-06T09:23:51,0,100,0,100
2022-11-06T09:33:04,0,100,0,100
2022-11-06T09:42:18,0,100,0,100
2022-11-06T09:51:32,0,100,0,100
2022-11-06T10:00:46,0,100,0,100
2022-11-06T10:09:59,0,100,0,100
2022-11-06T10:19:12,0,100,0,100
2022-11-06T10:28:26,0,100,0,100
2022-11-06T10:37:43,0,100,0,100
2022-11-06T10:46:58,0,100,0,100
2022-11-06T10:56:13,0,100,0,100
2022-11-06T11:05:28,0,100,0,100
2022-11-06T11:14:43,0,100,0,100
2022-11-06T11:24:00,0,100,0,100
2022-11-06T11:33:22,0,100,0,100
2022-11-06T11:42:38,0,100,0,100
2022-11-06T11:51:52,0,100,0,100
2022-11-06T12:01:06,0,100,0,100
2022-11-06T12:10:21,0,100,0,100
2022-11-06T12:19:36,0,100,0,100
2022-11-06T12:29:02,0,100,0,100
2022-11-06T12:38:15,0,100,0,100
2022-11-06T12:47:31,0,100,0,100
2022-11-06T12:56:44,0,100,0,100
2022-11-06T13:05:59,0,100,0,100
2022-11-06T13:15:14,0,100,0,100
2022-11-06T13:24:30,0,100,0,100
2022-11-06T13:33:44,0,100,0,100
2022-11-06T13:42:58,0,100,0,100
2022-11-06T13:52:11,0,100,0,100
2022-11-06T14:01:27,0,100,0,100
2022-11-06T14:10:42,0,100,0,100
2022-11-06T14:20:05,0,100,0,100
2022-11-06T14:29:19,0,100,0,100
2022-11-06T14:38:33,0,100,0,100
2022-11-06T14:47:50,0,100,0,100
2022-11-06T14:57:04,0,100,0,100
2022-11-06T15:06:17,0,100,0,100
2022-11-06T15:15:31,0,100,0,100
2022-11-06T15:24:45,0,100,0,100
2022-11-06T15:33:58,0,100,0,100
2022-11-06T15:43:12,0,100,0,100
2022-11-06T15:52:25,0,100,0,100
2022-11-06T16:01:38,0,100,0,100
2022-11-06T16:11:01,0,100,0,100
2022-11-06T16:20:15,0,100,0,100
2022-11-06T16:29:32,0,100,0,100
2022-11-06T16:38:48,0,100,0,100
2022-11-06T16:48:03,0,100,0,100
2022-11-06T16:57:18,0,100,0,100
2022-11-06T17:06:32,0,100,0,100
2022-11-06T17:15:47,0,100,0,100
2022-11-06T17:25:02,0,100,0,100
2022-11-06T17:34:17,0,100,0,100
2022-11-06T17:43:43,0,100,0,100
2022-11-06T17:52:57,0,100,0,100
2022-11-06T18:02:12,0,100,0,100
2022-11-06T18:11:27,0,100,0,100
2022-11-06T18:20:43,0,100,0,100
2022-11-06T18:29:57,0,100,0,100
2022-11-06T18:39:10,0,100,0,100
2022-11-06T18:48:24,0,100,0,100
2022-11-06T18:57:39,0,100,0,100
2022-11-06T19:07:04,0,100,0,100
2022-11-06T19:16:18,0,100,0,100
2022-11-06T19:25:32,0,100,0,100
2022-11-06T19:34:47,0,100,0,100
2022-11-06T19:44:00,0,100,0,100
2022-11-06T19:53:14,0,100,0,100
2022-11-06T20:02:28,0,100,0,100
2022-11-06T20:11:42,0,100,0,100
2022-11-06T20:20:56,0,100,0,100
2022-11-06T20:30:11,0,100,0,100
2022-11-06T20:39:33,0,100,0,100
2022-11-06T20:48:49,0,100,0,100
2022-11-06T20:58:02,0,100,0,100
2022-11-06T21:07:17,0,100,0,100
2022-11-06T21:16:30,0,100,0,100
2022-11-06T21:25:43,0,100,0,100
2022-11-06T21:34:56,0,100,0,100
2022-11-06T21:44:12,0,100,0,100
2022-11-06T21:53:35,0,100,0,100
2022-11-06T22:02:51,0,100,0,100
2022-11-06T22:12:05,0,100,0,100
2022-11-06T22:21:21,0,100,0,100
2022-11-06T22:30:36,0,100,0,100
2022-11-06T22:39:51,0,100,0,100
2022-11-06T22:49:04,0,100,0,100
2022-11-06T22:58:20,0,100,0,100
2022-11-06T23:07:46,0,100,0,100
2022-11-06T23:17:00,0,100,0,100
2022-11-06T23:26:17,0,100,0,100
2022-11-06T23:35:32,0,100,0,100
2022-11-06T23:44:48,0,100,0,100
2022-11-06T23:54:03,0,100,0,100
2022-11-07T00:05:02,0,100,0,100
2022-11-07T00:14:25,0,100,0,100
2022-11-07T00:23:53,0,100,0,100
2022-11-07T00:33:10,0,100,0,100
2022-11-07T00:42:26,0,100,0,100
2022-11-07T00:51:40,0,100,0,100
2022-11-07T01:00:54,0,100,0,100
2022-11-07T01:10:14,0,100,0,100
2022-11-07T01:19:32,0,100,0,100
2022-11-07T01:28:47,0,100,0,100
2022-11-07T01:38:02,0,100,0,100
2022-11-07T01:47:27,0,100,0,100
2022-11-07T01:56:41,0,100,0,100
2022-11-07T02:05:55,0,100,0,100
2022-11-07T02:15:10,0,100,0,100
2022-11-07T02:24:26,0,100,0,100
2022-11-07T02:33:39,0,100,0,100
2022-11-07T02:42:54,0,100,0,100
2022-11-07T02:52:08,0,100,0,100
2022-11-07T03:01:23,0,100,0,100
2022-11-07T03:10:37,0,100,0,100
2022-11-07T03:19:52,0,100,0,100
2022-11-07T03:29:07,0,100,0,100
2022-11-07T03:38:23,0,100,0,100
2022-11-07T03:47:39,0,100,0,100
2022-11-07T03:56:56,0,100,0,100
2022-11-07T04:06:13,0,100,0,100
2022-11-07T04:23:23,0,100,0,100
2022-11-07T04:33:02,0,100,0,100
2022-11-07T04:42:19,0,100,0,100
2022-11-07T04:51:36,0,100,0,100
2022-11-07T05:00:51,0,100,0,100
2022-11-07T05:10:07,0,100,0,100
2022-11-07T05:19:21,0,100,0,100
2022-11-07T05:28:35,0,100,0,100
2022-11-07T05:37:48,0,100,0,100
2022-11-07T05:47:03,0,100,0,100
2022-11-07T05:56:19,0,100,0,100
2022-11-07T06:05:36,0,100,0,100
2022-11-07T06:14:53,0,100,0,100
2022-11-07T06:24:11,0,100,0,100
2022-11-07T06:33:28,0,100,0,100
2022-11-07T06:42:45,0,100,0,100
2022-11-07T06:52:01,0,100,0,100
2022-11-07T07:01:17,0,100,0,100
2022-11-07T07:10:34,0,100,0,100
2022-11-07T07:19:51,0,100,0,100
2022-11-07T07:29:09,0,100,0,100
2022-11-07T07:38:26,0,100,0,100
2022-11-07T07:47:43,0,100,0,100
2022-11-07T07:57:04,0,100,0,100
2022-11-07T08:06:23,0,100,0,100
2022-11-07T08:15:42,0,100,0,100
2022-11-07T08:25:00,0,100,0,100
2022-11-07T08:34:28,0,100,0,100
2022-11-07T08:43:47,0,100,0,100
2022-11-07T08:53:03,0,100,0,100
2022-11-07T09:02:21,0,100,0,100
2022-11-07T09:11:41,0,100,0,100
2022-11-07T09:21:03,0,100,0,100
2022-11-07T09:30:22,0,100,0,100
2022-11-07T09:39:41,0,100,0,100
2022-11-07T09:49:19,0,100,0,100
2022-11-07T09:58:37,0,100,0,100
2022-11-07T10:07:56,0,100,0,100
2022-11-07T10:17:15,0,100,0,100
2022-11-07T10:26:34,0,100,0,100
2022-11-07T10:35:54,0,100,0,100
2022-11-07T10:45:26,0,100,0,100
2022-11-07T10:54:45,0,100,0,100
2022-11-07T11:04:05,0,100,0,100
2022-11-07T11:13:26,0,100,0,100
2022-11-07T11:22:47,0,100,0,100
2022-11-07T11:32:18,0,100,0,100
2022-11-07T11:41:38,0,100,0,100
2022-11-07T11:50:56,0,100,0,100
2022-11-07T12:00:13,0,100,0,100
2022-11-07T12:09:43,0,100,0,100
2022-11-07T12:19:02,0,100,0,100
2022-11-07T12:28:22,0,100,0,100
2022-11-07T12:37:42,0,100,0,100
2022-11-07T12:47:12,0,100,0,100
2022-11-07T12:56:32,0,100,0,100
2022-11-07T13:05:53,0,100,0,100
2022-11-07T13:15:14,0,100,0,100
2022-11-07T13:24:45,0,100,0,100
2022-11-07T13:34:06,0,100,0,100
2022-11-07T13:43:27,0,100,0,100
2022-11-07T13:52:58,1,99,0,100
2022-11-07T14:02:19,1,99,0,100
2022-11-07T14:11:38,1,99,0,100
2022-11-07T14:20:58,1,99,0,100
2022-11-07T14:30:29,1,99,0,100
2022-11-07T14:39:48,1,99,0,100
2022-11-07T14:49:07,1,99,0,100
2022-11-07T14:58:25,1,99,0,100
2022-11-07T15:07:44,1,99,0,100
2022-11-07T15:17:15,1,99,0,100
2022-11-07T15:26:35,1,99,0,100
2022-11-07T15:35:53,1,99,0,100
2022-11-07T15:45:11,1,99,0,100
2022-11-07T15:54:40,1,99,0,100
2022-11-07T16:03:58,1,99,0,100
2022-11-07T16:13:16,1,99,0,100
2022-11-07T16:22:34,1,99,0,100
2022-11-07T16:32:03,1,99,0,100
2022-11-07T16:41:21,1,99,0,100
2022-11-07T16:50:39,1,99,0,100
2022-11-07T16:59:57,1,99,0,100
2022-11-07T17:09:16,1,99,0,100
2022-11-07T17:18:50,3,97,0,100
2022-11-07T17:28:07,3,97,0,100
2022-11-07T17:37:25,3,97,0,100
2022-11-07T17:46:43,3,97,0,100
2022-11-07T17:56:00,3,97,0,100
2022-11-07T18:05:32,3,97,0,100
2022-11-07T18:14:49,3,97,0,100
2022-11-07T18:24:06,3,97,0,100
2022-11-07T18:33:24,3,97,0,100
2022-11-07T18:42:51,3,97,0,100
2022-11-07T18:52:08,3,97,0,100
2022-11-07T19:01:25,3,97,0,100
2022-11-07T19:10:43,3,97,0,100
2022-11-07T19:20:09,3,97,0,100
2022-11-07T19:29:28,3,97,0,100
2022-11-07T19:38:47,3,97,0,100
2022-11-07T19:48:05,4,96,0,100
2022-11-07T19:57:23,4,96,0,100
2022-11-07T20:06:51,4,96,0,100
2022-11-07T20:16:10,4,96,0,100
2022-11-07T20:25:27,4,96,0,100
2022-11-07T20:34:44,4,96,0,100
2022-11-07T20:44:02,4,96,0,100
2022-11-07T20:53:21,4,96,0,100
2022-11-07T21:02:48,4,96,0,100
2022-11-07T21:12:05,4,96,0,100
2022-11-07T21:21:20,4,96,0,100
2022-11-07T21:30:40,4,96,0,100
2022-11-07T21:39:55,4,96,0,100
2022-11-07T21:49:10,4,96,0,100
2022-11-07T21:58:37,4,96,0,100
2022-11-07T22:07:55,4,96,0,100
2022-11-07T22:17:11,4,96,0,100
2022-11-07T22:26:28,4,96,0,100
2022-11-07T22:35:43,4,96,0,100
2022-11-07T22:45:00,4,96,0,100
2022-11-07T22:54:14,4,96,0,100
2022-11-07T23:03:43,4,96,0,100
2022-11-07T23:12:59,4,96,0,100
2022-11-07T23:22:14,4,96,0,100
2022-11-07T23:31:30,4,96,0,100
2022-11-07T23:40:46,4,96,0,100
2022-11-07T23:50:02,4,96,0,100
2022-11-07T23:59:17,4,96,0,100
2022-11-08T00:08:45,4,96,0,100
2022-11-08T00:18:07,4,96,0,100
2022-11-08T00:27:24,4,96,0,100
2022-11-08T00:36:40,4,96,0,100
2022-11-08T00:45:58,4,96,0,100
2022-11-08T00:55:15,4,96,0,100
2022-11-08T01:04:33,4,96,0,100
2022-11-08T01:13:51,4,96,0,100
2022-11-08T01:23:08,4,96,0,100
2022-11-08T01:32:27,4,96,0,100
2022-11-08T01:41:44,4,96,0,100
2022-11-08T01:51:12,4,96,0,100
2022-11-08T02:00:31,4,96,0,100
2022-11-08T02:09:47,4,96,0,100
2022-11-08T02:19:02,4,96,0,100
2022-11-08T02:28:18,4,96,0,100
2022-11-08T02:37:37,4,96,0,100
2022-11-08T02:46:55,4,96,0,100
2022-11-08T02:56:12,4,96,0,100
2022-11-08T03:05:29,4,96,0,100
2022-11-08T03:14:46,4,96,0,100
2022-11-08T03:24:01,4,96,0,100
2022-11-08T03:33:16,4,96,0,100
2022-11-08T03:42:44,4,96,0,100
2022-11-08T03:52:00,4,96,0,100
2022-11-08T04:03:01,4,96,0,100
2022-11-08T04:18:30,4,96,0,100
2022-11-08T04:28:13,4,96,0,100
2022-11-08T04:37:32,4,96,0,100
2022-11-08T04:46:51,4,96,0,100
2022-11-08T04:56:09,4,96,0,100
2022-11-08T05:05:27,4,96,0,100
2022-11-08T05:14:43,4,96,0,100
2022-11-08T05:24:00,4,96,0,100
2022-11-08T05:33:17,4,96,0,100
2022-11-08T05:42:35,4,96,0,100
2022-11-08T05:51:55,4,96,0,100
2022-11-08T06:01:13,4,96,0,100
2022-11-08T06:10:30,4,96,0,100
2022-11-08T06:19:46,4,96,0,100
2022-11-08T06:29:03,4,96,0,100
2022-11-08T06:38:19,4,96,0,100
2022-11-08T06:47:37,4,96,0,100
2022-11-08T06:56:54,4,96,0,100
2022-11-08T07:06:22,4,96,0,100
2022-11-08T07:15:41,4,96,0,100
2022-11-08T07:24:59,4,96,0,100
2022-11-08T07:34:18,4,96,0,100
2022-11-08T07:43:37,4,96,0,100
2022-11-08T07:52:56,4,96,0,100
2022-11-08T08:02:15,4,96,0,100
2022-11-08T08:11:34,4,96,0,100
2022-11-08T08:20:54,4,96,0,100
2022-11-08T08:30:12,4,96,0,100
2022-11-08T08:39:31,5,95,0,100
2022-11-08T08:48:49,5,95,0,100
2022-11-08T08:58:08,5,95,0,100
2022-11-08T09:07:27,5,95,0,100
2022-11-08T09:52:07,6,94,0,100
2022-11-08T10:03:21,6,94,0,100
2022-11-08T10:11:45,6,94,0,100
2022-11-08T10:21:05,6,94,0,100
2022-11-08T10:30:14,6,94,0,100
2022-11-08T10:39:24,6,94,0,100
2022-11-08T10:48:33,6,94,0,100
2022-11-08T10:57:43,6,94,0,100
2022-11-08T11:07:04,6,94,0,100
2022-11-08T11:16:15,7,93,0,100
2022-11-08T11:25:26,7,93,0,100
2022-11-08T11:34:36,7,93,0,100
2022-11-08T11:43:59,7,93,0,100
2022-11-08T11:53:08,7,93,0,100
2022-11-08T12:02:18,7,93,0,100
2022-11-08T12:11:28,7,93,0,100
2022-11-08T12:20:36,7,93,0,100
2022-11-08T12:29:58,7,93,0,100
2022-11-08T12:39:08,7,93,0,100
2022-11-08T12:48:18,7,93,0,100
2022-11-08T12:57:38,7,93,0,100
2022-11-08T13:06:50,7,93,0,100
2022-11-08T13:16:03,7,93,0,100
2022-11-08T13:25:15,7,93,0,100
2022-11-08T13:34:37,7,93,0,100
2022-11-08T13:43:49,7,93,0,100
2022-11-08T13:53:02,7,93,0,100
2022-11-08T14:02:14,7,93,0,100
2022-11-08T14:11:29,7,93,0,100
2022-11-08T14:20:53,7,93,0,100
2022-11-08T14:30:04,7,93,0,100
2022-11-08T14:39:14,7,93,0,100
2022-11-08T14:48:24,7,93,0,100
2022-11-08T14:57:47,7,93,0,100
2022-11-08T15:06:58,7,93,0,100
2022-11-08T15:16:08,7,93,0,100
2022-11-08T15:25:19,7,93,0,100
2022-11-08T15:39:42,7,93,0,100
2022-11-08T15:48:54,7,93,0,100
2022-11-08T15:58:07,7,93,0,100
2022-11-08T16:07:36,7,93,0,100
2022-11-08T16:16:49,7,93,0,100
2022-11-08T16:25:59,7,93,0,100
2022-11-08T16:35:08,7,93,0,100
2022-11-08T16:44:16,7,93,0,100
2022-11-08T16:53:35,8,92,0,100
2022-11-08T17:02:45,8,92,0,100
2022-11-08T17:11:54,8,92,0,100
2022-11-08T17:21:03,8,92,0,100
2022-11-08T17:30:23,8,92,0,100
2022-11-08T17:39:31,8,92,0,100
2022-11-08T17:48:40,8,92,0,100
2022-11-08T17:57:49,8,92,0,100
2022-11-08T18:07:01,8,92,0,100
2022-11-08T18:16:23,8,92,0,100
2022-11-08T18:25:32,8,92,0,100
2022-11-08T18:34:42,8,92,0,100
2022-11-08T18:43:50,9,91,0,100
2022-11-08T18:52:59,9,91,0,100
2022-11-08T19:02:17,9,91,0,100
2022-11-08T19:11:25,9,91,0,100
2022-11-08T19:20:32,9,91,0,100
2022-11-08T19:29:40,9,91,0,100
2022-11-08T19:38:59,9,91,0,100
2022-11-08T19:48:07,9,91,0,100
2022-11-08T19:57:15,9,91,0,100
2022-11-08T20:06:24,9,91,0,100
2022-11-08T20:15:34,9,91,0,100
2022-11-08T20:24:42,9,91,0,100
2022-11-08T20:33:51,9,91,0,100
2022-11-08T20:43:08,9,91,0,100
2022-11-08T20:52:15,9,91,0,100
2022-11-08T21:01:23,9,91,0,100
2022-11-08T21:10:30,9,91,0,100
2022-11-08T21:19:37,9,91,0,100
2022-11-08T21:28:44,9,91,0,100
2022-11-08T21:38:01,9,91,0,100
2022-11-08T21:47:07,9,91,0,100
2022-11-08T21:56:12,9,91,0,100
2022-11-08T22:05:19,9,91,0,100
2022-11-08T22:14:25,9,91,0,100
2022-11-08T22:23:31,9,91,0,100
2022-11-08T22:32:48,9,91,0,100
2022-11-08T22:41:54,9,91,0,100
2022-11-08T22:50:59,9,91,0,100
2022-11-08T23:00:05,9,91,0,100
2022-11-08T23:09:12,9,91,0,100
2022-11-08T23:18:18,9,91,0,100
2022-11-08T23:27:24,9,91,0,100
2022-11-08T23:36:42,9,91,0,100
2022-11-08T23:45:48,9,91,0,100
2022-11-08T23:54:53,9,91,0,100
2022-11-09T00:04:00,9,91,0,100
2022-11-09T00:13:08,9,91,0,100
2022-11-09T00:22:15,9,91,0,100
2022-11-09T00:31:21,9,91,0,100
2022-11-09T00:40:41,9,91,0,100
