time,enrolled,available,waitlisted,total
2022-11-05T20:11:32,0,30,0,30
2022-11-05T20:20:49,0,30,0,30
2022-11-05T20:30:07,0,30,0,30
2022-11-05T20:39:34,0,30,0,30
2022-11-05T20:48:50,0,30,0,30
2022-11-05T20:58:06,0,30,0,30
2022-11-05T21:07:22,0,30,0,30
2022-11-05T21:16:37,0,30,0,30
2022-11-05T21:25:52,0,30,0,30
2022-11-05T21:35:08,0,30,0,30
2022-11-05T21:44:24,0,30,0,30
2022-11-05T21:53:40,0,30,0,30
2022-11-05T22:02:54,0,30,0,30
2022-11-05T22:12:10,0,30,0,30
2022-11-05T22:21:25,0,30,0,30
2022-11-05T22:30:40,0,30,0,30
2022-11-05T22:39:58,0,30,0,30
2022-11-05T22:49:14,0,30,0,30
2022-11-05T22:58:30,0,30,0,30
2022-11-05T23:07:46,0,30,0,30
2022-11-05T23:17:02,0,30,0,30
2022-11-05T23:26:19,0,30,0,30
2022-11-05T23:35:37,0,30,0,30
2022-11-05T23:44:53,0,30,0,30
2022-11-05T23:54:09,0,30,0,30
2022-11-06T00:03:24,0,30,0,30
2022-11-06T00:12:50,0,30,0,30
2022-11-06T00:22:06,0,30,0,30
2022-11-06T00:31:22,0,30,0,30
2022-11-06T00:40:37,0,30,0,30
2022-11-06T00:49:53,0,30,0,30
2022-11-06T00:59:08,0,30,0,30
2022-11-06T01:08:23,0,30,0,30
2022-11-06T01:17:38,0,30,0,30
2022-11-06T01:26:54,0,30,0,30
2022-11-06T01:36:10,0,30,0,30
2022-11-06T01:45:26,0,30,0,30
2022-11-06T01:54:42,0,30,0,30
2022-11-06T01:03:58,0,30,0,30
2022-11-06T01:13:15,0,30,0,30
2022-11-06T01:22:31,0,30,0,30
2022-11-06T01:31:47,0,30,0,30
2022-11-06T01:41:02,0,30,0,30
2022-11-06T01:50:19,0,30,0,30
2022-11-06T01:59:39,0,30,0,30
2022-11-06T02:08:57,0,30,0,30
2022-11-06T02:18:16,0,30,0,30
2022-11-06T02:27:36,0,30,0,30
2022-11-06T02:36:56,0,30,0,30
2022-11-06T02:46:15,0,30,0,30
2022-11-06T02:55:34,0,30,0,30
2022-11-06T03:04:52,0,30,0,30
2022-11-06T03:14:10,0,30,0,30
2022-11-06T03:23:26,0,30,0,30
2022-11-06T03:32:44,0,30,0,30
2022-11-06T03:42:04,0,30,0,30
2022-11-06T03:51:23,0,30,0,30
2022-11-06T04:00:43,0,30,0,30
2022-11-06T04:16:01,0,30,0,30
2022-11-06T04:25:22,0,30,0,30
2022-11-06T04:34:41,0,30,0,30
2022-11-06T04:44:38,0,30,0,30
2022-11-06T04:54:43,0,30,0,30
2022-11-06T05:04:01,0,30,0,30
2022-11-06T05:13:18,0,30,0,30
2022-11-06T05:22:35,0,30,0,30
2022-11-06T05:31:52,0,30,0,30
2022-11-06T05:41:07,0,30,0,30
2022-11-06T05:50:23,0,30,0,30
2022-11-06T05:59:41,0,30,0,30
2022-11-06T06:09:00,0,30,0,30
2022-11-06T06:18:19,0,30,0,30
2022-11-06T06:27:36,0,30,0,30
2022-11-06T06:36:53,0,30,0,30
2022-11-06T06:46:09,0,30,0,30
2022-11-06T06:55:24,0,30,0,30
2022-11-06T07:04:41,0,30,0,30
2022-11-06T07:13:59,0,30,0,30
2022-11-06T07:23:16,0,30,0,30
2022-11-06T07:32:34,0,30,0,30
2022-11-06T07:41:52,0,30,0,30
2022-11-06T07:51:11,0,30,0,30
2022-11-06T08:00:27,0,30,0,30
2022-11-06T08:09:43,0,30,0,30
2022-11-06T08:19:01,0,30,0,30
2022-11-06T08:28:18,0,30,0,30
2022-11-06T08:37:34,0,30,0,30
2022-11-06T08:46:51,0,30,0,30
2022-11-06T08:56:09,0,30,0,30
2022-11-06T09:05:24,0,30,0,30
2022-11-06T09:14:39,0,30,0,30
2022-11-06T09:23:54,0,30,0,30
2022-11-06T09:33:07,0,30,0,30
2022-11-06T09:42:21,0,30,0,30
2022-11-06T09:51:35,0,30,0,30
2022-11-06T10:00:49,0,30,0,30
2022-11-06T10:10:02,0,30,0,30
2022-11-06T10:19:16,0,30,0,30
2022-11-06T10:28:29,0,30,0,30
2022-11-06T10:37:46,0,30,0,30
2022-11-06T10:47:01,0,30,0,30
2022-11-06T10:56:16,0,30,0,30
2022-11-06T11:05:31,0,30,0,30
2022-11-06T11:14:46,0,30,0,30
2022-11-06T11:24:03,0,30,0,30
2022-11-06T11:33:25,0,30,0,30
2022-11-06T11:42:41,0,30,0,30
2022-11-06T11:51:55,0,30,0,30
2022-11-06T12:01:09,0,30,0,30
2022-11-06T12:10:24,0,30,0,30
2022-11-06T12:19:39,0,30,0,30
2022-11-06T12:29:05,0,30,0,30
2022-11-06T12:38:18,0,30,0,30
2022-11-06T12:47:34,0,30,0,30
2022-11-06T12:56:48,0,30,0,30
2022-11-06T13:06:02,0,30,0,30
2022-11-06T13:15:17,0,30,0,30
2022-11-06T13:24:33,0,30,0,30
2022-11-06T13:33:47,0,30,0,30
2022-11-06T13:43:01,0,30,0,30
2022-11-06T13:52:14,0,30,0,30
2022-11-06T14:01:30,0,30,0,30
2022-11-06T14:10:45,0,30,0,30
2022-11-06T14:20:08,0,30,0,30
2022-11-06T14:29:22,0,30,0,30
2022-11-06T14:38:36,0,30,0,30
2022-11-06T14:47:53,0,30,0,30
2022-11-06T14:57:07,0,30,0,30
2022-11-06T15:06:20,0,30,0,30
2022-11-06T15:15:34,0,30,0,30
2022-11-06T15:24:48,0,30,0,30
2022-11-06T15:34:01,0,30,0,30
2022-11-06T15:43:16,0,30,0,30
2022-11-06T15:52:28,0,30,0,30
2022-11-06T16:01:41,0,30,0,30
2022-11-06T16:11:04,0,30,0,30
2022-11-06T16:20:18,0,30,0,30
2022-11-06T16:29:35,0,30,0,30
2022-11-06T16:38:51,0,30,0,30
2022-11-06T16:48:06,0,30,0,30
2022-11-06T16:57:21,0,30,0,30
2022-11-06T17:06:35,0,30,0,30
2022-11-06T17:15:50,0,30,0,30
2022-11-06T17:25:05,0,30,0,30
2022-11-06T17:34:20,0,30,0,30
2022-11-06T17:43:46,0,30,0,30
2022-11-06T17:53:00,0,30,0,30
2022-11-06T18:02:15,0,30,0,30
2022-11-06T18:11:30,0,30,0,30
2022-11-06T18:20:46,0,30,0,30
2022-11-06T18:30:00,0,30,0,30
2022-11-06T18:39:13,0,30,0,30
2022-11-06T18:48:27,0,30,0,30
2022-11-06T18:57:42,0,30,0,30
2022-11-06T19:07:07,0,30,0,30
2022-11-06T19:16:21,0,30,0,30
2022-11-06T19:25:35,0,30,0,30
2022-11-06T19:34:50,0,30,0,30
2022-11-06T19:44:03,0,30,0,30
2022-11-06T19:53:17,0,30,0,30
2022-11-06T20:02:31,0,30,0,30
2022-11-06T20:11:45,0,30,0,30
2022-11-06T20:20:59,0,30,0,30
2022-11-06T20:30:14,0,30,0,30
2022-11-06T20:39:37,0,30,0,30
2022-11-06T20:48:52,0,30,0,30
2022-11-06T20:58:05,0,30,0,30
2022-11-06T21:07:20,0,30,0,30
2022-11-06T21:16:33,0,30,0,30
2022-11-06T21:25:46,0,30,0,30
2022-11-06T21:34:59,0,30,0,30
2022-11-06T21:44:15,0,30,0,30
2022-11-06T21:53:38,0,30,0,30
2022-11-06T22:02:54,0,30,0,30
2022-11-06T22:12:08,0,30,0,30
2022-11-06T22:21:24,0,30,0,30
2022-11-06T22:30:39,0,30,0,30
2022-11-06T22:39:54,0,30,0,30
2022-11-06T22:49:07,0,30,0,30
2022-11-06T22:58:23,0,30,0,30
2022-11-06T23:07:49,0,30,0,30
2022-11-06T23:17:03,0,30,0,30
2022-11-06T23:26:20,0,30,0,30
2022-11-06T23:35:35,0,30,0,30
2022-11-06T23:44:51,0,30,0,30
2022-11-06T23:54:06,0,30,0,30
2022-11-07T00:05:05,0,30,0,30
2022-11-07T00:14:28,0,30,0,30
2022-11-07T00:23:56,0,30,0,30
2022-11-07T00:33:13,0,30,0,30
2022-11-07T00:42:29,0,30,0,30
2022-11-07T00:51:43,0,30,0,30
2022-11-07T01:00:57,0,30,0,30
2022-11-07T01:10:18,0,30,0,30
2022-11-07T01:19:35,0,30,0,30
2022-11-07T01:28:50,0,30,0,30
2022-11-07T01:38:05,0,30,0,30
2022-11-07T01:47:30,0,30,0,30
2022-11-07T01:56:44,0,30,0,30
2022-11-07T02:05:58,0,30,0,30
2022-11-07T02:15:13,0,30,0,30
2022-11-07T02:24:29,0,30,0,30
2022-11-07T02:33:42,0,30,0,30
2022-11-07T02:42:57,0,30,0,30
2022-11-07T02:52:11,0,30,0,30
2022-11-07T03:01:26,0,30,0,30
2022-11-07T03:10:40,0,30,0,30
2022-11-07T03:19:55,0,30,0,30
2022-11-07T03:29:10,0,30,0,30
2022-11-07T03:38:26,0,30,0,30
2022-11-07T03:47:42,0,30,0,30
2022-11-07T03:56:59,0,30,0,30
2022-11-07T04:06:16,0,30,0,30
2022-11-07T04:23:26,0,30,0,30
2022-11-07T04:33:05,0,30,0,30
2022-11-07T04:42:22,0,30,0,30
2022-11-07T04:51:39,0,30,0,30
2022-11-07T05:00:54,0,30,0,30
2022-11-07T05:10:10,0,30,0,30
2022-11-07T05:19:24,0,30,0,30
2022-11-07T05:28:38,0,30,0,30
2022-11-07T05:37:51,0,30,0,30
2022-11-07T05:47:06,0,30,0,30
2022-11-07T05:56:22,0,30,0,30
2022-11-07T06:05:39,0,30,0,30
2022-11-07T06:14:56,0,30,0,30
2022-11-07T06:24:14,0,30,0,30
2022-11-07T06:33:31,0,30,0,30
2022-11-07T06:42:48,0,30,0,30
2022-11-07T06:52:04,0,30,0,30
2022-11-07T07:01:20,0,30,0,30
2022-11-07T07:10:37,0,30,0,30
2022-11-07T07:19:54,0,30,0,30
2022-11-07T07:29:12,0,30,0,30
2022-11-07T07:38:29,0,30,0,30
2022-11-07T07:47:46,0,30,0,30
2022-11-07T07:57:07,0,30,0,30
2022-11-07T08:06:26,0,30,0,30
2022-11-07T08:15:45,0,30,0,30
2022-11-07T08:25:03,0,30,0,30
2022-11-07T08:34:31,0,30,0,30
2022-11-07T08:43:50,0,30,0,30
2022-11-07T08:53:06,0,30,0,30
2022-11-07T09:02:24,0,30,0,30
2022-11-07T09:11:44,0,30,0,30
2022-11-07T09:21:06,0,30,0,30
2022-11-07T09:30:25,0,30,0,30
2022-11-07T09:39:44,0,30,0,30
2022-11-07T09:49:22,0,30,0,30
2022-11-07T09:58:40,0,30,0,30
2022-11-07T10:07:59,0,30,0,30
2022-11-07T10:17:18,0,30,0,30
2022-11-07T10:26:37,0,30,0,30
2022-11-07T10:35:57,0,30,0,30
2022-11-07T10:45:29,0,30,0,30
2022-11-07T10:54:48,0,30,0,30
2022-11-07T11:04:08,0,30,0,30
2022-11-07T11:13:29,0,30,0,30
2022-11-07T11:22:50,0,30,0,30
2022-11-07T11:32:21,0,30,0,30
2022-11-07T11:41:41,0,30,0,30
2022-11-07T11:50:59,0,30,0,30
2022-11-07T12:00:17,0,30,0,30
2022-11-07T12:09:46,0,30,0,30
2022-11-07T12:19:05,0,30,0,30
2022-11-07T12:28:26,0,30,0,30
2022-11-07T12:37:45,0,30,0,30
2022-11-07T12:47:15,0,30,0,30
2022-11-07T12:56:35,0,30,0,30
2022-11-07T13:05:56,0,30,0,30
2022-11-07T13:15:17,0,30,0,30
2022-11-07T13:24:48,0,30,0,30
2022-11-07T13:34:09,0,30,0,30
2022-11-07T13:43:30,0,30,0,30
2022-11-07T13:53:02,0,30,0,30
2022-11-07T14:02:22,0,30,0,30
2022-11-07T14:11:41,0,30,0,30
2022-11-07T14:21:01,0,30,0,30
2022-11-07T14:30:32,0,30,0,30
2022-11-07T14:39:51,0,30,0,30
2022-11-07T14:49:10,0,30,0,30
2022-11-07T14:58:28,0,30,0,30
2022-11-07T15:07:47,0,30,0,30
2022-11-07T15:17:18,0,30,0,30
2022-11-07T15:26:38,0,30,0,30
2022-11-07T15:35:56,0,30,0,30
2022-11-07T15:45:14,0,30,0,30
2022-11-07T15:54:43,0,30,0,30
2022-11-07T16:04:01,0,30,0,30
2022-11-07T16:13:19,0,30,0,30
2022-11-07T16:22:37,0,30,0,30
2022-11-07T16:32:06,0,30,0,30
2022-11-07T16:41:24,0,30,0,30
2022-11-07T16:50:42,0,30,0,30
2022-11-07T17:00:00,0,30,0,30
2022-11-07T17:09:19,0,30,0,30
2022-11-07T17:18:53,0,30,0,30
2022-11-07T17:28:10,0,30,0,30
2022-11-07T17:37:28,0,30,0,30
2022-11-07T17:46:46,0,30,0,30
2022-11-07T17:56:03,0,30,0,30
2022-11-07T18:05:35,0,30,0,30
2022-11-07T18:14:52,0,30,0,30
2022-11-07T18:24:09,0,30,0,30
2022-11-07T18:33:27,0,30,0,30
2022-11-07T18:42:54,0,30,0,30
2022-11-07T18:52:11,0,30,0,30
2022-11-07T19:01:28,0,30,0,30
2022-11-07T19:10:46,0,30,0,30
2022-11-07T19:20:12,0,30,0,30
2022-11-07T19:29:31,0,30,0,30
2022-11-07T19:38:50,0,30,0,30
2022-11-07T19:48:08,0,30,0,30
2022-11-07T19:57:26,0,30,0,30
2022-11-07T20:06:55,0,30,0,30
2022-11-07T20:16:13,0,30,0,30
2022-11-07T20:25:30,0,30,0,30
2022-11-07T20:34:47,0,30,0,30
2022-11-07T20:44:06,0,30,0,30
2022-11-07T20:53:24,0,30,0,30
2022-11-07T21:02:51,0,30,0,30
2022-11-07T21:12:08,0,30,0,30
2022-11-07T21:21:23,0,30,0,30
2022-11-07T21:30:43,0,30,0,30
2022-11-07T21:39:58,0,30,0,30
2022-11-07T21:49:13,0,30,0,30
2022-11-07T21:58:40,0,30,0,30
2022-11-07T22:07:58,0,30,0,30
2022-11-07T22:17:14,0,30,0,30
2022-11-07T22:26:31,0,30,0,30
2022-11-07T22:35:46,0,30,0,30
2022-11-07T22:45:03,0,30,0,30
2022-11-07T22:54:17,0,30,0,30
2022-11-07T23:03:46,0,30,0,30
2022-11-07T23:13:02,0,30,0,30
2022-11-07T23:22:17,0,30,0,30
2022-11-07T23:31:33,0,30,0,30
2022-11-07T23:40:49,0,30,0,30
2022-11-07T23:50:05,0,30,0,30
2022-11-07T23:59:20,0,30,0,30
2022-11-08T00:08:48,0,30,0,30
2022-11-08T00:18:10,0,30,0,30
2022-11-08T00:27:27,0,30,0,30
2022-11-08T00:36:43,0,30,0,30
2022-11-08T00:46:01,0,30,0,30
2022-11-08T00:55:18,0,30,0,30
2022-11-08T01:04:36,0,30,0,30
2022-11-08T01:13:54,0,30,0,30
2022-11-08T01:23:11,0,30,0,30
2022-11-08T01:32:30,0,30,0,30
2022-11-08T01:41:47,0,30,0,30
2022-11-08T01:51:15,0,30,0,30
2022-11-08T02:00:34,0,30,0,30
2022-11-08T02:09:50,0,30,0,30
2022-11-08T02:19:06,0,30,0,30
2022-11-08T02:28:21,0,30,0,30
2022-11-08T02:37:40,0,30,0,30
2022-11-08T02:46:58,0,30,0,30
2022-11-08T02:56:15,0,30,0,30
2022-11-08T03:05:32,0,30,0,30
2022-11-08T03:14:49,0,30,0,30
2022-11-08T03:24:04,0,30,0,30
2022-11-08T03:33:19,0,30,0,30
2022-11-08T03:42:47,0,30,0,30
2022-11-08T03:52:03,0,30,0,30
2022-11-08T04:03:04,0,30,0,30
2022-11-08T04:18:33,0,30,0,30
2022-11-08T04:28:16,0,30,0,30
2022-11-08T04:37:35,0,30,0,30
2022-11-08T04:46:54,0,30,0,30
2022-11-08T04:56:13,0,30,0,30
2022-11-08T05:05:30,0,30,0,30
2022-11-08T05:14:46,0,30,0,30
2022-11-08T05:24:03,0,30,0,30
2022-11-08T05:33:20,0,30,0,30
2022-11-08T05:42:38,0,30,0,30
2022-11-08T05:51:58,0,30,0,30
2022-11-08T06:01:16,0,30,0,30
2022-11-08T06:10:33,0,30,0,30
2022-11-08T06:19:49,0,30,0,30
2022-11-08T06:29:06,0,30,0,30
2022-11-08T06:38:22,0,30,0,30
2022-11-08T06:47:40,0,30,0,30
2022-11-08T06:56:57,0,30,0,30
2022-11-08T07:06:25,0,30,0,30
2022-11-08T07:15:44,0,30,0,30
2022-11-08T07:25:02,0,30,0,30
2022-11-08T07:34:21,0,30,0,30
2022-11-08T07:43:40,0,30,0,30
2022-11-08T07:52:59,0,30,0,30
2022-11-08T08:02:19,0,30,0,30
2022-11-08T08:11:37,0,30,0,30
2022-11-08T08:20:57,0,30,0,30
2022-11-08T08:30:15,0,30,0,30
2022-11-08T08:39:34,0,30,0,30
2022-11-08T08:48:52,0,30,0,30
