time,enrolled,available,waitlisted,total
2022-11-05T20:11:43,0,300,0,300
2022-11-05T20:21:00,0,300,0,300
2022-11-05T20:30:17,0,300,0,300
2022-11-05T20:39:45,0,300,0,300
2022-11-05T20:49:01,0,300,0,300
2022-11-05T20:58:16,0,300,0,300
2022-11-05T21:07:32,0,300,0,300
2022-11-05T21:16:47,0,300,0,300
2022-11-05T21:26:03,0,300,0,300
2022-11-05T21:35:18,0,300,0,300
2022-11-05T21:44:35,0,300,0,300
2022-11-05T21:53:50,0,300,0,300
2022-11-05T22:03:05,0,300,0,300
2022-11-05T22:12:20,0,300,0,300
2022-11-05T22:21:36,0,300,0,300
2022-11-05T22:30:51,0,300,0,300
2022-11-05T22:40:09,0,300,0,300
2022-11-05T22:49:25,0,300,0,300
2022-11-05T22:58:40,0,300,0,300
2022-11-05T23:07:57,0,300,0,300
2022-11-05T23:17:13,0,300,0,300
2022-11-05T23:26:29,0,300,0,300
2022-11-05T23:35:47,0,300,0,300
2022-11-05T23:45:03,0,300,0,300
2022-11-05T23:54:20,0,300,0,300
2022-11-06T00:03:34,0,300,0,300
2022-11-06T00:13:01,0,300,0,300
2022-11-06T00:22:16,0,300,0,300
2022-11-06T00:31:32,0,300,0,300
2022-11-06T00:40:48,0,300,0,300
2022-11-06T00:50:03,0,300,0,300
2022-11-06T00:59:18,0,300,0,300
2022-11-06T01:08:33,0,300,0,300
2022-11-06T01:17:48,0,300,0,300
2022-11-06T01:27:05,0,300,0,300
2022-11-06T01:36:21,0,300,0,300
2022-11-06T01:45:37,0,300,0,300
2022-11-06T01:54:52,0,300,0,300
2022-11-06T01:04:09,0,300,0,300
2022-11-06T01:13:26,0,300,0,300
2022-11-06T01:22:41,0,300,0,300
2022-11-06T01:31:58,0,300,0,300
2022-11-06T01:41:12,0,300,0,300
2022-11-06T01:50:30,0,300,0,300
2022-11-06T01:59:49,0,300,0,300
2022-11-06T02:09:07,0,300,0,300
2022-11-06T02:18:26,0,300,0,300
2022-11-06T02:27:47,0,300,0,300
2022-11-06T02:37:07,0,300,0,300
2022-11-06T02:46:25,0,300,0,300
2022-11-06T02:55:44,0,300,0,300
2022-11-06T03:05:03,0,300,0,300
2022-11-06T03:14:20,0,300,0,300
2022-11-06T03:23:37,0,300,0,300
2022-11-06T03:32:55,0,300,0,300
2022-11-06T03:42:14,0,300,0,300
2022-11-06T03:51:34,0,300,0,300
2022-11-06T04:00:53,0,300,0,300
2022-11-06T04:16:11,0,300,0,300
2022-11-06T04:25:32,0,300,0,300
2022-11-06T04:34:51,0,300,0,300
2022-11-06T04:44:58,0,300,0,300
2022-11-06T04:54:54,0,300,0,300
2022-11-06T05:04:12,0,300,0,300
2022-11-06T05:13:29,0,300,0,300
2022-11-06T05:22:46,0,300,0,300
2022-11-06T05:32:02,0,300,0,300
2022-11-06T05:41:18,0,300,0,300
2022-11-06T05:50:34,0,300,0,300
2022-11-06T05:59:52,0,300,0,300
2022-11-06T06:09:11,0,300,0,300
2022-11-06T06:18:29,0,300,0,300
2022-11-06T06:27:46,0,300,0,300
2022-11-06T06:37:03,0,300,0,300
2022-11-06T06:46:19,0,300,0,300
