time,enrolled,available,waitlisted,total
2022-11-05T20:11:45,0,432,0,432
2022-11-05T20:21:02,0,432,0,432
2022-11-05T20:30:19,0,432,0,432
2022-11-05T20:39:47,0,432,0,432
2022-11-05T20:49:03,0,432,0,432
2022-11-05T20:58:19,0,432,0,432
2022-11-05T21:07:34,0,432,0,432
2022-11-05T21:16:49,0,432,0,432
2022-11-05T21:26:05,0,432,0,432
2022-11-05T21:35:20,0,432,0,432
2022-11-05T21:44:37,0,432,0,432
2022-11-05T21:53:52,0,432,0,432
2022-11-05T22:03:07,0,432,0,432
2022-11-05T22:12:22,0,432,0,432
2022-11-05T22:21:38,0,432,0,432
2022-11-05T22:30:53,0,432,0,432
2022-11-05T22:40:11,0,432,0,432
2022-11-05T22:49:27,0,432,0,432
2022-11-05T22:58:42,0,432,0,432
2022-11-05T23:07:59,0,432,0,432
2022-11-05T23:17:15,0,432,0,432
2022-11-05T23:26:31,0,432,0,432
2022-11-05T23:35:49,0,432,0,432
2022-11-05T23:45:05,0,432,0,432
2022-11-05T23:54:22,0,432,0,432
2022-11-06T00:03:37,0,432,0,432
2022-11-06T00:13:03,0,432,0,432
2022-11-06T00:22:18,0,432,0,432
2022-11-06T00:31:34,0,432,0,432
2022-11-06T00:40:50,0,432,0,432
2022-11-06T00:50:05,0,432,0,432
2022-11-06T00:59:20,0,432,0,432
2022-11-06T01:08:36,0,432,0,432
2022-11-06T01:17:51,0,432,0,432
2022-11-06T01:27:07,0,432,0,432
2022-11-06T01:36:23,0,432,0,432
2022-11-06T01:45:39,0,432,0,432
2022-11-06T01:54:55,0,432,0,432
2022-11-06T01:04:11,0,432,0,432
2022-11-06T01:13:28,0,432,0,432
2022-11-06T01:22:43,0,432,0,432
2022-11-06T01:32:00,0,432,0,432
2022-11-06T01:41:14,0,432,0,432
2022-11-06T01:50:32,0,432,0,432
2022-11-06T01:59:51,0,432,0,432
2022-11-06T02:09:10,0,432,0,432
2022-11-06T02:18:28,0,432,0,432
2022-11-06T02:27:49,0,432,0,432
2022-11-06T02:37:09,0,432,0,432
2022-11-06T02:46:27,0,432,0,432
2022-11-06T02:55:47,0,432,0,432
2022-11-06T03:05:05,0,432,0,432
2022-11-06T03:14:22,0,432,0,432
2022-11-06T03:23:39,0,432,0,432
2022-11-06T03:32:57,0,432,0,432
2022-11-06T03:42:16,0,432,0,432
2022-11-06T03:51:36,0,432,0,432
2022-11-06T04:00:55,0,432,0,432
2022-11-06T04:16:14,0,432,0,432
2022-11-06T04:25:34,0,432,0,432
2022-11-06T04:34:53,0,432,0,432
2022-11-06T04:45:11,0,432,0,432
2022-11-06T04:54:56,0,432,0,432
2022-11-06T05:04:14,0,432,0,432
2022-11-06T05:13:31,0,432,0,432
2022-11-06T05:22:48,0,432,0,432
2022-11-06T05:32:04,0,432,0,432
2022-11-06T05:41:20,0,432,0,432
2022-11-06T05:50:36,0,432,0,432
2022-11-06T05:59:54,0,432,0,432
2022-11-06T06:09:13,0,432,0,432
2022-11-06T06:18:32,0,432,0,432
2022-11-06T06:27:49,0,432,0,432
2022-11-06T06:37:05,0,432,0,432
2022-11-06T06:46:21,0,432,0,432
2022-11-06T06:55:37,0,432,0,432
2022-11-06T07:04:54,0,432,0,432
2022-11-06T07:14:11,0,432,0,432
2022-11-06T07:23:28,0,432,0,432
2022-11-06T07:32:46,0,432,0,432
2022-11-06T07:42:05,0,432,0,432
2022-11-06T07:51:23,0,432,0,432
2022-11-06T08:00:39,0,432,0,432
2022-11-06T08:09:56,0,432,0,432
2022-11-06T08:19:13,0,432,0,432
2022-11-06T08:28:31,0,432,0,432
2022-11-06T08:37:47,0,432,0,432
2022-11-06T08:47:04,0,432,0,432
2022-11-06T08:56:21,0,432,0,432
2022-11-06T09:05:37,0,432,0,432
2022-11-06T09:14:52,0,432,0,432
2022-11-06T09:24:06,0,432,0,432
2022-11-06T09:33:19,0,432,0,432
2022-11-06T09:42:33,0,432,0,432
2022-11-06T09:51:48,0,432,0,432
2022-11-06T10:01:01,0,432,0,432
2022-11-06T10:10:14,0,432,0,432
2022-11-06T10:19:28,0,432,0,432
2022-11-06T10:28:42,0,432,0,432
2022-11-06T10:37:59,0,432,0,432
2022-11-06T10:47:13,0,432,0,432
2022-11-06T10:56:28,0,432,0,432
2022-11-06T11:05:43,0,432,0,432
2022-11-06T11:14:58,0,432,0,432
2022-11-06T11:24:15,0,432,0,432
2022-11-06T11:33:37,0,432,0,432
2022-11-06T11:42:54,0,432,0,432
2022-11-06T11:52:08,0,432,0,432
2022-11-06T12:01:22,0,432,0,432
2022-11-06T12:10:36,0,432,0,432
2022-11-06T12:19:52,0,432,0,432
2022-11-06T12:29:17,0,432,0,432
2022-11-06T12:38:31,0,432,0,432
2022-11-06T12:47:46,0,432,0,432
2022-11-06T12:57:00,0,432,0,432
2022-11-06T13:06:14,0,432,0,432
2022-11-06T13:15:30,0,432,0,432
2022-11-06T13:24:46,0,432,0,432
2022-11-06T13:34:00,0,432,0,432
2022-11-06T13:43:14,0,432,0,432
2022-11-06T13:52:27,0,432,0,432
2022-11-06T14:01:42,0,432,0,432
2022-11-06T14:10:58,0,432,0,432
2022-11-06T14:20:21,0,432,0,432
2022-11-06T14:29:35,0,432,0,432
2022-11-06T14:38:49,0,432,0,432
2022-11-06T14:48:06,0,432,0,432
2022-11-06T14:57:20,0,432,0,432
2022-11-06T15:06:33,0,432,0,432
2022-11-06T15:15:46,0,432,0,432
2022-11-06T15:25:00,0,432,0,432
2022-11-06T15:34:14,0,432,0,432
2022-11-06T15:43:28,0,432,0,432
2022-11-06T15:52:41,0,432,0,432
2022-11-06T16:01:53,0,432,0,432
2022-11-06T16:11:17,0,432,0,432
2022-11-06T16:20:31,0,432,0,432
