time,enrolled,available,waitlisted,total
2022-11-05T20:11:48,0,0,0,0
2022-11-05T20:21:05,0,0,0,0
2022-11-05T20:30:22,0,0,0,0
2022-11-05T20:39:50,0,0,0,0
2022-11-05T20:49:06,0,0,0,0
2022-11-05T20:58:22,0,0,0,0
2022-11-05T21:07:37,0,0,0,0
2022-11-05T21:16:52,0,0,0,0
2022-11-05T21:26:08,0,0,0,0
2022-11-05T21:35:23,0,0,0,0
2022-11-05T21:44:40,0,0,0,0
2022-11-05T21:53:55,0,0,0,0
2022-11-05T22:03:10,0,0,0,0
2022-11-05T22:12:25,0,0,0,0
2022-11-05T22:21:41,0,0,0,0
2022-11-05T22:30:56,0,0,0,0
2022-11-05T22:40:14,0,0,0,0
2022-11-05T22:49:30,0,0,0,0
2022-11-05T22:58:46,0,0,0,0
2022-11-05T23:08:02,0,0,0,0
2022-11-05T23:17:18,0,0,0,0
2022-11-05T23:26:34,0,0,0,0
2022-11-05T23:35:52,0,0,0,0
2022-11-05T23:45:08,0,0,0,0
2022-11-05T23:54:25,0,0,0,0
2022-11-06T00:03:40,0,0,0,0
2022-11-06T00:13:06,0,0,0,0
2022-11-06T00:22:21,0,0,0,0
2022-11-06T00:31:37,0,0,0,0
2022-11-06T00:40:53,0,0,0,0
2022-11-06T00:50:08,0,0,0,0
2022-11-06T00:59:23,0,0,0,0
2022-11-06T01:08:39,0,0,0,0
2022-11-06T01:17:54,0,0,0,0
2022-11-06T01:27:10,0,0,0,0
2022-11-06T01:36:26,0,0,0,0
2022-11-06T01:45:42,0,0,0,0
2022-11-06T01:54:58,0,0,0,0
2022-11-06T01:04:14,0,0,0,0
2022-11-06T01:13:31,0,0,0,0
2022-11-06T01:22:46,0,0,0,0
2022-11-06T01:32:03,0,0,0,0
2022-11-06T01:41:17,0,0,0,0
2022-11-06T01:50:35,0,0,0,0
2022-11-06T01:59:54,0,0,0,0
2022-11-06T02:09:13,0,0,0,0
2022-11-06T02:18:31,0,0,0,0
2022-11-06T02:27:52,0,0,0,0
2022-11-06T02:37:12,0,0,0,0
2022-11-06T02:46:31,0,0,0,0
2022-11-06T02:55:50,0,0,0,0
2022-11-06T03:05:08,0,0,0,0
2022-11-06T03:14:25,0,0,0,0
2022-11-06T03:23:42,0,0,0,0
2022-11-06T03:33:00,0,0,0,0
2022-11-06T03:42:19,0,0,0,0
2022-11-06T03:51:39,0,0,0,0
2022-11-06T04:00:59,0,0,0,0
2022-11-06T04:16:17,0,0,0,0
