time,enrolled,available,waitlisted,total
2022-11-05T20:11:54,0,50,0,50
2022-11-05T20:21:11,0,50,0,50
2022-11-05T20:30:28,0,50,0,50
2022-11-05T20:39:56,0,50,0,50
2022-11-05T20:49:12,0,50,0,50
2022-11-05T20:58:28,0,50,0,50
2022-11-05T21:07:43,0,50,0,50
2022-11-05T21:16:58,0,50,0,50
2022-11-05T21:26:14,0,50,0,50
2022-11-05T21:35:29,0,50,0,50
2022-11-05T21:44:46,0,50,0,50
2022-11-05T21:54:01,0,50,0,50
2022-11-05T22:03:16,0,50,0,50
2022-11-05T22:12:32,0,50,0,50
2022-11-05T22:21:47,0,50,0,50
2022-11-05T22:31:02,0,50,0,50
2022-11-05T22:40:20,0,50,0,50
2022-11-05T22:49:36,0,50,0,50
2022-11-05T22:58:52,0,50,0,50
2022-11-05T23:08:08,0,50,0,50
2022-11-05T23:17:24,0,50,0,50
2022-11-05T23:26:41,0,50,0,50
2022-11-05T23:35:58,0,50,0,50
2022-11-05T23:45:14,0,50,0,50
2022-11-05T23:54:31,0,50,0,50
2022-11-06T00:03:46,0,50,0,50
2022-11-06T00:13:12,0,50,0,50
2022-11-06T00:22:28,0,50,0,50
2022-11-06T00:31:43,0,50,0,50
2022-11-06T00:40:59,0,50,0,50
2022-11-06T00:50:14,0,50,0,50
2022-11-06T00:59:29,0,50,0,50
2022-11-06T01:08:45,0,50,0,50
2022-11-06T01:18:00,0,50,0,50
2022-11-06T01:27:16,0,50,0,50
2022-11-06T01:36:32,0,50,0,50
2022-11-06T01:45:48,0,50,0,50
2022-11-06T01:55:04,0,50,0,50
2022-11-06T01:04:20,0,50,0,50
2022-11-06T01:13:37,0,50,0,50
2022-11-06T01:22:52,0,50,0,50
2022-11-06T01:32:09,0,50,0,50
2022-11-06T01:41:24,0,50,0,50
2022-11-06T01:50:41,0,50,0,50
2022-11-06T02:00:01,0,50,0,50
2022-11-06T02:09:19,0,50,0,50
2022-11-06T02:18:37,0,50,0,50
2022-11-06T02:27:58,0,50,0,50
2022-11-06T02:37:18,0,50,0,50
2022-11-06T02:46:37,0,50,0,50
2022-11-06T02:55:56,0,50,0,50
2022-11-06T03:05:14,0,50,0,50
2022-11-06T03:14:32,0,50,0,50
2022-11-06T03:23:48,0,50,0,50
2022-11-06T03:33:06,0,50,0,50
2022-11-06T03:42:25,0,50,0,50
2022-11-06T03:51:45,0,50,0,50
2022-11-06T04:01:05,0,50,0,50
2022-11-06T04:16:23,0,50,0,50
2022-11-06T04:25:43,0,50,0,50
2022-11-06T04:35:02,0,50,0,50
2022-11-06T04:45:20,0,50,0,50
2022-11-06T04:55:05,0,50,0,50
2022-11-06T05:04:23,0,50,0,50
2022-11-06T05:13:40,0,50,0,50
2022-11-06T05:22:57,0,50,0,50
2022-11-06T05:32:14,0,50,0,50
2022-11-06T05:41:29,0,50,0,50
2022-11-06T05:50:45,0,50,0,50
2022-11-06T06:00:03,0,50,0,50
2022-11-06T06:09:22,0,50,0,50
2022-11-06T06:18:41,0,50,0,50
2022-11-06T06:27:58,0,50,0,50
2022-11-06T06:37:14,0,50,0,50
2022-11-06T06:46:30,0,50,0,50
2022-11-06T06:55:46,0,50,0,50
2022-11-06T07:05:03,0,50,0,50
2022-11-06T07:14:20,0,50,0,50
2022-11-06T07:23:38,0,50,0,50
2022-11-06T07:32:56,0,50,0,50
2022-11-06T07:42:14,0,50,0,50
2022-11-06T07:51:33,0,50,0,50
2022-11-06T08:00:49,0,50,0,50
2022-11-06T08:10:05,0,50,0,50
2022-11-06T08:19:23,0,50,0,50
2022-11-06T08:28:40,0,50,0,50
2022-11-06T08:37:56,0,50,0,50
2022-11-06T08:47:13,0,50,0,50
2022-11-06T08:56:31,0,50,0,50
2022-11-06T09:05:46,0,50,0,50
2022-11-06T09:15:01,0,50,0,50
2022-11-06T09:24:15,0,50,0,50
2022-11-06T09:33:28,0,50,0,50
2022-11-06T09:42:43,0,50,0,50
2022-11-06T09:51:57,0,50,0,50
2022-11-06T10:01:10,0,50,0,50
2022-11-06T10:10:24,0,50,0,50
2022-11-06T10:19:37,0,50,0,50
2022-11-06T10:28:51,0,50,0,50
2022-11-06T10:38:08,0,50,0,50
2022-11-06T10:47:23,0,50,0,50
2022-11-06T10:56:37,0,50,0,50
2022-11-06T11:05:52,0,50,0,50
2022-11-06T11:15:07,0,50,0,50
2022-11-06T11:24:25,0,50,0,50
2022-11-06T11:33:47,0,50,0,50
2022-11-06T11:43:03,0,50,0,50
2022-11-06T11:52:17,0,50,0,50
2022-11-06T12:01:31,0,50,0,50
2022-11-06T12:10:45,0,50,0,50
2022-11-06T12:20:12,0,50,0,50
2022-11-06T12:29:26,0,50,0,50
2022-11-06T12:38:40,0,50,0,50
2022-11-06T12:47:55,0,50,0,50
2022-11-06T12:57:09,0,50,0,50
2022-11-06T13:06:24,0,50,0,50
2022-11-06T13:15:39,0,50,0,50
2022-11-06T13:24:55,0,50,0,50
2022-11-06T13:34:09,0,50,0,50
2022-11-06T13:43:23,0,50,0,50
2022-11-06T13:52:36,0,50,0,50
2022-11-06T14:01:51,0,50,0,50
2022-11-06T14:11:07,0,50,0,50
2022-11-06T14:20:30,0,50,0,50
2022-11-06T14:29:44,0,50,0,50
2022-11-06T14:38:58,0,50,0,50
2022-11-06T14:48:15,0,50,0,50
2022-11-06T14:57:29,0,50,0,50
2022-11-06T15:06:42,0,50,0,50
