time,enrolled,available,waitlisted,total
2022-11-05T20:12:01,0,10,0,10
2022-11-05T20:21:18,0,10,0,10
2022-11-05T20:30:35,0,10,0,10
2022-11-05T20:40:02,0,10,0,10
2022-11-05T20:49:19,0,10,0,10
2022-11-05T20:58:34,0,10,0,10
2022-11-05T21:07:50,0,10,0,10
2022-11-05T21:17:05,0,10,0,10
2022-11-05T21:26:21,0,10,0,10
2022-11-05T21:35:36,0,10,0,10
2022-11-05T21:44:53,0,10,0,10
2022-11-05T21:54:08,0,10,0,10
2022-11-05T22:03:23,0,10,0,10
2022-11-05T22:12:38,0,10,0,10
2022-11-05T22:21:53,0,10,0,10
2022-11-05T22:31:09,0,10,0,10
2022-11-05T22:40:26,0,10,0,10
2022-11-05T22:49:42,0,10,0,10
2022-11-05T22:58:58,0,10,0,10
2022-11-05T23:08:15,0,10,0,10
2022-11-05T23:17:30,0,10,0,10
2022-11-05T23:26:47,0,10,0,10
2022-11-05T23:36:05,0,10,0,10
2022-11-05T23:45:21,0,10,0,10
2022-11-05T23:54:37,0,10,0,10
2022-11-06T00:03:52,0,10,0,10
2022-11-06T00:13:19,0,10,0,10
2022-11-06T00:22:34,0,10,0,10
2022-11-06T00:31:50,0,10,0,10
2022-11-06T00:41:05,0,10,0,10
2022-11-06T00:50:21,0,10,0,10
2022-11-06T00:59:36,0,10,0,10
2022-11-06T01:08:51,0,10,0,10
2022-11-06T01:18:06,0,10,0,10
2022-11-06T01:27:23,0,10,0,10
2022-11-06T01:36:39,0,10,0,10
2022-11-06T01:45:54,0,10,0,10
2022-11-06T01:55:10,0,10,0,10
2022-11-06T01:04:27,0,10,0,10
2022-11-06T01:13:44,0,10,0,10
2022-11-06T01:22:59,0,10,0,10
2022-11-06T01:32:15,0,10,0,10
2022-11-06T01:41:30,0,10,0,10
2022-11-06T01:50:48,0,10,0,10
2022-11-06T02:00:07,0,10,0,10
2022-11-06T02:09:25,0,10,0,10
2022-11-06T02:18:44,0,10,0,10
2022-11-06T02:28:05,0,10,0,10
2022-11-06T02:37:24,0,10,0,10
2022-11-06T02:46:44,0,10,0,10
2022-11-06T02:56:02,0,10,0,10
2022-11-06T03:05:21,0,10,0,10
2022-11-06T03:14:38,0,10,0,10
2022-11-06T03:23:55,0,10,0,10
2022-11-06T03:33:12,0,10,0,10
2022-11-06T03:42:32,0,10,0,10
2022-11-06T03:51:52,0,10,0,10
2022-11-06T04:01:11,0,10,0,10
2022-11-06T04:16:30,0,10,0,10
2022-11-06T04:25:50,0,10,0,10
2022-11-06T04:35:09,0,10,0,10
2022-11-06T04:45:36,0,10,0,10
2022-11-06T04:55:12,0,10,0,10
2022-11-06T05:04:30,0,10,0,10
2022-11-06T05:13:47,0,10,0,10
2022-11-06T05:23:03,0,10,0,10
2022-11-06T05:32:20,0,10,0,10
2022-11-06T05:41:36,0,10,0,10
2022-11-06T05:50:52,0,10,0,10
2022-11-06T06:00:10,0,10,0,10
2022-11-06T06:09:29,0,10,0,10
2022-11-06T06:18:48,0,10,0,10
2022-11-06T06:28:04,0,10,0,10
2022-11-06T06:37:21,0,10,0,10
2022-11-06T06:46:37,0,10,0,10
2022-11-06T06:55:52,0,10,0,10
2022-11-06T07:05:10,0,10,0,10
2022-11-06T07:14:27,0,10,0,10
2022-11-06T07:23:44,0,10,0,10
2022-11-06T07:33:02,0,10,0,10
2022-11-06T07:42:21,0,10,0,10
2022-11-06T07:51:39,0,10,0,10
2022-11-06T08:00:55,0,10,0,10
2022-11-06T08:10:12,0,10,0,10
2022-11-06T08:19:29,0,10,0,10
2022-11-06T08:28:47,0,10,0,10
2022-11-06T08:38:03,0,10,0,10
2022-11-06T08:47:19,0,10,0,10
2022-11-06T08:56:37,0,10,0,10
2022-11-06T09:05:53,0,10,0,10
2022-11-06T09:15:08,0,10,0,10
2022-11-06T09:24:22,0,10,0,10
2022-11-06T09:33:35,0,10,0,10
2022-11-06T09:42:49,0,10,0,10
2022-11-06T09:52:03,0,10,0,10
2022-11-06T10:01:17,0,10,0,10
2022-11-06T10:10:30,0,10,0,10
2022-11-06T10:19:44,0,10,0,10
2022-11-06T10:28:57,0,10,0,10
2022-11-06T10:38:14,0,10,0,10
2022-11-06T10:47:29,0,10,0,10
2022-11-06T10:56:44,0,10,0,10
2022-11-06T11:05:59,0,10,0,10
2022-11-06T11:15:14,0,10,0,10
2022-11-06T11:24:31,0,10,0,10
2022-11-06T11:33:54,0,10,0,10
2022-11-06T11:43:09,0,10,0,10
2022-11-06T11:52:23,0,10,0,10
2022-11-06T12:01:37,0,10,0,10
2022-11-06T12:10:52,0,10,0,10
2022-11-06T12:20:18,0,10,0,10
2022-11-06T12:29:33,0,10,0,10
2022-11-06T12:38:46,0,10,0,10
2022-11-06T12:48:02,0,10,0,10
2022-11-06T12:57:16,0,10,0,10
2022-11-06T13:06:30,0,10,0,10
2022-11-06T13:15:46,0,10,0,10
2022-11-06T13:25:02,0,10,0,10
2022-11-06T13:34:16,0,10,0,10
2022-11-06T13:43:29,0,10,0,10
2022-11-06T13:52:43,0,10,0,10
2022-11-06T14:01:58,0,10,0,10
2022-11-06T14:11:13,0,10,0,10
2022-11-06T14:20:36,0,10,0,10
2022-11-06T14:29:50,0,10,0,10
2022-11-06T14:39:05,0,10,0,10
2022-11-06T14:48:21,0,10,0,10
2022-11-06T14:57:35,0,10,0,10
2022-11-06T15:06:48,0,10,0,10
2022-11-06T15:16:02,0,10,0,10
2022-11-06T15:25:16,0,10,0,10
2022-11-06T15:34:29,0,10,0,10
2022-11-06T15:43:44,0,10,0,10
2022-11-06T15:52:57,0,10,0,10
2022-11-06T16:02:09,0,10,0,10
2022-11-06T16:11:32,0,10,0,10
2022-11-06T16:20:47,0,10,0,10
2022-11-06T16:30:03,0,10,0,10
2022-11-06T16:39:19,0,10,0,10
