time,enrolled,available,waitlisted,total
2022-11-05T20:11:56,0,200,0,200
2022-11-05T20:21:13,0,200,0,200
2022-11-05T20:30:30,0,200,0,200
2022-11-05T20:39:58,0,200,0,200
2022-11-05T20:49:14,0,200,0,200
2022-11-05T20:58:30,0,200,0,200
2022-11-05T21:07:45,0,200,0,200
2022-11-05T21:17:00,0,200,0,200
2022-11-05T21:26:16,0,200,0,200
2022-11-05T21:35:31,0,200,0,200
2022-11-05T21:44:48,0,200,0,200
2022-11-05T21:54:03,0,200,0,200
2022-11-05T22:03:18,0,200,0,200
2022-11-05T22:12:33,0,200,0,200
2022-11-05T22:21:49,0,200,0,200
2022-11-05T22:31:04,0,200,0,200
2022-11-05T22:40:22,0,200,0,200
2022-11-05T22:49:38,0,200,0,200
2022-11-05T22:58:53,0,200,0,200
2022-11-05T23:08:10,0,200,0,200
2022-11-05T23:17:26,0,200,0,200
2022-11-05T23:26:42,0,200,0,200
2022-11-05T23:36:00,0,200,0,200
2022-11-05T23:45:16,0,200,0,200
2022-11-05T23:54:32,0,200,0,200
2022-11-06T00:03:47,0,200,0,200
2022-11-06T00:13:14,0,200,0,200
2022-11-06T00:22:29,0,200,0,200
2022-11-06T00:31:45,0,200,0,200
2022-11-06T00:41:01,0,200,0,200
2022-11-06T00:50:16,0,200,0,200
2022-11-06T00:59:31,0,200,0,200
2022-11-06T01:08:46,0,200,0,200
2022-11-06T01:18:01,0,200,0,200
2022-11-06T01:27:18,0,200,0,200
2022-11-06T01:36:34,0,200,0,200
2022-11-06T01:45:50,0,200,0,200
2022-11-06T01:55:06,0,200,0,200
2022-11-06T01:04:22,0,200,0,200
2022-11-06T01:13:39,0,200,0,200
2022-11-06T01:22:54,0,200,0,200
2022-11-06T01:32:11,0,200,0,200
2022-11-06T01:41:25,0,200,0,200
2022-11-06T01:50:43,0,200,0,200
2022-11-06T02:00:02,0,200,0,200
2022-11-06T02:09:20,0,200,0,200
2022-11-06T02:18:39,0,200,0,200
2022-11-06T02:28:00,0,200,0,200
2022-11-06T02:37:20,0,200,0,200
2022-11-06T02:46:39,0,200,0,200
2022-11-06T02:55:58,0,200,0,200
2022-11-06T03:05:16,0,200,0,200
2022-11-06T03:14:33,0,200,0,200
2022-11-06T03:23:50,0,200,0,200
2022-11-06T03:33:08,0,200,0,200
2022-11-06T03:42:27,0,200,0,200
2022-11-06T03:51:47,0,200,0,200
2022-11-06T04:01:07,0,200,0,200
2022-11-06T04:16:25,0,200,0,200
2022-11-06T04:25:45,0,200,0,200
2022-11-06T04:35:04,0,200,0,200
2022-11-06T04:45:32,0,200,0,200
2022-11-06T04:55:07,0,200,0,200
2022-11-06T05:04:25,0,200,0,200
2022-11-06T05:13:42,0,200,0,200
2022-11-06T05:22:59,0,200,0,200
2022-11-06T05:32:15,0,200,0,200
2022-11-06T05:41:31,0,200,0,200
2022-11-06T05:50:47,0,200,0,200
2022-11-06T06:00:05,0,200,0,200
2022-11-06T06:09:24,0,200,0,200
2022-11-06T06:18:43,0,200,0,200
2022-11-06T06:27:59,0,200,0,200
2022-11-06T06:37:16,0,200,0,200
2022-11-06T06:46:32,0,200,0,200
2022-11-06T06:55:48,0,200,0,200
2022-11-06T07:05:05,0,200,0,200
2022-11-06T07:14:22,0,200,0,200
2022-11-06T07:23:39,0,200,0,200
2022-11-06T07:32:57,0,200,0,200
2022-11-06T07:42:16,0,200,0,200
2022-11-06T07:51:34,0,200,0,200
2022-11-06T08:00:50,0,200,0,200
2022-11-06T08:10:07,0,200,0,200
2022-11-06T08:19:24,0,200,0,200
2022-11-06T08:28:42,0,200,0,200
2022-11-06T08:37:58,0,200,0,200
2022-11-06T08:47:15,0,200,0,200
2022-11-06T08:56:32,0,200,0,200
2022-11-06T09:05:48,0,200,0,200
2022-11-06T09:15:03,0,200,0,200
2022-11-06T09:24:17,0,200,0,200
2022-11-06T09:33:30,0,200,0,200
2022-11-06T09:42:44,0,200,0,200
2022-11-06T09:51:58,0,200,0,200
2022-11-06T10:01:12,0,200,0,200
2022-11-06T10:10:25,0,200,0,200
2022-11-06T10:19:39,0,200,0,200
2022-11-06T10:28:53,0,200,0,200
2022-11-06T10:38:10,0,200,0,200
2022-11-06T10:47:24,0,200,0,200
2022-11-06T10:56:39,0,200,0,200
2022-11-06T11:05:54,0,200,0,200
2022-11-06T11:15:09,0,200,0,200
2022-11-06T11:24:26,0,200,0,200
2022-11-06T11:33:48,0,200,0,200
2022-11-06T11:43:05,0,200,0,200
2022-11-06T11:52:19,0,200,0,200
2022-11-06T12:01:33,0,200,0,200
2022-11-06T12:10:47,0,200,0,200
2022-11-06T12:20:14,0,200,0,200
2022-11-06T12:29:28,0,200,0,200
2022-11-06T12:38:42,0,200,0,200
2022-11-06T12:47:57,0,200,0,200
2022-11-06T12:57:11,0,200,0,200
2022-11-06T13:06:26,0,200,0,200
2022-11-06T13:15:41,0,200,0,200
2022-11-06T13:24:57,0,200,0,200
2022-11-06T13:34:11,0,200,0,200
2022-11-06T13:43:25,0,200,0,200
2022-11-06T13:52:38,0,200,0,200
2022-11-06T14:01:53,0,200,0,200
2022-11-06T14:11:08,0,200,0,200
2022-11-06T14:20:31,0,200,0,200
2022-11-06T14:29:45,0,200,0,200
2022-11-06T14:39:00,0,200,0,200
2022-11-06T14:48:16,0,200,0,200
2022-11-06T14:57:30,0,200,0,200
2022-11-06T15:06:44,0,200,0,200
2022-11-06T15:15:57,0,200,0,200
2022-11-06T15:25:11,0,200,0,200
2022-11-06T15:34:24,0,200,0,200
2022-11-06T15:43:39,0,200,0,200
