time,enrolled,available,waitlisted,total
2022-11-05T20:12:03,0,36,0,36
2022-11-05T20:21:20,0,36,0,36
2022-11-05T20:30:37,0,36,0,36
2022-11-05T20:40:05,0,36,0,36
2022-11-05T20:49:21,0,36,0,36
2022-11-05T20:58:36,0,36,0,36
2022-11-05T21:07:52,0,36,0,36
2022-11-05T21:17:07,0,36,0,36
2022-11-05T21:26:23,0,36,0,36
2022-11-05T21:35:38,0,36,0,36
2022-11-05T21:44:55,0,36,0,36
2022-11-05T21:54:10,0,36,0,36
2022-11-05T22:03:25,0,36,0,36
2022-11-05T22:12:40,0,36,0,36
2022-11-05T22:21:56,0,36,0,36
2022-11-05T22:31:11,0,36,0,36
2022-11-05T22:40:29,0,36,0,36
2022-11-05T22:49:45,0,36,0,36
2022-11-05T22:59:00,0,36,0,36
2022-11-05T23:08:17,0,36,0,36
2022-11-05T23:17:32,0,36,0,36
2022-11-05T23:26:49,0,36,0,36
2022-11-05T23:36:07,0,36,0,36
2022-11-05T23:45:23,0,36,0,36
2022-11-05T23:54:39,0,36,0,36
2022-11-06T00:03:54,0,36,0,36
2022-11-06T00:13:21,0,36,0,36
2022-11-06T00:22:36,0,36,0,36
2022-11-06T00:31:52,0,36,0,36
2022-11-06T00:41:08,0,36,0,36
2022-11-06T00:50:23,0,36,0,36
2022-11-06T00:59:38,0,36,0,36
2022-11-06T01:08:53,0,36,0,36
2022-11-06T01:18:08,0,36,0,36
2022-11-06T01:27:25,0,36,0,36
2022-11-06T01:36:41,0,36,0,36
2022-11-06T01:45:57,0,36,0,36
2022-11-06T01:55:13,0,36,0,36
2022-11-06T01:04:29,0,36,0,36
2022-11-06T01:13:46,0,36,0,36
2022-11-06T01:23:01,0,36,0,36
2022-11-06T01:32:18,0,36,0,36
2022-11-06T01:41:32,0,36,0,36
2022-11-06T01:50:50,0,36,0,36
2022-11-06T02:00:09,0,36,0,36
2022-11-06T02:09:28,0,36,0,36
2022-11-06T02:18:46,0,36,0,36
2022-11-06T02:28:07,0,36,0,36
2022-11-06T02:37:27,0,36,0,36
2022-11-06T02:46:46,0,36,0,36
2022-11-06T02:56:05,0,36,0,36
2022-11-06T03:05:23,0,36,0,36
2022-11-06T03:14:40,0,36,0,36
2022-11-06T03:23:57,0,36,0,36
2022-11-06T03:33:15,0,36,0,36
2022-11-06T03:42:35,0,36,0,36
2022-11-06T03:51:54,0,36,0,36
2022-11-06T04:01:14,0,36,0,36
2022-11-06T04:16:32,0,36,0,36
2022-11-06T04:25:52,0,36,0,36
2022-11-06T04:35:11,0,36,0,36
2022-11-06T04:45:39,0,36,0,36
2022-11-06T04:55:14,0,36,0,36
2022-11-06T05:04:32,0,36,0,36
2022-11-06T05:13:49,0,36,0,36
2022-11-06T05:23:06,0,36,0,36
2022-11-06T05:32:22,0,36,0,36
2022-11-06T05:41:38,0,36,0,36
2022-11-06T05:50:54,0,36,0,36
2022-11-06T06:00:12,0,36,0,36
2022-11-06T06:09:31,0,36,0,36
2022-11-06T06:18:50,0,36,0,36
2022-11-06T06:28:06,0,36,0,36
2022-11-06T06:37:23,0,36,0,36
2022-11-06T06:46:39,0,36,0,36
2022-11-06T06:55:55,0,36,0,36
2022-11-06T07:05:12,0,36,0,36
2022-11-06T07:14:29,0,36,0,36
2022-11-06T07:23:46,0,36,0,36
2022-11-06T07:33:04,0,36,0,36
2022-11-06T07:42:23,0,36,0,36
2022-11-06T07:51:41,0,36,0,36
2022-11-06T08:00:57,0,36,0,36
2022-11-06T08:10:14,0,36,0,36
2022-11-06T08:19:31,0,36,0,36
2022-11-06T08:28:49,0,36,0,36
2022-11-06T08:38:05,0,36,0,36
2022-11-06T08:47:22,0,36,0,36
2022-11-06T08:56:39,0,36,0,36
2022-11-06T09:05:55,0,36,0,36
2022-11-06T09:15:10,0,36,0,36
2022-11-06T09:24:24,0,36,0,36
2022-11-06T09:33:37,0,36,0,36
2022-11-06T09:42:51,0,36,0,36
2022-11-06T09:52:05,0,36,0,36
2022-11-06T10:01:19,0,36,0,36
2022-11-06T10:10:32,0,36,0,36
2022-11-06T10:19:46,0,36,0,36
2022-11-06T10:28:59,0,36,0,36
2022-11-06T10:38:17,0,36,0,36
2022-11-06T10:47:31,0,36,0,36
2022-11-06T10:56:46,0,36,0,36
2022-11-06T11:06:01,0,36,0,36
2022-11-06T11:15:16,0,36,0,36
2022-11-06T11:24:33,0,36,0,36
2022-11-06T11:33:56,0,36,0,36
2022-11-06T11:43:11,0,36,0,36
2022-11-06T11:52:26,0,36,0,36
2022-11-06T12:01:40,0,36,0,36
2022-11-06T12:10:54,0,36,0,36
2022-11-06T12:20:21,0,36,0,36
2022-11-06T12:29:35,0,36,0,36
2022-11-06T12:38:48,0,36,0,36
2022-11-06T12:48:04,0,36,0,36
2022-11-06T12:57:18,0,36,0,36
2022-11-06T13:06:32,0,36,0,36
2022-11-06T13:15:48,0,36,0,36
2022-11-06T13:25:04,0,36,0,36
2022-11-06T13:34:18,0,36,0,36
2022-11-06T13:43:32,0,36,0,36
2022-11-06T13:52:45,0,36,0,36
2022-11-06T14:02:00,0,36,0,36
2022-11-06T14:11:15,0,36,0,36
2022-11-06T14:20:38,0,36,0,36
2022-11-06T14:29:52,0,36,0,36
2022-11-06T14:39:07,0,36,0,36
2022-11-06T14:48:24,0,36,0,36
2022-11-06T14:57:37,0,36,0,36
2022-11-06T15:06:51,0,36,0,36
2022-11-06T15:16:04,0,36,0,36
2022-11-06T15:25:18,0,36,0,36
2022-11-06T15:34:31,0,36,0,36
2022-11-06T15:43:46,0,36,0,36
2022-11-06T15:52:59,0,36,0,36
2022-11-06T16:02:11,0,36,0,36
2022-11-06T16:11:34,0,36,0,36
2022-11-06T16:20:49,0,36,0,36
2022-11-06T16:30:05,0,36,0,36
2022-11-06T16:39:21,0,36,0,36
2022-11-06T16:48:36,0,36,0,36
2022-11-06T16:57:51,0,36,0,36
2022-11-06T17:07:06,0,36,0,36
2022-11-06T17:16:20,0,36,0,36
2022-11-06T17:25:36,0,36,0,36
2022-11-06T17:34:51,0,36,0,36
2022-11-06T17:44:16,0,36,0,36
2022-11-06T17:53:30,0,36,0,36
2022-11-06T18:02:46,0,36,0,36
2022-11-06T18:12:01,0,36,0,36
2022-11-06T18:21:16,0,36,0,36
2022-11-06T18:30:30,0,36,0,36
2022-11-06T18:39:43,0,36,0,36
2022-11-06T18:48:57,0,36,0,36
2022-11-06T18:58:12,0,36,0,36
2022-11-06T19:07:37,0,36,0,36
2022-11-06T19:16:51,0,36,0,36
2022-11-06T19:26:05,0,36,0,36
2022-11-06T19:35:21,0,36,0,36
2022-11-06T19:44:33,0,36,0,36
2022-11-06T19:53:47,0,36,0,36
2022-11-06T20:03:01,0,36,0,36
2022-11-06T20:12:15,0,36,0,36
2022-11-06T20:21:29,0,36,0,36
2022-11-06T20:30:45,0,36,0,36
2022-11-06T20:40:07,0,36,0,36
2022-11-06T20:49:22,0,36,0,36
2022-11-06T20:58:36,0,36,0,36
2022-11-06T21:07:51,0,36,0,36
2022-11-06T21:17:03,0,36,0,36
2022-11-06T21:26:16,0,36,0,36
2022-11-06T21:35:29,0,36,0,36
2022-11-06T21:44:45,0,36,0,36
2022-11-06T21:54:08,0,36,0,36
2022-11-06T22:03:25,0,36,0,36
2022-11-06T22:12:39,0,36,0,36
2022-11-06T22:21:54,0,36,0,36
2022-11-06T22:31:09,0,36,0,36
2022-11-06T22:40:24,0,36,0,36
2022-11-06T22:49:38,0,36,0,36
2022-11-06T22:58:53,0,36,0,36
2022-11-06T23:08:19,0,36,0,36
2022-11-06T23:17:34,0,36,0,36
2022-11-06T23:26:50,0,36,0,36
2022-11-06T23:36:05,0,36,0,36
2022-11-06T23:45:21,0,36,0,36
2022-11-06T23:54:37,0,36,0,36
2022-11-07T00:05:36,0,36,0,36
2022-11-07T00:14:59,0,36,0,36
2022-11-07T00:24:27,0,36,0,36
2022-11-07T00:33:44,0,36,0,36
2022-11-07T00:42:59,0,36,0,36
2022-11-07T00:52:14,0,36,0,36
2022-11-07T01:01:28,0,36,0,36
2022-11-07T01:10:48,0,36,0,36
2022-11-07T01:20:05,0,36,0,36
2022-11-07T01:29:20,0,36,0,36
2022-11-07T01:38:35,0,36,0,36
2022-11-07T01:48:00,0,36,0,36
2022-11-07T01:57:15,0,36,0,36
2022-11-07T02:06:29,0,36,0,36
2022-11-07T02:15:43,0,36,0,36
2022-11-07T02:24:59,0,36,0,36
2022-11-07T02:34:12,0,36,0,36
2022-11-07T02:43:27,0,36,0,36
2022-11-07T02:52:41,0,36,0,36
2022-11-07T03:01:56,0,36,0,36
2022-11-07T03:11:10,0,36,0,36
2022-11-07T03:20:26,0,36,0,36
2022-11-07T03:29:41,0,36,0,36
2022-11-07T03:38:57,0,36,0,36
2022-11-07T03:48:13,0,36,0,36
2022-11-07T03:57:30,0,36,0,36
2022-11-07T04:06:47,0,36,0,36
2022-11-07T04:23:56,0,36,0,36
2022-11-07T04:33:36,0,36,0,36
2022-11-07T04:42:52,0,36,0,36
2022-11-07T04:52:10,0,36,0,36
2022-11-07T05:01:25,0,36,0,36
2022-11-07T05:10:40,0,36,0,36
2022-11-07T05:19:54,0,36,0,36
2022-11-07T05:29:08,0,36,0,36
2022-11-07T05:38:22,0,36,0,36
2022-11-07T05:47:36,0,36,0,36
2022-11-07T05:56:52,0,36,0,36
2022-11-07T06:06:09,0,36,0,36
2022-11-07T06:15:27,0,36,0,36
2022-11-07T06:24:44,0,36,0,36
2022-11-07T06:34:01,0,36,0,36
2022-11-07T06:43:18,0,36,0,36
2022-11-07T06:52:34,0,36,0,36
2022-11-07T07:01:50,0,36,0,36
2022-11-07T07:11:07,0,36,0,36
2022-11-07T07:20:25,0,36,0,36
2022-11-07T07:29:42,0,36,0,36
2022-11-07T07:38:59,0,36,0,36
2022-11-07T07:48:17,0,36,0,36
2022-11-07T07:57:38,0,36,0,36
2022-11-07T08:06:57,0,36,0,36
2022-11-07T08:16:16,0,36,0,36
2022-11-07T08:25:34,0,36,0,36
2022-11-07T08:35:02,0,36,0,36
2022-11-07T08:44:20,0,36,0,36
2022-11-07T08:53:37,0,36,0,36
2022-11-07T09:02:55,0,36,0,36
2022-11-07T09:12:15,0,36,0,36
2022-11-07T09:21:37,0,36,0,36
2022-11-07T09:30:56,0,36,0,36
2022-11-07T09:40:15,0,36,0,36
2022-11-07T09:49:52,0,36,0,36
2022-11-07T09:59:10,0,36,0,36
2022-11-07T10:08:30,1,35,0,36
2022-11-07T10:17:48,2,34,0,36
2022-11-07T10:27:08,2,34,0,36
2022-11-07T10:36:28,2,34,0,36
2022-11-07T10:45:59,2,34,0,36
2022-11-07T10:55:18,2,34,0,36
2022-11-07T11:04:39,2,34,0,36
2022-11-07T11:14:00,2,34,0,36
2022-11-07T11:23:31,3,33,0,36
2022-11-07T11:32:52,3,33,0,36
2022-11-07T11:42:11,3,33,0,36
2022-11-07T11:51:30,3,33,0,36
2022-11-07T12:00:47,3,33,0,36
2022-11-07T12:10:16,3,33,0,36
2022-11-07T12:19:36,3,33,0,36
2022-11-07T12:28:56,3,33,0,36
2022-11-07T12:38:16,3,33,0,36
2022-11-07T12:47:45,3,33,0,36
2022-11-07T12:57:06,3,33,0,36
2022-11-07T13:06:26,3,33,0,36
