time,enrolled,available,waitlisted,total
2022-11-05T20:12:08,0,146,0,146
2022-11-05T20:21:25,0,146,0,146
2022-11-05T20:30:42,0,146,0,146
2022-11-05T20:40:10,0,146,0,146
2022-11-05T20:49:26,0,146,0,146
2022-11-05T20:58:42,0,146,0,146
2022-11-05T21:07:57,0,146,0,146
2022-11-05T21:17:12,0,146,0,146
2022-11-05T21:26:28,0,146,0,146
2022-11-05T21:35:43,0,146,0,146
2022-11-05T21:45:00,0,146,0,146
2022-11-05T21:54:15,0,146,0,146
2022-11-05T22:03:30,0,146,0,146
2022-11-05T22:12:46,0,146,0,146
2022-11-05T22:22:01,0,146,0,146
2022-11-05T22:31:16,0,146,0,146
2022-11-05T22:40:34,0,146,0,146
2022-11-05T22:49:50,0,146,0,146
2022-11-05T22:59:05,0,146,0,146
2022-11-05T23:08:22,0,146,0,146
2022-11-05T23:17:38,0,146,0,146
2022-11-05T23:26:54,0,146,0,146
2022-11-05T23:36:12,0,146,0,146
2022-11-05T23:45:28,0,146,0,146
2022-11-05T23:54:45,0,146,0,146
2022-11-06T00:04:00,0,146,0,146
2022-11-06T00:13:26,0,146,0,146
2022-11-06T00:22:41,0,146,0,146
2022-11-06T00:31:57,0,146,0,146
2022-11-06T00:41:13,0,146,0,146
2022-11-06T00:50:28,0,146,0,146
2022-11-06T00:59:43,0,146,0,146
2022-11-06T01:08:59,0,146,0,146
2022-11-06T01:18:14,0,146,0,146
2022-11-06T01:27:30,0,146,0,146
2022-11-06T01:36:46,0,146,0,146
2022-11-06T01:46:02,0,146,0,146
2022-11-06T01:55:18,0,146,0,146
2022-11-06T01:04:34,0,146,0,146
2022-11-06T01:13:51,0,146,0,146
2022-11-06T01:23:06,0,146,0,146
2022-11-06T01:32:23,0,146,0,146
2022-11-06T01:41:38,0,146,0,146
2022-11-06T01:50:55,0,146,0,146
2022-11-06T02:00:14,0,146,0,146
2022-11-06T02:09:33,0,146,0,146
2022-11-06T02:18:51,0,146,0,146
2022-11-06T02:28:12,0,146,0,146
