time,enrolled,available,waitlisted,total
2022-11-05T20:12:09,0,48,0,48
2022-11-05T20:21:26,0,48,0,48
2022-11-05T20:30:43,0,48,0,48
2022-11-05T20:40:11,0,48,0,48
2022-11-05T20:49:27,0,48,0,48
2022-11-05T20:58:43,0,48,0,48
2022-11-05T21:07:58,0,48,0,48
2022-11-05T21:17:13,0,48,0,48
2022-11-05T21:26:29,0,48,0,48
2022-11-05T21:35:44,0,48,0,48
2022-11-05T21:45:01,0,48,0,48
2022-11-05T21:54:16,0,48,0,48
2022-11-05T22:03:31,0,48,0,48
2022-11-05T22:12:46,0,48,0,48
2022-11-05T22:22:02,0,48,0,48
2022-11-05T22:31:17,0,48,0,48
2022-11-05T22:40:35,0,48,0,48
2022-11-05T22:49:51,0,48,0,48
2022-11-05T22:59:06,0,48,0,48
2022-11-05T23:08:23,0,48,0,48
2022-11-05T23:17:39,0,48,0,48
2022-11-05T23:26:55,0,48,0,48
2022-11-05T23:36:13,0,48,0,48
2022-11-05T23:45:29,0,48,0,48
2022-11-05T23:54:45,0,48,0,48
2022-11-06T00:04:00,0,48,0,48
2022-11-06T00:13:27,0,48,0,48
2022-11-06T00:22:42,0,48,0,48
2022-11-06T00:31:58,0,48,0,48
2022-11-06T00:41:14,0,48,0,48
2022-11-06T00:50:29,0,48,0,48
2022-11-06T00:59:44,0,48,0,48
2022-11-06T01:09:00,0,48,0,48
2022-11-06T01:18:15,0,48,0,48
2022-11-06T01:27:31,0,48,0,48
2022-11-06T01:36:47,0,48,0,48
2022-11-06T01:46:03,0,48,0,48
2022-11-06T01:55:19,0,48,0,48
2022-11-06T01:04:35,0,48,0,48
2022-11-06T01:13:52,0,48,0,48
2022-11-06T01:23:07,0,48,0,48
2022-11-06T01:32:24,0,48,0,48
2022-11-06T01:41:39,0,48,0,48
2022-11-06T01:50:56,0,48,0,48
2022-11-06T02:00:15,0,48,0,48
2022-11-06T02:09:34,0,48,0,48
2022-11-06T02:18:52,0,48,0,48
2022-11-06T02:28:13,0,48,0,48
2022-11-06T02:37:33,0,48,0,48
2022-11-06T02:46:52,0,48,0,48
2022-11-06T02:56:11,0,48,0,48
2022-11-06T03:05:29,0,48,0,48
2022-11-06T03:14:46,0,48,0,48
2022-11-06T03:24:03,0,48,0,48
2022-11-06T03:33:21,0,48,0,48
2022-11-06T03:42:41,0,48,0,48
