time,enrolled,available,waitlisted,total
2022-11-05T20:12:32,0,100,0,100
2022-11-05T20:21:50,0,100,0,100
2022-11-05T20:31:07,0,100,0,100
2022-11-05T20:40:34,0,100,0,100
2022-11-05T20:49:50,0,100,0,100
2022-11-05T20:59:06,0,100,0,100
2022-11-05T21:08:22,0,100,0,100
2022-11-05T21:17:37,0,100,0,100
2022-11-05T21:26:52,0,100,0,100
2022-11-05T21:36:08,0,100,0,100
2022-11-05T21:45:24,0,100,0,100
2022-11-05T21:54:39,0,100,0,100
2022-11-05T22:03:54,0,100,0,100
2022-11-05T22:13:10,0,100,0,100
2022-11-05T22:22:25,0,100,0,100
2022-11-05T22:31:40,0,100,0,100
2022-11-05T22:40:58,0,100,0,100
2022-11-05T22:50:14,0,100,0,100
2022-11-05T22:59:30,0,100,0,100
2022-11-05T23:08:46,0,100,0,100
2022-11-05T23:18:02,0,100,0,100
2022-11-05T23:27:19,0,100,0,100
2022-11-05T23:36:36,0,100,0,100
2022-11-05T23:45:52,0,100,0,100
2022-11-05T23:55:09,0,100,0,100
2022-11-06T00:04:33,0,100,0,100
2022-11-06T00:13:50,0,100,0,100
2022-11-06T00:23:06,0,100,0,100
2022-11-06T00:32:22,0,100,0,100
2022-11-06T00:41:37,0,100,0,100
2022-11-06T00:50:53,0,100,0,100
2022-11-06T01:00:08,0,100,0,100
2022-11-06T01:09:23,0,100,0,100
2022-11-06T01:18:38,0,100,0,100
2022-11-06T01:27:55,0,100,0,100
2022-11-06T01:37:11,0,100,0,100
2022-11-06T01:46:26,0,100,0,100
2022-11-06T01:55:42,0,100,0,100
2022-11-06T01:04:59,0,100,0,100
2022-11-06T01:14:15,0,100,0,100
2022-11-06T01:23:31,0,100,0,100
2022-11-06T01:32:47,0,100,0,100
2022-11-06T01:42:02,0,100,0,100
2022-11-06T01:51:20,0,100,0,100
2022-11-06T02:00:39,0,100,0,100
2022-11-06T02:09:57,0,100,0,100
2022-11-06T02:19:16,0,100,0,100
2022-11-06T02:28:36,0,100,0,100
2022-11-06T02:37:57,0,100,0,100
2022-11-06T02:47:16,0,100,0,100
2022-11-06T02:56:34,0,100,0,100
2022-11-06T03:05:53,0,100,0,100
2022-11-06T03:15:10,0,100,0,100
2022-11-06T03:24:26,0,100,0,100
2022-11-06T03:33:44,0,100,0,100
2022-11-06T03:43:04,0,100,0,100
2022-11-06T03:52:24,0,100,0,100
2022-11-06T04:01:43,0,100,0,100
2022-11-06T04:17:02,0,100,0,100
2022-11-06T04:26:22,0,100,0,100
2022-11-06T04:35:41,0,100,0,100
2022-11-06T04:46:09,0,100,0,100
2022-11-06T04:55:44,0,100,0,100
2022-11-06T05:05:01,0,100,0,100
2022-11-06T05:14:18,0,100,0,100
2022-11-06T05:23:35,0,100,0,100
2022-11-06T05:32:52,0,100,0,100
2022-11-06T05:42:07,0,100,0,100
2022-11-06T05:51:24,0,100,0,100
2022-11-06T06:00:42,0,100,0,100
2022-11-06T06:10:01,0,100,0,100
2022-11-06T06:19:19,0,100,0,100
2022-11-06T06:28:37,0,100,0,100
2022-11-06T06:37:53,0,100,0,100
2022-11-06T06:47:09,0,100,0,100
2022-11-06T06:56:24,0,100,0,100
2022-11-06T07:05:41,0,100,0,100
2022-11-06T07:14:59,0,100,0,100
2022-11-06T07:24:16,0,100,0,100
2022-11-06T07:33:34,0,100,0,100
2022-11-06T07:42:53,0,100,0,100
2022-11-06T07:52:11,0,100,0,100
2022-11-06T08:01:27,0,100,0,100
2022-11-06T08:10:44,0,100,0,100
2022-11-06T08:20:01,0,100,0,100
2022-11-06T08:29:18,0,100,0,100
2022-11-06T08:38:35,0,100,0,100
2022-11-06T08:47:51,0,100,0,100
2022-11-06T08:57:09,0,100,0,100
2022-11-06T09:06:25,0,100,0,100
2022-11-06T09:15:39,0,100,0,100
2022-11-06T09:24:54,0,100,0,100
2022-11-06T09:34:07,0,100,0,100
2022-11-06T09:43:21,0,100,0,100
2022-11-06T09:52:35,0,100,0,100
2022-11-06T10:01:48,0,100,0,100
2022-11-06T10:11:02,0,100,0,100
2022-11-06T10:20:15,0,100,0,100
2022-11-06T10:29:29,0,100,0,100
2022-11-06T10:38:46,0,100,0,100
2022-11-06T10:48:01,0,100,0,100
2022-11-06T10:57:16,0,100,0,100
2022-11-06T11:06:30,0,100,0,100
2022-11-06T11:15:45,0,100,0,100
2022-11-06T11:25:04,0,100,0,100
2022-11-06T11:34:26,0,100,0,100
2022-11-06T11:43:41,0,100,0,100
2022-11-06T11:52:55,0,100,0,100
2022-11-06T12:02:09,0,100,0,100
